# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 508, i.e. number of multipoles equal to 507
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.098771636821e-06       4.178035973845e-15       1.893796469394e-13       0.000000000000e+00       4.837488847344e-03       4.955885227041e-05      -1.823458234569e-12 
    3       1.853830819315e-06       5.371263143494e-15      -3.350554916861e-13       0.000000000000e+00       4.072822921986e-03       5.270896493746e-05      -1.358886820203e-12 
    4       2.759415568528e-06       4.727987860767e-15      -1.739303630204e-12       0.000000000000e+00       3.146855740574e-03       5.218167461779e-05      -8.631490863531e-13 
    5       3.832810293764e-06       3.439765850370e-15      -4.528536147549e-12       0.000000000000e+00       2.562081043454e-03       5.185003132143e-05      -5.105249771283e-13 
    6       5.056662848422e-06       2.718032626111e-15      -9.330987357542e-12       0.000000000000e+00       2.181817355250e-03       5.147540504259e-05      -2.214663663955e-13 
    7       6.448205684817e-06       3.318183835238e-15      -1.697564007859e-11       0.000000000000e+00       1.898184030520e-03       5.094598208733e-05       1.063786977399e-13 
    8       7.989904796647e-06       5.720739669739e-15      -2.833773323646e-11       0.000000000000e+00       1.676135117577e-03       5.041627642907e-05       2.360543391206e-13 
    9       9.710615328602e-06       1.054882089852e-14      -4.459670598329e-11       0.000000000000e+00       1.500895834352e-03       4.987770577635e-05       1.604738304030e-14 
   10       1.157138711133e-05       1.889207569426e-14      -6.681443891429e-11       0.000000000000e+00       1.360074089325e-03       4.929652875131e-05      -3.310689346118e-14 
   11       1.362308248191e-05       3.242687361111e-14      -9.654690449938e-11       0.000000000000e+00       1.303399739379e-03       4.788987950774e-05       3.698755514241e-13 
