# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 508, i.e. number of multipoles equal to 507
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
    2       1.098771636863e-06       4.837488847883e-03       4.955885227432e-05 
    3       1.853830819399e-06       4.072822923204e-03       5.270896494344e-05 
    4       2.759415568599e-06       3.146855741418e-03       5.218167462254e-05 
    5       3.832810293943e-06       2.562081044021e-03       5.185003132625e-05 
    6       5.056662848565e-06       2.181817355770e-03       5.147540504747e-05 
    7       6.448205685122e-06       1.898184031010e-03       5.094598209218e-05 
    8       7.989904796886e-06       1.676135118010e-03       5.041627643475e-05 
    9       9.710615329116e-06       1.500895834735e-03       4.987770578245e-05 
   10       1.157138711166e-05       1.360074089675e-03       4.929652875658e-05 
   11       1.362308248260e-05       1.303399738082e-03       4.788987951204e-05 
   12       1.580989092603e-05       1.200737452559e-03       4.732467850582e-05 
   13       1.819931565594e-05       1.113039765921e-03       4.672940507584e-05 
   14       2.070606016184e-05       1.037239405194e-03       4.606164633673e-05 
   15       2.343166588747e-05       9.710528717284e-04       4.542173094961e-05 
   16       2.626915270768e-05       9.127454230124e-04       4.486554550801e-05 
   17       2.933811248339e-05       8.609758035358e-04       4.428415573393e-05 
   18       3.255230817958e-05       8.145448852055e-04       4.362557577660e-05 
   19       3.590422572597e-05       7.730519419891e-04       4.297585210699e-05 
   20       3.944021615020e-05       7.353491917105e-04       4.241682014494e-05 
   21       4.315517593368e-05       7.011350429405e-04       4.187730749558e-05 
   22       4.702855359761e-05       6.698087861646e-04       4.123673576605e-05 
   23       5.106897357804e-05       6.411618802223e-04       4.057903813248e-05 
   24       5.529069417969e-05       6.147398176222e-04       4.002834731497e-05 
   25       5.967824973423e-05       5.903392469896e-04       3.953229184246e-05 
   26       6.421017633138e-05       5.676216163826e-04       3.898067032003e-05 
   27       6.889887941669e-05       5.465837554155e-04       3.837594711028e-05 
   28       7.377222884699e-05       5.270759681238e-04       3.775477326671e-05 
   29       7.885563310858e-05       5.087385737484e-04       3.714997280619e-05 
   30       8.413535856443e-05       4.915510875565e-04       3.657414620830e-05 
   31       8.957995792676e-05       4.754539623315e-04       3.602801929285e-05 
   32       9.515958485014e-05       4.602652283188e-04       3.550545242531e-05 
   33       1.008835286812e-04       4.459592353172e-04       3.500010990882e-05 
   34       1.067767467632e-04       4.324633384793e-04       3.449974933922e-05 
   35       1.128640414527e-04       4.196352664055e-04       3.398971967669e-05 
   36       1.191475169885e-04       4.074829102149e-04       3.347391052284e-05 
   37       1.256214139933e-04       3.960042390431e-04       3.296029681723e-05 
   38       1.322778769682e-04       3.851193646844e-04       3.245507192246e-05 
   39       1.391085823445e-04       3.747101145566e-04       3.196203924818e-05 
   40       1.461106784546e-04       3.647735060519e-04       3.148114354431e-05 
   41       1.532826039621e-04       3.553078555593e-04       3.100902168361e-05 
   42       1.606224521592e-04       3.462661377740e-04       3.053904548299e-05 
   43       1.681292202361e-04       3.375810552491e-04       3.006405035640e-05 
   44       1.758070772547e-04       3.292591794867e-04       2.958619813316e-05 
   45       1.836623880402e-04       3.213093388022e-04       2.910971978666e-05 
   46       1.917026123296e-04       3.137139142659e-04       2.863808999298e-05 
   47       1.999363621644e-04       3.064266376932e-04       2.817393899652e-05 
   48       2.083710057843e-04       2.993911622184e-04       2.771931579300e-05 
   49       2.170045466870e-04       2.926081022314e-04       2.727677105338e-05 
   50       2.258315539828e-04       2.860831078777e-04       2.684842803809e-05 
   51       2.348453499098e-04       2.798066283475e-04       2.643558944968e-05 
   52       2.440379420490e-04       2.737527696913e-04       2.603866722274e-05 
   53       2.534018903561e-04       2.678904511787e-04       2.565697862863e-05 
