# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.127044066485e-06       4.178003879513e-15       1.854368039313e-13       0.000000000000e+00       4.920374034230e-03       5.031921644528e-05      -1.820703021526e-12 
    3       1.910909490526e-06       5.371271490656e-15      -3.520085487741e-13       0.000000000000e+00       4.334098663940e-03       5.471314832432e-05      -1.371745787998e-12 
    4       2.847388286208e-06       4.728174391422e-15      -1.790511399488e-12       0.000000000000e+00       3.462673093588e-03       5.444516701190e-05      -8.842191515328e-13 
    5       3.950670423659e-06       3.440418709436e-15      -4.639978858033e-12       0.000000000000e+00       2.809305702420e-03       5.373154698805e-05      -4.758480810455e-13 
    6       5.220999914407e-06       2.719875993741e-15      -9.561751937743e-12       0.000000000000e+00       2.359540939802e-03       5.314071669098e-05      -1.657620010177e-13 
    7       6.658311438131e-06       3.322602381636e-15      -1.737356990784e-11       0.000000000000e+00       2.042154499474e-03       5.263127892841e-05       4.957672274773e-15 
    8       8.263430645002e-06       5.730213384902e-15      -2.902534203116e-11       0.000000000000e+00       1.806090626054e-03       5.213615595379e-05       1.303629176257e-13 
    9       1.003780263364e-05       1.056746137155e-14      -4.562793562990e-11       0.000000000000e+00       1.621237632898e-03       5.162437769043e-05       1.659428389584e-13 
   10       1.198059820757e-05       1.892610803252e-14      -6.841804218698e-11       0.000000000000e+00       1.470958412281e-03       5.109557116329e-05       1.736159704222e-13 
   11       1.409524372782e-05       3.248629072165e-14      -9.878683538311e-11       0.000000000000e+00       1.303399806365e-03       4.903088150598e-05       1.299178550721e-13 
