# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.066189996504e-06       2.838137239910e-09 
       8.895806151164e-06       2.816037165316e-09 
       1.119915642210e-05       2.794109180108e-09 
       1.409890261043e-05       2.772351944257e-09 
       1.774946677469e-05       2.750764128168e-09 
       2.234525476845e-05       2.729344412598e-09 
       2.813100906101e-05       2.708091488580e-09 
       3.541484216632e-05       2.687004057336e-09 
       4.458464475786e-05       2.666080830204e-09 
       5.612874226149e-05       2.645320528555e-09 
       7.066189996504e-05       2.624721883716e-09 
       8.895806151164e-05       2.604283636895e-09 
       1.119915642210e-04       2.584004539101e-09 
       1.409890261043e-04       2.563883351068e-09 
       1.774946677469e-04       2.543918843181e-09 
       2.234525476845e-04       2.524109795399e-09 
       2.813100906102e-04       2.504454997182e-09 
       3.541484216632e-04       2.484953247415e-09 
       4.458464475786e-04       2.465603354341e-09 
       5.612874226149e-04       2.446404135715e-09 
       7.066189996504e-04       2.427354431476e-09 
       8.895806151164e-04       2.408453670374e-09 
       1.119915642210e-03       2.389722152012e-09 
       1.409890261043e-03       2.371784246237e-09 
       1.774946677469e-03       2.369316970192e-09 
       2.234525476845e-03       2.659166456923e-09 
       2.813100906102e-03       7.431067463049e-09 
       3.541484216632e-03       6.744334916854e-08 
       4.458464475786e-03       6.734337857869e-07 
       5.612874226149e-03       5.595427647824e-06 
       7.066189996504e-03       3.770646615627e-05 
       8.895806151164e-03       2.056002348361e-04 
       1.119915642210e-02       9.068709315884e-04 
       1.409890261043e-02       3.235689468048e-03 
       1.774946677469e-02       9.338677038709e-03 
       2.234525476845e-02       2.180221452746e-02 
       2.813100906102e-02       4.117299836247e-02 
       3.541484216632e-02       6.289570508731e-02 
       4.458464475786e-02       7.771880003163e-02 
       5.612874226149e-02       7.768332071961e-02 
       7.066189996504e-02       6.280960707635e-02 
       8.895806151164e-02       4.107910492213e-02 
       1.119915642210e-01       2.173263948097e-02 
       1.409890261043e-01       9.300378214685e-03 
       1.774946677469e-01       3.219478016179e-03 
       2.234525476845e-01       9.015035215174e-04 
       2.813100906102e-01       2.041966196807e-04 
       3.541484216632e-01       3.741464390937e-05 
       4.458464475786e-01       5.546800953287e-06 
       5.612874226149e-01       6.666837245293e-07 
       7.066189996504e-01       6.638459079162e-08 
       8.895806151164e-01       6.961848625707e-09 
       1.119915642210e+00       2.211013307238e-09 
       1.409890261043e+00       1.891887079244e-09 
       1.774946677469e+00       1.861497342041e-09 
       2.234525476845e+00       1.846346656757e-09 
       2.813100906101e+00       1.831947317089e-09 
       3.541484216632e+00       1.817681660768e-09 
       4.458464475786e+00       1.803527680598e-09 
