# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       4.009427168459e-07       9.083929834618e-12       3.937556178293e-13       9.079723575505e-12       4.920374034230e-03       5.031921644528e-05      -1.820703021526e-12 
    3       4.657219992204e-07       1.814742927881e-11       5.760795690121e-13       1.814177897712e-11       4.334098663940e-03       5.471314832432e-05      -1.371745787998e-12 
    4       4.540333173154e-07       3.020424365763e-11       8.752460792124e-13       3.019814354882e-11       3.462673093588e-03       5.444516701190e-05      -8.842191515328e-13 
    5       3.886014832855e-07       4.523643026763e-11       1.430490458766e-12       4.522828818011e-11       2.809305702420e-03       5.373154698805e-05      -4.758480810455e-13 
    6       2.796629763256e-07       6.322457996294e-11       2.370336978335e-12       6.320902579907e-11       2.359540939802e-03       5.314071669098e-05      -1.657620010177e-13 
    7       1.381934268699e-07       8.414919333808e-11       3.795734255707e-12       8.411597413670e-11       2.042154499474e-03       5.263127892841e-05       4.957672274773e-15 
    8      -2.334371799728e-08       1.079927657184e-10       5.791904805496e-12       1.079251356646e-10       1.806090626054e-03       5.213615595379e-05       1.303629176257e-13 
    9      -1.917441399703e-07       1.347420182205e-10       8.387700209697e-12       1.346145129353e-10       1.621237632898e-03       5.162437769043e-05       1.659428389584e-13 
   10      -3.564359031891e-07       1.643898042487e-10       1.158031809974e-11       1.641656746088e-10       1.470958412281e-03       5.109557116329e-05       1.736159704222e-13 
   11      -5.034133216515e-07       1.969364514662e-10       1.529851840051e-11       1.965651885160e-10       1.303399806365e-03       4.903088150598e-05       1.299178550721e-13 
   12      -6.264389490422e-07       2.323905583980e-10       1.941797832273e-11       2.318058431825e-10       1.200737517704e-03       4.840350590816e-05       6.764175267796e-14 
   13      -7.119527032171e-07       2.707692437613e-10       2.377534949318e-11       2.698875881108e-10       1.113039827551e-03       4.777902790210e-05       4.947352838636e-14 
   14      -7.595513682143e-07       3.120977737866e-10       2.812804370982e-11       3.108181354297e-10       1.037239463451e-03       4.716648665366e-05       6.769371697051e-14 
   15      -7.589862272198e-07       3.564087810378e-10       3.222412800097e-11       3.546131807404e-10       9.710529267688e-04       4.655655532225e-05       1.519485213255e-13 
