# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.896120051500e-08       8.940289983847e-12       4.752485415725e-12       8.934703724842e-12       6.287300575663e-03       1.852054455568e-07      -1.811309973961e-12 
    3       3.665180279339e-08       1.787121154509e-11       5.173188863293e-12       1.787450168831e-11       6.649528522037e-03       2.271737374501e-07      -1.444135239844e-12 
    4       5.884805526305e-08       2.979522281151e-11       4.054192023420e-12       2.977900099464e-11       5.692387983963e-03       2.346538695585e-07      -1.054415320635e-12 
    5       8.439265167492e-08       4.467513767253e-11       4.633304075353e-12       4.468887877705e-11       4.618859705661e-03       2.359484971474e-07      -7.053931731829e-13 
    6       1.119616539551e-07       6.257472901838e-11       3.458868105432e-12       6.254467127063e-11       3.837572063942e-03       2.378202981994e-07      -4.196077207319e-13 
    7       1.403361922191e-07       8.340858905770e-11       2.409270706342e-12       8.343593140497e-11       3.301342695969e-03       2.447409463545e-07      -1.911684793888e-13 
    8       1.675091651444e-07       1.073001583005e-10       2.563301502180e-12       1.072426991173e-10       2.900790555558e-03       2.484469108658e-07      -4.870420838319e-14 
    9       1.929373398290e-07       1.340918556825e-10       4.871738710486e-13       1.341252394796e-10       2.581177923263e-03       2.534369782490e-07       4.633896980432e-14 
   10       2.140016165723e-07       1.639902434416e-10       2.033603515833e-13       1.638788803455e-10       2.321058269255e-03       2.558271394539e-07       5.859020418023e-14 
   11       2.310950403823e-07       1.967407696298e-10       4.457844143694e-13       1.967592678035e-10       1.882326612047e-03       2.278022681281e-07       7.342928206650e-14 
   12       2.417953531120e-07       2.326597372169e-10      -1.943632900294e-12       2.324502963088e-10       1.724262405647e-03       2.277264060008e-07       6.781080848847e-14 
   13       2.467053813912e-07       2.713676920845e-10      -6.800823969945e-13       2.713306583404e-10       1.589498291545e-03       2.295444409091e-07       4.845870669581e-14 
   14       2.447215370057e-07       3.133191979658e-10      -2.775141866722e-12       3.129438878880e-10       1.473246559582e-03       2.310728309871e-07       5.615941226695e-15 
   15       2.355943643077e-07       3.579794299939e-10      -4.055386354260e-12       3.578219185977e-10       1.371946670192e-03       2.348209871267e-07      -4.689990837553e-14 
   16       2.208113861653e-07       4.059713139605e-10      -4.259155968835e-12       4.053377922681e-10       1.282894371161e-03       2.395772202578e-07      -1.104869949421e-14 
   17       1.995775384625e-07       4.565732504025e-10      -8.870449767768e-12       4.562083781023e-10       1.204000711267e-03       2.393958181524e-07      -2.237755978260e-15 
   18       1.742305198688e-07       5.102714244476e-10      -1.202336424268e-11       5.099419934824e-10       1.133308310300e-03       2.409603986932e-07      -4.112121520508e-14 
   19       1.461351277384e-07       5.671343679151e-10      -1.283011273923e-11       5.664644497870e-10       1.070463149870e-03       2.444919662591e-07      -8.023989059234e-14 
   20       1.162132124589e-07       6.269220234865e-10      -1.311042434872e-11       6.260098864170e-10       1.013444206459e-03       2.466490743789e-07      -6.464846204513e-14 
   21       8.636486822382e-08       6.896356406223e-10      -1.202239668105e-11       6.885716149025e-10       9.617650078915e-04       2.477699205880e-07       4.157127457406e-15 
   22       5.894351982322e-08       7.553503616624e-10      -8.324360038034e-12       7.540694188355e-10       9.145905642969e-04       2.493445270200e-07       9.381117371953e-14 
   23       3.590002976582e-08       8.240398650246e-10      -4.240883000727e-12       8.225256412796e-10       8.715819558592e-04       2.514986711184e-07       1.394711110735e-13 
   24       1.898070555609e-08       8.956631063458e-10      -2.938020662687e-12       8.939783132090e-10       8.320148392724e-04       2.538657264881e-07       8.559726145657e-14 
   25       9.336655172430e-09       9.703043825974e-10      -4.129594488250e-12       9.683416334638e-10       7.955678738348e-04       2.563602725390e-07       2.309108190882e-14 
   26       7.937390054644e-09       1.048063529193e-09      -6.204172529162e-12       1.045515704316e-09       7.617333791667e-04       2.589693858605e-07       7.507641128217e-14 
   27       1.627423864322e-08       1.128845243149e-09      -7.679158383183e-12       1.125597564974e-09       7.304898417359e-04       2.618103420677e-07       2.015315090167e-13 
   28       3.599882728488e-08       1.212459100611e-09      -6.800429983167e-12       1.208781163832e-09       7.016015380768e-04       2.650272080306e-07       2.903316159956e-13 
   29       6.835109622854e-08       1.298734216399e-09      -2.088929594614e-12       1.295242566175e-09       6.745277674830e-04       2.686607856395e-07       2.376084141084e-13 
   30       1.126862983644e-07       1.387780992445e-09       5.074904614273e-12       1.384877564685e-09       6.492258553622e-04       2.723472410921e-07       9.943246368127e-14 
   31       1.672715394664e-07       1.479838280834e-09       1.194664887142e-11       1.477455147236e-09       6.255992129271e-04       2.754781460131e-07       2.698423419922e-15 
   32       2.300677975242e-07       1.575131023500e-09       1.593728517319e-11       1.572759667803e-09       6.033748588294e-04       2.774941865463e-07       7.027015509388e-14 
   33       3.003936565909e-07       1.673586386069e-09       1.784260890528e-11       1.670872987108e-09       5.825065285482e-04       2.786996808719e-07       2.843744183943e-13 
   34       3.778272557586e-07       1.775010786745e-09       1.982918063431e-11       1.771998696993e-09       5.628811610760e-04       2.797541066086e-07       5.721233407029e-13 
   35       4.615501482750e-07       1.879213937336e-09       2.388734935926e-11       1.876337656289e-09       5.442860739535e-04       2.813253351276e-07       8.527941843346e-13 
   36       5.496223320264e-07       1.986195379563e-09       2.923971896544e-11       1.983898157802e-09       5.267254382751e-04       2.835870785385e-07       1.084010372627e-12 
   37       6.394115947588e-07       2.096021836313e-09       3.402927845097e-11       2.094620770862e-09       5.101901360210e-04       2.865499135810e-07       1.230240906431e-12 
   38       7.277428474107e-07       2.208779564532e-09       3.596937792177e-11       2.208426850353e-09       4.945602150615e-04       2.901900977170e-07       1.250143665545e-12 
   39       8.112844714795e-07       2.324556290985e-09       3.306944338376e-11       2.325235605546e-09       4.796614916573e-04       2.944225268411e-07       1.119775277173e-12 
   40       8.879472120397e-07       2.443376252495e-09       2.617930700108e-11       2.445025686776e-09       4.654847223922e-04       2.990167010556e-07       9.125518341749e-13 
   41       9.559062814197e-07       2.565245315939e-09       1.726462775259e-11       2.567792273571e-09       4.520231703062e-04       3.036464699199e-07       7.459960494293e-13 
   42       1.013221295683e-06       2.690168409940e-09       8.756069092130e-12       2.693530447275e-09       4.392061561720e-04       3.079061282063e-07       7.619915608600e-13 
   43       1.058191842552e-06       2.818149028429e-09       2.885916606802e-12       2.822235008468e-09       4.269345613086e-04       3.114245506519e-07       1.084687021086e-12 
   44       1.090559896028e-06       2.949187803924e-09      -6.182304330217e-13       2.953899815200e-09       4.152139679900e-04       3.142624368281e-07       1.675044747472e-12 
   45       1.110680025369e-06       3.083283313261e-09      -2.897184148922e-12       3.088518271168e-09       4.040534957327e-04       3.166301674275e-07       2.433414792069e-12 
   46       1.119215675507e-06       3.220432305414e-09      -5.344498742358e-12       3.226083516210e-09       3.934252912413e-04       3.187815319880e-07       3.237903359678e-12 
   47       1.117160373926e-06       3.360629572371e-09      -9.621175237503e-12       3.366588432931e-09       3.832614809062e-04       3.210160830909e-07       3.943084793880e-12 
   48       1.105807191022e-06       3.503871064210e-09      -1.719019471328e-11       3.510023074807e-09       3.734802514346e-04       3.236178783045e-07       4.414617401832e-12 
   49       1.086597458553e-06       3.650164573952e-09      -2.773065134356e-11       3.656366077729e-09       3.640798961250e-04       3.266457935301e-07       4.647634902837e-12 
   50       1.061265842579e-06       3.799521842789e-09      -4.030184727846e-11       3.805590838870e-09       3.550660431356e-04       3.300881463335e-07       4.679515126858e-12 
   51       1.031906476547e-06       3.951955614359e-09      -5.377488098635e-11       3.957667761982e-09       3.464233190164e-04       3.339202781302e-07       4.557420385435e-12 
   52       1.000991528039e-06       4.107479671143e-09      -6.682285345015e-11       4.112564132474e-09       3.381137873368e-04       3.381036628609e-07       4.338841286220e-12 
   53       9.711788311288e-07       4.266102056371e-09      -7.800468780940e-11       4.270252919599e-09       3.300924229077e-04       3.425856893559e-07       4.084550602950e-12 
   54       9.446339715994e-07       4.427802609723e-09      -8.606443655653e-11       4.430742127867e-09       3.223618000151e-04       3.473009944564e-07       3.834085952247e-12 
   55       9.235662399832e-07       4.592549718531e-09      -8.969186984761e-11       4.594052775411e-09       3.149287456258e-04       3.521689192442e-07       3.624910453336e-12 
   56       9.104338111460e-07       4.760306382928e-09      -8.742986225614e-11       4.760210871266e-09       3.077877066915e-04       3.570920217069e-07       3.499671336307e-12 
   57       9.079534668328e-07       4.931029966524e-09      -7.766852406157e-11       4.929247664752e-09       3.009199030564e-04       3.619552136603e-07       3.506425519982e-12 
   58       9.191103182136e-07       5.104671947081e-09      -5.863933253764e-11       5.101199894844e-09       2.942924803658e-04       3.666248976706e-07       3.698865189789e-12 
   59       9.465671242543e-07       5.281186046994e-09      -2.927436129516e-11       5.276106473338e-09       2.878696508212e-04       3.709893628389e-07       4.101813300755e-12 
   60       9.907099802660e-07       5.460555395889e-09       7.969691404699e-12       5.453997068479e-09       2.816510605735e-04       3.750928871543e-07       4.597840605391e-12 
   61       1.051165156693e-06       5.642771246549e-09       4.928891410487e-11       5.634901306138e-09       2.756408511011e-04       3.790313076790e-07       5.014669605925e-12 
   62       1.127349185418e-06       5.827825183765e-09       9.031663911287e-11       5.818852228772e-09       2.698360230555e-04       3.829140244944e-07       5.156657199555e-12 
   63       1.218458229620e-06       6.015709159069e-09       1.260999858545e-10       6.005886423914e-09       2.642259955363e-04       3.868645362286e-07       4.803842965646e-12 
   64       1.323457453641e-06       6.206415525471e-09       1.510764042279e-10       6.196044152659e-09       2.587921653676e-04       3.910209755845e-07       3.710997452924e-12 
   65       1.440905447687e-06       6.399939354963e-09       1.604951946898e-10       6.389364552836e-09       2.535144642656e-04       3.955002178485e-07       1.671666479109e-12 
   66       1.568408160342e-06       6.596285883494e-09       1.550846683890e-10       6.585869779174e-09       2.483936343493e-04       4.002801687096e-07      -1.271793526121e-12 
   67       1.703029974363e-06       6.795464709463e-09       1.373344003551e-10       6.785577724052e-09       2.434328963014e-04       4.052934306840e-07      -4.995338857347e-12 
   68       1.841433488070e-06       6.997487746824e-09       1.101541157480e-10       6.988506637328e-09       2.386311273491e-04       4.104610560085e-07      -9.353459337281e-12 
   69       1.979864271359e-06       7.202369323674e-09       7.689065214063e-11       7.194675117045e-09       2.339826162854e-04       4.156920632304e-07      -1.417831195929e-11 
   70       2.114135621711e-06       7.410126280845e-09       4.134492180295e-11       7.404102100157e-09       2.294768184898e-04       4.208829537980e-07      -1.927885452992e-11 
   71       2.239613320206e-06       7.620778070490e-09       7.788873985038e-12       7.616806853236e-09       2.250981109495e-04       4.259172286505e-07      -2.443997931144e-11 
   72       2.352055759723e-06       7.834349273373e-09      -1.994793521046e-11       7.832795682698e-09       2.208307226229e-04       4.306934757971e-07      -2.945125472283e-11 
   73       2.450354900237e-06       8.050877491051e-09      -4.145931164710e-11       8.052019132815e-09       2.166751655658e-04       4.352169489828e-07      -3.420146272634e-11 
   74       2.534296341068e-06       8.270407153813e-09      -5.732566173526e-11       8.274406516829e-09       2.126345297280e-04       4.395247757891e-07      -3.860072673189e-11 
   75       2.603754777970e-06       8.492987387404e-09      -6.823850594915e-11       8.499878162317e-09       2.087094624013e-04       4.436591102031e-07      -4.255232425719e-11 
   76       2.658698288188e-06       8.718672166839e-09      -7.500475837925e-11       8.728345098690e-09       2.048980413990e-04       4.476673015133e-07      -4.595249655331e-11 
   77       2.699192615515e-06       8.947520470209e-09      -7.855100628481e-11       8.959708744708e-09       2.011956482348e-04       4.516020632054e-07      -4.869025823029e-11 
   78       2.725405455346e-06       9.179596432495e-09      -7.992778964630e-11       9.193860595987e-09       1.975948413029e-04       4.555216418583e-07      -5.064720688273e-11 
   79       2.737610739740e-06       9.414969499376e-09      -8.031388071791e-11       9.430681912503e-09       1.940852290573e-04       4.594899860397e-07      -5.169733271541e-11 
   80       2.736505419642e-06       9.653695955065e-09      -8.072743322802e-11       9.670068987002e-09       1.906566299566e-04       4.635654306207e-07      -5.174835827961e-11 
   81       2.724213740876e-06       9.895759472977e-09      -8.109224480532e-11       9.912014691386e-09       1.873094632945e-04       4.677641150108e-07      -5.087444445321e-11 
   82       2.703466015853e-06       1.014112047317e-08      -8.101638921112e-11       1.015654058801e-08       1.840459398392e-04       4.720904904899e-07      -4.920629135694e-11 
