# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       4.433282382054e-07       3.470806599332e-15       3.180415772264e-13       0.000000000000e+00       6.287300575663e-03       1.852054455568e-07      -1.811309973961e-12 
    3       8.865505404418e-07       5.042874983668e-15      -5.147038302072e-14       0.000000000000e+00       6.649528522037e-03       2.271737374501e-07      -1.444135239844e-12 
    4       1.477541948037e-06       5.183933115641e-15      -1.029156574938e-12       0.000000000000e+00       5.692387983963e-03       2.346538695585e-07      -1.054415320635e-12 
    5       2.216310394079e-06       4.304007563022e-15      -2.948487202005e-12       0.000000000000e+00       4.618859705661e-03       2.359484971474e-07      -7.053931731829e-13 
    6       3.102856926004e-06       3.272299487964e-15      -6.250004919632e-12       0.000000000000e+00       3.837572063942e-03       2.378202981994e-07      -4.196077207319e-13 
    7       4.137422748326e-06       2.893554813048e-15      -1.147126482116e-11       0.000000000000e+00       3.301342695969e-03       2.447409463545e-07      -1.911684793888e-13 
    8       5.319503538891e-06       3.712729181053e-15      -1.924955355309e-11       0.000000000000e+00       2.900790555558e-03       2.484469108658e-07      -4.870420838319e-14 
    9       6.650032513592e-06       6.135897667118e-15      -3.031634322031e-11       0.000000000000e+00       2.581177923263e-03       2.534369782490e-07       4.633896980432e-14 
   10       8.127774701715e-06       1.066061802905e-14      -4.549723394139e-11       0.000000000000e+00       2.321058269255e-03       2.558271394539e-07       5.859020418023e-14 
   11       9.754317906767e-06       1.808461142227e-14      -6.571868263157e-11       0.000000000000e+00       1.882326612047e-03       2.278022681281e-07       7.342928206650e-14 
   12       1.152821557614e-05       2.959256061114e-14      -9.198057287992e-11       0.000000000000e+00       1.724262405647e-03       2.277264060008e-07       6.781080848847e-14 
   13       1.345078128335e-05       4.684937120271e-14      -1.254147185905e-10       0.000000000000e+00       1.589498291545e-03       2.295444409091e-07       4.845870669581e-14 
   14       1.552131261374e-05       7.192852516860e-14      -1.671752434658e-10       0.000000000000e+00       1.473246559582e-03       2.310728309871e-07       5.615941226695e-15 
   15       1.773960311123e-05       1.075235252392e-13      -2.186261165437e-10       0.000000000000e+00       1.371946670192e-03       2.348209871267e-07      -4.689990837553e-14 
   16       2.010680574649e-05       1.567824832350e-13      -2.810268708432e-10       0.000000000000e+00       1.282894371161e-03       2.395772202578e-07      -1.104869949421e-14 
   17       2.262146059955e-05       2.236966164651e-13      -3.559949658291e-10       0.000000000000e+00       1.204000711267e-03       2.393958181524e-07      -2.237755978260e-15 
   18       2.528491806434e-05       3.129422143862e-13      -4.449680033605e-10       0.000000000000e+00       1.133308310300e-03       2.409603986932e-07      -4.112121520508e-14 
   19       2.809729367963e-05       4.301738041633e-13      -5.495683887653e-10       0.000000000000e+00       1.070463149870e-03       2.444919662591e-07      -8.023989059234e-14 
   20       3.105796515806e-05       5.820643646829e-13      -6.715730939951e-10       0.000000000000e+00       1.013444206459e-03       2.466490743789e-07      -6.464846204513e-14 
   21       3.416718038051e-05       7.763955477722e-13      -8.127888157310e-10       0.000000000000e+00       9.617650078915e-04       2.477699205880e-07       4.157127457406e-15 
   22       3.742548802139e-05       1.022144716705e-12      -9.750971001575e-10       0.000000000000e+00       9.145905642969e-04       2.493445270200e-07       9.381117371953e-14 
   23       4.083310137021e-05       1.329680231755e-12      -1.160520647906e-09       0.000000000000e+00       8.715819558592e-04       2.514986711184e-07       1.394711110735e-13 
   24       4.439002964722e-05       1.710801123446e-12      -1.371163289029e-09       0.000000000000e+00       8.320148392724e-04       2.538657264881e-07       8.559726145657e-14 
   25       4.809586401901e-05       2.178851555809e-12      -1.609070675772e-09       0.000000000000e+00       7.955678738348e-04       2.563602725390e-07       2.309108190882e-14 
   26       5.195017445102e-05       2.748848850402e-12      -1.876344011131e-09       0.000000000000e+00       7.617333791667e-04       2.589693858605e-07       7.507641128217e-14 
   27       5.595347938290e-05       3.437798921618e-12      -2.175347882648e-09       0.000000000000e+00       7.304898417359e-04       2.618103420677e-07       2.015315090167e-13 
   28       6.010675541426e-05       4.264666962377e-12      -2.508611025614e-09       0.000000000000e+00       7.016015380768e-04       2.650272080306e-07       2.903316159956e-13 
   29       6.441087919460e-05       5.250509283927e-12      -2.878760612338e-09       0.000000000000e+00       6.745277674830e-04       2.686607856395e-07       2.376084141084e-13 
   30       6.886535927895e-05       6.418878259007e-12      -3.288434856377e-09       0.000000000000e+00       6.492258553622e-04       2.723472410921e-07       9.943246368127e-14 
   31       7.346907574038e-05       7.795757071198e-12      -3.740336535807e-09       0.000000000000e+00       6.255992129271e-04       2.754781460131e-07       2.698423419922e-15 
   32       7.822103271425e-05       9.409724847890e-12      -4.237270922599e-09       0.000000000000e+00       6.033748588294e-04       2.774941865463e-07       7.027015509388e-14 
   33       8.312195539831e-05       1.129250756147e-11      -4.782201728200e-09       0.000000000000e+00       5.825065285482e-04       2.786996808719e-07       2.843744183943e-13 
   34       8.817330014969e-05       1.347883374671e-11      -5.378217458728e-09       0.000000000000e+00       5.628811610760e-04       2.797541066086e-07       5.721233407029e-13 
   35       9.337650255708e-05       1.600672619215e-11      -6.028540874252e-09       0.000000000000e+00       5.442860739535e-04       2.813253351276e-07       8.527941843346e-13 
   36       9.873172870283e-05       1.891857423490e-11      -6.736606904405e-09       0.000000000000e+00       5.267254382751e-04       2.835870785385e-07       1.084010372627e-12 
   37       1.042386954925e-04       2.226067344003e-11      -7.506016492805e-09       0.000000000000e+00       5.101901360210e-04       2.865499135810e-07       1.230240906431e-12 
   38       1.098969890734e-04       2.608313705954e-11      -8.340520538482e-09       0.000000000000e+00       4.945602150615e-04       2.901900977170e-07       1.250143665545e-12 
   39       1.157061900238e-04       3.044062324876e-11      -9.243982341125e-09       0.000000000000e+00       4.796614916573e-04       2.944225268411e-07       1.119775277173e-12 
   40       1.216663237918e-04       3.539444256660e-11      -1.022024080408e-08       0.000000000000e+00       4.654847223922e-04       2.990167010556e-07       9.125518341749e-13 
