# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.738449625473e-10       4.749182635271e-12       4.311905280976e-12       4.747071540978e-12       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.440503685379e-10       9.489313130683e-12       4.676057473575e-12       9.497689085611e-12       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       1.324383597601e-10       1.582516451995e-11       3.497433960283e-12       1.581433707226e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       1.256863153733e-10       2.371721974775e-11       3.941752855303e-12       2.373598307246e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       1.322508489637e-10       3.322614303956e-11       2.487560326703e-12       3.320130814412e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       1.431750296807e-10       4.426326897166e-11       9.336760823230e-13       4.429802051310e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       1.545677596001e-10       5.694895002624e-11       2.703260445019e-13       5.690448401960e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       1.638493246457e-10       7.112270529635e-11      -3.041157788701e-12       7.117960362848e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       1.633837972001e-10       8.698830839291e-11      -5.101005028325e-12       8.691778712998e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       1.689254703373e-10       1.042884857061e-10      -7.310052364190e-12       1.043742897785e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       1.876272762343e-10       1.233369707806e-10      -1.300098504225e-11       1.232331890356e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       2.120973654596e-10       1.437519748624e-10      -1.604459617416e-11       1.438739270843e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       2.254729836535e-10       1.659862087128e-10      -2.369757468043e-11       1.658412913340e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       2.247495435760e-10       1.895034346857e-10      -3.193169930348e-11       1.896688531623e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       2.305044119960e-10       2.149259312701e-10      -4.084227027524e-11       2.147315037077e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       2.462849348878e-10       2.415319735984e-10      -5.601637091484e-11       2.417479539498e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       2.652804935606e-10       2.698084316933e-10      -7.197169168915e-11       2.702281283117e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       2.900154685866e-10       2.998251158310e-10      -8.811377760732e-11       3.000987916395e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       3.272614511350e-10       3.313439329021e-10      -1.064955378437e-10       3.315943955599e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       3.834555509808e-10       3.643686481962e-10      -1.265636407034e-10       3.647072870685e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       4.624763270828e-10       3.989775187604e-10      -1.473757375253e-10       3.993550672487e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       5.538089460237e-10       4.351475507683e-10      -1.713935700810e-10       4.355562671753e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       6.439211442082e-10       4.728413763947e-10      -2.020181450156e-10       4.733434861852e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.399155386768e-10       5.121469515801e-10      -2.393313152299e-10       5.126236640428e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       8.556240790203e-10       5.531677320171e-10      -2.821097692316e-10       5.532879026404e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       9.964470054083e-10       5.958110853212e-10      -3.290760891637e-10       5.954230144007e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       1.165296721357e-09       6.398888267132e-10      -3.785914447841e-10       6.392109938072e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       1.364793664408e-09       6.852317259645e-10      -4.292710080690e-10       6.848145123834e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       1.596138492083e-09       7.319499886853e-10      -4.826786264747e-10       7.321164470765e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       1.859711067168e-09       7.802810418391e-10      -5.417614124724e-10       7.808720690377e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       2.156229799929e-09       8.304471057341e-10      -6.092959203551e-10       8.308515106072e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       2.490010363243e-09       8.823702990840e-10      -6.846401112874e-10       8.821248466244e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       2.866938145916e-09       9.358501191703e-10      -7.657567158055e-10       9.348844844207e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       3.293949574800e-09       9.906875822486e-10      -8.507564481314e-10       9.893210879253e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       3.780010828458e-09       1.046871613342e-09      -9.404653279171e-10       1.045437597737e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       4.335583611900e-09       1.104456278483e-09      -1.036748975264e-09       1.103171733816e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       4.972457937714e-09       1.163513011910e-09      -1.141866172617e-09       1.162443666933e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       5.701184514942e-09       1.224112831320e-09      -1.257794721167e-09       1.223173941134e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.522143198266e-09       1.286262644658e-09      -1.383868460321e-09       1.285347622804e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       7.431549770106e-09       1.349949319680e-09      -1.518378562396e-09       1.348969940156e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       8.423705290251e-09       1.415156647985e-09      -1.659177694868e-09       1.414049216079e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       9.495121201351e-09       1.481866572584e-09      -1.804350759519e-09       1.480595648005e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       1.065873878878e-08       1.550063808407e-09      -1.954541575769e-09       1.548616674836e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       1.193392488906e-08       1.619732320659e-09      -2.111305740724e-09       1.618120534010e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       1.334273833355e-08       1.690853910900e-09      -2.276492181826e-09       1.689117698410e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       1.491006949333e-08       1.763408104977e-09      -2.452260078465e-09       1.761621003763e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   48       1.665990916080e-08       1.837377784192e-09      -2.640628993675e-09       1.835639686366e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   49       1.860258588330e-08       1.912768217383e-09      -2.841939829391e-09       1.911159211582e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   50       2.074417074392e-08       1.989593201199e-09      -3.055989106552e-09       1.988155978127e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   51       2.308997740578e-08       2.067869961755e-09      -3.282451152433e-09       2.066602732508e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   52       2.564450417416e-08       2.147619335586e-09      -3.520871206451e-09       2.146468385719e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   53       2.841288376387e-08       2.228860149615e-09      -3.770668376705e-09       2.227723289366e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   54       3.140580363387e-08       2.311590247922e-09      -4.031161271833e-09       2.310357078744e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   55       3.463574990401e-08       2.395800901515e-09      -4.301536944594e-09       2.394365098512e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   56       3.811561555624e-08       2.481482121379e-09      -4.580835282750e-09       2.479743389472e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   57       4.185870571286e-08       2.568622596200e-09      -4.867942527894e-09       2.566488734174e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   58       4.587874291471e-08       2.657209630088e-09      -5.161584794279e-09       2.654598702522e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   59       5.018976996959e-08       2.747231329706e-09      -5.460887463675e-09       2.744069617253e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   60       5.480582016339e-08       2.838683900242e-09      -5.767219790224e-09       2.834889795047e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   61       5.974117965458e-08       2.931565936719e-09      -6.082767974497e-09       2.927044813615e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   62       6.501048493932e-08       3.025876337252e-09      -6.410019393890e-09       3.020519429428e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   63       7.062872465750e-08       3.121614317021e-09      -6.751775303693e-09       3.115297552802e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   64       7.661124139878e-08       3.218779422240e-09      -7.111163538150e-09       3.211362223004e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   65       8.297363927313e-08       3.317368714329e-09      -7.490845522544e-09       3.308699327072e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   66       8.973147981384e-08       3.417367597911e-09      -7.890413583863e-09       3.407309727651e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   67       9.690052471023e-08       3.518757069578e-09      -8.308463511254e-09       3.507199666692e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   68       1.044968235459e-07       3.621516312336e-09      -8.743341955302e-09       3.608377326682e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   69       1.125367129687e-07       3.725622630412e-09      -9.193136592338e-09       3.710852910456e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   70       1.210368158612e-07       3.831051384084e-09      -9.655666288751e-09       3.814638721011e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
