# Matter power spectrum P(k) at redshift z=0
# for k=9.45519e-06 to 4.88563 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.455192010363e-06       7.127008644033e+01 
       2.234158622249e-05       1.635572772331e+02 
       3.527066529956e-05       2.542333016524e+02 
       4.827723781515e-05       3.442910850092e+02 
       6.139666499549e-05       4.342844039713e+02 
       7.466517628781e-05       5.246270441414e+02 
       8.812019471291e-05       6.156731768749e+02 
       1.018006763447e-04       7.077496658809e+02 
       1.157474682911e-04       8.011724551545e+02 
       1.300036895863e-04       8.962564364629e+02 
       1.446151394120e-04       9.933222816686e+02 
       1.596307370127e-04       1.092701753026e+03 
       1.751029975032e-04       1.194742238150e+03 
       1.910885474059e-04       1.299810880706e+03 
       2.076486831260e-04       1.408298539882e+03 
       2.248499745170e-04       1.520623688956e+03 
       2.427649140670e-04       1.637236323032e+03 
       2.614726098129e-04       1.758621875106e+03 
       2.810595166024e-04       1.885305124817e+03 
       3.016201954446e-04       2.017854016465e+03 
       3.232580840366e-04       2.156883259864e+03 
       3.460862527264e-04       2.303057531183e+03 
       3.702281087796e-04       2.457094028648e+03 
       3.958179976009e-04       2.619764025532e+03 
       4.230016325059e-04       2.791893000852e+03 
       4.519362652553e-04       2.974358722312e+03 
       4.827904891329e-04       3.168086671064e+03 
       5.157435473685e-04       3.374041990314e+03 
       5.509840061911e-04       3.593217280936e+03 
       5.887076495528e-04       3.826615723287e+03 
       6.291144689382e-04       4.075228837184e+03 
       6.724046646742e-04       4.340009257889e+03 
       7.187736514274e-04       4.621837068857e+03 
       7.684061722722e-04       4.921481679653e+03 
       8.214697667204e-04       5.239558979712e+03 
       8.781079908381e-04       5.576489252344e+03 
       9.384339226207e-04       5.932464038148e+03 
       1.002524566269e-03       6.307421938419e+03 
       1.070416760607e-03       6.701050484863e+03 
       1.142105081033e-03       7.112774504421e+03 
       1.217542009533e-03       7.541761748722e+03 
       1.296640371287e-03       7.986902485257e+03 
       1.379277757546e-03       8.446786733191e+03 
       1.465302432732e-03       8.919864053451e+03 
       1.554540101392e-03       9.404541190256e+03 
       1.646800900088e-03       9.899420430184e+03 
       1.741886063840e-03       1.040331620889e+04 
       1.839593860786e-03       1.091509123808e+04 
       1.939724552309e-03       1.143366293675e+04 
       2.042084286513e-03       1.195786315540e+04 
       2.146487950747e-03       1.248645759362e+04 
       2.252761087388e-03       1.301829863872e+04 
       2.360741018863e-03       1.355233397863e+04 
       2.470277340923e-03       1.408997364455e+04 
       2.581231936627e-03       1.464659561602e+04 
       2.693478645654e-03       1.524218301189e+04 
       2.806902700961e-03       1.589622302253e+04 
       2.921400021504e-03       1.662807435552e+04 
       3.036876428482e-03       1.745883348254e+04 
       3.153246834312e-03       1.846210380096e+04 
       3.270434438777e-03       1.978442251921e+04 
       3.388369955272e-03       2.159889934986e+04 
       3.506990881390e-03       2.412483954959e+04 
       3.626240821706e-03       2.766390795030e+04 
       3.746068866202e-03       3.265574152588e+04 
       3.866429024611e-03       3.973213725040e+04 
       3.987279715026e-03       4.960682715055e+04 
       4.108583303819e-03       6.318316549421e+04 
       4.230305693249e-03       8.167551705264e+04 
       4.352415952818e-03       1.066772878639e+05 
       4.474885990356e-03       1.402335808887e+05 
       4.597690258950e-03       1.849119825756e+05 
       4.720805496003e-03       2.438583290120e+05 
       4.844210491008e-03       3.208733832665e+05 
       4.967885878877e-03       4.207877298496e+05 
       5.091813955973e-03       5.496097862020e+05 
       5.215978516298e-03       7.146225401495e+05 
       5.340364705510e-03       9.245566071547e+05 
       5.464958890760e-03       1.189759274582e+06 
       5.589748544514e-03       1.522349882907e+06 
       5.714722140761e-03       1.936350967357e+06 
       5.839869062197e-03       2.447783225040e+06 
