# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)            3:P_tensor(k)        
       6.411565702227e-06       2.847520154332e-09       9.183752772132e-09 
       8.071682991922e-06       2.825347016636e-09       8.741578141804e-09 
       1.016164683448e-05       2.803346537256e-09       8.325715510616e-09 
       1.279275542560e-05       2.781517371732e-09       7.934423048361e-09 
       1.610512489216e-05       2.759858186074e-09       7.566084733907e-09 
       2.027515098686e-05       2.738367656679e-09       7.219200631377e-09 
       2.552490280532e-05       2.717044470249e-09       6.892377962825e-09 
       3.213394877519e-05       2.695887323714e-09       6.584322908839e-09 
       4.045424469438e-05       2.674894924152e-09       6.293833074672e-09 
       5.092887666069e-05       2.654065988706e-09       6.019790565089e-09 
       6.411565702227e-05       2.633399244510e-09       5.761155616181e-09 
       8.071682991922e-05       2.612893428610e-09       5.516960737033e-09 
       1.016164683448e-04       2.592547287885e-09       5.286305318247e-09 
       1.279275542560e-04       2.572359578972e-09       5.068350668183e-09 
       1.610512489216e-04       2.552329068192e-09       4.862315441151e-09 
       2.027515098686e-04       2.532454531470e-09       4.667471424970e-09 
       2.552490280532e-04       2.512734754263e-09       4.483139658119e-09 
       3.213394877519e-04       2.493168531487e-09       4.308686849301e-09 
       4.045424469438e-04       2.473754667440e-09       4.143522074589e-09 
       5.092887666069e-04       2.454491975773e-09       3.987093729495e-09 
       6.411565702227e-04       2.435379281820e-09       3.838886717548e-09 
       8.071682991922e-04       2.416415539731e-09       3.698419968835e-09 
       1.016164683448e-03       2.397604431295e-09       3.565248638033e-09 
       1.279275542560e-03       2.379099434913e-09       3.439106954500e-09 
       1.610512489216e-03       2.364876742717e-09       3.323579087889e-09 
       2.027515098686e-03       2.437215274594e-09       3.300577264683e-09 
       2.552490280532e-03       3.962961861162e-09       4.736605195527e-09 
       3.213394877519e-03       2.513825687096e-08       2.582748207739e-08 
       4.045424469438e-03       2.595529056662e-07       2.601627125447e-07 
       5.092887666069e-03       2.347059607608e-06       2.347594714281e-06 
       6.411565702227e-03       1.728940216844e-05       1.728986702911e-05 
       8.071682991922e-03       1.030976846784e-04       1.030980834999e-04 
       1.016164683448e-02       4.973408486964e-04       4.973411854537e-04 
       1.279275542560e-02       1.940715971236e-03       1.940716249687e-03 
       1.610512489216e-02       6.125866546187e-03       6.125866769885e-03 
       2.027515098686e-02       1.564119469535e-02       1.564119486766e-02 
       2.552490280532e-02       3.230494249318e-02       3.230494261728e-02 
       3.213394877519e-02       5.397151864485e-02       5.397151872375e-02 
       4.045424469438e-02       7.293851347370e-02       7.293851351026e-02 
       5.092887666069e-02       7.973440855822e-02       7.973440855515e-02 
       6.411565702227e-02       7.050683909722e-02       7.050683905708e-02 
       8.071682991922e-02       5.043282699868e-02       5.043282692391e-02 
       1.016164683448e-01       2.918045000416e-02       2.918044989707e-02 
       1.279275542560e-01       1.365737627165e-02       1.365737613444e-02 
       1.610512489216e-01       5.170579635654e-03       5.170579470403e-03 
       2.027515098686e-01       1.583463508179e-03       1.583463316876e-03 
       2.552490280532e-01       3.922606599416e-04       3.922604444735e-04 
       3.213394877519e-01       7.860408024296e-05       7.860384240752e-05 
       4.045424469438e-01       1.274263145101e-05       1.274237296032e-05 
       5.092887666069e-01       1.672444402802e-06       1.672166888808e-06 
       6.411565702227e-01       1.790997375816e-07       1.788047568616e-07 
       8.071682991922e-01       1.711137634106e-08       1.680041464563e-08 
       1.016164683448e+00       2.951235560457e-09       2.625712060369e-09 
       1.279275542560e+00       1.940832322722e-09       1.602103618878e-09 
       1.610512489216e+00       1.869654261839e-09       1.519018169826e-09 
       2.027515098686e+00       1.852526423194e-09       1.491225547556e-09 
       2.552490280532e+00       1.838006064549e-09       1.467231177130e-09 
       3.213394877519e+00       1.823690994057e-09       1.444584229871e-09 
       4.045424469438e+00       1.809490165020e-09       1.423148048225e-09 
