# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.875133013275e-08       8.984801082180e-12       4.199280543401e-13       8.981311855631e-12       9.002384410208e-03       2.031413921552e-07      -1.814933594957e-12 
    3       3.646554334587e-08       1.796152314375e-11       4.028985933371e-13       1.795637958903e-11       6.864089293034e-03       2.083167846230e-07      -1.446095610375e-12 
    4       5.860040796532e-08       2.991944814943e-11       2.849915301450e-13       2.991381439544e-11       5.119873082470e-03       2.147064357015e-07      -1.055340431231e-12 
    5       8.417175929886e-08       4.485217511267e-11       7.111669583207e-14       4.484635937868e-11       4.178042547122e-03       2.273492594336e-07      -7.019799819131e-13 
    6       1.116202475236e-07       6.275319593001e-11      -2.489721856366e-13       6.274581652561e-11       3.625512862340e-03       2.370923819682e-07      -4.158450517552e-13 
    7       1.400162039531e-07       8.361600471471e-11      -6.908647273482e-13       8.360356291741e-11       3.220948400080e-03       2.458246255236e-07      -1.805830503510e-13 
    8       1.671114347756e-07       1.074345581873e-10      -1.270123562171e-12       1.074111083411e-10       2.881908100639e-03       2.515452334442e-07      -4.140646860651e-14 
    9       1.924792687547e-07       1.342040207702e-10      -1.999246687160e-12       1.341606654657e-10       2.591282112567e-03       2.561057227874e-07       6.026646577745e-14 
   10       2.134519301027e-07       1.639215410057e-10      -2.881691622165e-12       1.638457027065e-10       2.347813003283e-03       2.587099729431e-07       7.451250052350e-14 
   11       2.305114697591e-07       1.965868735450e-10      -3.910953676315e-12       1.964614502755e-10       1.912408972714e-03       2.292476146402e-07       7.548642919078e-14 
   12       2.412266120180e-07       2.322027298710e-10      -5.068390052525e-12       2.320053317017e-10       1.751850637133e-03       2.298738926851e-07       7.466247563299e-14 
   13       2.459925952760e-07       2.707749054157e-10      -6.317033678737e-12       2.704772962312e-10       1.614953295463e-03       2.324908903665e-07       4.933315857942e-14 
   14       2.441135739573e-07       3.123120939405e-10      -7.620980286462e-12       3.118800318560e-10       1.496858043538e-03       2.332140161890e-07      -4.449863419214e-14 
   15       2.348022530075e-07       3.568256367947e-10      -8.902653552728e-12       3.562190440828e-10       1.393949301024e-03       2.366022813618e-07      -6.502418481575e-14 
