# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.000000000000e+14       7.544384322788e-26       4.625690053217e-09       2.161583792222e+22       1.560422711808e+04       1.560422711808e-10       1.560422711808e+18       2.670959466235e-09       2.751560535470e+44       2.490422367464e+33       1.336376166075e+34       1.868977796319e+42       3.333333333220e-01       1.902194177205e+44       4.672444490797e+44       4.672444490797e+44       1.557481496879e+44      -1.346650704136e+53       4.324770623476e-06       2.000000000000e+00 
       9.991943997396e+13       7.556554543869e-26       4.629328032024e-09       2.158102450140e+22       1.560422711808e+04       1.561680802269e-10       1.559165634865e+18       2.673112926750e-09       2.742704612622e+44       2.484408360229e+33       1.333149012305e+34       1.862962474110e+42       3.333333333220e-01       1.896071947780e+44       4.657406185301e+44       4.657406185301e+44       1.552468728381e+44      -1.341235125961e+53       4.331741504406e-06       1.996781488055e+00 
       9.983894484710e+13       7.568744396803e-26       4.632966010831e-09       2.154626714939e+22       1.560422711808e+04       1.562939907065e-10       1.557909570623e+18       2.675268123450e-09       2.733877192643e+44       2.478408875946e+33       1.329929651642e+34       1.856966512139e+42       3.333333333220e-01       1.889969422807e+44       4.642416280729e+44       4.642416280729e+44       1.547472093524e+44      -1.335841326623e+53       4.338712385336e-06       1.993573318265e+00 
       9.975851456713e+13       7.580953913709e-26       4.636603989638e-09       2.151156577589e+22       1.560422711808e+04       1.564200027014e-10       1.556654518268e+18       2.677425057773e-09       2.725078183797e+44       2.472423879544e+33       1.326718065266e+34       1.850989848393e+42       3.333333333220e-01       1.883886538866e+44       4.627474621304e+44       4.627474621304e+44       1.542491540382e+44      -1.330469218539e+53       4.345683266266e-06       1.990375440883e+00 
       9.967814908182e+13       7.593183126430e-26       4.642060957849e-09       2.147692029074e+22       1.560422711808e+04       1.565461162935e-10       1.555400476982e+18       2.679583731126e-09       2.716307494641e+44       2.466453336036e+33       1.323514234403e+34       1.845032420517e+42       3.333333333219e-01       1.877823232743e+44       4.612581051747e+44       4.612581051747e+44       1.537527017196e+44      -1.325118714477e+53       4.352654147195e-06       1.987187806456e+00 
       9.959784833896e+13       7.605432066717e-26       4.645698936656e-09       2.144233060392e+22       1.560422711808e+04       1.566723315646e-10       1.554147445953e+18       2.681744144909e-09       2.707565034029e+44       2.460497210521e+33       1.320318140325e+34       1.839094166645e+42       3.333333333219e-01       1.871779441427e+44       4.597735417279e+44       4.597735417279e+44       1.532578472374e+44      -1.319789727555e+53       4.359625028125e-06       1.984010365851e+00 
       9.951761228640e+13       7.617700766367e-26       4.649336915463e-09       2.140779662558e+22       1.560422711808e+04       1.567986485967e-10       1.552895424366e+18       2.683906300525e-09       2.698850711107e+44       2.454555468182e+33       1.317129764349e+34       1.833175025116e+42       3.333333333219e-01       1.865755102108e+44       4.582937563622e+44       4.582937563622e+44       1.527645854488e+44      -1.314482171243e+53       4.366595909055e-06       1.980843070246e+00 
       9.943744087203e+13       7.629989257241e-26       4.652974894270e-09       2.137331826599e+22       1.560422711808e+04       1.569250674719e-10       1.551644411408e+18       2.686070199378e-09       2.690164435313e+44       2.448628074284e+33       1.313949087836e+34       1.827274934443e+42       3.333333333219e-01       1.859750152181e+44       4.568187336994e+44       4.568187336994e+44       1.522729112279e+44      -1.309195959358e+53       4.373566789985e-06       1.977685871135e+00 
       9.935733404377e+13       7.642297571265e-26       4.656612873077e-09       2.133889543558e+22       1.560422711808e+04       1.570515882723e-10       1.550394406266e+18       2.688235842872e-09       2.681506116377e+44       2.442714994180e+33       1.310776092193e+34       1.821393833316e+42       3.333333333219e-01       1.853764529240e+44       4.553484584106e+44       4.553484584106e+44       1.517828194650e+44      -1.303931006061e+53       4.380537670915e-06       1.974538720315e+00 
       9.927729174959e+13       7.654625740442e-26       4.660250851884e-09       2.130452804491e+22       1.560422711808e+04       1.571782110801e-10       1.549145408128e+18       2.690403232416e-09       2.672875664320e+44       2.436816193302e+33       1.307610758873e+34       1.815531660562e+42       3.333333333219e-01       1.847798171082e+44       4.538829152163e+44       4.538829152163e+44       1.512943050669e+44      -1.298687225861e+53       4.387508551845e-06       1.971401569892e+00 
       9.919731393751e+13       7.666973796808e-26       4.663888830692e-09       2.127021600469e+22       1.560422711808e+04       1.573049359775e-10       1.547897416184e+18       2.692572369418e-09       2.664272989453e+44       2.430931637170e+33       1.304453069372e+34       1.809688355252e+42       3.333333333219e-01       1.841851015702e+44       4.524220888863e+44       4.524220888863e+44       1.508073629569e+44      -1.293464533611e+53       4.394479432774e-06       1.968274372275e+00 
       9.911740055557e+13       7.679341772442e-26       4.667526809499e-09       2.123595922578e+22       1.560422711808e+04       1.574317630468e-10       1.546650429623e+18       2.694743255286e-09       2.655698002373e+44       2.425061291383e+33       1.301303005231e+34       1.803863856661e+42       3.333333333219e-01       1.835923001297e+44       4.509659642391e+44       4.509659642391e+44       1.503219880745e+44      -1.288262844504e+53       4.401450313704e-06       1.965157080176e+00 
       9.903755155187e+13       7.691729699477e-26       4.671164788306e-09       2.120175761918e+22       1.560422711808e+04       1.575586923704e-10       1.545404447634e+18       2.696915891431e-09       2.647150613969e+44       2.419205121626e+33       1.298160548036e+34       1.798058104259e+42       3.333333333219e-01       1.830014066260e+44       4.495145261425e+44       4.495145261425e+44       1.498381753757e+44      -1.283082074076e+53       4.408421194634e-06       1.962049646605e+00 
       9.895776687455e+13       7.704137610091e-26       4.674802767113e-09       2.116761109603e+22       1.560422711808e+04       1.576857240307e-10       1.544159469408e+18       2.699090279263e-09       2.638630735412e+44       2.413363093666e+33       1.295025679417e+34       1.792271037725e+42       3.333333333219e-01       1.824124149185e+44       4.480677595128e+44       4.480677595128e+44       1.493559198325e+44      -1.277922138203e+53       4.415392075564e-06       1.958952024869e+00 
       9.887804647179e+13       7.716565536520e-26       4.678440745920e-09       2.113351956761e+22       1.560422711808e+04       1.578128581103e-10       1.542915494138e+18       2.701266420195e-09       2.630138278163e+44       2.407535173353e+33       1.291898381049e+34       1.786502596920e+42       3.333333333218e-01       1.818253188862e+44       4.466256493147e+44       4.466256493147e+44       1.488752164331e+44      -1.272782953097e+53       4.422362956494e-06       1.955864168570e+00 
       9.879839029180e+13       7.729013511051e-26       4.682078724727e-09       2.109948294536e+22       1.560422711808e+04       1.579400946917e-10       1.541672521014e+18       2.703444315640e-09       2.621673153965e+44       2.401721326618e+33       1.288778634651e+34       1.780752721900e+42       3.333333333218e-01       1.812401124279e+44       4.451881805616e+44       4.451881805616e+44       1.483960601821e+44      -1.267664435310e+53       4.429333837424e-06       1.952786031601e+00 
       9.871879828286e+13       7.741481566022e-26       4.685716703534e-09       2.106550114084e+22       1.560422711808e+04       1.580674338576e-10       1.540430549229e+18       2.705623967012e-09       2.613235274847e+44       2.395921519476e+33       1.285666421987e+34       1.775021352913e+42       3.333333333218e-01       1.806567894619e+44       4.437553383148e+44       4.437553383148e+44       1.479184460998e+44      -1.262566501727e+53       4.436304718353e-06       1.949717568145e+00 
       9.863927039325e+13       7.753969733831e-26       4.689354682341e-09       2.103157406577e+22       1.560422711808e+04       1.581948756907e-10       1.539189577978e+18       2.707805375728e-09       2.604824553121e+44       2.390135718023e+33       1.282561724862e+34       1.769308430392e+42       3.333333333218e-01       1.800753439263e+44       4.423271076840e+44       4.423271076840e+44       1.474423692229e+44      -1.257489069569e+53       4.443275599283e-06       1.946658732673e+00 
       9.855980657134e+13       7.766478046921e-26       4.692992661148e-09       2.099770163200e+22       1.560422711808e+04       1.583224202737e-10       1.537949606453e+18       2.709988543203e-09       2.596440901380e+44       2.384363888439e+33       1.279464525129e+34       1.763613894967e+42       3.333333333218e-01       1.794957697784e+44       4.409034738265e+44       4.409034738265e+44       1.469678246038e+44      -1.252432056388e+53       4.450246480213e-06       1.943609479941e+00 
       9.848040676550e+13       7.779006537791e-26       4.698449629359e-09       2.096388375153e+22       1.560422711808e+04       1.584500676895e-10       1.536710633850e+18       2.712173470858e-09       2.588084232499e+44       2.378605996981e+33       1.276374804682e+34       1.757937687456e+42       3.333333333218e-01       1.789180609953e+44       4.394844219478e+44       4.394844219478e+44       1.464948073109e+44      -1.247395380070e+53       4.457217361143e-06       1.940569764989e+00 
       9.840107092417e+13       7.791555238993e-26       4.702087608166e-09       2.093012033650e+22       1.560422711808e+04       1.585778180209e-10       1.535472659363e+18       2.714360160109e-09       2.579754459633e+44       2.372862009993e+33       1.273292545460e+34       1.752279748868e+42       3.333333333218e-01       1.783422115732e+44       4.380699373005e+44       4.380699373005e+44       1.460233124284e+44      -1.242378958829e+53       4.464188242073e-06       1.937539543136e+00 
       9.832179899581e+13       7.804124183127e-26       4.705725586973e-09       2.089641129919e+22       1.560422711808e+04       1.587056713511e-10       1.534235682189e+18       2.716548612379e-09       2.571451496218e+44       2.367131893897e+33       1.270217729445e+34       1.746640020407e+42       3.333333333218e-01       1.777682155277e+44       4.366600051850e+44       4.366600051850e+44       1.455533350566e+44      -1.237382711210e+53       4.471159123003e-06       1.934518769981e+00 
       9.824259092893e+13       7.816713402849e-26       4.709363565780e-09       2.086275655202e+22       1.560422711808e+04       1.588336277630e-10       1.532999701524e+18       2.718738829087e-09       2.563175255967e+44       2.361415615197e+33       1.267150338663e+34       1.741018443463e+42       3.333333333218e-01       1.771960668938e+44       4.352546109490e+44       4.352546109490e+44       1.450848703113e+44      -1.232406556084e+53       4.478130003932e-06       1.931507401398e+00 
       9.816344667210e+13       7.829322930866e-26       4.713001544587e-09       2.082915600756e+22       1.560422711808e+04       1.589616873397e-10       1.531764716565e+18       2.720930811658e-09       2.554925652871e+44       2.355713140476e+33       1.264090355182e+34       1.735414959614e+42       3.333333333218e-01       1.766257597256e+44       4.338537399872e+44       4.338537399872e+44       1.446179133241e+44      -1.227450412648e+53       4.485100884862e-06       1.928505393538e+00 
       9.808436617390e+13       7.841952799939e-26       4.716639523394e-09       2.079560957850e+22       1.560422711808e+04       1.590898501644e-10       1.530530726510e+18       2.723124561514e-09       2.546702601198e+44       2.350024436402e+33       1.261037761116e+34       1.729829510623e+42       3.333333333218e-01       1.760572880961e+44       4.324573777415e+44       4.324573777415e+44       1.441524592422e+44      -1.222514200425e+53       4.492071765792e-06       1.925512702822e+00 
       9.800534938297e+13       7.854603042884e-26       4.720277502201e-09       2.076211717770e+22       1.560422711808e+04       1.592181163204e-10       1.529297730558e+18       2.725320080080e-09       2.538506015493e+44       2.344349469719e+33       1.257992538620e+34       1.724262038439e+42       3.333333333217e-01       1.754906460979e+44       4.310655097005e+44       4.310655097005e+44       1.436885032285e+44      -1.217597839261e+53       4.499042646722e-06       1.922529285941e+00 
       9.792639624798e+13       7.867273692563e-26       4.723915481009e-09       2.072867871813e+22       1.560422711808e+04       1.593464858909e-10       1.528065727908e+18       2.727517368783e-09       2.530335810574e+44       2.338688207254e+33       1.254954669893e+34       1.718712485212e+42       3.333333333217e-01       1.749258278421e+44       4.296781213996e+44       4.296781213996e+44       1.432260404615e+44      -1.212701249326e+53       4.506013527652e-06       1.919555099855e+00 
       9.784750671767e+13       7.879964781894e-26       4.727553459816e-09       2.069529411293e+22       1.560422711808e+04       1.594749589594e-10       1.526834717760e+18       2.729716429049e-09       2.522191901534e+44       2.333040615914e+33       1.251924137176e+34       1.713180793279e+42       3.333333333217e-01       1.743628274590e+44       4.282951984206e+44       4.282951984206e+44       1.427650661352e+44      -1.207824351108e+53       4.512984408582e-06       1.916590101790e+00 
       9.776868074077e+13       7.892676343848e-26       4.731191438623e-09       2.066196327535e+22       1.560422711808e+04       1.596035356092e-10       1.525604699314e+18       2.731917262307e-09       2.514074203741e+44       2.327406662683e+33       1.248900922754e+34       1.707666905155e+42       3.333333333217e-01       1.738016390979e+44       4.269167263920e+44       4.269167263920e+44       1.423055754590e+44      -1.202967065418e+53       4.519955289511e-06       1.913634249235e+00 
       9.768991826611e+13       7.905408411459e-26       4.734829417430e-09       2.062868611880e+22       1.560422711808e+04       1.597322159240e-10       1.524375671771e+18       2.734119869986e-09       2.505982632832e+44       2.321786314629e+33       1.245885008955e+34       1.702170763501e+42       3.333333333217e-01       1.732422569266e+44       4.255426909882e+44       4.255426909882e+44       1.418475636578e+44      -1.198129313382e+53       4.526926170441e-06       1.910687499941e+00 
       9.761121924252e+13       7.918161017799e-26       4.740286385641e-09       2.059546255683e+22       1.560422711808e+04       1.598609999872e-10       1.523147634333e+18       2.736324253517e-09       2.497917104719e+44       2.316179538897e+33       1.242876378148e+34       1.696692311230e+42       3.333333333217e-01       1.726846751320e+44       4.241730779300e+44       4.241730779300e+44       1.413910259717e+44      -1.193311016447e+53       4.533897051371e-06       1.907749811920e+00 
