# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       4.418984346614e-07       3.480161362912e-15       3.188509582287e-13       0.000000000000e+00       9.002384410208e-03       2.031413921552e-07      -1.814933594957e-12 
    3       8.837195657960e-07       5.054074950380e-15      -5.008497829340e-14       0.000000000000e+00       6.864089293034e-03       2.083167846230e-07      -1.446095610375e-12 
    4       1.472776155756e-06       5.194082032836e-15      -1.026262918791e-12       0.000000000000e+00       5.119873082470e-03       2.147064357015e-07      -1.055340431231e-12 
    5       2.209234472131e-06       4.310203263128e-15      -2.943430772333e-12       0.000000000000e+00       4.178042547122e-03       2.273492594336e-07      -7.019799819131e-13 
    6       3.092866857495e-06       3.273916277015e-15      -6.240766979374e-12       0.000000000000e+00       3.625512862340e-03       2.370923819682e-07      -4.158450517552e-13 
    7       4.124192809782e-06       2.890236749523e-15      -1.145632271619e-11       0.000000000000e+00       3.220948400080e-03       2.458246255236e-07      -1.805830503510e-13 
    8       5.302460942232e-06       3.703162591005e-15      -1.922492599082e-11       0.000000000000e+00       2.881908100639e-03       2.515452334442e-07      -4.140646860651e-14 
    9       6.628716316242e-06       6.116994958061e-15      -3.027823291839e-11       0.000000000000e+00       2.591282112567e-03       2.561057227874e-07       6.026646577745e-14 
   10       8.101665532639e-06       1.062885410790e-14      -4.544141470727e-11       0.000000000000e+00       2.347813003283e-03       2.587099729431e-07       7.451250052350e-14 
   11       9.722999131525e-06       1.803219499202e-14      -6.563424644993e-11       0.000000000000e+00       1.912408972714e-03       2.292476146402e-07       7.548642919078e-14 
   12       1.149126683190e-05       2.951405235065e-14      -9.187009645069e-11       0.000000000000e+00       1.751850637133e-03       2.298738926851e-07       7.466247563299e-14 
   13       1.340756558141e-05       4.672468323878e-14      -1.252499142882e-10       0.000000000000e+00       1.614953295463e-03       2.324908903665e-07       4.933315857942e-14 
   14       1.547158246400e-05       7.175078020284e-14      -1.669807139099e-10       0.000000000000e+00       1.496858043538e-03       2.332140161890e-07      -4.449863419214e-14 
   15       1.768256909509e-05       1.072478891756e-13      -2.183308357527e-10       0.000000000000e+00       1.393949301024e-03       2.366022813618e-07      -6.502418481575e-14 
   16       2.004295126698e-05       1.563900870906e-13      -2.807035463399e-10       0.000000000000e+00       1.303481619777e-03       2.378212669117e-07      -9.197519160367e-15 
   17       2.254883537215e-05       2.231360395732e-13      -3.555232209372e-10       0.000000000000e+00       1.223332803149e-03       2.422913205709e-07       4.752768484988e-14 
   18       2.520341451790e-05       3.121660722846e-13      -4.443666351858e-10       0.000000000000e+00       1.151516282688e-03       2.451170218178e-07      -1.072258922961e-14 
   19       2.800726729769e-05       4.291133346195e-13      -5.488742867451e-10       0.000000000000e+00       1.087667851903e-03       2.465973843361e-07      -1.140851689211e-13 
   20       3.095914519511e-05       5.806123522000e-13      -6.707554785994e-10       0.000000000000e+00       1.029738738856e-03       2.497221793393e-07      -1.243410472761e-13 
   21       3.405877659836e-05       7.744210902450e-13      -8.118109230427e-10       0.000000000000e+00       9.772349890586e-04       2.528521451577e-07      -3.864476855192e-14 
   22       3.730632551796e-05       1.019500970090e-12      -9.739339717275e-10       0.000000000000e+00       9.293072138236e-04       2.531941237127e-07       7.983419298614e-14 
   23       4.070248699946e-05       1.326219473808e-12      -1.159132410375e-09       0.000000000000e+00       8.856112508621e-04       2.527840936083e-07       1.167401425567e-13 
   24       4.424796529358e-05       1.706371631219e-12      -1.369490568783e-09       0.000000000000e+00       8.454117283778e-04       2.548870749354e-07      -2.198408516731e-14 
   25       4.794211111969e-05       2.173244475708e-12      -1.607067825362e-09       0.000000000000e+00       8.083822138777e-04       2.586320504659e-07      -1.643161235836e-13 
