# Matter power spectrum P(k) at redshift z=0
# for k=9.4507e-06 to 4.87427 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.450700338204e-06       7.132250377724e+01 
       2.232394263928e-05       1.636274033273e+02 
       3.523975317755e-05       2.543199053590e+02 
       4.823283375083e-05       3.443918280962e+02 
       6.133843612060e-05       4.343960011103e+02 
       7.459267596403e-05       5.247452772064e+02 
       8.803285654282e-05       6.157928758349e+02 
       1.016978064008e-04       7.078646827217e+02 
       1.156282354340e-04       8.012756291644e+02 
       1.298671137116e-04       8.963395556340e+02 
       1.444600774355e-04       9.933760400524e+02 
       1.594558663749e-04       1.092715712971e+03 
       1.749067969432e-04       1.194704790332e+03 
       1.908692747400e-04       1.299709217604e+03 
       2.074043497452e-04       1.408118642331e+03 
       2.245783163244e-04       1.520350334241e+03 
       2.424633585949e-04       1.636853123111e+03 
       2.611382393122e-04       1.758111362648e+03 
       2.806890269958e-04       1.884648894920e+03 
       3.012098511935e-04       2.017032947161e+03 
       3.228036692162e-04       2.155877832987e+03 
       3.455830189552e-04       2.301848281552e+03 
       3.696707211428e-04       2.455662146693e+03 
       3.952004803610e-04       2.618092151684e+03 
       4.223173172413e-04       2.789966236642e+03 
       4.511777450980e-04       2.972165904985e+03 
       4.819495839708e-04       3.165621926565e+03 
       5.148112861454e-04       3.371306600717e+03 
       5.499506336188e-04       3.590221849027e+03 
       5.875626653833e-04       3.823382621281e+03 
       6.278467080667e-04       4.071794827399e+03 
       6.710024253233e-04       4.336428204453e+03 
       7.172248760665e-04       4.618182685684e+03 
       7.666986814897e-04       4.917850137946e+03 
       8.195915400563e-04       5.236071505508e+03 
       8.760474812208e-04       5.573294094889e+03 
       9.361803837403e-04       5.929737586713e+03 
       1.000068366649e-03       6.305368336623e+03 
       1.067749656015e-03       6.699898922299e+03 
       1.139220419384e-03       7.112776814220e+03 
       1.214434849601e-03       7.543189205380e+03 
       1.293307507142e-03       7.990047258912e+03 
       1.375717652334e-03       8.451961873646e+03 
       1.461515075791e-03       8.927395246769e+03 
       1.550526809609e-03       9.414759987362e+03 
       1.642564087165e-03       9.912631796635e+03 
       1.737428999931e-03       1.041979230748e+04 
       1.834920440950e-03       1.093506863898e+04 
       1.934839086889e-03       1.145734407380e+04 
       2.036991321072e-03       1.198546599106e+04 
       2.141192118528e-03       1.251825114084e+04 
       2.247266993760e-03       1.305460216732e+04 
       2.355053154955e-03       1.359351479735e+04 
       2.464400022437e-03       1.413608662899e+04 
       2.575169263426e-03       1.469695286445e+04 
       2.687234477846e-03       1.529586366062e+04 
       2.800480647616e-03       1.595209252214e+04 
       2.914803438734e-03       1.668477345806e+04 
       3.030108424183e-03       1.751434516456e+04 
       3.146310277448e-03       1.851025330853e+04 
       3.263331971565e-03       1.981788240419e+04 
       3.381104007049e-03       2.160933996063e+04 
       3.499563683243e-03       2.410148844477e+04 
       3.618654421261e-03       2.759139819802e+04 
       3.738325142097e-03       3.251075583134e+04 
       3.858529700396e-03       3.948386092068e+04 
       3.979226372294e-03       4.922117252505e+04 
       4.100377394479e-03       6.261262477239e+04 
       4.221948550899e-03       8.085593113527e+04 
       4.343908803208e-03       1.055246009698e+05 
       4.466229960982e-03       1.386408532165e+05 
       4.588886387802e-03       1.827474596542e+05 
       4.711854739533e-03       2.409656023110e+05 
       4.835113731362e-03       3.170652878539e+05 
       4.958643930452e-03       4.158271691655e+05 
       5.082427571364e-03       5.432130377090e+05 
       5.206448391670e-03       7.064551443411e+05 
       5.330691485474e-03       9.142297201760e+05 
       5.455143172774e-03       1.176827352455e+06 
       5.579790882871e-03       1.506310222446e+06 
       5.704623050202e-03       1.916644641260e+06 
       5.829629021177e-03       2.423798995765e+06 
       5.954798970775e-03       3.045790109170e+06 
       6.080123827786e-03       3.802885479466e+06 
       6.205595207715e-03       4.718751974256e+06 
       6.331205352513e-03       5.820542336734e+06 
       6.456947076346e-03       7.138991265803e+06 
       6.582813716765e-03       8.708737417204e+06 
       6.708799090660e-03       1.056866553669e+07 
       6.834897454501e-03       1.276225434387e+07 
       6.961103468389e-03       1.533794965252e+07 
       7.087412163523e-03       1.834953956495e+07 
       7.213818912716e-03       2.185654465611e+07 
       7.340319403644e-03       2.592462912589e+07 
       7.466909614552e-03       3.062600878760e+07 
       7.593585792154e-03       3.603984240579e+07 
       7.720344431516e-03       4.225222314419e+07 
       7.847182257720e-03       4.935651416902e+07 
       7.974096209132e-03       5.745385784208e+07 
       8.101083422116e-03       6.665346996754e+07 
       8.228141217059e-03       7.707301088518e+07 
       8.355267085579e-03       8.883880546573e+07 
       8.482458678800e-03       1.020861867123e+08 
       8.609713796601e-03       1.169597392278e+08 
       8.737030377745e-03       1.336134971764e+08 
       8.864406490809e-03       1.522111524426e+08 
       8.991840325839e-03       1.729263485820e+08 
       9.119330186670e-03       1.959426766042e+08 
       9.246874483850e-03       2.214539799491e+08 
       9.374471728116e-03       2.496643783009e+08 
       9.502120524368e-03       2.807882798232e+08 
       9.629819566114e-03       3.150509712251e+08 
       9.757567630323e-03       3.526894558399e+08 
       9.885363572676e-03       3.939515427658e+08 
       1.001320632316e-02       4.390960615085e+08 
       1.014109488202e-02       4.883928713510e+08 
       1.026902831592e-02       5.421231937025e+08 
       1.039700575452e-02       6.005788066948e+08 
       1.052502638718e-02       6.640625681919e+08 
       1.065308945997e-02       7.328884823610e+08 
       1.078119427284e-02       8.073812265997e+08 
       1.090934017706e-02       8.878757781886e+08 
       1.103752657278e-02       9.747180321950e+08 
       1.116575290678e-02       1.068264004063e+09 
       1.129401867042e-02       1.168879872282e+09 
       1.142232339764e-02       1.276941117584e+09 
       1.155066666322e-02       1.392834323800e+09 
       1.167904808103e-02       1.516953569328e+09 
       1.180746730255e-02       1.649703959510e+09 
       1.193592401532e-02       1.791496960605e+09 
       1.206441794168e-02       1.942753762153e+09 
       1.219294883745e-02       2.103903317455e+09 
       1.232151649080e-02       2.275379678709e+09 
       1.245012072115e-02       2.457626669547e+09 
       1.257876137813e-02       2.651091840461e+09 
       1.270743834071e-02       2.856231404332e+09 
       1.283615151628e-02       3.073505253887e+09 
       1.296490083986e-02       3.303379729219e+09 
       1.309368627336e-02       3.546325785674e+09 
       1.322250780490e-02       3.802816411257e+09 
       1.335136544815e-02       4.073328734885e+09 
       1.348025924176e-02       4.358346385957e+09 
       1.360918924881e-02       4.658349438450e+09 
       1.373815555635e-02       4.973826317761e+09 
       1.386715827491e-02       5.305259926080e+09 
       1.399619753809e-02       5.653142870331e+09 
       1.412527350223e-02       6.017958191721e+09 
       1.425438634600e-02       6.400198551394e+09 
       1.438353627017e-02       6.800345340973e+09 
       1.451272349728e-02       7.218885396436e+09 
       1.464194827144e-02       7.656303346905e+09 
       1.477121085811e-02       8.113086812048e+09 
       1.490051154388e-02       8.589686892395e+09 
       1.502985063637e-02       9.086608019329e+09 
       1.515922846409e-02       9.604303404932e+09 
       1.528864537628e-02       1.014324878440e+10 
       1.541810174291e-02       1.070389166003e+10 
       1.554759795457e-02       1.128669383667e+10 
       1.567713442246e-02       1.189229275903e+10 
       1.580671157836e-02       1.252076330944e+10 
       1.593632987466e-02       1.317270776929e+10 
       1.606598978436e-02       1.384835264640e+10 
       1.619569180115e-02       1.454873761976e+10 
       1.632543643946e-02       1.527344680394e+10 
       1.645522423457e-02       1.602350161700e+10 
       1.658505574267e-02       1.679907828053e+10 
       1.671493154104e-02       1.760079053143e+10 
       1.684485222815e-02       1.842834031388e+10 
       1.697481842384e-02       1.928275291636e+10 
       1.710483076949e-02       2.016414181711e+10 
       1.723488992825e-02       2.107287847768e+10 
       1.736499658517e-02       2.200924546362e+10 
       1.749515144752e-02       2.297359882080e+10 
       1.762535524498e-02       2.396642791604e+10 
       1.775560872991e-02       2.498759404642e+10 
       1.788591267765e-02       2.603735064640e+10 
       1.801626788679e-02       2.711667009519e+10 
       1.814667517950e-02       2.822484706709e+10 
       1.827713540186e-02       2.936283081555e+10 
       1.840764942416e-02       3.053062737358e+10 
       1.853821814135e-02       3.172840418454e+10 
       1.866884247332e-02       3.295638788875e+10 
       1.879952336539e-02       3.421473659058e+10 
       1.893026178864e-02       3.550386515302e+10 
       1.906105874039e-02       3.682321244777e+10 
       1.919191524464e-02       3.817357406994e+10 
       1.932283235253e-02       3.955488035393e+10 
       1.945381114281e-02       4.096723596421e+10 
       1.958485272238e-02       4.241066304668e+10 
       1.971595822677e-02       4.388566890589e+10 
       1.984712882069e-02       4.539127893057e+10 
       1.997836569863e-02       4.692849547503e+10 
       2.010967008535e-02       4.849714316056e+10 
       2.024104323658e-02       5.009726278787e+10 
       2.037248643957e-02       5.172823082665e+10 
       2.050400101375e-02       5.339081732436e+10 
       2.063558831138e-02       5.508465356671e+10 
       2.076724971826e-02       5.680989230808e+10 
       2.089898665442e-02       5.856613087981e+10 
       2.103080057482e-02       6.035349522605e+10 
       2.116269297016e-02       6.217200294056e+10 
       2.129466536760e-02       6.402159191221e+10 
       2.142671933159e-02       6.590152799091e+10 
       2.155885646469e-02       6.781226662005e+10 
       2.169107840841e-02       6.975392051083e+10 
       2.182338684410e-02       7.172532598821e+10 
       2.195578349388e-02       7.372733543654e+10 
       2.208827012151e-02       7.575924615740e+10 
       2.222084853341e-02       7.782100165134e+10 
       2.235352057965e-02       7.991248899079e+10 
       2.248628815493e-02       8.203319352669e+10 
       2.261915319970e-02       8.418309146999e+10 
       2.275211770118e-02       8.636194974510e+10 
       2.288518369457e-02       8.856933817896e+10 
       2.301835326413e-02       9.080509087388e+10 
       2.315162854441e-02       9.306916668250e+10 
       2.328501172148e-02       9.536099867218e+10 
       2.341850503422e-02       9.768011965341e+10 
       2.355211077559e-02       1.000269308642e+11 
       2.368583129404e-02       1.024000533016e+11 
       2.381966899484e-02       1.048000024884e+11 
       2.395362634158e-02       1.072259437966e+11 
       2.408770585764e-02       1.096780512459e+11 
       2.422191012770e-02       1.121558721912e+11 
       2.435624179936e-02       1.146583532442e+11 
       2.449070358474e-02       1.171854636967e+11 
       2.462529826223e-02       1.197375520344e+11 
       2.476002867814e-02       1.223132143787e+11 
       2.489489774859e-02       1.249132955944e+11 
       2.502990846132e-02       1.275354213117e+11 
       2.516506387763e-02       1.301813559843e+11 
       2.530036713436e-02       1.328491262578e+11 
       2.543582144594e-02       1.355392965811e+11 
       2.557143010652e-02       1.382507326487e+11 
       2.570719649215e-02       1.409839969169e+11 
       2.584312406306e-02       1.437373634018e+11 
       2.597921636598e-02       1.465108379880e+11 
       2.611547703662e-02       1.493041241548e+11 
       2.625190980209e-02       1.521177019091e+11 
       2.638851848360e-02       1.549497384426e+11 
       2.652530699905e-02       1.577998819649e+11 
       2.666227936588e-02       1.606683906178e+11 
       2.679943970391e-02       1.635543370703e+11 
       2.693679223837e-02       1.664578066281e+11 
       2.707434130291e-02       1.693782250545e+11 
       2.721209134288e-02       1.723146566269e+11 
       2.735004691862e-02       1.752673170875e+11 
       2.748821270887e-02       1.782352254580e+11 
       2.762659351440e-02       1.812169465608e+11 
       2.776519426165e-02       1.842143838392e+11 
       2.790402000658e-02       1.872255832650e+11 
       2.804307593868e-02       1.902502670621e+11 
       2.818236738508e-02       1.932881039657e+11 
       2.832189981486e-02       1.963383750578e+11 
       2.846167884347e-02       1.994008095284e+11 
       2.860171023739e-02       2.024757344386e+11 
       2.874199991896e-02       2.055607801638e+11 
       2.888255397134e-02       2.086574574308e+11 
       2.902337864371e-02       2.117651575017e+11 
       2.916448035673e-02       2.148814232601e+11 
       2.930586570811e-02       2.180086108538e+11 
       2.944754147851e-02       2.211439274377e+11 
       2.958951463758e-02       2.242887405281e+11 
       2.973179235038e-02       2.274412245712e+11 
       2.987438198395e-02       2.306026259657e+11 
       3.001729111419e-02       2.337701354917e+11 
       3.016052753310e-02       2.369459642934e+11 
       3.030409925622e-02       2.401280285790e+11 
       3.044801453044e-02       2.433168475192e+11 
       3.059228184222e-02       2.465107038175e+11 
       3.073690992605e-02       2.497101004215e+11 
       3.088190777333e-02       2.529151033111e+11 
       3.102728464171e-02       2.561255155319e+11 
       3.117305006478e-02       2.593392864244e+11 
       3.131921386218e-02       2.625574814506e+11 
       3.146578615027e-02       2.657807069816e+11 
       3.161277735322e-02       2.690051688772e+11 
       3.176019821463e-02       2.722343419950e+11 
       3.190805980972e-02       2.754642656586e+11 
       3.205637355806e-02       2.786981670010e+11 
       3.220515123700e-02       2.819323763070e+11 
       3.235440499563e-02       2.851699717537e+11 
       3.250414736955e-02       2.884091535040e+11 
       3.265439129625e-02       2.916492148117e+11 
       3.280515013139e-02       2.948902403758e+11 
       3.295643766576e-02       2.981311771082e+11 
       3.310826814327e-02       3.013722953852e+11 
       3.326065627969e-02       3.046152374960e+11 
       3.341361728253e-02       3.078575557235e+11 
       3.356716687185e-02       3.110984744004e+11 
       3.372132130224e-02       3.143395134673e+11 
       3.387609738596e-02       3.175793863481e+11 
       3.403151251736e-02       3.208182475084e+11 
       3.418758469859e-02       3.240559284817e+11 
       3.434433256680e-02       3.272907796614e+11 
       3.450177542285e-02       3.305270051581e+11 
       3.465993326161e-02       3.337591189623e+11 
       3.481882680406e-02       3.369908797910e+11 
       3.497847753122e-02       3.402204382087e+11 
       3.513890772007e-02       3.434480430090e+11 
       3.530014048166e-02       3.466718145090e+11 
       3.546219980140e-02       3.498935531669e+11 
       3.562511058194e-02       3.531131528158e+11 
       3.578889868859e-02       3.563320646323e+11 
       3.595359099759e-02       3.595449363312e+11 
       3.611921544748e-02       3.627572354553e+11 
       3.628580109369e-02       3.659655299179e+11 
       3.645337816667e-02       3.691716545785e+11 
       3.662197813387e-02       3.723749018612e+11 
       3.679163376580e-02       3.755763706650e+11 
       3.696237920652e-02       3.787727978225e+11 
       3.713425004895e-02       3.819682677825e+11 
