# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       6.408519899336e-06       2.847566090233e-09 
       8.067848553263e-06       2.825392594842e-09 
       1.015681956221e-05       2.803391760553e-09 
       1.278667824987e-05       2.781562242883e-09 
       1.609747418120e-05       2.759902707822e-09 
       2.026551931242e-05       2.738411831743e-09 
       2.551277724561e-05       2.717088301330e-09 
       3.211868359994e-05       2.695930813490e-09 
       4.043502697734e-05       2.674938075281e-09 
       5.090468298835e-05       2.654108803825e-09 
       6.408519899336e-05       2.633441726235e-09 
       8.067848553263e-05       2.612935579537e-09 
       1.015681956221e-04       2.592589110590e-09 
       1.278667824987e-04       2.572401076012e-09 
       1.609747418120e-04       2.552370242101e-09 
       2.026551931242e-04       2.532495384765e-09 
       2.551277724561e-04       2.512775289441e-09 
       3.211868359994e-04       2.493208751024e-09 
       4.043502697734e-04       2.473794573795e-09 
       5.090468298835e-04       2.454531571384e-09 
       6.408519899336e-04       2.435418569085e-09 
       8.067848553263e-04       2.416454520080e-09 
       1.015681956221e-03       2.397643070587e-09 
       1.278667824987e-03       2.379136631801e-09 
       1.609747418120e-03       2.364885716359e-09 
       2.026551931242e-03       2.436674880804e-09 
       2.551277724561e-03       3.953756339751e-09 
       3.211868359994e-03       2.501948356377e-08 
       4.043502697734e-03       2.583262771620e-07 
       5.090468298835e-03       2.336900961581e-06 
       6.408519899336e-03       1.722204091412e-05 
       8.067848553263e-03       1.027409145685e-04 
       1.015681956221e-02       4.958367174655e-04 
       1.278667824987e-02       1.935693503086e-03 
       1.609747418120e-02       6.112687689501e-03 
       2.026551931242e-02       1.561437704370e-02 
       2.551277724561e-02       3.226367073256e-02 
       3.211868359994e-02       5.392616141422e-02 
       4.043502697734e-02       7.290911746302e-02 
       5.090468298835e-02       7.973716213421e-02 
       6.408519899336e-02       7.054013840370e-02 
       8.067848553263e-02       5.047873230962e-02 
       1.015681956221e-01       2.921979577044e-02 
       1.278667824987e-01       1.368177771296e-02 
       1.609747418120e-01       5.182085223386e-03 
       2.026551931242e-01       1.587681711781e-03 
       2.551277724561e-01       3.934777658046e-04 
       3.211868359994e-01       7.888248170004e-05 
       4.043502697734e-01       1.279335457566e-05 
       5.090468298835e-01       1.679829179420e-06 
       6.408519899336e-01       1.799608923254e-07 
       8.067848553263e-01       1.719197086881e-08 
       1.015681956221e+00       2.957321275155e-09 
       1.278667824987e+00       1.941228656274e-09 
       1.609747418120e+00       1.869702182427e-09 
       2.026551931242e+00       1.852557003805e-09 
       2.551277724561e+00       1.838035737042e-09 
       3.211868359994e+00       1.823720414211e-09 
       4.043502697734e+00       1.809519355540e-09 
