# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.412338023210e-10       2.169183162515e-15       1.961616654228e-13       4.066461517498e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.082708606364e-10       2.023340522003e-15       3.417339738011e-14       3.821397265524e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.743032522793e-11       1.655100405938e-15      -1.351386113543e-14       3.088542548604e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.298799636422e-11       1.180035665885e-15      -2.630468068849e-14       2.242171925535e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.042626853065e-11       7.768357104867e-16      -2.842214933133e-14       1.514778066824e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.883334519569e-11       5.278960396229e-16      -2.802124751122e-14       1.000181494146e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.776072486222e-11       4.311056666990e-16      -2.812902498162e-14       6.995671376770e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.697544443783e-11       4.435061304429e-16      -2.955264833661e-14       5.700478779679e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.634878850994e-11       5.183253820613e-16      -3.226077682011e-14       5.578675123970e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.580577356735e-11       6.223299225171e-16      -3.599204037250e-14       6.168851328287e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.530168140133e-11       7.387708360265e-16      -4.049581584676e-14       7.144161077804e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.480989053732e-11       8.616404108387e-16      -4.560566319957e-14       8.313980816613e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.431502147584e-11       9.903865373943e-16      -5.122847066943e-14       9.581644097342e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.380858480714e-11       1.125419641788e-15      -5.732010727664e-14       1.091116362676e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.328611497761e-11       1.267171159196e-15      -6.386212820770e-14       1.229041967179e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.274555631121e-11       1.415485547859e-15      -7.084466406496e-14       1.371710379262e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.218030083789e-11       1.569749318271e-15      -7.826029060966e-14       1.519305366347e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.160845467616e-11       1.729663467584e-15      -8.609459051946e-14       1.671719228140e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.101115280257e-11       1.895115691793e-15      -9.432159944891e-14       1.828800876274e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       8.039911445053e-11       2.066009381303e-15      -1.029181637270e-13       1.990355193295e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.976685901277e-11       2.242331187791e-15      -1.118561490177e-13       2.156185298719e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
