# Matter power spectrum P(k) at redshift z=0
# for k=1.0474e-05 to 5.33843 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047399739424e-05       4.745307688920e+01 
       2.336250838532e-05       1.030043443113e+02 
       3.629644536733e-05       1.576615301018e+02 
       4.931064929801e-05       2.119899783915e+02 
       6.244053849969e-05       2.663178251768e+02 
       7.572242484394e-05       3.208949018219e+02 
       8.919384006336e-05       3.759371921086e+02 
       1.028938765351e-04       4.316453214247e+02 
       1.168635469134e-04       4.882139068886e+02 
       1.311461670236e-04       5.458373386444e+02 
       1.457877664325e-04       6.047137637249e+02 
       1.608375310551e-04       6.650482161635e+02 
       1.763482819706e-04       7.270552530454e+02 
       1.923769942517e-04       7.909613818048e+02 
       2.089853589456e-04       8.570072888192e+02 
       2.262403902557e-04       9.254501006357e+02 
       2.442150782954e-04       9.965655415602e+02 
       2.629890852859e-04       1.070650092600e+03 
       2.826494794894e-04       1.148023068937e+03 
       3.032914961614e-04       1.229028623504e+03 
       3.250193079944e-04       1.314037560185e+03 
       3.479467785117e-04       1.403448786683e+03 
       3.721981602586e-04       1.497690475662e+03 
       3.979086851914e-04       1.597220398453e+03 
       4.252249774036e-04       1.702525536480e+03 
       4.543051987955e-04       1.814120387324e+03 
       4.853188178742e-04       1.932543905610e+03 
       5.184458731504e-04       2.058354401123e+03 
       5.538755897429e-04       2.192122233121e+03 
       5.918042067431e-04       2.334420050886e+03 
       6.324318910830e-04       2.485809744897e+03 
       6.759586590804e-04       2.646826994060e+03 
       7.225793059113e-04       2.817962685781e+03 
       7.724774576338e-04       2.999642229948e+03 
       8.258190031275e-04       3.192203796781e+03 
       8.827453158589e-04       3.395876520289e+03 
       9.433668074951e-04       3.610760842343e+03 
       1.007757429963e-03       3.836813160704e+03 
       1.075950726020e-03       4.073836014111e+03 
       1.147937904017e-03       4.321476286730e+03 
       1.223668191101e-03       4.579231375510e+03 
       1.303051440589e-03       4.846464015334e+03 
       1.385962692868e-03       5.122401345325e+03 
       1.472248174103e-03       5.406206363426e+03 
       1.561732103533e-03       5.696999220880e+03 
       1.654223678037e-03       5.993851530624e+03 
       1.749523693369e-03       6.295829598564e+03 
       1.847430408425e-03       6.602016425023e+03 
       1.947744422557e-03       6.911529118122e+03 
       2.050272484472e-03       7.223532254338e+03 
       2.154830266086e-03       7.537246600798e+03 
       2.261244210094e-03       7.851954714629e+03 
       2.369352599205e-03       8.167002626795e+03 
       2.479006006127e-03       8.481799552915e+03 
       2.590067275647e-03       8.795815847414e+03 
       2.702411171774e-03       9.108579573049e+03 
       2.815923800068e-03       9.419673215047e+03 
       2.930501892115e-03       9.728728138216e+03 
       3.046052018033e-03       1.003542182313e+04 
       3.162489774932e-03       1.033947217518e+04 
       3.279738984739e-03       1.064063402187e+04 
       3.397730923534e-03       1.093869516573e+04 
       3.516403596035e-03       1.123347246845e+04 
       3.635701062727e-03       1.152480912915e+04 
       3.755572822714e-03       1.181257184274e+04 
       3.875973252452e-03       1.209664799981e+04 
       3.996861098527e-03       1.237694280542e+04 
       4.118199021492e-03       1.265337882907e+04 
       4.239953187077e-03       1.292589211955e+04 
       4.362092900839e-03       1.319443149829e+04 
       4.484590282218e-03       1.345895853060e+04 
       4.607419974141e-03       1.371944309966e+04 
       4.730558884477e-03       1.397586194663e+04 
       4.853985955941e-03       1.422819751956e+04 
       4.977681961317e-03       1.447644052540e+04 
       5.101629321184e-03       1.472059745269e+04 
       5.225811941579e-03       1.496074743538e+04 
       5.350215069355e-03       1.519677257339e+04 
       5.474825163172e-03       1.542869596548e+04 
       5.599629778365e-03       1.565667275187e+04 
       5.724617464066e-03       1.588057996277e+04 
       5.849777671198e-03       1.610047470069e+04 
       5.975100670098e-03       1.631641988197e+04 
       6.100577476668e-03       1.652843187727e+04 
       6.226199786102e-03       1.673652455394e+04 
       6.351959913336e-03       1.694068230593e+04 
       6.477850739476e-03       1.714092739742e+04 
       6.603865663537e-03       1.733746539977e+04 
       6.729998558926e-03       1.753015971266e+04 
       6.856243734140e-03       1.771909828120e+04 
       6.982595897239e-03       1.790421739482e+04 
       7.109050123683e-03       1.808570400743e+04 
       7.235601827181e-03       1.826362259615e+04 
       7.362246733251e-03       1.843784688850e+04 
       7.488980855185e-03       1.860851521248e+04 
       7.615800472204e-03       1.877564150117e+04 
       7.742702109556e-03       1.893926319971e+04 
       7.869682520378e-03       1.909941274722e+04 
       7.996738669150e-03       1.925613420466e+04 
       8.123867716568e-03       1.940944709458e+04 
       8.251067005717e-03       1.955941171406e+04 
       8.378334049413e-03       1.970604718484e+04 
       8.505666518602e-03       1.984940859834e+04 
       8.633062231717e-03       1.998951246716e+04 
       8.760519144911e-03       2.012640041143e+04 
       8.888035343073e-03       2.026011399493e+04 
       9.015609031573e-03       2.039070495012e+04 
       9.143238528656e-03       2.051816367367e+04 
       9.270922258437e-03       2.064256351343e+04 
       9.398658744438e-03       2.076392840038e+04 
       9.526446603623e-03       2.088229209297e+04 
       9.654284540897e-03       2.099768617785e+04 
       9.782171344008e-03       2.111014173583e+04 
       9.910105878843e-03       2.121970074873e+04 
       1.003808708507e-02       2.132641030165e+04 
       1.016611397209e-02       2.143027077604e+04 
       1.029418561533e-02       2.153133263864e+04 
       1.042230115273e-02       2.162965384894e+04 
       1.055045978156e-02       2.172520273948e+04 
       1.067866075541e-02       2.181806631029e+04 
       1.080690338146e-02       2.190825964488e+04 
       1.093518701784e-02       2.199581159065e+04 
       1.106351107129e-02       2.208076634052e+04 
       1.119187499492e-02       2.216312155572e+04 
       1.132027828612e-02       2.224295213798e+04 
       1.144872048467e-02       2.232025624740e+04 
       1.157720117094e-02       2.239507070016e+04 
       1.170571996421e-02       2.246744602965e+04 
       1.183427652114e-02       2.253736689947e+04 
       1.196287053431e-02       2.260489653785e+04 
       1.209150173092e-02       2.267006645652e+04 
       1.222016987151e-02       2.273287976262e+04 
       1.234887474879e-02       2.279338909295e+04 
       1.247761618661e-02       2.285160818432e+04 
       1.260639403894e-02       2.290755156094e+04 
       1.273520818894e-02       2.296131635625e+04 
       1.286405854808e-02       2.301284470795e+04 
       1.299294505538e-02       2.306219835952e+04 
       1.312186767667e-02       2.310941282333e+04 
       1.325082640387e-02       2.315451011020e+04 
       1.337982125442e-02       2.319749115036e+04 
       1.350885227064e-02       2.323841045020e+04 
       1.363791951924e-02       2.327728842265e+04 
       1.376702309082e-02       2.331413074509e+04 
       1.389616309942e-02       2.334900016272e+04 
       1.402533968211e-02       2.338188358297e+04 
       1.415455299864e-02       2.341280971870e+04 
       1.428380323108e-02       2.344183996948e+04 
       1.441309058354e-02       2.346897730182e+04 
       1.454241528189e-02       2.349421946081e+04 
       1.467177757354e-02       2.351762288988e+04 
       1.480117772723e-02       2.353921737197e+04 
       1.493061603281e-02       2.355898162758e+04 
       1.506009280116e-02       2.357699174418e+04 
       1.518960836402e-02       2.359325610882e+04 
       1.531916307389e-02       2.360777127027e+04 
       1.544875730396e-02       2.362058160522e+04 
       1.557839144806e-02       2.363171617146e+04 
       1.570806592063e-02       2.364117966256e+04 
       1.583778115670e-02       2.364899012404e+04 
       1.596753761190e-02       2.365520844034e+04 
       1.609733576253e-02       2.365982177556e+04 
       1.622717610556e-02       2.366284379822e+04 
       1.635705915872e-02       2.366431522678e+04 
       1.648698546061e-02       2.366427586807e+04 
       1.661695557079e-02       2.366270112738e+04 
       1.674697006989e-02       2.365965848607e+04 
       1.687702955981e-02       2.365512327740e+04 
       1.700713466382e-02       2.364915542599e+04 
       1.713728602678e-02       2.364175485607e+04 
       1.726748431532e-02       2.363295037664e+04 
       1.739773021808e-02       2.362275197605e+04 
       1.752802444590e-02       2.361119539185e+04 
       1.765836773209e-02       2.359828669768e+04 
       1.778876083270e-02       2.358405365598e+04 
       1.791920452680e-02       2.356850628224e+04 
       1.804969961676e-02       2.355167139594e+04 
       1.818024692859e-02       2.353357615238e+04 
       1.831084731225e-02       2.351421426401e+04 
       1.844150164201e-02       2.349363532577e+04 
       1.857221081681e-02       2.347185121857e+04 
       1.870297576063e-02       2.344884045874e+04 
       1.883379742293e-02       2.342469927317e+04 
       1.896467677901e-02       2.339935504595e+04 
       1.909561483047e-02       2.337289522133e+04 
       1.922661260569e-02       2.334533750097e+04 
       1.935767116022e-02       2.331662632951e+04 
       1.948879157736e-02       2.328688901791e+04 
       1.961997496860e-02       2.325606400455e+04 
       1.975122247416e-02       2.322418853618e+04 
       1.988253526353e-02       2.319126615821e+04 
       2.001391453606e-02       2.315734927868e+04 
       2.014536152151e-02       2.312244320513e+04 
       2.027687748063e-02       2.308652095073e+04 
       2.040846370586e-02       2.304967554054e+04 
       2.054012152189e-02       2.301184638870e+04 
       2.067185228636e-02       2.297310664450e+04 
       2.080365739056e-02       2.293347744700e+04 
       2.093553826011e-02       2.289292200941e+04 
       2.106749635572e-02       2.285148076343e+04 
       2.119953317390e-02       2.280920398066e+04 
       2.133165024778e-02       2.276598893955e+04 
       2.146384914793e-02       2.272208055182e+04 
       2.159613148311e-02       2.267722575238e+04 
       2.172849890123e-02       2.263170115673e+04 
       2.186095309013e-02       2.258528958829e+04 
       2.199349577857e-02       2.253814417395e+04 
       2.212612873714e-02       2.249025925872e+04 
       2.225885377921e-02       2.244156194965e+04 
       2.239167276196e-02       2.239221839211e+04 
       2.252458758737e-02       2.234210669455e+04 
