# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)            3:P_tensor(k)        
       7.102417633033e-06       2.837644542226e-09       8.983875730520e-09 
       8.941414043400e-06       2.815548304181e-09       8.553618222145e-09 
       1.125657335661e-05       2.793624125649e-09       8.148882417825e-09 
       1.417118624836e-05       2.771870666831e-09       7.767983654004e-09 
       1.784046648333e-05       2.750286598365e-09       7.409358651737e-09 
       2.245981661413e-05       2.728870601236e-09       7.071556155739e-09 
       2.827523387976e-05       2.707621366703e-09       6.753228338646e-09 
       3.559641045565e-05       2.686537596216e-09       6.453122904759e-09 
       4.481322569128e-05       2.665618001334e-09       6.170075833394e-09 
       5.641650860722e-05       2.644861303651e-09       5.903004707367e-09 
       7.102417633033e-05       2.624266234716e-09       5.650902576957e-09 
       8.941414043400e-05       2.603831535954e-09       5.412832314122e-09 
       1.125657335661e-04       2.583555958590e-09       5.187921415739e-09 
       1.417118624836e-04       2.563438263575e-09       4.975357218251e-09 
       1.784046648333e-04       2.543477221506e-09       4.774382489420e-09 
       2.245981661413e-04       2.523671612554e-09       4.584291365880e-09 
       2.827523387976e-04       2.504020226389e-09       4.404425607896e-09 
       3.559641045565e-04       2.484521862106e-09       4.234171145227e-09 
       4.481322569128e-04       2.465175328149e-09       4.072954890228e-09 
       5.641650860722e-04       2.445979442244e-09       3.920241796389e-09 
       7.102417633033e-04       2.426933031320e-09       3.775532142376e-09 
       8.941414043400e-04       2.408034931441e-09       3.638359023326e-09 
       1.125657335661e-03       2.389283987737e-09       3.508286032708e-09 
       1.417118624836e-03       2.370679054327e-09       3.384905119480e-09 
       1.784046648333e-03       2.352218994255e-09       3.267834606534e-09 
       2.245981661413e-03       2.333902679418e-09       3.156717357626e-09 
       2.827523387976e-03       2.315728990497e-09       3.051219081034e-09 
       3.559641045565e-03       2.297696816890e-09       2.951026759180e-09 
       4.481322569128e-03       2.279805056641e-09       2.855847194340e-09 
       5.641650860722e-03       2.262052616377e-09       2.765405661380e-09 
       7.102417633033e-03       2.244438411237e-09       2.679444659191e-09 
       8.941414043400e-03       2.226961364809e-09       2.597722753220e-09 
       1.125657335661e-02       2.209620409062e-09       2.520013502041e-09 
       1.417118624836e-02       2.192414484281e-09       2.446104461562e-09 
       1.784046648333e-02       2.175342539005e-09       2.375796260929e-09 
       2.245981661413e-02       2.158403529959e-09       2.308901744686e-09 
       2.827523387976e-02       2.141596421992e-09       2.245245176189e-09 
       3.559641045565e-02       2.124920188013e-09       2.184661497663e-09 
       4.481322569128e-02       2.108373808929e-09       2.126995642673e-09 
       5.641650860722e-02       2.091956273584e-09       2.072101897094e-09 
       7.102417633033e-02       2.075666578693e-09       2.019843305003e-09 
       8.941414043400e-02       2.059503728787e-09       1.970091116165e-09 
       1.125657335661e-01       2.043466736144e-09       1.922724272082e-09 
       1.417118624836e-01       2.027554620738e-09       1.877628927782e-09 
       1.784046648333e-01       2.011766410171e-09       1.834698006755e-09 
       2.245981661413e-01       1.996101139617e-09       1.793830786656e-09 
       2.827523387976e-01       1.980557851765e-09       1.754932513558e-09 
       3.559641045565e-01       1.965135596756e-09       1.717914042735e-09 
       4.481322569128e-01       1.949833432130e-09       1.682691504080e-09 
       5.641650860722e-01       1.934650422763e-09       1.649185990437e-09 
       7.102417633033e-01       1.919585640815e-09       1.617323267242e-09 
       8.941414043400e-01       1.904638165670e-09       1.587033501995e-09 
       1.125657335661e+00       1.889807083879e-09       1.558251012200e-09 
       1.417118624836e+00       1.875091489109e-09       1.530914030509e-09 
       1.784046648333e+00       1.860490482083e-09       1.504964485902e-09 
       2.245981661413e+00       1.846003170526e-09       1.480347799833e-09 
       2.827523387976e+00       1.831628669111e-09       1.457012696351e-09 
       3.559641045565e+00       1.817366099406e-09       1.434911025257e-09 
       4.481322569128e+00       1.803214589818e-09       1.413997597472e-09 
