# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.809747062003e-10       6.342045043746e-15       5.437581590886e-13       4.064033479048e-15       8.160574133793e-09       4.631874388136e-10      -1.833351775222e-12 
    3       2.405303015055e-10       7.358813801225e-15       4.251191288494e-13       3.819587579629e-15       5.012603342137e-09       3.293574671315e-10      -1.385320940112e-12 
    4       2.224605064855e-10       6.250157612192e-15       3.526380335011e-13       3.087698248313e-15       3.471370415503e-09       2.497861714049e-10      -9.024346134849e-13 
    5       2.125773456747e-10       4.230644742012e-15       2.861672525585e-13       2.242351232575e-15       2.583027194106e-09       1.975151427230e-10      -4.967067030742e-13 
    6       2.062233400651e-10       2.477579320647e-15       2.238558078757e-13       1.515920563079e-15       2.012569496716e-09       1.607789357739e-10      -1.989522206619e-13 
    7       2.021343139094e-10       1.450610007227e-15       1.706146113158e-13       1.002188173347e-15       1.620123520462e-09       1.337993088494e-10      -1.038000080553e-14 
    8       1.995945118020e-10       1.033109976184e-15       1.291548726078e-13       7.023826771737e-16       1.336574164490e-09       1.133729464341e-10       8.444620775459e-14 
    9       1.980737493856e-10       9.299279305941e-16       9.998706977027e-14       5.736576091218e-16       1.123850077822e-09       9.750803031833e-11       1.093741476207e-13 
   10       1.972484188268e-10       9.328692587403e-16       8.186518111737e-14       5.623088458153e-16       9.594518394600e-10       8.488608578677e-11       9.063439914887e-14 
   11       1.969390427641e-10       9.706701486348e-16       7.243961359211e-14       6.222025889944e-16       8.212199701162e-10       7.545755293576e-11       5.256401679039e-14 
   12       1.970178780299e-10       1.043153478778e-15       6.898881436995e-14       7.207283187500e-16       7.177495717309e-10       6.675870085738e-11       1.251637909290e-14 
   13       1.973187883176e-10       1.154794825217e-15       6.906122125444e-14       8.387512705268e-16       6.327843373328e-10       5.966051294077e-11      -1.757083301989e-14 
   14       1.978563501201e-10       1.296554540586e-15       7.080046737320e-14       9.666561897981e-16       5.620762222849e-10       5.361346640314e-11      -3.341337552471e-14 
   15       1.985417341585e-10       1.457329598832e-15       7.292193510878e-14       1.100844590302e-15       5.025482608250e-10       4.832465108280e-11      -3.597147092107e-14 
   16       1.993349330477e-10       1.635506970749e-15       7.477288005250e-14       1.240052786841e-15       4.519238275725e-10       4.382986128276e-11      -2.915238892890e-14 
   17       2.002361906109e-10       1.836373835007e-15       7.619091254409e-14       1.384114429368e-15       4.084865366929e-10       3.997918601357e-11      -1.823213877250e-14 
   18       2.012128792910e-10       2.064396363070e-15       7.737906332829e-14       1.533188456267e-15       3.707813199326e-10       3.658963284281e-11      -8.057840371598e-15 
   19       2.022863036450e-10       2.319322364274e-15       7.855298994799e-14       1.687150500043e-15       3.382004263746e-10       3.360437612923e-11      -1.133773825517e-15 
   20       2.033974740955e-10       2.598821668978e-15       7.987786432926e-14       1.845848122940e-15       3.095025318574e-10       3.093401279623e-11       9.478710553494e-16 
   21       2.045629833896e-10       2.902334125130e-15       8.130037871760e-14       2.009089944164e-15       2.842367232971e-10       2.857543955711e-11      -1.153858694031e-15 
