# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.000000000000e+14       7.329225121721e-26       4.494722816162e-09       2.225039974021e+22       1.405991022397e+04       1.405991022397e-10       1.405991022397e+18       2.594786052972e-09       2.751560535470e+44       2.490422367464e+33       1.336376166075e+34       2.970481731596e+43       3.333333333220e-01       1.902194177205e+44       4.950802885993e+44       4.950802885993e+44       1.650267628608e+44      -1.468764576593e+53       6.997663707805e-06       2.000000000000e+00 
       9.991943997396e+13       7.341048258809e-26       4.498360794969e-09       2.221456432489e+22       1.405991022397e+04       1.407124602343e-10       1.404858355663e+18       2.596878098688e-09       2.742704612622e+44       2.484408360229e+33       1.333149012305e+34       2.960921208851e+43       3.333333333220e-01       1.896071947780e+44       4.934868681445e+44       4.934868681445e+44       1.644956227092e+44      -1.462857915451e+53       7.008942891083e-06       1.996781488055e+00 
       9.983894484710e+13       7.352890467866e-26       4.501998773776e-09       2.217878662430e+22       1.405991022397e+04       1.408259096238e-10       1.403726601406e+18       2.598971831075e-09       2.733877192643e+44       2.478408875946e+33       1.329929651642e+34       2.951391456526e+43       3.333333333220e-01       1.889969422807e+44       4.918985761261e+44       4.918985761261e+44       1.639661920364e+44      -1.456975008035e+53       7.020222074360e-06       1.993573318269e+00 
       9.975851456713e+13       7.364751780095e-26       4.505636752583e-09       2.214306654560e+22       1.405991022397e+04       1.409394504818e-10       1.402595758891e+18       2.601067251530e-09       2.725078183797e+44       2.472423879544e+33       1.326718065266e+34       2.941892376063e+43       3.333333333220e-01       1.883886538866e+44       4.903153960427e+44       4.903153960427e+44       1.634384653420e+44      -1.451115758841e+53       7.031501257637e-06       1.990375440887e+00 
       9.967814908182e+13       7.376632226432e-26       4.509274731390e-09       2.210740399589e+22       1.405991022397e+04       1.410530828821e-10       1.401465827382e+18       2.603164361418e-09       2.716307494641e+44       2.466453336036e+33       1.323514234403e+34       2.932423868354e+43       3.333333333219e-01       1.877823232743e+44       4.887373114377e+44       4.887373114377e+44       1.629124371403e+44      -1.445280072710e+53       7.042780440914e-06       1.987187806461e+00 
       9.959784833896e+13       7.388531837722e-26       4.512912710197e-09       2.207179888256e+22       1.405991022397e+04       1.411668068985e-10       1.400336806147e+18       2.605263162102e-09       2.707565034029e+44       2.460497210521e+33       1.320318140325e+34       2.922985835072e+43       3.333333333219e-01       1.871779441427e+44       4.871643059120e+44       4.871643059120e+44       1.623881019651e+44      -1.439467854884e+53       7.054059624192e-06       1.984010365858e+00 
       9.951761228640e+13       7.400450644856e-26       4.516550689004e-09       2.203625111309e+22       1.405991022397e+04       1.412806226049e-10       1.399208694451e+18       2.607363654943e-09       2.698850711107e+44       2.454555468182e+33       1.317129764349e+34       2.913578178215e+43       3.333333333219e-01       1.865755102108e+44       4.855963631193e+44       4.855963631193e+44       1.618654543675e+44      -1.433679010991e+53       7.065338807469e-06       1.980843070256e+00 
       9.943744087203e+13       7.412388678786e-26       4.520188667811e-09       2.200076059516e+22       1.405991022397e+04       1.413945300751e-10       1.398081491562e+18       2.609465841305e-09       2.690164435313e+44       2.448628074284e+33       1.313949087836e+34       2.904200800062e+43       3.333333333219e-01       1.859750152181e+44       4.840334667656e+44       4.840334667656e+44       1.613444889163e+44      -1.427913447033e+53       7.076617990746e-06       1.977685871145e+00 
       9.935733404377e+13       7.424345970526e-26       4.523826646619e-09       2.196532723655e+22       1.405991022397e+04       1.415085293832e-10       1.396955196749e+18       2.611569722552e-09       2.681506116377e+44       2.442714994180e+33       1.310776092193e+34       2.894853603163e+43       3.333333333219e-01       1.853764529240e+44       4.824756006089e+44       4.824756006089e+44       1.608252001975e+44      -1.422171069389e+53       7.087897174023e-06       1.974538720324e+00 
       9.927729174959e+13       7.436322551169e-26       4.527464625426e-09       2.192995094520e+22       1.405991022397e+04       1.416226206033e-10       1.395829809278e+18       2.613675300054e-09       2.672875664320e+44       2.436816193302e+33       1.307610758873e+34       2.885536490297e+43       3.333333333219e-01       1.847798171082e+44       4.809227484587e+44       4.809227484587e+44       1.603075828141e+44      -1.416451784813e+53       7.099176357301e-06       1.971401569901e+00 
       9.919731393751e+13       7.448318451835e-26       4.531102604233e-09       2.189463162917e+22       1.405991022397e+04       1.417368038093e-10       1.394705328421e+18       2.615782575178e-09       2.664272989453e+44       2.430931637170e+33       1.304453069372e+34       2.876249364623e+43       3.333333333219e-01       1.841851015702e+44       4.793748941772e+44       4.793748941772e+44       1.597916313869e+44      -1.410755500433e+53       7.110455540578e-06       1.968274372284e+00 
       9.911740055557e+13       7.460333703689e-26       4.534740583040e-09       2.185936919673e+22       1.405991022397e+04       1.418510790756e-10       1.393581753445e+18       2.617891549292e-09       2.655698002373e+44       2.425061291383e+33       1.301303005231e+34       2.866992129629e+43       3.333333333219e-01       1.835923001297e+44       4.778320216788e+44       4.778320216788e+44       1.592773405541e+44      -1.405082123755e+53       7.121734723855e-06       1.965157080185e+00 
       9.903755155187e+13       7.472368337948e-26       4.538378561847e-09       2.182416355624e+22       1.405991022397e+04       1.419654464762e-10       1.392459083621e+18       2.620002223766e-09       2.647150613969e+44       2.419205121626e+33       1.298160548036e+34       2.857764689108e+43       3.333333333219e-01       1.830014066260e+44       4.762941149294e+44       4.762941149294e+44       1.587647049710e+44      -1.399431562654e+53       7.133013907133e-06       1.962049646614e+00 
       9.895776687455e+13       7.484422385871e-26       4.542016540654e-09       2.178901461625e+22       1.405991022397e+04       1.420799060855e-10       1.391337318221e+18       2.622114599970e-09       2.638630735412e+44       2.413363093666e+33       1.295025679417e+34       2.848566947192e+43       3.333333333219e-01       1.824124149185e+44       4.747611579470e+44       4.747611579470e+44       1.582537193102e+44      -1.393803725378e+53       7.144293090410e-06       1.958952024879e+00 
       9.887804647179e+13       7.496495878776e-26       4.545654519461e-09       2.175392228544e+22       1.405991022397e+04       1.421944579779e-10       1.390216456515e+18       2.624228679278e-09       2.630138278163e+44       2.407535173353e+33       1.291898381049e+34       2.839398808295e+43       3.333333333218e-01       1.818253188862e+44       4.732331348008e+44       4.732331348008e+44       1.577443782615e+44      -1.388198520544e+53       7.155572273687e-06       1.955864168580e+00 
       9.879839029180e+13       7.508588848029e-26       4.549292498268e-09       2.171888647263e+22       1.405991022397e+04       1.423091022277e-10       1.389096497776e+18       2.626344463062e-09       2.621673153965e+44       2.401721326618e+33       1.288778634651e+34       2.830260177146e+43       3.333333333218e-01       1.812401124279e+44       4.717100296111e+44       4.717100296111e+44       1.572366765316e+44      -1.382615857135e+53       7.166851456964e-06       1.952786031611e+00 
       9.871879828286e+13       7.520701325046e-26       4.552930477075e-09       2.168390708682e+22       1.405991022397e+04       1.424238389094e-10       1.387977441275e+18       2.628461952695e-09       2.613235274847e+44       2.395921519476e+33       1.285666421987e+34       2.821150958778e+43       3.333333333218e-01       1.806567894619e+44       4.701918265497e+44       4.701918265497e+44       1.567306088445e+44      -1.377055644499e+53       7.178130640242e-06       1.949717568155e+00 
       9.863927039325e+13       7.532833341299e-26       4.556568455882e-09       2.164898403710e+22       1.405991022397e+04       1.425386680976e-10       1.386859286287e+18       2.630581149554e-09       2.604824553121e+44       2.390135718023e+33       1.282561724862e+34       2.812071058516e+43       3.333333333218e-01       1.800753439263e+44       4.686785098387e+44       4.686785098387e+44       1.562261699409e+44      -1.371517792352e+53       7.189409823519e-06       1.946658732683e+00 
