# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.312323592991e-10       3.794483423923e-15       3.505139904859e-13       0.000000000000e+00       7.098839756468e-09       3.457759164165e-10      -1.727870917946e-12 
    3       1.249178052994e-10       4.944664487377e-15       3.751934871684e-13       0.000000000000e+00       4.225551556596e-09       2.443875092622e-10      -1.297240031803e-12 
    4       1.192924127691e-10       4.400304932750e-15       3.412224805072e-13       0.000000000000e+00       2.867598169406e-09       1.872376497509e-10      -8.414363834124e-13 
    5       1.152888919618e-10       3.044378307726e-15       2.916804782212e-13       0.000000000000e+00       2.100096057087e-09       1.501586405607e-10      -4.546642054442e-13 
    6       1.127074859948e-10       1.795844550815e-15       2.451254858914e-13       0.000000000000e+00       1.614597708762e-09       1.240681833231e-10      -1.634925713124e-13 
    7       1.112216871712e-10       1.067984106254e-15       2.084002509582e-13       0.000000000000e+00       1.284856276319e-09       1.047854826488e-10       2.950075830460e-14 
    8       1.106293992172e-10       7.920053468694e-16       1.817076952531e-13       0.000000000000e+00       1.049204853193e-09       9.005919898185e-11       1.355819512001e-13 
    9       1.106686345418e-10       7.148720405913e-16       1.629448228839e-13       0.000000000000e+00       8.741061360864e-10       7.851743484095e-11       1.734700921961e-13 
   10       1.112356039570e-10       6.452785050981e-16       1.497377222116e-13       0.000000000000e+00       7.400064301623e-10       6.925979690026e-11       1.648031390513e-13 
   11       1.121885277560e-10       5.296161344741e-16       1.403278230607e-13       0.000000000000e+00       6.293773161242e-10       6.235348840368e-11       1.302015146838e-13 
