# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
3.15463466e+00 9.74501277e-01 6.65395540e+01 1.72657886e-02 8.29529128e-02 1.26964598e+00 -6.81693403e-01 -1.17721115e+00 2.27454196e-01
3.84798505e+00 8.79401118e-01 7.66907115e+01 2.84341027e-02 1.60822705e-01 4.76415538e-01 -5.44857187e-01 -1.53525933e+00 7.13988952e-01
1.78284332e+00 8.09460730e-01 8.16585941e+01 3.16879898e-02 1.72027200e-01 6.91881210e-01 -7.09514327e-01 -1.11583496e+00 3.41047248e-01
2.51146841e+00 1.04495282e+00 6.58652836e+01 1.96206279e-02 7.93193083e-02 1.37969711e+00 -5.51426496e-01 -1.33927338e+00 4.44404580e-02
2.97287222e+00 1.14386511e+00 7.07626210e+01 2.79415229e-02 1.24011236e-01 8.77203550e-01 -2.90604032e-01 -1.91836781e+00 1.00524388e-02
3.30079142e+00 8.16455895e-01 7.24421423e+01 2.58557228e-02 1.16484624e-01 1.41530036e+00 -5.08477162e-01 -1.76055159e+00 3.60824640e-01
3.22215249e+00 1.06800500e+00 5.77300350e+01 8.88716129e-03 4.27500376e-02 1.78875733e+00 -6.48377235e-01 -1.41263965e+00 2.93578793e-01
2.56619031e+00 8.17435133e-01 7.29056303e+01 2.53624515e-02 8.64684000e-02 1.54670991e+00 -8.84177845e-01 -1.82431091e-01 4.87102871e-01
3.16124607e+00 8.68806655e-01 7.19120760e+01 2.86588315e-02 9.55816489e-02 1.81861285e+00 -3.79673072e-01 -1.79999469e+00 2.40723565e-01
2.11165949e+00 8.78389580e-01 6.71601260e+01 1.93295591e-02 1.38268003e-01 2.47363249e-01 -3.25220934e-01 -1.88862223e+00 2.67563283e-01
3.30983330e+00 1.17763502e+00 6.46453073e+01 2.12142338e-02 6.54177370e-02 1.94741060e+00 -3.90808145e-01 -1.71744767e+00 3.73877442e-01
2.57590263e+00 8.79703658e-01 6.17531229e+01 1.59329930e-02 8.93889958e-02 9.67178814e-01 -4.01298343e-01 -1.53100305e+00 4.74480979e-01
3.49121718e+00 1.12040403e+00 7.28328354e+01 2.72583063e-02 9.91708616e-02 1.52936878e+00 -6.85333921e-01 -8.79358662e-01 4.07541153e-01
2.11041035e+00 8.57722521e-01 5.55059422e+01 7.36397777e-03 5.20736498e-02 1.49314323e+00 -4.70413443e-01 -1.95993614e+00 2.74025584e-02
2.92299003e+00 1.10664305e+00 6.81776843e+01 1.93507894e-02 8.92392972e-02 1.64507140e+00 -6.78709970e-01 -1.14057968e+00 3.26067804e-01
1.92803267e+00 1.08635578e+00 6.67831876e+01 1.73986655e-02 1.19191819e-01 7.47334346e-01 -5.23215920e-01 -1.51183951e+00 4.14250290e-01
1.70571321e+00 1.09216911e+00 7.85075237e+01 2.90023975e-02 1.51746651e-01 6.35866973e-01 -6.63295415e-01 -1.22459454e+00 6.93136207e-01
2.33255231e+00 1.07185572e+00 6.13392603e+01 1.64647989e-02 1.06530275e-01 6.07045815e-01 -2.11789981e-01 -1.99285257e+00 1.09874849e-01
3.75179891e+00 1.06246794e+00 6.71272854e+01 1.74727998e-02 1.13248329e-01 9.00349771e-01 -5.32964860e-01 -1.60879707e+00 1.20226080e-01
3.35882951e+00 1.11234819e+00 7.74773774e+01 3.10779559e-02 1.28218275e-01 1.82604111e+00 -4.47399386e-01 -1.96828363e+00 8.89435488e-02
2.84560592e+00 9.39841438e-01 7.23742401e+01 2.77021947e-02 1.10674837e-01 1.23146817e+00 -5.85421720e-01 -9.80022234e-01 2.67624820e-01
