# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio weight loglikelihood
2.61620032e+00 1.05934698e+00 7.46735560e+01 6.47979133e-02 8.32984868e-01 8.27493503e-01 -3.17582541e-02 -1.46695788e+00 2.09204290e-01 0.00000000e+00 -1.00000000e+300
2.11582074e+00 1.18634023e+00 7.48283711e+01 6.25358902e-02 7.07608648e-02 1.00100440e+00 -1.88745343e+00 1.86844345e+00 5.07843661e-01 0.00000000e+00 -1.00000000e+300
1.93942786e+00 9.85066131e-01 4.08621216e+01 4.04313316e-02 6.70247859e-01 9.36714285e-01 -7.80604652e-01 -1.10051183e+00 7.61845184e-01 0.00000000e+00 -1.00000000e+300
2.27157124e+00 1.09674544e+00 2.69793962e+01 7.07292320e-02 5.18319350e-01 1.10318120e+00 -5.22498718e-01 -1.86879083e+00 7.35507787e-01 0.00000000e+00 -1.00000000e+300
1.66118217e+00 8.79045539e-01 8.42517949e+01 6.02488501e-02 2.21558927e-01 1.24780757e+00 -1.11949446e+00 3.06098071e-01 3.40290826e-02 0.00000000e+00 -1.00000000e+300
2.01881926e+00 9.79712930e-01 9.23537567e+01 2.89059603e-02 7.87691681e-01 1.98012566e+00 -1.55859750e+00 3.46701368e-01 6.99245887e-01 0.00000000e+00 -1.00000000e+300
2.84034898e+00 9.11258745e-01 2.29378608e+01 5.05386616e-03 9.55407956e-01 3.00552278e-02 -1.75779968e+00 1.35127501e+00 3.78370244e-01 0.00000000e+00 -1.00000000e+300
3.20931815e+00 8.89792465e-01 9.89928415e+01 9.96392052e-02 1.29014241e-01 1.60902213e+00 -1.78269870e+00 -5.29574572e-01 7.89805838e-02 0.00000000e+00 -1.00000000e+300
2.02686040e+00 8.05604543e-01 8.07937755e+01 8.13791621e-02 2.69041970e-01 4.40873853e-01 -2.57516589e-01 2.41396568e-01 1.67246023e-01 0.00000000e+00 -1.00000000e+300
2.25795556e+00 1.13357516e+00 7.90343709e+01 3.80741129e-02 1.58127202e-01 1.04999515e-01 -7.21532949e-01 -1.02659413e+00 5.53664182e-01 0.00000000e+00 -1.00000000e+300
2.30460632e+00 8.63104495e-01 4.73339587e+01 8.56431527e-02 1.81799493e-02 1.18625437e+00 -1.49662413e+00 -1.86723322e+00 2.34540240e-01 0.00000000e+00 -1.00000000e+300
3.32415261e+00 1.12719847e+00 7.40168959e+01 3.39086748e-02 1.72455096e-01 2.39462755e-01 -7.76045267e-01 1.85961753e+00 7.02131984e-01 0.00000000e+00 -1.00000000e+300
2.43459899e+00 8.85882779e-01 5.03588588e+01 6.63622468e-02 1.82763083e-01 1.95566872e+00 -1.76939599e+00 6.27423507e-01 1.58504075e-01 0.00000000e+00 -1.00000000e+300
1.84087119e+00 1.03909621e+00 9.81322479e+01 6.18625592e-02 4.22907375e-01 1.86398872e-01 -6.94864982e-01 -9.17427780e-02 4.53892215e-01 0.00000000e+00 -1.00000000e+300
3.57968624e+00 1.06153524e+00 3.32627368e+01 8.46495496e-02 5.14609692e-01 5.64621280e-01 -1.13849522e+00 2.59698756e-01 6.75852963e-01 0.00000000e+00 -1.00000000e+300
2.36432824e+00 9.75418775e-01 4.89295033e+01 3.41540193e-02 4.74728206e-01 1.16839157e+00 -3.16558857e-01 2.62698539e-01 1.86819500e-01 0.00000000e+00 -1.00000000e+300
2.98187654e+00 1.10137736e+00 6.34530125e+01 6.83701416e-02 5.75494911e-01 5.65136437e-02 -4.86142206e-01 1.50527130e+00 6.40249711e-01 0.00000000e+00 -1.00000000e+300
