logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.990544396641887648e+00 9.449607986504583446e-01 7.337062944558716993e+01 2.240542259393134977e-02 1.261649946709751391e-01 9.047040320884486286e-02 -8.998719282869791503e-01 2.507028061371654459e-01 1.783900615746408791e-02
3.035758096684654905e+00 9.485599025003945695e-01 7.034479500872664914e+01 2.228184382944555994e-02 1.136398304036465579e-01 7.833055524736697028e-02 -8.312310471907558007e-01 2.243358894065878850e-01 7.929756960059995696e-02
2.872603470743300136e+00 9.451810496903070291e-01 7.349715848510749083e+01 2.219080913758116752e-02 1.240155707312740468e-01 9.461541058933710391e-02 -9.893364800184356600e-01 3.778883417842813230e-01 4.756873799165453609e-02
2.831711853439759174e+00 9.997298606982498725e-01 7.169517274789333783e+01 2.213144058496377062e-02 1.213375048052507121e-01 3.525770819729613648e-02 -9.283292568338510353e-01 5.362739390022333019e-01 7.527648050180157924e-02
3.077959749908377507e+00 9.799045004849317175e-01 7.179644067352406012e+01 2.237500902285975354e-02 1.225246978318784291e-01 5.539748376732729629e-02 -8.694282303577924864e-01 2.837221957419138185e-01 7.740509444344605139e-02
3.081529639923615171e+00 9.767148558145255510e-01 7.199051464354459995e+01 2.235009493187577884e-02 1.262929033773140808e-01 4.162694474285576901e-02 -8.293184164860862850e-01 1.222031281661672963e-02 2.453976577551330099e-02
3.038014807201641521e+00 9.629619206926942621e-01 7.180658413284577080e+01 2.243240596709620768e-02 1.270216340865647775e-01 9.545049880529370145e-02 -8.820380755419834351e-01 2.441404367546491372e-01 7.563530668106199784e-02
3.082709736480029772e+00 9.392385418824489296e-01 7.557747108195299290e+01 2.255785941779827469e-02 1.159670057505520352e-01 2.473099742912062901e-02 -1.115026047119511032e+00 7.460075264702936693e-01 6.552124170662323999e-02
2.994414572252904083e+00 9.793820545646778619e-01 7.025393021647249725e+01 2.226645850806366692e-02 1.130803715033852214e-01 4.677779454088548845e-03 -8.340513751885039184e-01 2.809500325819942468e-01 7.996291336010293016e-02
2.991190733550424863e+00 9.894672461131500674e-01 7.465068531446250688e+01 2.247161230216468408e-02 1.260230061378526667e-01 4.973475229815368936e-02 -1.098053992612652685e+00 7.598788415464103885e-01 4.115102762942806497e-02
2.911974842590330681e+00 9.460761720785492157e-01 7.012331633515000817e+01 2.213729419508818005e-02 1.185062497386535491e-01 8.509043819704326106e-02 -8.626450726471908137e-01 2.261002571283885487e-01 2.780369355163539447e-02
3.154899561333752267e+00 9.687944530839098789e-01 7.150105251764269099e+01 2.216252878204361121e-02 1.244800373694293916e-01 6.839326710693176270e-02 -8.872197946208730812e-01 3.075810884450431715e-01 7.892156565176168537e-02
3.139840772354390630e+00 9.237302862983344243e-01 7.304203795296474766e+01 2.229854813042154993e-02 1.244822059688831112e-01 9.127771618956352639e-02 -9.365404450980678863e-01 2.902961636700851500e-01 4.918715325825388091e-02
3.049763905530817887e+00 9.856556602598285366e-01 7.157826579423183944e+01 2.215965352224693458e-02 1.135954066488038122e-01 7.514685087249373119e-02 -8.985321318047596595e-01 3.059277590905500332e-01 2.437890859127985616e-02
3.197713803289964130e+00 9.776180238846635673e-01 7.354078479041689320e+01 2.221065612899745731e-02 1.293000718283371930e-01 7.607977644659591476e-03 -9.473318965863894991e-01 3.676773717813075493e-01 1.564551632116554028e-02
3.034486609207726726e+00 9.517921519894761984e-01 7.399470426226436359e+01 2.245883632518322001e-02 1.160627726873335597e-01 8.808980912414167419e-02 -1.082691398942432492e+00 7.939343045803979315e-01 2.789696848249925004e-02
3.167616551900681365e+00 9.761807766176897605e-01 7.523141640991971713e+01 2.251030665613186835e-02 1.227606253365644828e-01 5.611659588426318873e-02 -1.091769094967088627e+00 6.701763928238126944e-01 1.723019155564841157e-02
3.037429865725678191e+00 9.904201003730992436e-01 7.069527621176916909e+01 2.249013889556749843e-02 1.228417308180346224e-01 7.820246851773936247e-02 -7.582587637025559602e-01 -1.944841467327895757e-02 7.955529231269264923e-02
