logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 5.040000000000000000e+02 -inf -inf nan
-inf nan -1.986097971629409778e-03 5.030000000000000000e+02 -inf -inf nan
-inf nan -3.976148379639420256e-03 5.020000000000000000e+02 -inf -inf nan
-inf nan -5.970166986503816844e-03 5.010000000000000000e+02 -inf -inf nan
-inf nan -7.968169649176872621e-03 5.000000000000000000e+02 -inf -inf nan
-inf nan -9.970172319849949713e-03 4.990000000000000000e+02 -inf -inf nan
-inf nan -1.197619104671569096e-02 4.980000000000000000e+02 -inf -inf nan
-inf nan -1.398624197473988945e-02 4.970000000000000000e+02 -inf -inf nan
-inf nan -1.600034134644113398e-02 4.960000000000000000e+02 -inf -inf nan
-inf nan -1.801850550267831627e-02 4.950000000000000000e+02 -inf -inf nan
-inf nan -2.004075088344611094e-02 4.940000000000000000e+02 -inf -inf nan
-inf nan -2.206709402867850986e-02 4.930000000000000000e+02 -inf -inf nan
-inf nan -2.409755157906050271e-02 4.920000000000000000e+02 -inf -inf nan
-inf nan -2.613214027684803917e-02 4.910000000000000000e+02 -inf -inf nan
-inf nan -2.817087696669632463e-02 4.900000000000000000e+02 -inf -inf nan
-inf nan -3.021377859649659187e-02 4.890000000000000000e+02 -inf -inf nan
-inf nan -3.226086221822144218e-02 4.880000000000000000e+02 -inf -inf nan
-inf nan -3.431214498877882546e-02 4.870000000000000000e+02 -inf -inf nan
-inf nan -3.636764417087484658e-02 4.860000000000000000e+02 -inf -inf nan
-inf nan -3.842737713388541532e-02 4.850000000000000000e+02 -inf -inf nan
-inf nan -4.049136135473690307e-02 4.840000000000000000e+02 -inf -inf nan
-inf nan -4.255961441879592411e-02 4.830000000000000000e+02 -inf -inf nan
-inf nan -4.463215402076830401e-02 4.820000000000000000e+02 -inf -inf nan
-inf nan -4.670899796560742945e-02 4.810000000000000000e+02 -inf -inf nan
-inf nan -4.879016416943200013e-02 4.800000000000000000e+02 -inf -inf nan
-inf nan -5.087567066045337733e-02 4.790000000000000000e+02 -inf -inf nan
-inf nan -5.296553557991263289e-02 4.780000000000000000e+02 -inf -inf nan
-inf nan -5.505977718302738910e-02 4.770000000000000000e+02 -inf -inf nan
-inf nan -5.715841383994860192e-02 4.760000000000000000e+02 -inf -inf nan
-inf nan -5.926146403672739871e-02 4.750000000000000000e+02 -inf -inf nan
-inf nan -6.136894637629211613e-02 4.740000000000000000e+02 -inf -inf nan
-inf nan -6.348087957943564230e-02 4.730000000000000000e+02 -inf -inf nan
-inf nan -6.559728248581322974e-02 4.720000000000000000e+02 -inf -inf nan
-inf nan -6.771817405495085540e-02 4.710000000000000000e+02 -inf -inf nan
-inf nan -6.984357336726433607e-02 4.700000000000000000e+02 -inf -inf nan
-inf nan -7.197349962508924059e-02 4.690000000000000000e+02 -inf -inf nan
-inf nan -7.410797215372186275e-02 4.680000000000000000e+02 -inf -inf nan
-inf nan -7.624701040247128248e-02 4.670000000000000000e+02 -inf -inf nan
-inf nan -7.839063394572272359e-02 4.660000000000000000e+02 -inf -inf nan
-inf nan -8.053886248401229131e-02 4.650000000000000000e+02 -inf -inf nan
-inf nan -8.269171584511333939e-02 4.640000000000000000e+02 -inf -inf nan
-inf nan -8.484921398513453616e-02 4.630000000000000000e+02 -inf -inf nan
-inf nan -8.701137698962975453e-02 4.620000000000000000e+02 -inf -inf nan
-inf nan -8.917822507472009108e-02 4.610000000000000000e+02 -inf -inf nan
-inf nan -9.134977858822793118e-02 4.600000000000000000e+02 -inf -inf nan
-inf nan -9.352605801082346237e-02 4.590000000000000000e+02 -inf -inf nan
-inf nan -9.570708395718366401e-02 4.580000000000000000e+02 -inf -inf nan
-inf nan -9.789287717716392556e-02 4.570000000000000000e+02 -inf -inf nan
-inf nan -1.000834585569825436e-01 4.560000000000000000e+02 -inf -inf nan
-inf nan -1.022788491204182082e-01 4.550000000000000000e+02 -inf -inf nan
-inf nan -1.044790700300206460e-01 4.540000000000000000e+02 -inf -inf nan
-inf nan -1.066841425883346128e-01 4.530000000000000000e+02 -inf -inf nan
-inf nan -1.088940882391374460e-01 4.520000000000000000e+02 -inf -inf nan
-inf nan -1.111089285686902850e-01 4.510000000000000000e+02 -inf -inf nan
-inf nan -1.133286853070031852e-01 4.500000000000000000e+02 -inf -inf nan
-inf nan -1.155533803291143302e-01 4.490000000000000000e+02 -inf -inf nan
-inf nan -1.177830356563834557e-01 4.480000000000000000e+02 -inf -inf nan
-inf nan -1.200176734577997895e-01 4.470000000000000000e+02 -inf -inf nan
-inf nan -1.222573160513045487e-01 4.460000000000000000e+02 -inf -inf nan
-inf nan -1.245019859051283984e-01 4.450000000000000000e+02 -inf -inf nan
-inf nan -1.267517056391438690e-01 4.440000000000000000e+02 -inf -inf nan
-inf nan -1.290064980262329852e-01 4.430000000000000000e+02 -inf -inf nan
-inf nan -1.312663859936704924e-01 4.420000000000000000e+02 -inf -inf nan
-inf nan -1.335313926245226268e-01 4.410000000000000000e+02 -inf -inf nan
-inf nan -1.358015411590617616e-01 4.400000000000000000e+02 -inf -inf nan
-inf nan -1.380768549961972624e-01 4.390000000000000000e+02 -inf -inf nan
-inf nan -1.403573576949224688e-01 4.380000000000000000e+02 -4.401907700584072736e+05 -4.401969926346753491e+05 nan
-4.401969926346753491e+05 nan -1.426430729757784399e-01 4.370000000000000000e+02 -2.565497637054872757e+05 -2.565559862817553512e+05 nan
-2.565559862817553512e+05 nan -1.449340247223342704e-01 4.360000000000000000e+02 -2.398310788327193004e+05 -2.398373014089873759e+05 nan
-2.398373014089873759e+05 5.424548700743468362e+04 -1.472302369826845037e-01 4.350000000000000000e+02 -1.752916475018996571e+05 -1.752978700781677326e+05 nan
-1.752978700781677326e+05 7.359270492207637290e+04 -1.495317339709637261e-01 4.340000000000000000e+02 -1.204580697836783656e+05 -1.204642923599464411e+05 nan
-1.204642923599464411e+05 8.562875151666114107e+04 -1.518385400688787301e-01 4.330000000000000000e+02 -6.354170094501294807e+04 -6.354792352128101629e+04 nan
