weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -inf 2.861467812914718412e+00 9.721080374830471937e-01 6.917262364003146047e+01 2.211473452074364660e-02 1.129015228319075886e-01 3.624680115668423019e-02 -6.244662873848139117e-01 1.725386313366367386e+00 5.520220737418846807e-02
0.000000000000000000e+00 -inf 2.918327930823732430e+00 9.902043802850162280e-01 6.536758928036512373e+01 2.203850933493048739e-02 1.120510090730147401e-01 4.004213492235241673e-02 -5.159114677592855358e-01 1.027089425846215764e+00 2.084972495880970875e-02
0.000000000000000000e+00 -inf 3.078611808733222155e+00 9.745626664883046963e-01 7.829145485092143986e+01 2.236653244272024735e-02 1.275702955092257174e-01 8.450051376903844336e-02 -9.020517944638248853e-01 1.284881121780695690e+00 2.453552384076604018e-02
0.000000000000000000e+00 -inf 2.884657968758101987e+00 9.555587141793553396e-01 6.231349147758363216e+01 2.213344808577108469e-02 1.259803617450112878e-01 2.488598054675197555e-02 -8.440997420091052028e-01 1.505886976898171081e+00 4.386125388010308351e-02
0.000000000000000000e+00 -inf 2.907189329410577727e+00 9.507920735052600714e-01 6.460245177010254736e+01 2.237077918894839895e-02 1.163413669459855138e-01 8.492186899219879292e-02 -1.051100057123279807e+00 1.937307763798697735e+00 3.909617820007006694e-02
0.000000000000000000e+00 -inf 3.017411372495412358e+00 9.543001552569717605e-01 7.010347238551818805e+01 2.245775219132432540e-02 1.280458217234511642e-01 9.237520572121105111e-02 -8.582686922530351481e-01 1.318209637034614801e+00 1.917499839460776179e-02
0.000000000000000000e+00 -inf 3.155822833312482256e+00 9.830989834646598480e-01 7.855747361459495437e+01 2.231260830106267246e-02 1.283690727484326222e-01 1.556397629602236481e-02 -1.175806674659994222e+00 1.970299694358850218e+00 6.277555789820049581e-02
0.000000000000000000e+00 -inf 2.804463116021721714e+00 9.157528090046952451e-01 6.016201832335133304e+01 2.232756406709194424e-02 1.241132535997482855e-01 1.338097631732944152e-02 -6.477849830572961487e-01 1.585259676683982821e+00 7.462836545535306287e-02
0.000000000000000000e+00 -inf 3.181194298189992775e+00 9.789590117040536388e-01 7.022610824222765302e+01 2.210102371271468330e-02 1.277560143550335314e-01 8.249425596879784994e-02 -8.985423184950747100e-01 1.171740009214566225e+00 6.991951267570592488e-02
0.000000000000000000e+00 -inf 2.936551668867833698e+00 9.816406594206574798e-01 7.482094435425494794e+01 2.213716805066117538e-02 1.280319089720739489e-01 5.086035548998632527e-02 -8.341551739086603412e-01 1.810477943230803799e+00 7.994903582764291416e-02
0.000000000000000000e+00 -inf 3.168074179632100140e+00 9.595788206189648228e-01 7.065192046637102408e+01 2.242921168514975389e-02 1.217359471745937671e-01 5.782751787929963500e-03 -7.559773973343264508e-01 1.259126550630338404e+00 2.755300447728289970e-02
0.000000000000000000e+00 -inf 3.065244859929153964e+00 9.681506181508338083e-01 6.516701517427934220e+01 2.203353397313718293e-02 1.154655670489006108e-01 5.567727858664765078e-02 -7.723183034788776435e-01 1.965151711911214072e+00 2.574995988527011698e-02
0.000000000000000000e+00 -inf 2.863505388045464617e+00 9.549490192641317821e-01 6.767544673824090751e+01 2.207721705634023424e-02 1.145135243412498532e-01 3.697862155713987908e-02 -1.047523820378713166e+00 1.971680177011589485e+00 3.466377878902315857e-02
0.000000000000000000e+00 -inf 3.007836842340047667e+00 9.848064740837275677e-01 7.924727849864225959e+01 2.230266551418298021e-02 1.252177274924481110e-01 3.555583337443146696e-02 -8.238587848074236941e-01 1.151202848957975977e+00 2.620775056150719678e-02
0.000000000000000000e+00 -inf 2.806902217366780583e+00 9.995954755680386272e-01 6.258894450905333429e+01 2.217798081622606582e-02 1.187043878437627764e-01 4.258920344277507264e-02 -7.338632155416080494e-01 1.679036915416562525e+00 5.390998689669332378e-02
0.000000000000000000e+00 -inf 2.982321338645372855e+00 9.643650610527850775e-01 6.319815562322526148e+01 2.217198527314477585e-02 1.123602749639850962e-01 8.551647900309948536e-02 -1.577174975030763093e+00 1.909600282104825908e+00 2.665259263947569041e-02
0.000000000000000000e+00 -inf 2.821949328297557180e+00 9.349552264674119151e-01 7.882445021491599846e+01 2.220001858923963123e-02 1.161269270014441135e-01 9.977534540105315042e-02 -6.515801003354801946e-01 1.419919251879703914e+00 6.411785908555749092e-02
0.000000000000000000e+00 -inf 3.082380146137978727e+00 9.917809389222487226e-01 7.312994263060886624e+01 2.232990643807991615e-02 1.226448771133993310e-01 9.070917829755845152e-02 -1.234467430099439822e+00 1.670807530493669368e+00 1.467040878662231873e-02
0.000000000000000000e+00 -inf 2.892103703597181052e+00 9.698326409578348350e-01 6.375627256169113366e+01 2.233405403452845550e-02 1.148414804633966363e-01 8.888486755753201296e-02 -6.977493463520845207e-01 1.306313017324339132e+00 3.854683572438637879e-02
0.000000000000000000e+00 -inf 2.939549350085739921e+00 9.268291541187938520e-01 7.977276111603073616e+01 2.208017255858445854e-02 1.117522409239255915e-01 1.961185544020047772e-02 -8.149065734392679783e-01 1.350492164191079425e+00 1.051665399564236797e-02
0.000000000000000000e+00 -inf 3.194001347819056313e+00 9.098230089483210214e-01 6.045563476193784425e+01 2.220884125518993515e-02 1.294619994676325381e-01 8.458369063350382189e-02 -5.904644603841602279e-01 1.669481420355653167e+00 1.172231117626326355e-02
0.000000000000000000e+00 -inf 3.180186773332579708e+00 9.415869764836051203e-01 7.428247301777302880e+01 2.215522953492467598e-02 1.297056383482768638e-01 7.343493564546869912e-02 -5.191755854754500632e-01 1.072385741970991457e+00 2.734439766762748747e-02
0.000000000000000000e+00 -inf 2.820528521227919860e+00 9.027054417233278949e-01 7.055649078334872115e+01 2.204671639972900429e-02 1.163766395367468731e-01 1.013975776756435160e-02 -6.678105385657260307e-01 1.817864740625189324e+00 4.985151175918649952e-02
0.000000000000000000e+00 -inf 2.848616908279966164e+00 9.698122425252188039e-01 6.453338849358981122e+01 2.230040544679535650e-02 1.257843812984544285e-01 3.576585347554157857e-02 -1.023500677847213769e+00 1.446933533077658041e+00 3.592004384090392854e-02
0.000000000000000000e+00 -inf 3.113186145862140819e+00 9.172664901607306964e-01 7.605946859108223634e+01 2.221365455668435768e-02 1.157348594711875844e-01 6.701351118228987547e-02 -9.152436989012016078e-01 1.270304525471464885e+00 7.737774531475091755e-02
0.000000000000000000e+00 -inf 2.825654419924719551e+00 9.518261780424807084e-01 6.977739805707605569e+01 2.235587967423838598e-02 1.121220128976328501e-01 1.655713083536958230e-02 -5.145711784660389476e-01 1.971122605620974966e+00 4.505380056055623833e-02
0.000000000000000000e+00 -inf 3.109483437641777037e+00 9.825760870915850598e-01 7.467561113493022162e+01 2.201942783529820674e-02 1.219980119843984828e-01 7.251990829101029323e-02 -1.135796455957999829e+00 1.941939375473061169e+00 2.042663948415436581e-02
0.000000000000000000e+00 -inf 3.194293309830053218e+00 9.145910358781794702e-01 6.595336771581116864e+01 2.243862104882715300e-02 1.218022512473823787e-01 9.845357789540364057e-02 -1.263881957997930350e+00 1.775597392014213849e+00 2.165310794555712348e-02
0.000000000000000000e+00 -inf 2.862933205239770906e+00 9.238086217781508180e-01 6.345660483166555110e+01 2.253831335610242612e-02 1.257481512326578676e-01 2.646999495385142856e-02 -5.395861814183724459e-01 9.375130240605735743e-01 4.363877398035802962e-02
0.000000000000000000e+00 -inf 2.957894912773569196e+00 9.362875677089668169e-01 7.277108886653108755e+01 2.220640499720077585e-02 1.221044391095843229e-01 1.388341337982717041e-02 -9.539064198508164782e-01 1.649952558187550711e+00 3.280480243477564700e-02
0.000000000000000000e+00 -inf 2.931031385455207250e+00 9.045530406849534577e-01 6.195596523875048689e+01 2.250726652281974383e-02 1.227182804682727113e-01 6.212138520686465853e-02 -6.659414779430710141e-01 1.687375292311604102e+00 7.541968065852455716e-02
0.000000000000000000e+00 -inf 2.939297108787224833e+00 9.455533433809549804e-01 7.878280243966545981e+01 2.224219132464920132e-02 1.150440164611618438e-01 2.107785559044982396e-02 -1.427714495290243413e+00 1.983921165482184001e+00 6.906008199709451345e-02
0.000000000000000000e+00 -inf 2.805133019556347307e+00 9.210100437769338511e-01 7.875094827148379295e+01 2.252150017740258900e-02 1.257312082044946822e-01 7.526670563339099562e-02 -6.405317073677996298e-01 1.048595057982927514e+00 1.400222624327594236e-02
0.000000000000000000e+00 -inf 2.909076041685585423e+00 9.414151200405599385e-01 6.050200571254670479e+01 2.223223504937376499e-02 1.111117472589711053e-01 6.614989700844366161e-02 -1.268220883300386959e+00 1.834610064420173714e+00 7.944658141230397097e-02
0.000000000000000000e+00 -inf 3.090470205107418877e+00 9.591552710048437680e-01 7.636385554614543025e+01 2.201779883367223356e-02 1.289945807520692656e-01 8.890828364416800134e-02 -8.473095715632372738e-01 1.297509487835857733e+00 7.476894351897370172e-02
0.000000000000000000e+00 -inf 2.874102496641190552e+00 9.019760545282790032e-01 7.093787475746269422e+01 2.207437008241329088e-02 1.209148538611118234e-01 9.486425174047330433e-02 -7.856773575969071555e-01 1.218409727066640968e+00 5.380608843617584042e-02
0.000000000000000000e+00 -inf 2.834760373838324909e+00 9.910501479540700931e-01 6.011336801398039142e+01 2.206396999739120013e-02 1.113430109625860309e-01 8.525579309018314900e-02 -1.242098199903171274e+00 1.622931204357519253e+00 4.946305166444522894e-02
0.000000000000000000e+00 -inf 3.101598331935667474e+00 9.257167686847928012e-01 6.797797641185427153e+01 2.241687052378655773e-02 1.112179218602948605e-01 8.112483772455741926e-02 -1.675981197978281489e+00 1.958522377252148949e+00 4.702947313745272501e-02
0.000000000000000000e+00 -inf 3.073980479664668142e+00 9.635030255419935186e-01 7.193603318868167662e+01 2.236707845431084793e-02 1.130989688875293636e-01 7.397958508615495865e-02 -6.601891292738715222e-01 1.520160618452644830e+00 1.637788192434529860e-02
0.000000000000000000e+00 -inf 3.057756723765014950e+00 9.736892890464270423e-01 6.864360029506477190e+01 2.206349005792002452e-02 1.115440282252433413e-01 4.312115260081761381e-02 -6.179038118785973310e-01 9.983845048434076830e-01 4.720127480308879825e-02
0.000000000000000000e+00 -inf 2.999236841134259368e+00 9.444986457616941777e-01 7.354110220117435404e+01 2.213090445628881908e-02 1.222749825877281898e-01 1.789391230600993060e-02 -6.135626293865359404e-01 9.058668385179906579e-01 2.340694405226089250e-02
0.000000000000000000e+00 -inf 3.111821642024162671e+00 9.245171973422950940e-01 7.406767177763825316e+01 2.205906864943415341e-02 1.234637545773000361e-01 3.058398697794677615e-02 -6.787060322398055234e-01 1.238807996079136942e+00 3.030928258952059196e-02
