weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -inf 1.536695322867962510e-01 7.210803748304721594e-01 4.586311820015732676e-01 1.912242012394141932e-01 1.450761415953794042e-01 3.624680115668422742e-01 9.170224750767906885e-01 9.313465783415918464e-01 6.457458196312637622e-01
0.000000000000000000e+00 -inf 2.958198270593309642e-01 9.020438028501626126e-01 2.683794640182562974e-01 6.418222488414926374e-02 1.025504536507370057e-01 4.004213492235241256e-01 9.893923548271429391e-01 7.567723564615539411e-01 1.549960708401386666e-01
0.000000000000000000e+00 -inf 6.965295218330550542e-01 7.456266648830470745e-01 9.145727425460721260e-01 6.108874045337500114e-01 8.785147754612862014e-01 8.450051376903843225e-01 7.319654703574500765e-01 8.212202804451739224e-01 2.076503405823719728e-01
0.000000000000000000e+00 -inf 2.116449218952557443e-01 5.555871417935537293e-01 1.156745738791815636e-01 2.224134762851448510e-01 7.990180872505645571e-01 2.488598054675197346e-01 7.706001719939298278e-01 8.764717442245427703e-01 4.837321982871868320e-01
0.000000000000000000e+00 -inf 2.679733235264446511e-01 5.079207350526007136e-01 2.301225885051272346e-01 6.179653149140000856e-01 3.170683472992752439e-01 8.492186899219879015e-01 6.325999619178134248e-01 9.843269409496744338e-01 4.156596885724295198e-01
0.000000000000000000e+00 -inf 5.435284312385307848e-01 5.430015525697179379e-01 5.051736192759095356e-01 7.629203188738794550e-01 9.022910861725577103e-01 9.237520572121105111e-01 7.611542051646431606e-01 8.295524092586537002e-01 1.310714056372537240e-01
0.000000000000000000e+00 -inf 8.895570832812051965e-01 8.309898346465984798e-01 9.278736807297477407e-01 5.210138351044537597e-01 9.184536374216313304e-01 1.556397629602236377e-01 5.494622168933371853e-01 9.925749235897125544e-01 7.539365414028641466e-01
0.000000000000000000e+00 -inf 1.115779005430495019e-02 1.575280900469521184e-01 8.100916167566474257e-03 5.459401118199070924e-01 7.056626799874144984e-01 1.338097631732944048e-01 9.014766779618026415e-01 8.963149191709957053e-01 9.232623636479009299e-01
0.000000000000000000e+00 -inf 9.529857454749811607e-01 7.895901170405360547e-01 5.113054121113829176e-01 1.683728545244751462e-01 8.878007177516765713e-01 8.249425596879784717e-01 7.343051210032836007e-01 7.929350023036415562e-01 8.559930382243703395e-01
0.000000000000000000e+00 -inf 3.413791721695847992e-01 8.164065942065746873e-01 7.410472177127477300e-01 2.286134177686257596e-01 9.015954486036965587e-01 5.086035548998631972e-01 7.772298840608931059e-01 9.526194858077009497e-01 9.992719403948987500e-01
