logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
3.175039302590376700e+00 9.711621359257391894e-01 7.459821030801478514e+01 2.233537187381168590e-02 1.239855240025638100e-01 6.460424238570232347e-02 -8.595396099336114482e-01 7.569955198461938983e-02 7.340775661935350360e-02
3.017234802095344115e+00 9.648979548266432005e-01 7.187377078930579444e+01 2.210181244319881291e-02 1.208425437153939352e-01 9.983531298222057815e-02 -8.177511912557342555e-01 3.982338732789887648e-02 7.384391254627870049e-02
3.150938534090846677e+00 9.902234849038278330e-01 7.294079928557505355e+01 2.200630508341116370e-02 1.253159272355003628e-01 3.098385980253496458e-02 -8.286516827322700784e-01 2.861248009655133553e-02 6.182297151549218800e-02
2.884119043617988876e+00 9.271215118853325388e-01 7.141703940914123905e+01 2.204398171739015144e-02 1.213176969005311384e-01 1.764823171838418234e-02 -7.964397397011566682e-01 1.356632123566860540e-02 3.747894067241318988e-02
3.017234802095344115e+00 9.648979548266432005e-01 7.187377078930579444e+01 2.210181244319881291e-02 1.208425437153939352e-01 9.983531298222057815e-02 -8.177511912557342555e-01 3.982338732789887648e-02 7.384391254627870049e-02
2.878575480033736866e+00 9.330250015665360053e-01 7.372571483543342197e+01 2.253777215967093725e-02 1.291798545250180119e-01 6.176129401455599487e-03 -8.032873144049934577e-01 6.918648153365621056e-02 6.982895088426897823e-02
2.815272451273396648e+00 9.781537308155910937e-01 7.442862313445051825e+01 2.221711406390384710e-02 1.197123224387565271e-01 8.787872049627785953e-02 -8.385396333576520256e-01 8.372963258096750849e-02 3.204421148462574531e-02
2.991139268577517552e+00 9.701930842855368553e-01 7.272758553211188826e+01 2.233531158331522257e-02 1.248091257192956022e-01 6.258449037740144993e-02 -7.893615183731439444e-01 5.821360765819271615e-02 5.301286829882043833e-02
3.179401725341483242e+00 9.906745837725090542e-01 7.474729790290892595e+01 2.241003061797005105e-02 1.234858705130971873e-01 5.754654440424411543e-02 -8.201881468127856234e-01 9.161900314099136189e-02 3.083388580236623433e-02
3.157514660478413226e+00 9.672003495981725818e-01 7.437735354837457180e+01 2.216609867631771924e-02 1.274842765645925191e-01 4.315027897264350765e-02 -8.210359448402608784e-01 8.441721085459208407e-02 3.556487335115749576e-02
2.968294778875457229e+00 9.044473963524171101e-01 7.120918905536694865e+01 2.201483766998815414e-02 1.174848904164506602e-01 2.927165985881957644e-02 -7.721811213744063096e-01 4.133413405604257490e-02 7.286562660509041112e-02
2.990033202914584187e+00 9.755469066920923193e-01 7.655881563329423045e+01 2.237114674805527198e-02 1.224321654650336599e-01 8.879516731087169767e-02 -8.735779676257449111e-01 9.352144437323187121e-02 7.998628069172809829e-02
3.150938534090846677e+00 9.902234849038278330e-01 7.294079928557505355e+01 2.200630508341116370e-02 1.253159272355003628e-01 3.098385980253496458e-02 -8.286516827322700784e-01 2.861248009655133553e-02 6.182297151549218800e-02
3.016603958235151595e+00 9.456383695565900860e-01 7.182064398933840721e+01 2.244021051472844253e-02 1.226459499790648749e-01 8.603760622239074729e-02 -7.655495935888718684e-01 3.249955789181747934e-02 4.190941548565243341e-02
3.014711131511207842e+00 9.392671528835442318e-01 7.395588052611816465e+01 2.212483600675618084e-02 1.163201253245009642e-01 8.115868888720373375e-02 -8.149878268788779412e-01 9.247344236190918609e-02 3.728971251535303372e-02
3.150171616499836347e+00 9.809263448014557962e-01 7.518648504936201959e+01 2.209836708934044894e-02 1.238949708664781185e-01 3.793533016934590857e-02 -8.635229433853990333e-01 8.217446884459089773e-02 6.355323475430178781e-02
2.860328015613589514e+00 9.739029978408755284e-01 7.081826491351112907e+01 2.229212308252785310e-02 1.145173259672581378e-01 3.024710065840029508e-02 -7.803999890125175032e-01 2.323046529235454211e-02 5.967705684762782820e-02
3.058949809940221698e+00 9.349258257156017882e-01 7.254772195261952561e+01 2.236567628193947624e-02 1.118898153281244201e-01 5.878517727089253159e-02 -8.048532498582283701e-01 6.419162588948033876e-02 5.823103327293512044e-02
3.095953749469091409e+00 9.054208407835228067e-01 7.237328871683388343e+01 2.233647978807543066e-02 1.293010909396832830e-01 4.605439816587797615e-03 -8.082150185662317909e-01 1.528868839721793209e-02 7.364873155220641454e-02
2.925177183827465388e+00 9.756799236682346388e-01 7.178165427900960083e+01 2.215885768047873294e-02 1.226197713594185945e-01 2.933001532402159175e-02 -7.995565695879129908e-01 2.901405932754582903e-02 7.239711465623573095e-02
3.056126061885063194e+00 9.845323699529638928e-01 7.042594840400933265e+01 2.217229473463968106e-02 1.185791981511060272e-01 7.403042921847945157e-02 -7.895494929141579910e-01 2.224217378580628773e-03 3.396050432039688510e-02
2.873984086129250937e+00 9.978864198816754794e-01 7.311605727545094169e+01 2.241134039759280772e-02 1.283143832793625094e-01 9.525718058825204115e-02 -8.392042919311060167e-01 3.746014771326867249e-02 3.880653513810553012e-02
3.109752066564392070e+00 9.857603085289179390e-01 7.226516447778537611e+01 2.219740864920802942e-02 1.262424757285948440e-01 5.130655740065938331e-02 -8.407707831616946237e-01 1.216542704168888274e-03 4.887921027648824135e-02
3.020213741294110577e+00 9.990438751894064051e-01 7.414571013201920380e+01 2.259430786436184349e-02 1.272701505367463404e-01 5.579191169258392036e-02 -8.326688543106515183e-01 7.548186591254650579e-02 7.835343165486151340e-02
3.081162573324751630e+00 9.591367141277875596e-01 7.584762410691126888e+01 2.236988788356852192e-02 1.274768832816588482e-01 3.240979803292737271e-02 -8.485071674435840094e-01 8.370344860731088188e-02 3.957750209017536075e-02
3.108309250550536973e+00 9.280786145257751141e-01 7.587852103715420071e+01 2.230271319712521377e-02 1.243786723542251588e-01 7.491395294372933666e-02 -8.681240122288595984e-01 8.300046047437623087e-02 2.017032019426942199e-02
2.876379141548924157e+00 9.740360483282141102e-01 7.372889771112474477e+01 2.246881974340563665e-02 1.257771328384241494e-01 9.380487913214849427e-02 -8.337917499980274094e-01 3.700429656983707238e-02 3.219841927286767880e-02
2.896986516510786647e+00 9.148878699759933619e-01 7.217942132237864428e+01 2.206692000768518264e-02 1.195560128555666485e-01 7.283014664333639643e-02 -7.762279547566481863e-01 6.200128052415411484e-02 3.049602117212048269e-02
2.886632566365356034e+00 9.450451928196184070e-01 7.286762646776327301e+01 2.208172273280877701e-02 1.195229059995595589e-01 9.744089380667773914e-02 -8.182418820239529822e-01 5.374309756733397503e-02 3.213575764534833817e-02
3.090494284344973863e+00 9.015370264304489734e-01 7.457186952405828606e+01 2.222076437789898343e-02 1.277684078587278393e-01 8.141010983628460540e-02 -9.087708127861984231e-01 2.553792114346873504e-02 4.910419424570080377e-02
3.099421124451014364e+00 9.453450804749997660e-01 7.539192629788270494e+01 2.255881695464340142e-02 1.268521918088833522e-01 5.506991359571314359e-02 -8.423510558842990381e-01 9.310487828656854870e-02 6.232165452015073909e-02
2.934446222648851688e+00 9.750977659024544497e-01 7.239615916646036453e+01 2.234966592390667806e-02 1.299189068531822477e-01 9.661324738289290268e-05 -8.444901255858672240e-01 1.088510591743777761e-02 1.044959772678175601e-02
2.840118220081810918e+00 9.659544729333902069e-01 7.175940806825526863e+01 2.230657345834520522e-02 1.289774422480561844e-01 1.920007203279758962e-02 -7.879932216689311542e-01 7.084348813809943773e-03 7.362611138911112629e-02
2.955994158535773852e+00 9.922518775594894036e-01 7.319636502845014547e+01 2.244545773274357614e-02 1.224737991794436764e-01 8.974875572515288169e-02 -8.782959298161918671e-01 1.237557384970695666e-02 1.068545396633523853e-02
3.004194989764673362e+00 9.838135894466186748e-01 7.235211978839610936e+01 2.204931272856635108e-02 1.184056000056917662e-01 7.531936846982384415e-02 -8.178685945617418795e-01 5.209579504014876655e-02 5.433738494707942429e-02
3.150549047282290349e+00 9.298385827377788626e-01 7.537499201001041627e+01 2.219769934275674095e-02 1.194861716448189504e-01 3.778710994467518458e-02 -8.478253939155302454e-01 9.079502451184091882e-02 2.175104455150025928e-02
3.127347110256312401e+00 9.632557890764494868e-01 7.528438946944044119e+01 2.249569000962666279e-02 1.296653936363841575e-01 7.069901332949829476e-02 -8.935987696770273381e-01 3.963563137296362282e-02 7.651321149949148748e-02
3.109839533278431656e+00 9.544858905045676689e-01 7.219411986488428568e+01 2.208472629020231254e-02 1.294244914991874995e-01 5.567873743742708659e-02 -8.274187450094314666e-01 4.387548945945729528e-03 7.946724504681434986e-02
2.907926205532069819e+00 9.687172495114696469e-01 7.239991193169434780e+01 2.226781236980773446e-02 1.131859966675994589e-01 4.281176296971645444e-03 -7.858292137173672476e-01 6.614910394490518264e-02 2.479762415052156471e-02
3.111049401201021247e+00 9.195165812461486565e-01 7.348714165092327733e+01 2.225087687038067655e-02 1.270200502986015278e-01 4.128643170311868671e-02 -7.719486719205708170e-01 9.941351921808462555e-02 5.737628366585232481e-02
3.085397919685916257e+00 9.738640672068957782e-01 7.430405191893183314e+01 2.240373994281601513e-02 1.292194959504903706e-01 9.682359471054619027e-02 -8.761020753015127394e-01 1.765785135039163456e-02 1.177173853525089603e-02
2.859864381144924916e+00 9.924224663086094189e-01 7.569955806857598191e+01 2.230824235673662184e-02 1.271769099432103756e-01 8.909117166889012063e-02 -8.856776642525823195e-01 8.103538878465887940e-02 6.770644140066918448e-02
2.859336493951744718e+00 9.784333722835779623e-01 7.277890255873136027e+01 2.231700327385624516e-02 1.272187268129879034e-01 4.417226853475717668e-02 -8.592187411588427803e-01 6.411211604158606817e-03 7.317338400267021925e-02
3.002141412743257742e+00 9.751360922602752002e-01 7.400840246830473745e+01 2.217617697258682935e-02 1.256005830739065354e-01 7.867537524566738105e-02 -8.535420954649466374e-01 5.289953180997040288e-02 5.224195901465242958e-02
3.113442367680903544e+00 9.247351522595665951e-01 7.576657772738339247e+01 2.223550494213966111e-02 1.274578116860944632e-01 2.172144574483585167e-02 -8.542416296994308489e-01 8.934403720126676829e-02 4.214627296909844584e-02
2.916902279408203125e+00 9.515942010320307398e-01 7.410093516452214146e+01 2.244555948039619539e-02 1.219908936109646014e-01 8.576489619982840748e-03 -7.969510151767433825e-01 9.983980162062860986e-02 4.344992426759735488e-02
3.091192494100762023e+00 9.313660669603337494e-01 7.422292074700017395e+01 2.250176854336980933e-02 1.288917360794279154e-01 7.094145043629890290e-02 -8.357323559299523197e-01 4.121857288146321685e-02 4.463442091307836396e-02
3.039443029463181567e+00 9.756386874771932893e-01 7.524836745329936605e+01 2.209791016232759767e-02 1.297499928435654482e-01 6.588551425457964128e-02 -8.554157896262986061e-01 6.774941241542316306e-02 7.361451485146690288e-02
2.884520085647418686e+00 9.517568051717621991e-01 7.246457392420603583e+01 2.254191417380606299e-02 1.276823032144408787e-01 8.757403900926509152e-03 -7.912408882440180591e-01 4.148951594229847301e-02 4.431230985808316120e-02
2.840263212644996482e+00 9.213561399185247192e-01 7.381909367749327089e+01 2.249230883358723648e-02 1.240799372050259836e-01 1.568693965891976988e-02 -8.091798912228380658e-01 7.219848570485580541e-02 1.073620345394908637e-02
2.843190952849811826e+00 9.955042187849575397e-01 7.136337874416504690e+01 2.236723413178594994e-02 1.227273034863101131e-01 5.676102770283905641e-02 -7.921338281424965544e-01 1.843852004251058871e-02 5.627849403898589620e-02
3.159387062466846974e+00 9.780396622982188148e-01 7.332004152302145883e+01 2.245510428353281185e-02 1.282330714745281985e-01 5.081968833637844768e-02 -8.466981469137426775e-01 8.048874514589798856e-03 4.158042866785729985e-02
2.841831916319638385e+00 9.318775535124101950e-01 7.132510619527144513e+01 2.248456689874967634e-02 1.218345112829094107e-01 3.282044686296436975e-02 -7.966765085294897908e-01 1.412426810593226528e-02 5.289500260410359006e-02
3.177119769638393709e+00 9.673283064392429464e-01 7.530073619814207575e+01 2.209303862417397873e-02 1.283152188618598977e-01 9.741204940563336079e-02 -9.065839228079284329e-01 3.771119110714016287e-02 4.131325247708066833e-02
2.842866913777726268e+00 9.998342553578462022e-01 7.321894406319152893e+01 2.247126301440266136e-02 1.297430004811710724e-01 8.964782724450925944e-02 -8.418891711566924840e-01 1.908840137589050759e-02 6.203877564324860455e-02
3.060169001136913813e+00 9.635527026014352181e-01 7.772792340201354477e+01 2.252901419108330541e-02 1.258490229493953727e-01 4.808768269537497253e-02 -9.124935057864327348e-01 9.761586324626403410e-02 6.150619952759919795e-02
2.839783707817844061e+00 9.149781041871850595e-01 7.433041843260022574e+01 2.259811675117393004e-02 1.285552801402796708e-01 2.588309229113310364e-02 -8.650338982933725163e-01 4.267730025012429762e-02 5.003250328023608334e-02
3.003347026102896944e+00 9.445528863512039353e-01 7.310559434189767103e+01 2.245252725922573106e-02 1.296436930619658257e-01 2.261458035060621291e-02 -8.333268398811817246e-01 9.250362041990006778e-03 3.644741874184180552e-02
2.874647399848134999e+00 9.092975017665482218e-01 7.516607582357450212e+01 2.203012629426712166e-02 1.294470562359769095e-01 4.712385155139217630e-02 -8.649815096781243717e-01 6.267130873502882449e-02 4.754657875139129547e-02
3.034645983476330855e+00 9.393089132183404244e-01 7.109460780044386752e+01 2.234722368112717489e-02 1.118613194854860687e-01 9.603703990424217185e-02 -7.691923649733296564e-01 5.092370762126864625e-02 5.589903914878464886e-02
3.067120839591641168e+00 9.734899197274904381e-01 7.379471798764552659e+01 2.258407977211720000e-02 1.280286013672278789e-01 3.573738340483893078e-02 -7.901268488625006192e-01 7.005176090449105608e-02 1.045515883577185015e-02
3.020878595561980351e+00 9.293850076886319700e-01 7.197458351235896146e+01 2.231909019656440687e-02 1.198529418315624206e-01 4.907714578967711100e-02 -7.730998435678411163e-01 4.550842466782539092e-02 4.912207683649912754e-02
3.192284314226852882e+00 9.856518051200271469e-01 7.512480556813783039e+01 2.224626264576818474e-02 1.285968539036898839e-01 4.321897356780715627e-02 -8.683093342365140188e-01 4.495722815143099460e-02 2.970133615701038565e-02
2.986475212379732014e+00 9.761041329410999889e-01 7.268393431121640447e+01 2.258073748377330964e-02 1.246673835406360148e-01 4.057591181929352114e-02 -8.182444701582498592e-01 3.150058874891571714e-02 2.857717612779443056e-02
3.175930002582139977e+00 9.753481979228031395e-01 7.304611048218401947e+01 2.206435901318714449e-02 1.227444789206353915e-01 2.763995877413964047e-02 -8.191437759428197296e-01 5.811522661247762317e-02 1.760226917607357264e-02
3.005138452137622984e+00 9.203415341679646033e-01 7.111509701352696311e+01 2.247110135911190021e-02 1.150255717837983249e-01 8.433440841508528518e-02 -7.618623679844236385e-01 2.865196045296548866e-02 3.344111192566985580e-02
3.126956752028472231e+00 9.850914657254937756e-01 7.447143709764790742e+01 2.219248504836277350e-02 1.173266624030303296e-01 6.489555315591599705e-02 -8.507257120218214563e-01 9.021453728529060800e-02 5.502110959895963743e-02
3.192796435776946051e+00 9.922429894025512898e-01 7.495545862798144299e+01 2.235336583707818459e-02 1.203128027640806563e-01 4.931611855784388126e-02 -8.432963225591516565e-01 8.778222862900329770e-02 7.070924179301540935e-02
3.065853602729224470e+00 9.610481597117372932e-01 7.170715827457982527e+01 2.211250491490831041e-02 1.161596892290198135e-01 9.644419605420387342e-02 -7.993435036469063171e-01 5.400653784506313088e-02 5.717695300886545262e-02
2.946822555346927164e+00 9.148852196075036858e-01 7.246697690971956263e+01 2.207711867354957697e-02 1.262054068049984212e-01 3.065748908954582172e-02 -8.427567599607055371e-01 4.290519169615880819e-03 4.406997166886109790e-02
2.930934620944424029e+00 9.020077439144933429e-01 7.046761255831928850e+01 2.248057330272457827e-02 1.204804539779862627e-01 6.191675507343517154e-02 -7.576707152969408554e-01 3.374217340121932196e-02 4.320736822051985532e-02
3.166878008417159940e+00 9.146959051239191840e-01 7.512191360008718277e+01 2.219519308276598699e-02 1.259515315334042429e-01 4.957721832407272627e-02 -8.616673515253276960e-01 7.293908790590412916e-02 3.181716986851289980e-02
2.987717595451797159e+00 9.755409577590042902e-01 7.248937639825129509e+01 2.223502546798371976e-02 1.206647349180749035e-01 9.887859631875423050e-02 -8.116769769005780510e-01 4.446775994877060628e-02 1.951613713903489755e-02
2.821649344289572703e+00 9.240600890417771662e-01 6.873827040603684679e+01 2.221230076931506731e-02 1.124438896608224436e-01 2.374139150697338746e-02 -7.135907734818438541e-01 9.069537705964315563e-03 4.726802787110578885e-02
3.171650489146201846e+00 9.119926930324497860e-01 7.169094714796246137e+01 2.200355422150169007e-02 1.205011024247078094e-01 7.390101338124743791e-02 -8.329138350523410672e-01 1.201641033700131568e-02 1.787344924589363837e-02
2.891134377023716784e+00 9.338870822818340356e-01 7.534439398724865100e+01 2.250931543523714343e-02 1.213444560722653359e-01 8.579995574863608088e-03 -8.330873670447280777e-01 9.667309961448458666e-02 2.943253865551578169e-02
3.150159607364047876e+00 9.820393482220693970e-01 7.262555331304571382e+01 2.255952174177234398e-02 1.153046657365818101e-01 8.945966284667815349e-02 -8.006178121589924146e-01 5.118655460492402970e-02 3.085864469999938936e-02
3.026276904572841708e+00 9.664654487129324956e-01 7.308606858349860147e+01 2.231098531814739230e-02 1.220004513284379533e-01 7.695376317388605281e-02 -8.303347908533562638e-01 3.904545565542937718e-02 4.087380004835340641e-02
2.882582895876715678e+00 9.255549849633939452e-01 7.103306196050266408e+01 2.203782857178706450e-02 1.134889664429553219e-01 8.135186263492374947e-02 -7.537173139371275976e-01 6.512041841068305636e-02 5.663080869391413225e-02
3.110579794945663501e+00 9.233171387071541503e-01 7.142223916016313012e+01 2.206981437656743011e-02 1.248842372172939558e-01 9.922314169431792341e-02 -8.083909465669725236e-01 3.795584287803077661e-03 4.324517392300079865e-02
2.860328015613589514e+00 9.739029978408755284e-01 7.081826491351112907e+01 2.229212308252785310e-02 1.145173259672581378e-01 3.024710065840029508e-02 -7.803999890125175032e-01 2.323046529235454211e-02 5.967705684762782820e-02
2.831644342571459472e+00 9.894989108346959883e-01 7.509532564943566513e+01 2.228117439636477515e-02 1.295968284131696069e-01 8.427869836083731747e-02 -8.824690318337278239e-01 5.349699944024225579e-02 4.122306706874365179e-02
3.041470036444293257e+00 9.064578683078992061e-01 7.157642903992325500e+01 2.219690379865097915e-02 1.266169708399928207e-01 1.570201647278176779e-02 -8.073419626116911108e-01 7.869615500223182264e-03 6.092771108747711828e-02
3.089911781066836838e+00 9.775400986123823355e-01 7.178537652843525052e+01 2.203633670144049608e-02 1.253495721732617307e-01 4.694503273531624304e-02 -8.026368477239684829e-01 1.595757472319182108e-02 1.799367767518924091e-02
3.040818375616934688e+00 9.354621452199382015e-01 7.339262916472571874e+01 2.210220073263979151e-02 1.244520348381569219e-01 8.019486481319758331e-02 -8.110279871589911593e-01 7.006272143591836532e-02 3.358560138631989933e-02
3.199802556565027434e+00 9.017483598520421584e-01 7.172056689566821319e+01 2.244989263675712873e-02 1.222562484727039017e-01 1.735397878099167665e-02 -7.777460497394073080e-01 3.274955588541852286e-02 5.313611065308278952e-02
2.921428905273379062e+00 9.347546610522059485e-01 7.341034742597179275e+01 2.235814170039799112e-02 1.267957203397737653e-01 2.063339389620512734e-02 -8.237920391708919432e-01 4.909565277152223850e-02 6.765153551786667885e-02
3.198673038938316893e+00 9.346492510810568977e-01 7.474839752133975423e+01 2.200902753881838619e-02 1.240875020482805485e-01 9.015844842392017541e-03 -8.068640683977408301e-01 9.810540930230908507e-02 5.349152760863073314e-02
3.153189728262037139e+00 9.862206909716842995e-01 7.183981566011443931e+01 2.235970684939158834e-02 1.204009569345221159e-01 3.094008798467976634e-02 -7.924644389177735171e-01 3.071208846128610503e-02 3.077300352834751868e-02
2.962311303762152459e+00 9.482888814346128736e-01 7.479769556633904415e+01 2.214047900192470456e-02 1.119960890589118824e-01 6.358252728032948164e-02 -8.567751763739706039e-01 9.722044735650010872e-02 4.637246153218212846e-02
2.888094816782677210e+00 9.197659511747254824e-01 7.656969035595318473e+01 2.240508954568141628e-02 1.234786439620752796e-01 2.965806835118239837e-02 -8.777398654370240916e-01 9.567893985282288627e-02 6.261267861169370064e-02
3.056865712097116106e+00 9.813706854473189800e-01 7.590200230308613527e+01 2.214052837403919158e-02 1.298048229946469345e-01 6.631649566882638624e-02 -8.740193418660062719e-01 8.783589705466077202e-02 6.312509277556321852e-02
2.983896185536290879e+00 9.095446075245232631e-01 7.715981898035050790e+01 2.256345923916941096e-02 1.291144669651460575e-01 2.342908143993989792e-02 -8.895509180361709234e-01 9.502195076646287319e-02 4.719778447091766554e-02
2.957160604672701698e+00 9.389585591844300527e-01 7.469944916256457645e+01 2.257533995027788051e-02 1.298905466260229513e-01 5.780372316005589301e-04 -8.425866153501428979e-01 5.577050631713002110e-02 6.468348594144340824e-02
