logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.275425489986522734e+03 -4.281418204273213632e+03 8.850000000000000089e-01
-4.281418204273213632e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -3.914593829495013324e+03 -3.920589043781704731e+03 1.665000000000000036e+00
-3.920589043781704731e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -3.865170383751685222e+03 -3.871168098038376684e+03 5.350000000000000311e-01
-3.871168098038376684e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -3.748789260837364964e+03 -3.754789475124056480e+03 1.405000000000000027e+00
-3.754789475124056480e+03 nan -1.000000000000000021e-02 4.000000000000000000e+02 -3.678109432616346112e+03 -3.684112146903037228e+03 1.245000000000000107e+00
-3.684112146903037228e+03 5.504065263450794987e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -3.654794080121911065e+03 -3.660799294408602236e+03 1.280000000000000027e+00
-3.660799294408527203e+03 2.668529318525557770e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -3.645936012451276838e+03 -3.651943726737968063e+03 1.229999999999999982e+00
-3.651943584162480420e+03 1.222598690867812543e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -3.590762114561768158e+03 -3.596772328848459438e+03 1.280000000000000027e+00
-3.596772328848459438e+03 2.698134140349006316e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -3.568324424273244404e+03 -3.574337138559935738e+03 1.864999999999999991e+00
-3.574337138559755203e+03 2.133919413355867434e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -3.462912363512556567e+03 -3.468927577799247956e+03 6.700000000000000400e-01
-3.468927577799247956e+03 5.521813176436623394e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -3.461044740435671883e+03 -3.467062454722363327e+03 1.900000000000000022e-01
-3.466918460750354370e+03 4.436315483533157078e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -3.395419196697984262e+03 -3.401439410984675760e+03 1.790000000000000036e+00
-3.401439410984675760e+03 5.049744953962449046e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -3.366330551321572784e+03 -3.372353265608263882e+03 1.824999999999999956e+00
-3.372353265608263428e+03 2.713765410967744174e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -3.293080384502499328e+03 -3.299105598789190481e+03 7.199999999999999734e-01
-3.299105598789190481e+03 3.163084824552631247e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -3.282818024767760562e+03 -3.288845739054451769e+03 8.249999999999999556e-01
-3.288845704044466402e+03 4.788670649123504930e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -3.237208785900815656e+03 -3.243239000187506917e+03 9.799999999999999822e-01
-3.243239000187506917e+03 2.517880229256990532e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -3.110210904770897741e+03 -3.116243619057589058e+03 1.215000000000000080e+00
-3.116243619057589058e+03 5.446079734339480893e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -3.056979461639974488e+03 -3.063014675926665859e+03 1.905000000000000027e+00
-3.063014675926665859e+03 6.367845810222363667e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -3.035037346390045968e+03 -3.041075060676737394e+03 4.400000000000000022e-01
-3.041075060676440899e+03 2.219545484877160746e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -2.999714595404896954e+03 -3.005754809691588434e+03 1.544999999999999929e+00
-3.005754809691588434e+03 3.225382128314586794e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -2.990890495217272019e+03 -2.996933209503963553e+03 4.149999999999999800e-01
-2.996933062002718088e+03 1.607485282579672514e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -2.907960680669893918e+03 -2.914005894956585053e+03 3.150000000000000022e-01
-2.914005894956585053e+03 5.012649830582359556e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -2.881803949464214838e+03 -2.887851663750906027e+03 1.675000000000000044e+00
-2.887851663750901480e+03 5.706538292488711051e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -2.867905502064118537e+03 -2.873955716350809780e+03 7.650000000000000133e-01
-2.873955715428096937e+03 4.522942657467080352e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -2.819422831288271027e+03 -2.825475545574962325e+03 8.149999999999999467e-01
-2.825475545574962325e+03 4.926753345203226075e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -2.770451689326796895e+03 -2.776506903613488248e+03 1.205000000000000071e+00
-2.776506903613488248e+03 3.890134266431116572e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -2.748061194407072890e+03 -2.754118908693764297e+03 5.000000000000000104e-03
-2.754118908693575122e+03 4.595425812739484428e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -2.732509696786996301e+03 -2.738569911073687763e+03 8.249999999999999556e-01
-2.738569910897020691e+03 4.157249984471577875e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -2.655834010481059977e+03 -2.661896724767751493e+03 9.549999999999999600e-01
-2.661896724767751493e+03 2.885696623258595039e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -2.649250285789927602e+03 -2.655315500076618719e+03 1.449999999999999900e-01
-2.655314114885790332e+03 2.998936802941393509e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -2.621220305973803988e+03 -2.627288020260495159e+03 7.800000000000000266e-01
-2.627288020260494704e+03 3.134031180156246421e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -2.599065311104287957e+03 -2.605135525390979183e+03 4.000000000000000222e-01
-2.605135525390739531e+03 9.318149872820319146e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -2.562852468627652797e+03 -2.568925182914344077e+03 1.514999999999999902e+00
-2.568925182914344077e+03 1.581279451491021071e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -2.538732064100297521e+03 -2.544807278386988855e+03 1.435000000000000053e+00
-2.544807278386955204e+03 1.228098529776834980e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -2.533787252837864344e+03 -2.539864967124555733e+03 2.099999999999999922e-01
-2.539857854398756899e+03 1.015207803595866842e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -2.523828847351489912e+03 -2.529909061638181356e+03 1.745000000000000107e+00
-2.529909013854035493e+03 1.388296617338182948e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -2.496899551455514484e+03 -2.502982265742205982e+03 1.995000000000000107e+00
-2.502982265742204163e+03 1.336082145752716421e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -2.482727591084789310e+03 -2.488812805371480408e+03 1.939999999999999947e+00
-2.488812804669570596e+03 1.544629189048669460e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -2.473916828892679860e+03 -2.480004543179371012e+03 4.699999999999999734e-01
-2.480004393697618980e+03 1.930508326407202091e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -2.463365766798628556e+03 -2.469455981085319763e+03 1.625000000000000000e+00
-2.469455954850570834e+03 5.378816466386710182e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -2.428344867226468523e+03 -2.434437581513159785e+03 1.445000000000000062e+00
-2.434437581513159785e+03 1.677784015004441898e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -2.427847799831587963e+03 -2.433943014118279280e+03 1.760000000000000009e+00
-2.433466882635339061e+03 1.687428480286088828e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -2.424287783299548209e+03 -2.430385497586239580e+03 1.729999999999999982e+00
-2.430340623991458415e+03 1.613699284255736544e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -2.399807206690196381e+03 -2.405907420976887806e+03 9.699999999999999734e-01
