weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
0.000000000000000000e+00 -4.275425489986522734e+03 3.118840808971777179e+00 9.390445504397533227e-01 6.001569566026544322e+01 2.205990005739912052e-02 1.231759424646747259e-01 2.746210212530779751e-02 -1.894400931738464244e+00 9.135721692831499929e-02 1.082568122022370752e-02
0.000000000000000000e+00 -3.914593829495013324e+03 2.808293549981872417e+00 9.484260266764782399e-01 6.324766022410761934e+01 2.218454940089875996e-02 1.107731469642995181e-01 6.440894166953152478e-02 -1.945426418906137656e+00 8.229549798657051496e-02 5.390196127706090717e-02
0.000000000000000000e+00 -3.865170383751685222e+03 2.908711875497525412e+00 9.957882122742250930e-01 6.165837279847507091e+01 2.234193787517179536e-02 1.139174947364050006e-01 7.476755169586871141e-02 -1.977994140404796930e+00 2.509824709895469574e-03 4.846820839474328541e-02
0.000000000000000000e+00 -3.748789260837364964e+03 3.091072623448891665e+00 9.474865284933440268e-01 6.397221912938124433e+01 2.234912850693919137e-02 1.149350336222774716e-01 1.785953405988142256e-02 -1.956050278600998338e+00 6.508986990859703947e-02 2.542820852086138950e-02
0.000000000000000000e+00 -3.678109432616346112e+03 3.198368169028311225e+00 9.772891249522891455e-01 6.298175522483683153e+01 2.238476496864742760e-02 1.269521800965745795e-01 6.325355912126007230e-02 -1.999993664599595933e+00 7.565206892104402170e-02 5.018465951203726627e-02
0.000000000000000000e+00 -3.654794080121911065e+03 2.850879258163153018e+00 9.427086503894144265e-01 6.240386558844468823e+01 2.218412410852264177e-02 1.147595177554605328e-01 2.061128453973125677e-02 -1.901952653407221083e+00 1.030041896728942780e-02 1.282804660361263997e-02
0.000000000000000000e+00 -3.645936012451276838e+03 3.073030326898466669e+00 9.732479690924201732e-01 6.181523346800473462e+01 2.235965860160806298e-02 1.126580685542949017e-01 2.935435300690168031e-02 -1.828138176956730643e+00 1.064424731471456248e-02 4.383355123589813274e-02
0.000000000000000000e+00 -3.590762114561768158e+03 3.062850734540405462e+00 9.182456310949839162e-01 6.249319009683548387e+01 2.234071995379429548e-02 1.121614192359149526e-01 2.197111278333729878e-02 -1.726066324032178079e+00 8.228973907780472163e-02 2.933169585315562045e-02
0.000000000000000000e+00 -3.568324424273244404e+03 3.120282824277215816e+00 9.461805220443013642e-01 6.321049891676521071e+01 2.220066039584498579e-02 1.116411057229681758e-01 1.090798744674138614e-02 -1.883515070087915966e+00 1.140587858578739899e-02 4.626407161625758352e-02
0.000000000000000000e+00 -3.462912363512556567e+03 3.128643074290513137e+00 9.613270179759186851e-01 6.531788988795801743e+01 2.220120153418107464e-02 1.103146193133154873e-01 6.755227466611131437e-02 -1.935695066155503241e+00 7.659455168656272017e-02 1.421076114994552532e-02
0.000000000000000000e+00 -3.461044740435671883e+03 2.908480531625903698e+00 9.113526962516773633e-01 6.004286578511470651e+01 2.229708588993055060e-02 1.230841103725189151e-01 7.011095033537353971e-02 -1.656672412101253933e+00 5.530748265161827132e-02 6.616132472356836547e-02
0.000000000000000000e+00 -3.395419196697984262e+03 3.117532670143575046e+00 9.719297486519459239e-01 6.346615603779210346e+01 2.206948468100943320e-02 1.236334336858141009e-01 2.548632234355192872e-02 -1.992812076857929604e+00 8.273530563346042851e-03 1.538733414933327742e-02
0.000000000000000000e+00 -3.366330551321572784e+03 2.810899168397656744e+00 9.224816773148950544e-01 6.400979464610348657e+01 2.243590781414936050e-02 1.140582644028408921e-01 8.603257675183223485e-02 -1.811529994555902023e+00 8.865747918532537741e-02 6.849304017910962106e-02
0.000000000000000000e+00 -3.293080384502499328e+03 3.021634976918106119e+00 9.840385974108745160e-01 6.067273189027075375e+01 2.209916225853489347e-02 1.176723210754391097e-01 4.406910746991135608e-02 -1.543877379988601639e+00 8.247408281713691780e-02 3.685056386022714237e-02
