weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
0.000000000000000000e+00 -4.275425489986522734e+03 7.971020224294431689e-01 3.904455043975336714e-01 7.847830132722277696e-04 9.983342899853475672e-02 6.587971232337361815e-01 2.746210212530779682e-01 7.039937884102376309e-02 9.135721692831498819e-01 1.179544600319581971e-02
0.000000000000000000e+00 -3.914593829495013324e+03 2.073387495468104191e-02 4.842602667647827319e-01 1.623830112053807895e-01 3.075823348312687333e-01 3.865734821497557316e-02 6.440894166953152755e-01 3.638238739590815563e-02 8.229549798657050941e-01 6.271708753865843367e-01
0.000000000000000000e+00 -3.865170383751685222e+03 2.717796887438139741e-01 9.578821227422505968e-01 8.291863992375336778e-02 5.698964586196637594e-01 1.958747368202502503e-01 7.476755169586870586e-01 1.467057306346863932e-02 2.509824709895469574e-02 5.495458342106183114e-01
0.000000000000000000e+00 -3.748789260837364964e+03 7.276815586222292742e-01 4.748652849334400461e-01 1.986109564690623497e-01 5.818808448986519943e-01 2.467516811138736887e-01 1.785953405988142118e-01 2.929981426600114514e-02 6.508986990859703115e-01 2.204029788694483738e-01
0.000000000000000000e+00 -3.678109432616346112e+03 9.959204225707780633e-01 7.728912495228911217e-01 1.490877612418417542e-01 6.412749477457140301e-01 8.476090048287289180e-01 6.325355912126007230e-01 4.223600269415150876e-06 7.565206892104401337e-01 5.740665644576751214e-01
0.000000000000000000e+00 -3.654794080121911065e+03 1.271981454078828788e-01 4.270865038941441538e-01 1.201932794222343448e-01 3.068735142044077824e-01 2.379758877730268063e-01 2.061128453973125607e-01 6.536489772851927782e-02 1.030041896728942641e-01 4.040066576589484981e-02
0.000000000000000000e+00 -3.645936012451276838e+03 6.825758172461664497e-01 7.324796909242020648e-01 9.076167340023688634e-02 5.994310026801050739e-01 1.329034277147447263e-01 2.935435300690167892e-01 1.145745486955128678e-01 1.064424731471456109e-01 4.833364462271161344e-01
0.000000000000000000e+00 -3.590762114561768158e+03 6.571268363510130994e-01 1.824563109498390512e-01 1.246595048417742380e-01 5.678665896571607474e-01 1.080709617957474888e-01 2.197111278333729878e-01 1.826224506452146512e-01 8.228973907780471331e-01 2.761670836165088794e-01
0.000000000000000000e+00 -3.568324424273244404e+03 8.007070606930394296e-01 4.618052204430136420e-01 1.605249458382604910e-01 3.344339930749757883e-01 8.205528614840851276e-02 1.090798744674138510e-01 7.765661994138928215e-02 1.140587858578739899e-01 5.180581659465368638e-01
0.000000000000000000e+00 -3.462912363512556567e+03 8.216076857262823996e-01 6.132701797591866288e-01 2.658944943979009157e-01 3.353358903017905623e-01 1.573096566577403266e-02 6.755227466611131160e-01 4.286995589633113557e-02 7.659455168656271740e-01 6.015373071350749168e-02
0.000000000000000000e+00 -3.461044740435671883e+03 2.712013290647599106e-01 1.135269625167729668e-01 2.143289255735258969e-03 4.951431498842530088e-01 6.542055186259456701e-01 7.011095033537353416e-01 2.288850585991640818e-01 5.530748265161826716e-01 8.023046389081195384e-01
0.000000000000000000e+00 -3.395419196697984262e+03 7.938316753589372832e-01 7.192974865194587952e-01 1.733078018896051509e-01 1.158078016823936851e-01 6.816716842907051266e-01 2.548632234355192594e-01 4.791948761380337984e-03 8.273530563346043198e-02 7.696191641904681635e-02
0.000000000000000000e+00 -3.366330551321572784e+03 2.724792099414230506e-02 2.248167731489502108e-01 2.004897323051746394e-01 7.265130235822687688e-01 2.029132201420443815e-01 8.603257675183222375e-01 1.256466702960653548e-01 8.865747918532537186e-01 8.356148597015659041e-01
