19:00:50 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=False, log_dir=ede_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
19:00:50 [ultranest] [INFO] Sampling 400 live points from prior ...
19:01:04 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=1000
19:01:04 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=5, min_num_live_points=400, cluster_num_live_points=40
19:01:04 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
19:01:04 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-4275.43, Lmax=-6.74
19:01:04 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-3920.59, remainder_fraction=100.0000%, Lmin=-3865.17, Lmax=-6.74
19:01:04 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-3684.11, remainder_fraction=100.0000%, Lmin=-3654.79, Lmax=-6.74
19:01:05 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-3596.77, remainder_fraction=100.0000%, Lmin=-3568.32, Lmax=-6.74
19:01:05 [ultranest] [DEBUG] iteration=11, ncalls=412, regioncalls=480, ndraw=40, logz=-3466.92, remainder_fraction=100.0000%, Lmin=-3395.42, Lmax=-6.74
19:01:05 [ultranest] [DEBUG] iteration=14, ncalls=415, regioncalls=600, ndraw=40, logz=-3299.11, remainder_fraction=100.0000%, Lmin=-3282.82, Lmax=-6.74
19:01:05 [ultranest] [DEBUG] iteration=17, ncalls=418, regioncalls=720, ndraw=40, logz=-3116.24, remainder_fraction=100.0000%, Lmin=-3056.98, Lmax=-6.74
19:01:05 [ultranest] [DEBUG] iteration=20, ncalls=421, regioncalls=840, ndraw=40, logz=-3005.75, remainder_fraction=100.0000%, Lmin=-2990.89, Lmax=-6.74
19:01:05 [ultranest] [DEBUG] iteration=23, ncalls=424, regioncalls=960, ndraw=40, logz=-2887.85, remainder_fraction=100.0000%, Lmin=-2867.91, Lmax=-6.74
19:01:05 [ultranest] [DEBUG] iteration=26, ncalls=427, regioncalls=1080, ndraw=40, logz=-2776.51, remainder_fraction=100.0000%, Lmin=-2748.06, Lmax=-6.52
19:01:05 [ultranest] [DEBUG] iteration=29, ncalls=430, regioncalls=1200, ndraw=40, logz=-2661.90, remainder_fraction=100.0000%, Lmin=-2649.25, Lmax=-6.52
19:01:05 [ultranest] [DEBUG] iteration=32, ncalls=434, regioncalls=1360, ndraw=40, logz=-2605.14, remainder_fraction=100.0000%, Lmin=-2562.85, Lmax=-6.52
19:01:06 [ultranest] [DEBUG] iteration=34, ncalls=437, regioncalls=1480, ndraw=40, logz=-2544.81, remainder_fraction=100.0000%, Lmin=-2533.79, Lmax=-6.52
19:01:06 [ultranest] [DEBUG] iteration=37, ncalls=440, regioncalls=1600, ndraw=40, logz=-2502.98, remainder_fraction=100.0000%, Lmin=-2482.73, Lmax=-6.52
19:01:06 [ultranest] [DEBUG] iteration=40, ncalls=443, regioncalls=1720, ndraw=40, logz=-2469.46, remainder_fraction=100.0000%, Lmin=-2428.34, Lmax=-6.52
19:01:06 [ultranest] [DEBUG] iteration=43, ncalls=446, regioncalls=1840, ndraw=40, logz=-2430.34, remainder_fraction=100.0000%, Lmin=-2399.81, Lmax=-6.52
19:01:06 [ultranest] [DEBUG] iteration=45, ncalls=449, regioncalls=1960, ndraw=40, logz=-2392.61, remainder_fraction=100.0000%, Lmin=-2380.06, Lmax=-6.52
19:01:06 [ultranest] [DEBUG] iteration=48, ncalls=452, regioncalls=2080, ndraw=40, logz=-2372.00, remainder_fraction=100.0000%, Lmin=-2357.23, Lmax=-6.52
19:01:06 [ultranest] [DEBUG] iteration=51, ncalls=455, regioncalls=2200, ndraw=40, logz=-2348.08, remainder_fraction=100.0000%, Lmin=-2286.91, Lmax=-6.52
19:01:06 [ultranest] [DEBUG] iteration=54, ncalls=459, regioncalls=2360, ndraw=40, logz=-2286.11, remainder_fraction=100.0000%, Lmin=-2278.17, Lmax=-6.52
