logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
3.010625863885428632e+00 9.282355850461965208e-01 6.882086684970188628e+01 2.237031137179185808e-02 1.155258204916103371e-01 2.479903093354385302e-03 1.093391146635906003e-01
3.149288179107613495e+00 9.630260620524736526e-01 6.875153644824038679e+01 2.250803449053469935e-02 1.197851295121695470e-01 8.281443787874714912e-02 2.741112295580557801e-01
3.020619424909946282e+00 9.153064101799134322e-01 6.920181228084567238e+01 2.255168728612094026e-02 1.220751670249947823e-01 5.751407383471861950e-02 2.153186080355817267e-01
2.996657599213891299e+00 9.254138766574165897e-01 6.918804698829762856e+01 2.259416651968101236e-02 1.287757616350427847e-01 4.269040669947123112e-02 2.096786370905960595e-01
3.125034529891856927e+00 9.572007360441452395e-01 6.752500514355229200e+01 2.247943922559063681e-02 1.124283932381328482e-01 9.350878097670153877e-02 1.554005204793835193e-01
2.834632395189242704e+00 9.765838194581260012e-01 6.851366499473643046e+01 2.245010795306594253e-02 1.192108912492830519e-01 3.884942892086978850e-02 9.131039130212233179e-02
2.904786961875243101e+00 9.723403612499965654e-01 6.892139758983556419e+01 2.227215304471997712e-02 1.245873367647178931e-01 1.267830423554966446e-02 3.028460345590356373e-01
3.040833373880412083e+00 9.770258214387422813e-01 6.913345740770105863e+01 2.234245385836235165e-02 1.196973807770449760e-01 5.856207015015696404e-02 4.581962564958291795e-02
3.162936957486523148e+00 9.371238514697590727e-01 6.924313965372155621e+01 2.254274269846617829e-02 1.261627254867419834e-01 5.857933778300536409e-02 1.435588260207160405e-01
2.840837549986792165e+00 9.616003722696715439e-01 6.881956126908058025e+01 2.247570544794890574e-02 1.176982481465105451e-01 7.266330567355652748e-02 3.768729160277631274e-01
3.116973086216042077e+00 9.651823840510054264e-01 6.869893506302480546e+01 2.255542998895821577e-02 1.141161241978203289e-01 9.860330214127260851e-02 3.403654062157781546e-01
3.026697348792856346e+00 9.339647866750302452e-01 6.899118242686057556e+01 2.245297392990385985e-02 1.173626330499791121e-01 1.556130851710447842e-02 2.975253359483252813e-02
2.879782135267498600e+00 9.900286811145220245e-01 6.870179725486340772e+01 2.259919514000894789e-02 1.146018953367112930e-01 3.558071051856248786e-03 2.954908003800995053e-01
3.024777897030284546e+00 9.637099742198507180e-01 6.850279124066996417e+01 2.224703082199857782e-02 1.147809832545172160e-01 7.959352995878488102e-02 3.649281666912029265e-01
2.809309189390199801e+00 9.036035661019699017e-01 6.853205876211357861e+01 2.225855502178867781e-02 1.154816482088267815e-01 8.823404440828810924e-02 5.003075626308215451e-01
3.112503502951186718e+00 9.284863702102887917e-01 6.860132875007873565e+01 2.252324587861590302e-02 1.180412309535978782e-01 5.378938566647646635e-02 2.905363215350239003e-01
3.129623506924458454e+00 9.574158960120150441e-01 6.867276330522321359e+01 2.259210269325028289e-02 1.133158572156545557e-01 5.649754347625753070e-02 1.223989980168456032e-01
2.824545755275777115e+00 9.947989644329238157e-01 6.818244628942227337e+01 2.250639613969693947e-02 1.135262515844199793e-01 5.003724073227289876e-03 1.502503443827598595e-01
2.822486073332489909e+00 9.823722745839379433e-01 6.900006504053037304e+01 2.233007592866542018e-02 1.166789741222580001e-01 4.310492344322520986e-02 1.424040059530842783e-01
3.132707662079164734e+00 9.549638329604526188e-01 6.866581722549737776e+01 2.241834171107077653e-02 1.223719361033552833e-01 3.045581721078111093e-02 4.012694590068713874e-01
2.894272323065028907e+00 9.279647389161866933e-01 6.862536645598160590e+01 2.251252558164131001e-02 1.257404119131977360e-01 1.506957596967628543e-02 4.402948273355688502e-01
2.990151973888282466e+00 9.327367464145649434e-01 6.823803494099972511e+01 2.214346259348743892e-02 1.140572840834577356e-01 9.559471274027536714e-02 3.575849087385064018e-01
2.849736630088179457e+00 9.410342659056532000e-01 6.746665765565566630e+01 2.223722467521521695e-02 1.162703735356719753e-01 8.543648785293807280e-02 4.133266167634733756e-01
2.831625576440228720e+00 9.941210723144499051e-01 6.866233326005840354e+01 2.237551242074990732e-02 1.199197291385945413e-01 6.871240147560753186e-02 2.763249914715396049e-01
2.904534919872304055e+00 9.475009244566922062e-01 6.863357004130875794e+01 2.252996902534562529e-02 1.123355671837992370e-01 2.615672907252408752e-02 1.277025555422930600e-02
2.919206751028537106e+00 9.007079193749940593e-01 6.962535783396889144e+01 2.245431664837520963e-02 1.236655248181180861e-01 2.934947097917508727e-02 3.224445031890514901e-01
3.110288534215127854e+00 9.757298459175898220e-01 6.893218016716126328e+01 2.210005345147557365e-02 1.210085565398961449e-01 3.265162176487891588e-02 3.359245533121920091e-01
2.937555719542752186e+00 9.471250620539463094e-01 6.867497871429048928e+01 2.255637801012031277e-02 1.221371801897760262e-01 5.974087376762139689e-02 3.538376409074204254e-01
2.893258208331610959e+00 9.932713806120827549e-01 6.829704191422820259e+01 2.248455472464647512e-02 1.156324662414987686e-01 3.944852586813270279e-02 6.603141588615288882e-01
3.123657555970189570e+00 9.098882766903416686e-01 6.938439386513466900e+01 2.259444946819040914e-02 1.166662732945406705e-01 6.831147063344486514e-02 6.524693098595812923e-02
2.956852330868979362e+00 9.448032360719933465e-01 6.827123854747568998e+01 2.240763360640866259e-02 1.157713839809471623e-01 3.298790865052902976e-02 1.857128160529760985e-01
3.116661791943995841e+00 9.930482969315936881e-01 6.952598274984772786e+01 2.254057234865929765e-02 1.165568990164771446e-01 8.234929216005693053e-02 7.516309226835021784e-02
2.998521715669893783e+00 9.952144340045769866e-01 6.851361321536251126e+01 2.236087365609811667e-02 1.168974229058159509e-01 5.583061101402730236e-02 3.251421537490184477e-01
3.070871498443631609e+00 9.847539428803826489e-01 6.896140438166514741e+01 2.235656587785104718e-02 1.241822764546955810e-01 3.975525200183632063e-02 1.658930513845303656e-01
3.125051861287433397e+00 9.088979394964634695e-01 6.847121613896889869e+01 2.235642282403790468e-02 1.157542199359522517e-01 8.742325231821862497e-02 2.865375903357602616e-01
3.097845467993937785e+00 9.750830154226982627e-01 6.853743275533514634e+01 2.222787107540063686e-02 1.183779834120106123e-01 3.900358859447777826e-02 1.660579968965325559e-01
2.929335628845725736e+00 9.378012661266540428e-01 6.966992719801085343e+01 2.244345430728848789e-02 1.294834695979308337e-01 9.666245911321905138e-02 1.167137211741087338e-01
3.120199996931255715e+00 9.642758272069321679e-01 6.888491753606723478e+01 2.217756371461645712e-02 1.186289021479628447e-01 3.766535441958042407e-02 5.153009945086390459e-02
2.803241973249755326e+00 9.049323265422032359e-01 6.961301939472353695e+01 2.230453906515460910e-02 1.151980377790022825e-01 3.070174987778395920e-04 5.644165720670063502e-01
2.985645233860636516e+00 9.106539813544631823e-01 6.890361991980461198e+01 2.244929465979856459e-02 1.196837006723560637e-01 3.090246587225498314e-03 1.560703222761677389e-01
2.982089560838399489e+00 9.602545367535036958e-01 6.919564217838187403e+01 2.226808234999854558e-02 1.219243763950791509e-01 2.491551589846442705e-02 5.204877219174590675e-01
2.817111051690578183e+00 9.020029474786938062e-01 6.897709008897967919e+01 2.250592766264236308e-02 1.208364994288463057e-01 8.110296661034724353e-02 1.146617175419799989e-01
2.951343419422403525e+00 9.393695655424657565e-01 6.795498776461163004e+01 2.244374187460135284e-02 1.159838778940117804e-01 9.801007748398210540e-02 2.717697531884705753e-01
3.020619424909946282e+00 9.153064101799134322e-01 6.920181228084567238e+01 2.255168728612094026e-02 1.220751670249947823e-01 5.751407383471861950e-02 2.153186080355817267e-01
3.193326537959256139e+00 9.801089504160169774e-01 6.896807340698450162e+01 2.237465419312465939e-02 1.203409648766466389e-01 7.928056047090786818e-02 2.633653429126724399e-01
3.002537349704146319e+00 9.408747285992548059e-01 6.882513826142285041e+01 2.209438131853547899e-02 1.200325624709045746e-01 3.280734449075239922e-02 7.142455427316740657e-02
2.909975264314472287e+00 9.881593347277751738e-01 6.853246985080726006e+01 2.241236420586835074e-02 1.192670197285309597e-01 8.502954934448397895e-02 4.830580255418945312e-01
3.189878959473869457e+00 9.118409796639844744e-01 6.867903233188506817e+01 2.229035644288198531e-02 1.142127262807058063e-01 6.351725378832795421e-02 1.942258568676823727e-01
3.096293246288203793e+00 9.502634054600942459e-01 6.873329098215570809e+01 2.215346718753882435e-02 1.193769915239465268e-01 3.528778994709099587e-02 3.934341268530918700e-01
3.107356526026718857e+00 9.426564358122884180e-01 6.874350399291181191e+01 2.250117777791513576e-02 1.256639385877699189e-01 8.107194128694059088e-02 6.240935508655540698e-01
2.828553448258590119e+00 9.679885805541398325e-01 6.852061025033965791e+01 2.231711231114881858e-02 1.166900485057790621e-01 3.701758465637707690e-02 2.681371728780612140e-01
2.938337575882373542e+00 9.833316170910151310e-01 6.797030689794702596e+01 2.220026797853166464e-02 1.215367857346517783e-01 5.814188188619075215e-02 5.465436655722825110e-01
2.889035563167904996e+00 9.290146449610109380e-01 6.805340627424176603e+01 2.208157026317065022e-02 1.136118774101317341e-01 2.474048971465999877e-02 6.252196337554619676e-01
3.065907121410671010e+00 9.006491331707702219e-01 6.799705383734033148e+01 2.212712330012320608e-02 1.155226008767051560e-01 8.155512962684688394e-02 6.947774140147850996e-01
3.073657615271241816e+00 9.005518232200987461e-01 6.896741190538985222e+01 2.253327434098601964e-02 1.237543580417944933e-01 5.667209039007229526e-02 1.532343388919054500e-02
2.848729754381585710e+00 9.613206932709479346e-01 6.837565631616925543e+01 2.247707861209828975e-02 1.169954270227970411e-01 9.159458439886061787e-02 1.055476495491270011e-01
3.058849887882484353e+00 9.809569518541234601e-01 6.899084732280780941e+01 2.234600530402911650e-02 1.175180843993018504e-01 8.027123154538831629e-02 9.081153956073617639e-02
3.098409235668636352e+00 9.684178222375794398e-01 6.829500486404583626e+01 2.235875855778857862e-02 1.113976345362544251e-01 8.973322345819108314e-02 2.074235927170668681e-02
3.027134958562670786e+00 9.596082097393766608e-01 6.919084554237720397e+01 2.203309484356271580e-02 1.257172981863675099e-01 1.197403385426724226e-02 2.001543092700042992e-01
2.929858642899452636e+00 9.975252506673736308e-01 6.829259925897207495e+01 2.233566335679318046e-02 1.204900243070080590e-01 2.863193244645614519e-02 4.828606175800084221e-01
3.193197457136917716e+00 9.048417581586990499e-01 6.862504195219857195e+01 2.222701901023000498e-02 1.199317378906250009e-01 9.873977178635250096e-02 1.160988484217874289e-01
3.155255115371236041e+00 9.449126957848567043e-01 6.873840510808459214e+01 2.244517966781195070e-02 1.121368481970256709e-01 1.197366874368504044e-02 1.134141684030745556e-01
2.896278901867784139e+00 9.391775487779314702e-01 6.808754101299611250e+01 2.204601120507026363e-02 1.216913879559991807e-01 5.791499616014773866e-02 4.007083024945504168e-01
3.120449354864257341e+00 9.649501201257421057e-01 6.897331054261896099e+01 2.245920051445805463e-02 1.196342917025449704e-01 1.050059968287577784e-02 1.453773878062716296e-01
2.951892092685592495e+00 9.990508120383503332e-01 6.863200569830370057e+01 2.208296645082446011e-02 1.111767829455835854e-01 1.547735073363882934e-02 7.691741573326742187e-02
2.986746350204889211e+00 9.826227029695143722e-01 6.892454730204471502e+01 2.250160800233556163e-02 1.217759168797306196e-01 3.699172067860067442e-02 1.994870680345501857e-01
3.040838226825054669e+00 9.116847996102931395e-01 6.841375903610762066e+01 2.256580247426176120e-02 1.132631910310114010e-01 8.938571402898984330e-02 2.189381985121316987e-01
2.962423770254857036e+00 9.926063733755325913e-01 6.849366551600797948e+01 2.255520912667354980e-02 1.125628356747435388e-01 8.252589792898200327e-02 5.352971729629338871e-01
2.953895624624645055e+00 9.617023902392357604e-01 6.842309507413871472e+01 2.221930537655556967e-02 1.144975986268078894e-01 5.973287449944161831e-02 3.820710030649034361e-01
3.063907699930199069e+00 9.518810385654163930e-01 6.953093106625344433e+01 2.250493135019177374e-02 1.232850282695445165e-01 7.493338008569128475e-03 3.363943378088213865e-01
3.138609302686504954e+00 9.021064725056200384e-01 6.824974409268801878e+01 2.207006599680776462e-02 1.131428108311688524e-01 2.689759178285960894e-02 3.036959113182480241e-01
2.867563854634413989e+00 9.707362607402840737e-01 6.875438872762967435e+01 2.206365126473828348e-02 1.158271706118063071e-01 5.465112481124675958e-02 7.032367317233205739e-01
2.975918251686012539e+00 9.748100000508503893e-01 6.786967468717915608e+01 2.239133581712835636e-02 1.123462972122236392e-01 1.844620654273796539e-02 6.328717674918632463e-01
3.110753546725208096e+00 9.651502054139140530e-01 6.913579246524416533e+01 2.215898295502595136e-02 1.267169325591773754e-01 3.608914485816818590e-02 1.320508370564105471e-01
3.143580896791831947e+00 9.826967994088247060e-01 6.831885783499694753e+01 2.246152104459009022e-02 1.150838983300003920e-01 1.837847369426854824e-02 7.090210670299197382e-01
3.029334540464594383e+00 9.475446991853273548e-01 6.843102681683002686e+01 2.201567617315467948e-02 1.129040094353175039e-01 9.850968677611374180e-02 5.049395274204482309e-02
2.860708393714084696e+00 9.218262380940041023e-01 6.827659079671859388e+01 2.236897066702501005e-02 1.158863762089275828e-01 6.929963622003848522e-02 3.812527218149057151e-01
2.972724191290288420e+00 9.403873422358801637e-01 6.857776322558740389e+01 2.221026397975802216e-02 1.238517256485538315e-01 6.305764303404826077e-02 1.117720947220421507e-01
2.885246157077539841e+00 9.732630522598194611e-01 6.837294750103961860e+01 2.249684641633922094e-02 1.204443659335783373e-01 9.332551808939162918e-02 1.203963305394520900e-01
2.916914237809438593e+00 9.062360638161770510e-01 6.940260295392182854e+01 2.246229781643239651e-02 1.277554351033025060e-01 2.604368320139640799e-02 5.529323133550234637e-01
2.955380089932442722e+00 9.000394100555756394e-01 6.864528762382180105e+01 2.256167775883522950e-02 1.178160567856369606e-01 7.776382091228811744e-02 6.602375363078171189e-01
3.073085852577892574e+00 9.046929866179113100e-01 6.831844180135503564e+01 2.226703835181501404e-02 1.161193566353487389e-01 4.715695402572439576e-03 1.288225189429772488e-01
2.914357018202840877e+00 9.944216894744295487e-01 6.881952080343418743e+01 2.225041451351371727e-02 1.168192963770914444e-01 8.049967454352264032e-03 2.009403518668757549e-01
3.091680173025926681e+00 9.644219065821197923e-01 6.915056907323621260e+01 2.231477851708814006e-02 1.267366843709278323e-01 3.739501206465078997e-02 2.746304115077337626e-01
2.844956846824007179e+00 9.884722610057877779e-01 6.878015330861143184e+01 2.213349285817642689e-02 1.178762755771799314e-01 1.599136238557247180e-02 4.149177958020009993e-01
2.864367081882060351e+00 9.426680315947513211e-01 6.901293494664335526e+01 2.203827696981152870e-02 1.189227568792989298e-01 7.205501971799337102e-02 4.491025948982345639e-01
2.813848172811706405e+00 9.756543452930312998e-01 6.850878396390248781e+01 2.259202765187255657e-02 1.174840845067938733e-01 7.428285296509505586e-02 6.052339862898508116e-01
2.807021317275575800e+00 9.349998484116364139e-01 6.879283450214400375e+01 2.249345910784420963e-02 1.160065077812046652e-01 5.785892033585188395e-03 4.906276462100067071e-01
2.848729754381585710e+00 9.613206932709479346e-01 6.837565631616925543e+01 2.247707861209828975e-02 1.169954270227970411e-01 9.159458439886061787e-02 1.055476495491270011e-01
3.001585874763504247e+00 9.380495856535736587e-01 6.909813416045126644e+01 2.254559291862599790e-02 1.127047368257945853e-01 5.987446055004107953e-02 1.458535027959337316e-01
2.883090820511445163e+00 9.021939457936120066e-01 6.920476777803295931e+01 2.246725861523823226e-02 1.211110619858074139e-01 7.896194914866276615e-02 2.830176682179901815e-01
2.907925921263423863e+00 9.503321929436095994e-01 6.872581677496422969e+01 2.219882050019539310e-02 1.144284552107757286e-01 6.178858450584628903e-02 4.364558324459332228e-01
2.893708663677498016e+00 9.315541187928878530e-01 6.880791530727827876e+01 2.219695712120265188e-02 1.255620606009463791e-01 7.350758228244734516e-02 3.230005193844970868e-01
2.904786961875243101e+00 9.723403612499965654e-01 6.892139758983556419e+01 2.227215304471997712e-02 1.245873367647178931e-01 1.267830423554966446e-02 3.028460345590356373e-01
3.068580856291157843e+00 9.003140333323854660e-01 6.792421429102816433e+01 2.241317958392836582e-02 1.101899389174274407e-01 1.088091618268576324e-02 6.708475024599828140e-01
3.155255115371236041e+00 9.449126957848567043e-01 6.873840510808459214e+01 2.244517966781195070e-02 1.121368481970256709e-01 1.197366874368504044e-02 1.134141684030745556e-01
2.895241952699164401e+00 9.143919706066496733e-01 6.844269970863514629e+01 2.226711598545414242e-02 1.158912759368978113e-01 7.555532209055179638e-02 3.207226401372118563e-01
2.933778215562911296e+00 9.796740344512523402e-01 6.884588853660854113e+01 2.241939093910347985e-02 1.170946995020413772e-01 5.980117739930029819e-02 1.902087802885883971e-01
2.926996190120020991e+00 9.250242217005765211e-01 6.879677055796328489e+01 2.239778392714202038e-02 1.178288969982952822e-01 1.549238051201767309e-02 1.625642959138564325e-01
2.872257947110088860e+00 9.537826753398532809e-01 6.890873809512513049e+01 2.219634823482150021e-02 1.154080778144137009e-01 8.410505663821493672e-02 6.018715584297026355e-01
2.917571255361200322e+00 9.853032047459574505e-01 6.853183038927313930e+01 2.253193166806742240e-02 1.107475412839090262e-01 8.037120198970339191e-02 3.854083972144329850e-01
3.132772154096780337e+00 9.938664767581282256e-01 6.802666567768177686e+01 2.223821785516185562e-02 1.200307959688697440e-01 3.261859051501200119e-02 6.093027364315035665e-01
2.830268803657776111e+00 9.261941784746899886e-01 6.880587498829528670e+01 2.230283985917455580e-02 1.148229748769334230e-01 3.706399035497457556e-02 4.393781090727139627e-01
3.040556752663700735e+00 9.687196247934509730e-01 6.826199800969762066e+01 2.256052470062433826e-02 1.170500889936924305e-01 8.323953925717937630e-02 4.754878594028856265e-01
3.189119909376099571e+00 9.772570018548670800e-01 6.892235999412177705e+01 2.226421305081622767e-02 1.151611053130231072e-01 7.238036979969104945e-02 4.031187524746514539e-01
2.939410753147322808e+00 9.860624979004577462e-01 6.877229139684678216e+01 2.240686973607050256e-02 1.133262685178331453e-01 9.291353260389212387e-02 6.339690874410268684e-01
3.172451349442949375e+00 9.458673282746972166e-01 6.832491294807479676e+01 2.201830746266092431e-02 1.151419854637351220e-01 5.194631930501376893e-02 6.032995143687669426e-01
3.009648595356225531e+00 9.304628252736690808e-01 6.861503275005556191e+01 2.228922959864974157e-02 1.171749876786873923e-01 9.677936652518588645e-02 3.790583161897193021e-01
3.000950590892936809e+00 9.192430647071073713e-01 6.874085115206446517e+01 2.201405147654350927e-02 1.224100826687731514e-01 2.873684508914482738e-02 5.841054641302486639e-01
2.987368551664080663e+00 9.740963220307589099e-01 6.871429619393636301e+01 2.232740213557355899e-02 1.188811630249510670e-01 4.217090993396669513e-02 4.359348597394345770e-01
3.141680351143914418e+00 9.458025215533241159e-01 6.744687542523901413e+01 2.201163294628343675e-02 1.109525850356348903e-01 4.500826216072754266e-02 4.465780000301913799e-01
2.933778134070170740e+00 9.770187255936571002e-01 6.919276678809661973e+01 2.237424720595888525e-02 1.237357684723973811e-01 8.597698590953629927e-02 3.508041805642233002e-01
3.037827584273076198e+00 9.517778474651839016e-01 6.880649542248713146e+01 2.230711872130479098e-02 1.224647991013114307e-01 3.033958885544628739e-02 2.163847284315063013e-01
3.192229565580615436e+00 9.645020253778229247e-01 6.874710954624589476e+01 2.227950334190440668e-02 1.209674782818170036e-01 4.436694581206934718e-03 1.929383191080322746e-01
3.131396848675712885e+00 9.534044427502450514e-01 6.845369644560777544e+01 2.203915948265331923e-02 1.152682634927868072e-01 5.587859735190042060e-02 7.050763092896974449e-01
3.030789428574859556e+00 9.389445267069749246e-01 6.856634660297875428e+01 2.218721997674255250e-02 1.182368254752676068e-01 5.117405535101805791e-02 6.326755058363716655e-01
2.926341188169227614e+00 9.322041758989456639e-01 6.814529135673330984e+01 2.207085116084355966e-02 1.106011932438068363e-01 1.205027548079202863e-02 7.207169783267003416e-01
2.932744363723647218e+00 9.398361007070831219e-01 6.843127606189104029e+01 2.235498910091408831e-02 1.129554896656332630e-01 8.772947848367203261e-02 1.948124422853672599e-01
3.001536491108165894e+00 9.590701316819721933e-01 6.863352678469038892e+01 2.222347667535624557e-02 1.138641313382415809e-01 9.854508518591484356e-02 8.244054936834707692e-02
2.942429463747261220e+00 9.150645093481459824e-01 6.851623823136273472e+01 2.242806498993893047e-02 1.182749301057220703e-01 7.598537366438795626e-02 6.700421942255554431e-01
3.022554114021966498e+00 9.459382111405638671e-01 6.779279080327253837e+01 2.209910484718573265e-02 1.165310537721323120e-01 9.370403169039615010e-02 1.997227456266245649e-01
3.154910912624899311e+00 9.345819774452761575e-01 6.809505980127980251e+01 2.227567007967711996e-02 1.225980138985317269e-01 1.363910800464574044e-03 6.407623500214757462e-01
3.064507999780470282e+00 9.355157202256263460e-01 6.898482862649875358e+01 2.217548403840331750e-02 1.223518383964749545e-01 4.585959036418077450e-02 3.582271432418416279e-01
2.914764408133334150e+00 9.595445465184921918e-01 6.809051646823965598e+01 2.255729434761636135e-02 1.105739453387786647e-01 9.210396605158277517e-02 6.186608967621766153e-01
3.046475736747262797e+00 9.500749705864637296e-01 6.904937571580563827e+01 2.256476288340160050e-02 1.217861064944020660e-01 9.556869808439329150e-02 4.778443137633806015e-02
2.808861665367368143e+00 9.773107284350196489e-01 6.851710580070754020e+01 2.227246311557325165e-02 1.191493293728068947e-01 1.606115636094552698e-02 6.330864288121247629e-02
3.058223865699559951e+00 9.529576328109250483e-01 6.859490902205591567e+01 2.244650646082581996e-02 1.198356954243677136e-01 6.560544007747637352e-02 2.265361042070730135e-01
2.937192586822289897e+00 9.477175123306091908e-01 6.916434257862179891e+01 2.212502081747274446e-02 1.209163477875691284e-01 1.460493647231935269e-02 5.858484602819699072e-01
2.900173334268337566e+00 9.333082159797968513e-01 6.853850563385074679e+01 2.249971671436829315e-02 1.177645234491445231e-01 9.332826469139743342e-02 6.395694531515710990e-01
3.139356907315932421e+00 9.334294700768556163e-01 6.821163304444741016e+01 2.242157146416884350e-02 1.150401507456075834e-01 8.435739774383298195e-02 6.142352499774190733e-01
2.955671926596341148e+00 9.057380391848086632e-01 6.937827486776096464e+01 2.237152847050345381e-02 1.212283573533430442e-01 3.135762463125688765e-02 3.036472882255072392e-01
3.066924427424919664e+00 9.516103981118393396e-01 6.923556378836241265e+01 2.250170944481797927e-02 1.266444564581265253e-01 3.388748645055743997e-02 3.859472802581243589e-01
3.190335681470530815e+00 9.903455941565484366e-01 6.880960846316268942e+01 2.243986740038530700e-02 1.160685377419132525e-01 8.558502221093687579e-02 3.123714186695080719e-01
2.917156715057675154e+00 9.874173413431912572e-01 6.860504743628561641e+01 2.241107133605732549e-02 1.162040795454104269e-01 5.315776453527004675e-02 5.401201194301386010e-01
2.904786961875243101e+00 9.723403612499965654e-01 6.892139758983556419e+01 2.227215304471997712e-02 1.245873367647178931e-01 1.267830423554966446e-02 3.028460345590356373e-01
2.833581725872697188e+00 9.961999300418384884e-01 6.929410891143747619e+01 2.252683360567829182e-02 1.161981135688526651e-01 3.443428886641942965e-02 4.410468254303165914e-01
3.155870759045466656e+00 9.795900582441512405e-01 6.856685665401583663e+01 2.238187253972370380e-02 1.261701414402860710e-01 7.258466189382806188e-02 3.909236855996338633e-01
3.189596166447740355e+00 9.188575827519108730e-01 6.800993563729909397e+01 2.211871444746324120e-02 1.150948031942859023e-01 3.734852947884855640e-02 1.828846232480195733e-01
2.833581725872697188e+00 9.961999300418384884e-01 6.929410891143747619e+01 2.252683360567829182e-02 1.161981135688526651e-01 3.443428886641942965e-02 4.410468254303165914e-01
3.111888836024749860e+00 9.501580939126373915e-01 6.821850038510071101e+01 2.221472130634798842e-02 1.191959281534274301e-01 7.716163807969124433e-02 2.907502128692059373e-01
3.017212796175514633e+00 9.410316789564158180e-01 6.830749785130606710e+01 2.219284038580380397e-02 1.145862133484925327e-01 5.695829426932191852e-02 1.973438873034565402e-02
2.813572156075334174e+00 9.380296979858642192e-01 6.865925445542379180e+01 2.225555940577897754e-02 1.114049572529567100e-01 9.898577609149843137e-02 4.822384987598696826e-01
2.818068387737337588e+00 9.372688501387121951e-01 6.851090611957245358e+01 2.233355680610979790e-02 1.177393735498992872e-01 7.924184824371438562e-02 1.452087604844385094e-01
2.858578165083743183e+00 9.599617899877155303e-01 6.878222897493843391e+01 2.239058354630965586e-02 1.221639649231572033e-01 2.745781712174969608e-02 2.919043532744157177e-01
2.803449216639484654e+00 9.506768928633845261e-01 6.902829145152689705e+01 2.210231589662344301e-02 1.151538594701308343e-01 6.459107750722227481e-02 3.056481121339276741e-01
2.872420442891970627e+00 9.177445461490360001e-01 6.904351584136685460e+01 2.255486261318759983e-02 1.140604541173092651e-01 1.292367607632197851e-02 9.442906055981727109e-02
2.876645586628542528e+00 9.769720566131637751e-01 6.787151770623721347e+01 2.226612794144771507e-02 1.109086827437522488e-01 4.493727969442530557e-02 7.069502363635046804e-02
3.048264909855578075e+00 9.222129823892856182e-01 6.825991700252352246e+01 2.231297270053042917e-02 1.124836162388480471e-01 7.860787750060794013e-03 2.892233595295580773e-01
3.047200848000371831e+00 9.214445045363073294e-01 6.928604012999571182e+01 2.258192406995855259e-02 1.203357582550148436e-01 3.069044015091380168e-02 8.737751080681618876e-02
2.806195037766262335e+00 9.104755533065187478e-01 6.919037895882780731e+01 2.257803008888633473e-02 1.183660076258821608e-01 8.465370682115637424e-02 4.144535357602155412e-01
