logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.840000000000000000e+02 -inf -inf nan
-inf nan -2.068253064059019739e-03 4.830000000000000000e+02 -inf -inf nan
-inf nan -4.140792666031402683e-03 4.820000000000000000e+02 -inf -inf nan
-inf nan -6.217636610870527249e-03 4.810000000000000000e+02 -inf -inf nan
-inf nan -8.298802814695095328e-03 4.800000000000000000e+02 -inf -inf nan
-inf nan -1.038430930571647426e-02 4.790000000000000000e+02 -inf -inf nan
-inf nan -1.247417422517573329e-02 4.780000000000000000e+02 -inf -inf nan
-inf nan -1.456841582829049297e-02 4.770000000000000000e+02 -inf -inf nan
-inf nan -1.666705248521170579e-02 4.760000000000000000e+02 -inf -inf nan
-inf nan -1.877010268199050258e-02 4.750000000000000000e+02 -inf -inf nan
-inf nan -2.087758502155521653e-02 4.740000000000000000e+02 -inf -inf nan
-inf nan -2.298951822469874270e-02 4.730000000000000000e+02 -inf -inf nan
-inf nan -2.510592113107633014e-02 4.720000000000000000e+02 -inf -inf nan
-inf nan -2.722681270021395927e-02 4.710000000000000000e+02 -inf -inf nan
-inf nan -2.935221201252743647e-02 4.700000000000000000e+02 -inf -inf nan
-inf nan -3.148213827035234447e-02 4.690000000000000000e+02 -inf -inf nan
-inf nan -3.361661079898497356e-02 4.680000000000000000e+02 -inf -inf nan
-inf nan -3.575564904773440023e-02 4.670000000000000000e+02 -inf -inf nan
-inf nan -3.789927259098583440e-02 4.660000000000000000e+02 -inf -inf nan
-inf nan -4.004750112927539518e-02 4.650000000000000000e+02 -inf -inf nan
-inf nan -4.220035449037644326e-02 4.640000000000000000e+02 -inf -inf nan
-inf nan -4.435785263039763310e-02 4.630000000000000000e+02 -inf -inf nan
-inf nan -4.652001563489285840e-02 4.620000000000000000e+02 -inf -inf nan
-inf nan -4.868686371998318801e-02 4.610000000000000000e+02 -inf -inf nan
-inf nan -5.085841723349102117e-02 4.600000000000000000e+02 -inf -inf nan
-inf nan -5.303469665608655237e-02 4.590000000000000000e+02 -inf -inf nan
-inf nan -5.521572260244674707e-02 4.580000000000000000e+02 -inf -inf nan
-inf nan -5.740151582242700862e-02 4.570000000000000000e+02 -inf -inf nan
-inf nan -5.959209720224562662e-02 4.560000000000000000e+02 -inf -inf nan
-inf nan -6.178748776568129125e-02 4.550000000000000000e+02 -inf -inf nan
-inf nan -6.398770867528372208e-02 4.540000000000000000e+02 -inf -inf nan
-inf nan -6.619278123359768895e-02 4.530000000000000000e+02 -inf -inf nan
-inf nan -6.840272688440052207e-02 4.520000000000000000e+02 -inf -inf nan
-inf nan -7.061756721395336112e-02 4.510000000000000000e+02 -inf -inf nan
-inf nan -7.283732395226626133e-02 4.500000000000000000e+02 -inf -inf nan
-inf nan -7.506201897437740633e-02 4.490000000000000000e+02 -inf -inf nan
-inf nan -7.729167430164653185e-02 4.480000000000000000e+02 -inf -inf nan
-inf nan -7.952631210306286558e-02 4.470000000000000000e+02 -inf -inf nan
-inf nan -8.176595469656762483e-02 4.460000000000000000e+02 -inf -inf nan
-inf nan -8.401062455039147447e-02 4.450000000000000000e+02 -inf -inf nan
-inf nan -8.626034428440693125e-02 4.440000000000000000e+02 -inf -inf nan
-inf nan -8.851513667149604747e-02 4.430000000000000000e+02 -inf -inf nan
-inf nan -9.077502463893355467e-02 4.420000000000000000e+02 -inf -inf nan
-inf nan -9.304003126978568905e-02 4.410000000000000000e+02 -inf -inf nan
-inf nan -9.531017980432483772e-02 4.400000000000000000e+02 -inf -inf nan
-inf nan -9.758549364146033855e-02 4.390000000000000000e+02 -inf -inf nan
-inf nan -9.986599634018555882e-02 4.380000000000000000e+02 -inf -inf nan
-inf nan -1.021517116210415438e-01 4.370000000000000000e+02 -inf -inf nan
-inf nan -1.044426633675973742e-01 4.360000000000000000e+02 -inf -inf nan
-inf nan -1.067388756279475936e-01 4.350000000000000000e+02 -inf -inf nan
-inf nan -1.090403726162268300e-01 4.340000000000000000e+02 -inf -inf nan
-inf nan -1.113471787141418479e-01 4.330000000000000000e+02 -2.006296139007808677e+02 -2.068116988074974927e+02 nan
-2.068116988074974927e+02 nan -1.136593184725213784e-01 4.320000000000000000e+02 -1.879751988084509833e+02 -1.941572837151676083e+02 nan
-1.941572805217430471e+02 nan -1.159768166128839068e-01 4.310000000000000000e+02 -1.765553371964376481e+02 -1.827374221031542731e+02 nan
-1.827374111278613213e+02 7.401995801048204981e+00 -1.182996980290235839e-01 4.300000000000000000e+02 -1.714129894717414686e+02 -1.775950743784580936e+02 nan
-1.775892473707500585e+02 2.538759094292443397e+00 -1.206279877886147212e-01 4.290000000000000000e+02 -1.696822569139182235e+02 -1.758643418206348485e+02 nan
-1.757003625590980675e+02 6.648641977211210419e-01 -1.229617111348348946e-01 4.280000000000000000e+02 -1.696752686988681944e+02 -1.758573536055848194e+02 nan
-1.750826332867302995e+02 3.025880596727203997e-01 -1.253008934880071312e-01 4.270000000000000000e+02 -1.660221124802726536e+02 -1.722041973869892786e+02 nan
-1.721494983982332485e+02 1.671659111690972699e+00 -1.276455604472612748e-01 4.260000000000000000e+02 -1.603383233180477987e+02 -1.665204082247644237e+02 nan
-1.665168228182290306e+02 3.477320532892334448e+00 -1.299957377922148771e-01 4.250000000000000000e+02 -1.602928391595487483e+02 -1.664749240662653733e+02 nan
-1.658025068395594133e+02 3.534896675039567171e-01 -1.323514514846739487e-01 4.240000000000000000e+02 -1.521564182434650547e+02 -1.583385031501816798e+02 nan
-1.583379299584568685e+02 3.816715041273647469e+00 -1.347127276703537491e-01 4.230000000000000000e+02 -1.521530633392360983e+02 -1.583351482459527233e+02 nan
-1.576433909544045946e+02 3.645060437748461002e+00 -1.370795926806199216e-01 4.220000000000000000e+02 -1.514070563502851030e+02 -1.575891412570017280e+02 nan
-1.569227510915374069e+02 4.206172907568899721e-01 -1.394520730342503068e-01 4.210000000000000000e+02 -1.508614822772867399e+02 -1.570435671840033649e+02 nan
-1.562881884997873669e+02 4.276469749367624584e-01 -1.418301954392177378e-01 4.200000000000000000e+02 -1.495627185576611566e+02 -1.557448034643777817e+02 nan
-1.552868857237417046e+02 7.629935096718736265e-01 -1.442139867944939868e-01 4.190000000000000000e+02 -1.494680790449576193e+02 -1.556501639516742443e+02 nan
-1.547589711933472927e+02 9.019699881725936619e-01 -1.466034741918754158e-01 4.180000000000000000e+02 -1.451315140931817780e+02 -1.513135989998984030e+02 nan
-1.512822041274611991e+02 2.300984622461138773e+00 -1.489986849178302764e-01 4.170000000000000000e+02 -1.450892415501225230e+02 -1.512713264568391480e+02 nan
-1.505836033211983818e+02 2.385557055562593565e+00 -1.513996464553684362e-01 4.160000000000000000e+02 -1.421800610308295347e+02 -1.483621459375461598e+02 nan
-1.482591824473865643e+02 8.306656416950652932e-01 -1.538063864859334218e-01 4.150000000000000000e+02 -1.417867805750630339e+02 -1.479688654817796589e+02 nan
-1.474103780837528745e+02 4.185605595307585469e-01 -1.562189328913173303e-01 4.140000000000000000e+02 -1.410475554142922476e+02 -1.472296403210088727e+02 nan
-1.466227843000781945e+02 4.655024252253027184e-01 -1.586373137555989465e-01 4.130000000000000000e+02 -1.397462449315924857e+02 -1.459283298383091108e+02 nan
-1.455233003007444665e+02 6.081631465680112925e-01 -1.610615573671053125e-01 4.120000000000000000e+02 -1.397409383933937477e+02 -1.459230233001103727e+02 nan
-1.450101738753542122e+02 8.137795843689575870e-01 -1.634916922203970835e-01 4.110000000000000000e+02 -1.393781688341143763e+02 -1.455602537408310013e+02 nan
-1.445547106130864279e+02 8.730547824628919207e-01 -1.659277470182781988e-01 4.100000000000000000e+02 -1.390900500154088206e+02 -1.452721349221254457e+02 nan
-1.441572725722967334e+02 4.191639491833507591e-01 -1.683697506738299488e-01 4.090000000000000000e+02 -1.387144574462945741e+02 -1.448965423530111991e+02 nan
-1.437669465232774826e+02 3.252187912901501332e-01 -1.708177323124699942e-01 4.080000000000000000e+02 -1.386355336174176500e+02 -1.448176185241342750e+02 nan
-1.434670621997960041e+02 4.357395570036153298e-01 -1.732717212740366997e-01 4.070000000000000000e+02 -1.374108946496482133e+02 -1.435929795563648383e+02 nan
-1.428348931078585338e+02 6.571251177396768561e-01 -1.757317471148990562e-01 4.060000000000000000e+02 -1.371428542946306663e+02 -1.433249392013472914e+02 nan
-1.423570464676218990e+02 8.441630133713822204e-01 -1.781978396100925566e-01 4.050000000000000000e+02 -1.369314307071421695e+02 -1.431135156138587945e+02 nan
-1.419722463455094044e+02 5.639626060887934500e-01 -1.806700287554816320e-01 4.040000000000000000e+02 -1.363032234405707754e+02 -1.424853083472874005e+02 nan
-1.415030807720275163e+02 7.225124774545519379e-01 -1.831483447699487066e-01 4.030000000000000000e+02 -1.360280870441320928e+02 -1.422101719508487179e+02 nan
-1.411022420930289343e+02 8.155245547260898675e-01 -1.856328180976106190e-01 4.020000000000000000e+02 -1.349388798434780767e+02 -1.411209647501947018e+02 nan
-1.404184124244554255e+02 4.547307596765668980e-01 -1.881234794100624941e-01 4.010000000000000000e+02 -1.345995387074859480e+02 -1.407816236142025730e+02 nan
-1.398904703967174896e+02 4.875139359794504745e-01 -1.906203596086497032e-01 4.000000000000000000e+02 -1.273722116766290782e+02 -1.335555463229290467e+02 9.499999999999999556e-01
-1.335555463229290467e+02 2.968575018775707619e+00 -1.931203596086497054e-01 4.000000000000000000e+02 -1.272896331619530486e+02 -1.334754678082530006e+02 1.304999999999999938e+00
-1.328215585280475182e+02 3.064498845153807771e+00 -1.956203596086497076e-01 4.000000000000000000e+02 -1.269799633254145164e+02 -1.331682979717144804e+02 1.840000000000000080e+00
-1.322868272266930489e+02 1.395090624914546940e+00 -1.981203596086497098e-01 4.000000000000000000e+02 -1.268379519804907147e+02 -1.330287866267906907e+02 1.499999999999999944e-02
-1.318973695745131067e+02 1.094522989774425525e+00 -2.006203596086497121e-01 4.000000000000000000e+02 -1.267946488919639734e+02 -1.329879835382639328e+02 7.299999999999999822e-01
-1.316076819153534245e+02 9.944035008359664030e-01 -2.031203596086497143e-01 4.000000000000000000e+02 -1.245268585634593990e+02 -1.307226932097593703e+02 1.465000000000000080e+00
-1.303771771105231778e+02 1.108692654707849945e+00 -2.056203596086497165e-01 4.000000000000000000e+02 -1.238651774589018260e+02 -1.300635121052017951e+02 1.344999999999999973e+00
-1.295149492975097587e+02 1.435552507738585115e+00 -2.081203596086497187e-01 4.000000000000000000e+02 -1.222717310981106493e+02 -1.284725657444106162e+02 1.504999999999999893e+00
-1.281705273139905046e+02 1.258031332878851050e+00 -2.106203596086497210e-01 4.000000000000000000e+02 -1.222311604108174379e+02 -1.284344950571174024e+02 6.550000000000000266e-01
-1.276006793042544274e+02 1.265481856225383339e+00 -2.131203596086497232e-01 4.000000000000000000e+02 -1.220570185378309134e+02 -1.282628531841308757e+02 3.150000000000000022e-01
-1.271847828046859092e+02 1.408118921563889181e+00 -2.156203596086497254e-01 4.000000000000000000e+02 -1.212952389510147242e+02 -1.275035735973146842e+02 9.100000000000000311e-01
-1.266383810051067229e+02 1.207214475604936998e+00 -2.181203596086497276e-01 4.000000000000000000e+02 -1.195836622494291106e+02 -1.257944968957290683e+02 8.050000000000000488e-01
-1.254367966022927448e+02 1.708335160028952693e+00 -2.206203596086497298e-01 4.000000000000000000e+02 -1.189791455006350276e+02 -1.251924801469349973e+02 2.250000000000000056e-01
-1.246140483613268373e+02 1.831841909496771059e+00 -2.231203596086497321e-01 4.000000000000000000e+02 -1.180361423248298820e+02 -1.242519769711298494e+02 1.370000000000000107e+00
-1.237235672604561785e+02 2.150694886148469820e+00 -2.256203596086497343e-01 4.000000000000000000e+02 -1.179852984848053552e+02 -1.242036331311053203e+02 5.999999999999999778e-01
-1.232419175647437726e+02 7.461358954181633862e-01 -2.281203596086497365e-01 4.000000000000000000e+02 -1.177855389680198499e+02 -1.240063736143198128e+02 1.165000000000000036e+00
-1.228596616391338188e+02 6.970419827182363637e-01 -2.306203596086497387e-01 4.000000000000000000e+02 -1.172205424040772499e+02 -1.234438770503772105e+02 8.649999999999999911e-01
-1.224165519745319131e+02 5.377240614599220203e-01 -2.331203596086497409e-01 4.000000000000000000e+02 -1.151788468847328346e+02 -1.214046815310327929e+02 6.500000000000000222e-01
-1.210945984707781236e+02 9.798552387144425779e-01 -2.356203596086497432e-01 4.000000000000000000e+02 -1.142980537015232727e+02 -1.205263883478232287e+02 1.110000000000000098e+00
-1.200775198974266971e+02 1.032956855285838804e+00 -2.381203596086497454e-01 4.000000000000000000e+02 -1.131557840170493563e+02 -1.193866186633493243e+02 2.800000000000000266e-01
-1.189804043457987746e+02 1.011306372120559294e+00 -2.406203596086497476e-01 4.000000000000000000e+02 -1.119634814264048117e+02 -1.181968160727047774e+02 1.300000000000000044e+00
-1.178205984851838366e+02 8.430224698059104460e-01 -2.431203596086497498e-01 4.000000000000000000e+02 -1.114084671367575936e+02 -1.176443017830575570e+02 7.700000000000000178e-01
-1.170354229085084654e+02 9.244239326212478902e-01 -2.456203596086497520e-01 4.000000000000000000e+02 -1.109470028128232002e+02 -1.171853374591231614e+02 1.020000000000000018e+00
-1.164144263334759728e+02 1.281187370446820406e+00 -2.481203596086497543e-01 4.000000000000000000e+02 -1.107052448989724667e+02 -1.169460795452724255e+02 1.669999999999999929e+00
-1.159521823041340127e+02 1.388577968801245621e+00 -2.506203596086497565e-01 4.000000000000000000e+02 -1.084019901332202807e+02 -1.146453247795202373e+02 1.774999999999999911e+00
-1.144057810155641732e+02 1.318155839291993203e+00 -2.531203596086497587e-01 4.000000000000000000e+02 -1.080955149968236384e+02 -1.143413496431236069e+02 1.294999999999999929e+00
-1.136798993133009219e+02 1.685195475600131498e+00 -2.556203596086497609e-01 4.000000000000000000e+02 -1.072072278392266327e+02 -1.134555624855265989e+02 6.949999999999999512e-01
-1.128683059899344414e+02 1.183755177742202847e+00 -2.581203596086497631e-01 4.000000000000000000e+02 -1.071139766791711878e+02 -1.133648113254711518e+02 1.415000000000000036e+00
-1.123929081923742928e+02 1.101454438717243800e+00 -2.606203596086497654e-01 4.000000000000000000e+02 -1.064868997105250799e+02 -1.127402343568250416e+02 5.899999999999999689e-01
-1.118584198533539649e+02 8.522712192181287616e-01 -2.631203596086497676e-01 4.000000000000000000e+02 -1.057750921607073451e+02 -1.120309268070073045e+02 1.949999999999999956e+00
-1.112478109217396280e+02 5.551348794180086532e-01 -2.656203596086497698e-01 4.000000000000000000e+02 -1.056195655545561038e+02 -1.118779002008560610e+02 8.000000000000000167e-02
-1.108208816564578569e+02 6.984024807591930895e-01 -2.681203596086497720e-01 4.000000000000000000e+02 -1.051734107439512655e+02 -1.114342453902512347e+02 1.314999999999999947e+00
-1.103881086581723849e+02 7.857309353158785648e-01 -2.706203596086497742e-01 4.000000000000000000e+02 -1.040817965615329541e+02 -1.103451312078329209e+02 7.700000000000000178e-01
-1.096732418875547381e+02 8.966773905184620697e-01 -2.731203596086497765e-01 4.000000000000000000e+02 -1.033882760784601942e+02 -1.096541107247601587e+02 1.344999999999999973e+00
-1.089704833761214502e+02 9.339823600355512401e-01 -2.756203596086497787e-01 4.000000000000000000e+02 -1.025674387462947834e+02 -1.088357733925947457e+02 1.334999999999999964e+00
-1.082077145694017446e+02 8.177744542083967838e-01 -2.781203596086497809e-01 4.000000000000000000e+02 -1.015588743982404338e+02 -1.078297090445403938e+02 5.999999999999999778e-02
-1.073078089409010119e+02 1.088675968219927626e+00 -2.806203596086497831e-01 4.000000000000000000e+02 -1.004352117463651979e+02 -1.067085463926651556e+02 9.399999999999999467e-01
-1.062707970685822829e+02 1.263336070010107948e+00 -2.831203596086497853e-01 4.000000000000000000e+02 -1.000319103177456270e+02 -1.063077449640455825e+02 1.879999999999999893e+00
-1.055959532020870881e+02 8.707627601773139103e-01 -2.856203596086497876e-01 4.000000000000000000e+02 -9.997088574104078873e+01 -1.062492203873407561e+02 3.500000000000000333e-02
-1.051770172744175511e+02 6.788595841415521193e-01 -2.881203596086497898e-01 4.000000000000000000e+02 -9.928499583305409715e+01 -1.055658304793540623e+02 1.284999999999999920e+00
-1.046594975784779535e+02 8.970728490131723021e-01 -2.906203596086497920e-01 4.000000000000000000e+02 -9.888657734943147659e+01 -1.051699119957314394e+02 9.649999999999999689e-01
-1.041893397269740262e+02 8.543291347296522176e-01 -2.931203596086497942e-01 4.000000000000000000e+02 -9.425676131356323140e+01 -1.005425959598631920e+02 1.165000000000000036e+00
-1.005168542393503088e+02 2.156847869794820571e+00 -2.956203596086497964e-01 4.000000000000000000e+02 -9.404330463260920681e+01 -1.003316392789091651e+02 1.175000000000000044e+00
-9.972681762108165060e+01 2.263243920543053900e+00 -2.981203596086497987e-01 4.000000000000000000e+02 -9.354956957943817031e+01 -9.984040422573812634e+01 1.150000000000000050e-01
-9.908885186948661783e+01 2.212745015027921980e+00 -3.006203596086498009e-01 4.000000000000000000e+02 -9.289795213544714159e+01 -9.919128678174710956e+01 1.499999999999999944e-02
-9.844561110419354577e+01 2.172896352903872064e+00 -3.031203596086498031e-01 4.000000000000000000e+02 -9.132786531555720444e+01 -9.762369996185717014e+01 1.574999999999999956e+00
-9.725934110342755901e+01 2.580783628567550725e+00 -3.056203596086498053e-01 4.000000000000000000e+02 -9.129075107523749466e+01 -9.758908572153745808e+01 1.580000000000000071e+00
-9.671753592581822545e+01 8.955967196458246571e-01 -3.081203596086498075e-01 4.000000000000000000e+02 -9.119979740907390919e+01 -9.750063205537387034e+01 5.999999999999999778e-02
-9.634116400207707898e+01 6.224282878239804084e-01 -3.106203596086498098e-01 4.000000000000000000e+02 -8.771524933138077529e+01 -9.401858397768073417e+01 8.050000000000000488e-01
-9.392507508817594442e+01 1.721199627618969608e+00 -3.131203596086498120e-01 4.000000000000000000e+02 -8.646819363196831887e+01 -9.277402827826827547e+01 9.849999999999999867e-01
-9.249919934137764699e+01 1.995867268300164143e+00 -3.156203596086498142e-01 4.000000000000000000e+02 -8.573936452324230117e+01 -9.204769916954226971e+01 6.899999999999999467e-01
-9.155503406408935518e+01 1.315774160137217041e+00 -3.181203596086498164e-01 4.000000000000000000e+02 -8.550701087077372620e+01 -9.181784551707369246e+01 7.099999999999999645e-01
-9.098468361084023570e+01 7.708236600004865213e-01 -3.206203596086498187e-01 4.000000000000000000e+02 -8.524583927467821809e+01 -9.155917392097818208e+01 1.735000000000000098e+00
-9.053808183972377321e+01 4.548959450092005530e-01 -3.231203596086498209e-01 4.000000000000000000e+02 -8.499486825554902225e+01 -9.131070290184898397e+01 6.400000000000000133e-01
-9.015841255376349750e+01 6.451943838784259810e-01 -3.256203596086498231e-01 4.000000000000000000e+02 -8.493676074532885423e+01 -9.125509539162881367e+01 1.900000000000000022e-01
-8.987024776948813098e+01 5.635583577499065910e-01 -3.281203596086498253e-01 4.000000000000000000e+02 -8.465485045735694314e+01 -9.097568510365690031e+01 1.514999999999999902e+00
-8.958426759638928161e+01 5.272115660605177778e-01 -3.306203596086498275e-01 4.000000000000000000e+02 -8.447926102133165216e+01 -9.080259566763162127e+01 8.399999999999999689e-01
-8.932519784240864169e+01 6.981736722497923209e-01 -3.331203596086498298e-01 4.000000000000000000e+02 -8.442460999729235027e+01 -9.075044464359231711e+01 1.054999999999999938e+00
-8.910972434065686798e+01 7.063006471129087416e-01 -3.356203596086498320e-01 4.000000000000000000e+02 -8.405719518669893375e+01 -9.038552983299889831e+01 7.199999999999999734e-01
-8.886348478384785210e+01 7.562397058391788773e-01 -3.381203596086498342e-01 4.000000000000000000e+02 -8.255242422644758449e+01 -8.888325887274754677e+01 8.850000000000000089e-01
-8.818017577171006849e+01 9.480537027169878561e-01 -3.406203596086498364e-01 4.000000000000000000e+02 -8.249019576458690040e+01 -8.882353041088686041e+01 1.799999999999999933e-01
-8.775783616754858940e+01 9.624744797849459355e-01 -3.431203596086498386e-01 4.000000000000000000e+02 -8.167991553836870366e+01 -8.801575018466866140e+01 8.449999999999999734e-01
-8.718535398499105327e+01 6.762671502617083608e-01 -3.456203596086498409e-01 4.000000000000000000e+02 -8.091568702301539417e+01 -8.725402166931536385e+01 1.524999999999999911e+00
-8.652595135599801779e+01 9.020903226637536632e-01 -3.481203596086498431e-01 4.000000000000000000e+02 -8.063384643511970751e+01 -8.697468108141967491e+01 1.900000000000000022e-01
-8.603220762307604730e+01 8.340901273611319722e-01 -3.506203596086498453e-01 4.000000000000000000e+02 -7.963318690998809757e+01 -8.597652155628806270e+01 7.700000000000000178e-01
-8.531082984193984942e+01 1.092731838714510628e+00 -3.531203596086498475e-01 4.000000000000000000e+02 -7.860998508042138155e+01 -8.495581972672134441e+01 1.260000000000000009e+00
-8.442450562225049282e+01 1.391353492974719774e+00 -3.556203596086498497e-01 4.000000000000000000e+02 -7.796914762048709235e+01 -8.431748226678705294e+01 1.155000000000000027e+00
-8.367641569691319603e+01 1.603304619192769565e+00 -3.581203596086498520e-01 4.000000000000000000e+02 -7.744382866832458490e+01 -8.379466331462454320e+01 2.500000000000000139e-02
-8.304064553015663819e+01 1.761638173673016672e+00 -3.606203596086498542e-01 4.000000000000000000e+02 -7.648392222159591824e+01 -8.283725686789587428e+01 1.110000000000000098e+00
-8.224064203809896867e+01 1.738004742855691731e+00 -3.631203596086498564e-01 4.000000000000000000e+02 -7.634289145694700096e+01 -8.269872610324696893e+01 1.129999999999999893e+00
-8.175053294552607497e+01 1.921793313699965422e+00 -3.656203596086498586e-01 4.000000000000000000e+02 -7.533585306247643132e+01 -8.169418770877639702e+01 5.500000000000000028e-02
-8.102881635086330903e+01 8.362505462867670936e-01 -3.681203596086498608e-01 4.000000000000000000e+02 -7.451368802343534981e+01 -8.087452266973531323e+01 1.665000000000000036e+00
-8.025554945938839069e+01 9.480506788399599705e-01 -3.706203596086498631e-01 4.000000000000000000e+02 -7.420413851262948413e+01 -8.056747315892944528e+01 1.300000000000000044e+00
-7.970625106698356888e+01 3.735862967965158932e-01 -3.731203596086498653e-01 4.000000000000000000e+02 -7.390278520884120894e+01 -8.026861985514116782e+01 1.334999999999999964e+00
-7.925526615753980764e+01 4.452407468650704248e-01 -3.756203596086498675e-01 4.000000000000000000e+02 -7.277277954687372130e+01 -7.914111419317367790e+01 1.020000000000000018e+00
-7.850341504452481445e+01 5.885969818846160662e-01 -3.781203596086498697e-01 4.000000000000000000e+02 -7.267835611833490361e+01 -7.904919076463487215e+01 1.385000000000000009e+00
-7.804637497858048789e+01 3.760093723187518111e-01 -3.806203596086498719e-01 4.000000000000000000e+02 -7.252859591246139814e+01 -7.890193055876136441e+01 1.229999999999999982e+00
-7.769217019853040540e+01 6.988325687253206242e-01 -3.831203596086498742e-01 4.000000000000000000e+02 -7.236147547486589815e+01 -7.873731012116586214e+01 3.449999999999999734e-01
-7.739084959522145368e+01 6.613691931221322706e-01 -3.856203596086498764e-01 4.000000000000000000e+02 -7.170397875454369796e+01 -7.808231340084365968e+01 1.049999999999999961e-01
