weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
0.000000000000000000e+00 -inf 2.854522581109433244e+00 9.197995343108855693e-01 7.201700360088214836e+01 2.240700462070651516e-02 1.202724871919126221e-01 4.162896463638693367e-02 7.271458279903786348e-01
0.000000000000000000e+00 -inf 2.949005672583004500e+00 9.813893062991454475e-01 6.825271023090103029e+01 2.230533880634100186e-02 1.209204457728646209e-01 7.642329446996208586e-02 7.749251897421345348e-01
0.000000000000000000e+00 -inf 2.942086465964996123e+00 9.828351319181587442e-01 7.269233118627415990e+01 2.249293334638087505e-02 1.135212188452251192e-01 5.918123093724413780e-02 7.514036991296892953e-01
0.000000000000000000e+00 -inf 3.005076802670613834e+00 9.723395791078086603e-01 7.441373497653262348e+01 2.231656880103326940e-02 1.248680859155705397e-01 2.533542204174324061e-02 7.640754973871429767e-01
0.000000000000000000e+00 -inf 3.140721222587353090e+00 9.403353651115584633e-01 7.001465198234377851e+01 2.214599446345766331e-02 1.292368236505016255e-01 5.690921353806784044e-02 7.265523010626555589e-01
0.000000000000000000e+00 -inf 2.838152273359413780e+00 9.511491178326664242e-01 7.114963838270307406e+01 2.257383343351809790e-02 1.272873202218469946e-01 5.682999806745991228e-02 7.662174150389995386e-01
0.000000000000000000e+00 -inf 2.876711295782279354e+00 9.094020331939084434e-01 6.572101344778681664e+01 2.203627317285286602e-02 1.291276833335605057e-01 6.560072126172410145e-02 7.624589350677839494e-01
0.000000000000000000e+00 -inf 3.165861953417828722e+00 9.117220907634524529e-01 7.157599073215536123e+01 2.200426888869266850e-02 1.248716554946213281e-01 8.498321930628384424e-02 7.149624586407287152e-01
0.000000000000000000e+00 -inf 3.112570029128175264e+00 9.881009482618787754e-01 6.988836130559568005e+01 2.247014197030570287e-02 1.178219679039214929e-01 5.726444126220358449e-02 7.494883087764401264e-01
0.000000000000000000e+00 -inf 2.873735724132155500e+00 9.708345552126448341e-01 7.144230232125154600e+01 2.231854498197463274e-02 1.225585950596282253e-01 1.752609684848447508e-02 7.629302536551924030e-01
0.000000000000000000e+00 -inf 2.862271355540919604e+00 9.709406690009786400e-01 6.960243976245592989e+01 2.231491244482709455e-02 1.171804879550016887e-01 9.829064408971538436e-02 7.555740038238565326e-01
0.000000000000000000e+00 -inf 3.196325719563857248e+00 9.007045088814500389e-01 6.808833262435891243e+01 2.205396496192156205e-02 1.212870717518571562e-01 1.767469320499162264e-02 7.222742315231847066e-01
0.000000000000000000e+00 -inf 2.940759625911200992e+00 9.225034501795160713e-01 7.210553041736513080e+01 2.226934576397793589e-02 1.142897530066206008e-01 4.411125572813217460e-02 7.984135680200588059e-01
0.000000000000000000e+00 -inf 2.870666784016984163e+00 9.942416210364225515e-01 7.080692852869680110e+01 2.218238073641502772e-02 1.199170007522127740e-01 8.658726342451070201e-02 7.659715645239649762e-01
0.000000000000000000e+00 -inf 3.191544197472428568e+00 9.641149049507896640e-01 6.569271280352134568e+01 2.206126609615166947e-02 1.130957243506090781e-01 1.402319856056272185e-02 7.895850533259490822e-01
0.000000000000000000e+00 -inf 2.927270727388040505e+00 9.746205409722273894e-01 6.955321679433208715e+01 2.203231717218838426e-02 1.191048233289373481e-01 4.587608842286788891e-02 7.916402505237396525e-01
0.000000000000000000e+00 -inf 2.859186268668535646e+00 9.348951624099446356e-01 7.138918469666693056e+01 2.246203230061579251e-02 1.119643565922580214e-01 4.749535436693507612e-02 7.452807350957344479e-01
0.000000000000000000e+00 -inf 2.859795762098238381e+00 9.295954227147391613e-01 7.345389435186160654e+01 2.252186530679539667e-02 1.297554472825369620e-01 7.323497791019828451e-02 7.852793691199040360e-01
0.000000000000000000e+00 -inf 2.970178782401668993e+00 9.084222134815675975e-01 7.058756597694674895e+01 2.217261243014125721e-02 1.255452681713980778e-01 4.406419124761762340e-02 7.338630839246969018e-01
0.000000000000000000e+00 -inf 2.805799315566325003e+00 9.452286200619202106e-01 6.656646436351392992e+01 2.208654138312040119e-02 1.293636324769200097e-01 9.464279749951532220e-03 7.620681638066389985e-01
0.000000000000000000e+00 -inf 3.005376458686223273e+00 9.975199394855330803e-01 7.153014065239372599e+01 2.232535600270893483e-02 1.171947862203801954e-01 5.145131398545053220e-02 7.386216328979574586e-01
0.000000000000000000e+00 -inf 3.067796226618197064e+00 9.305335611577387755e-01 6.724474017100300216e+01 2.233412832505191417e-02 1.149551090118661328e-01 8.192838003859712059e-02 7.321173563848142329e-01
0.000000000000000000e+00 -inf 3.159576205651851488e+00 9.709381733009675441e-01 6.551438092195182605e+01 2.220175385144259467e-02 1.228510149752314179e-01 9.040058302571143956e-02 7.911581425501965636e-01
0.000000000000000000e+00 -inf 3.000450742906217716e+00 9.226003323065569139e-01 7.183683086511378235e+01 2.256836386738372488e-02 1.208384070814517985e-01 2.888018165314180236e-02 7.366984432804577487e-01
0.000000000000000000e+00 -inf 2.802380613332605463e+00 9.539240071506439600e-01 6.924103778451006974e+01 2.205522105179227865e-02 1.248783464544896971e-01 6.514417021203892932e-02 7.352883525642666118e-01
0.000000000000000000e+00 -inf 2.977100448212709694e+00 9.946399577902128586e-01 7.201411520775046426e+01 2.250301825613468948e-02 1.235850422041963742e-01 6.126862652765608340e-03 7.409049206688661515e-01
0.000000000000000000e+00 -inf 3.032882412779243975e+00 9.778910352716220222e-01 7.235987260901578111e+01 2.245797110551988815e-02 1.265411883334258414e-01 7.334930201837322472e-02 7.681163093656763197e-01
0.000000000000000000e+00 -inf 2.895301259047010412e+00 9.055363797802147285e-01 6.716979422698196345e+01 2.218318821188135920e-02 1.105088491089831898e-01 2.555014034161992229e-02 7.846930775197572538e-01
