weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
0.000000000000000000e+00 -inf 1.363064527735835529e-01 1.979953431088554705e-01 7.017003600882145697e-01 6.783410345108615846e-01 5.136243595956310193e-01 4.162896463638693367e-01 9.077795291017450863e-01
0.000000000000000000e+00 -inf 3.725141814575111399e-01 8.138930629914543635e-01 3.252710230901023625e-01 5.088980105683383881e-01 5.460222886432308798e-01 7.642329446996207754e-01 9.682597338508032170e-01
0.000000000000000000e+00 -inf 3.552161649124906395e-01 8.283513191815879972e-01 7.692331186274156130e-01 8.215555773014628915e-01 1.760609422612556818e-01 5.918123093724413364e-01 9.384856951008725412e-01
0.000000000000000000e+00 -inf 5.126920066765350281e-01 7.233957910780870471e-01 9.413734976532616150e-01 5.276146683887836808e-01 7.434042957785270689e-01 2.533542204174323853e-01 9.545259460596746681e-01
0.000000000000000000e+00 -inf 8.518030564683829464e-01 4.033536511155839666e-01 5.014651982343780734e-01 2.433241057627760773e-01 9.618411825250809954e-01 5.690921353806783767e-01 9.070282291932348917e-01
0.000000000000000000e+00 -inf 9.538068339853489341e-02 5.114911783266644640e-01 6.149638382703076500e-01 9.563890558634973171e-01 8.643660110923492290e-01 5.682999806745990812e-01 9.572372342265816902e-01
0.000000000000000000e+00 -inf 1.917782394556991621e-01 9.402033193908454489e-02 7.210134477868102021e-02 6.045528808811218013e-02 9.563841666780251716e-01 6.560072126172409313e-01 9.524796646427644564e-01
0.000000000000000000e+00 -inf 9.146548835445710290e-01 1.172209076345240852e-01 6.575990732155363450e-01 7.114814487782950003e-03 7.435827747310661540e-01 8.498321930628384147e-01 8.923575425832008801e-01
0.000000000000000000e+00 -inf 7.814250728204373830e-01 8.810094826187873096e-01 4.888361305595676498e-01 7.835699505095090611e-01 3.910983951960743665e-01 5.726444126220358033e-01 9.360611503499242092e-01
0.000000000000000000e+00 -inf 1.843393103303891944e-01 7.083455521264478971e-01 6.442302321251539565e-01 5.309083032910574262e-01 6.279297529814109602e-01 1.752609684848447369e-01 9.530762704496106297e-01
0.000000000000000000e+00 -inf 1.556783888522996762e-01 7.094066900097862893e-01 4.602439762455926564e-01 5.248540747118252137e-01 3.590243977500845451e-01 9.829064408971538436e-01 9.437645618023500216e-01
0.000000000000000000e+00 -inf 9.908142989096423436e-01 7.045088814500388708e-03 3.088332624358905987e-01 8.994160320260524699e-02 5.643535875928578083e-01 1.767469320499162055e-01 9.016129512951704950e-01
0.000000000000000000e+00 -inf 3.518990647780023684e-01 2.250345017951600468e-01 7.105530417365133466e-01 4.489096066298930987e-01 2.144876503310298999e-01 4.411125572813217044e-01 9.979918582532389948e-01
0.000000000000000000e+00 -inf 1.766669600424605191e-01 9.424162103642251820e-01 5.806928528696807534e-01 3.039678940250510886e-01 4.958500376106382834e-01 8.658726342451069646e-01 9.569260310429935634e-01
0.000000000000000000e+00 -inf 9.788604936810707535e-01 6.411490495078968621e-01 6.927128035213458990e-02 1.021101602527849650e-01 1.547862175304537402e-01 1.402319856056272185e-01 9.868165231974038720e-01
0.000000000000000000e+00 -inf 3.181768184701019297e-01 7.462054097222742266e-01 4.553216794332088924e-01 5.386195364730717028e-02 4.552411664468676289e-01 4.587608842286788891e-01 9.894180386376451031e-01
0.000000000000000000e+00 -inf 1.479656716713398934e-01 3.489516240994463558e-01 6.389184696666927454e-01 7.700538343596552426e-01 9.821782961290126401e-02 4.749535436693507195e-01 9.307351077161194475e-01
0.000000000000000000e+00 -inf 1.494894052455963962e-01 2.959542271473918351e-01 8.453894351861612755e-01 8.697755113256661064e-01 9.877723641268474353e-01 7.323497791019828451e-01 9.813662900251949317e-01
0.000000000000000000e+00 -inf 4.254469560041723719e-01 8.422213481567530913e-02 5.587565976946745616e-01 2.876873835687647762e-01 7.772634085699038353e-01 4.406419124761762340e-01 9.162823847148061640e-01
0.000000000000000000e+00 -inf 1.449828891581328438e-02 4.522862006192025497e-01 1.566464363513935254e-01 1.442356385340022307e-01 9.681816238459995949e-01 9.464279749951531873e-02 9.519850174767582329e-01
0.000000000000000000e+00 -inf 5.134411467155579611e-01 9.751993948553309144e-01 6.530140652393725542e-01 5.422600045148907588e-01 3.597393110190097998e-01 5.145131398545053081e-01 9.223058644277941642e-01
0.000000000000000000e+00 -inf 6.694905665454927712e-01 3.053356115773875334e-01 2.244740171003005713e-01 5.568805417531914603e-01 2.477554505933067253e-01 8.192838003859711504e-01 9.140726030187521500e-01
0.000000000000000000e+00 -inf 8.989405141296280544e-01 7.093817330096754414e-01 5.143809219518302722e-02 3.362564190709943501e-01 6.425507487615707003e-01 9.040058302571143400e-01 9.888077753799955349e-01
0.000000000000000000e+00 -inf 5.011268572655447340e-01 2.260033230655692504e-01 6.836830865113781019e-01 9.472731123062083647e-01 5.419203540725894275e-01 2.888018165314180097e-01 9.198714471904527734e-01
0.000000000000000000e+00 -inf 5.951533331513991776e-03 5.392400715064390448e-01 4.241037784510072184e-01 9.203508632046841775e-02 7.439173227244848530e-01 6.514417021203893210e-01 9.180865222332488251e-01
0.000000000000000000e+00 -inf 4.427511205317740117e-01 9.463995779021285859e-01 7.014115207750463155e-01 8.383637602244826681e-01 6.792521102098183494e-01 6.126862652765607820e-02 9.251961021124888163e-01
0.000000000000000000e+00 -inf 5.822060319481098256e-01 7.789103527162204443e-01 7.359872609015786216e-01 7.632851758664837005e-01 8.270594166712916806e-01 7.334930201837321917e-01 9.596408979312358589e-01
0.000000000000000000e+00 -inf 2.382531476175256957e-01 5.536379780214706336e-02 2.169794226981968110e-01 3.053136864689334207e-01 2.544245544915912927e-02 2.555014034161992020e-01 9.806241487591863537e-01
0.000000000000000000e+00 -inf 3.439316095422528807e-02 3.653620895902127685e-01 3.437783648925115676e-01 5.434029624556543370e-01 4.367060981196642100e-01 1.608567852896101158e-01 9.651207884072168230e-01
0.000000000000000000e+00 -inf 5.283214120435194561e-01 8.958371554655976121e-01 3.985131625436350022e-01 3.459259547164124093e-01 4.935132251293000705e-01 5.540316301958457812e-01 9.980434163483673515e-01
0.000000000000000000e+00 -inf 8.657752869042423249e-02 7.533341935971333836e-01 5.279956085075239169e-01 2.823257977057553880e-01 5.356480248509297715e-01 9.738263801304809508e-01 9.358998121442634321e-01
0.000000000000000000e+00 -inf 8.545730494506800223e-01 3.472559145576238349e-01 2.453383053324420526e-02 9.936900488597265602e-01 8.047626162775145531e-01 8.166071417500566643e-01 9.437336146535855175e-01
0.000000000000000000e+00 -inf 2.503371094427214727e-01 9.341597573601578830e-01 3.114197555739450785e-02 5.838797593986372325e-01 5.774619888229525211e-01 2.961891205854880749e-01 8.884135680183800066e-01
0.000000000000000000e+00 -inf 2.175963797307450820e-01 2.884126933444792762e-01 4.029312891857554924e-01 1.761805771486847361e-01 4.073216088936286727e-01 6.805233596302245891e-01 9.085664020148043196e-01
0.000000000000000000e+00 -inf 4.984835096730358961e-01 4.568508353832690938e-01 9.625066442290498570e-01 1.376500292426388050e-01 3.567852246069151967e-01 5.314229330144365493e-01 9.519354082367458281e-01
0.000000000000000000e+00 -inf 6.205407395369837431e-01 4.901433138991304617e-01 6.804734235964978728e-01 8.311804986722789446e-01 6.289945081725752951e-01 2.378805612175733941e-01 9.655226331593155242e-01
