# logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
3.52013806e+00 8.49110879e-01 6.66918896e+01 2.20279505e-02 9.28063215e-02 1.40330890e+00 6.92392330e-01
3.54456539e+00 1.15969564e+00 6.11913917e+01 1.43842501e-02 9.26189658e-02 9.38004604e-01 1.39284757e-01
3.43614208e+00 9.02210914e-01 7.37315987e+01 3.06457832e-02 1.17610518e-01 1.22882625e+00 6.97840020e-02
2.21799775e+00 8.85797742e-01 7.58289182e+01 3.08879207e-02 1.37280657e-01 3.82139175e-01 3.72742098e-01
3.44841351e+00 9.87252029e-01 7.41191892e+01 3.10579258e-02 1.27185214e-01 1.52785635e+00 1.55841768e-01
2.67483532e+00 8.78244793e-01 6.81528933e+01 2.22780276e-02 1.03955793e-01 4.59420747e-01 1.27320024e-01
3.50758608e+00 8.34170162e-01 5.63994888e+01 9.93076464e-03 7.75475495e-02 1.24854477e+00 3.31943767e-01
3.03717219e+00 9.56139374e-01 7.48219707e+01 3.22401508e-02 1.23353307e-01 9.14081095e-01 8.07579428e-02
1.92253436e+00 8.40302532e-01 7.12493686e+01 2.85038815e-02 9.99962672e-02 1.81462241e+00 4.29703869e-01
2.76818271e+00 8.61340516e-01 6.52876445e+01 2.03122316e-02 8.73609768e-02 1.85392200e+00 3.89882188e-01
2.71297206e+00 1.11243061e+00 7.21013859e+01 2.93340184e-02 1.03081456e-01 1.75877044e+00 2.33126429e-01
2.87393706e+00 1.10574988e+00 6.02914243e+01 1.44470372e-02 7.21686772e-02 1.61283841e+00 6.34422033e-02
1.88140107e+00 1.04602440e+00 6.51984770e+01 1.96128319e-02 1.02248307e-01 9.51850913e-02 4.08529166e-01
2.61705143e+00 8.36292010e-01 7.54016829e+01 3.08354849e-02 1.38812730e-01 4.19151242e-04 5.50454496e-01
3.18222697e+00 1.16219580e+00 7.17463224e+01 2.88907276e-02 1.01928789e-01 1.78351540e+00 1.88807351e-01
3.50758608e+00 8.34170162e-01 5.63994888e+01 9.93076464e-03 7.75475495e-02 1.24854477e+00 3.31943767e-01
2.99654166e+00 1.14419521e+00 6.16354056e+01 1.55109086e-02 8.68078747e-02 1.36070015e+00 1.04257761e-01
1.69019600e+00 1.05918116e+00 7.51585988e+01 3.20035480e-02 1.31683553e-01 5.20033963e-01 5.87388781e-01
3.69845716e+00 8.16147090e-01 6.94863635e+01 2.63204392e-02 9.75685954e-02 1.41122494e+00 6.06609650e-01
2.24745293e+00 8.91896927e-01 6.08923590e+01 1.46516073e-02 7.82108828e-02 1.54668422e+00 4.45804211e-01
2.97858193e+00 1.05767761e+00 7.34344520e+01 2.97688829e-02 1.19904387e-01 5.66991731e-01 3.45094495e-01
2.41066705e+00 8.95779018e-01 7.00923309e+01 2.58725101e-02 1.12190964e-01 1.06958186e+00 4.49413402e-01
2.97902995e+00 8.60945677e-01 6.62137288e+01 2.27139301e-02 9.06990028e-02 1.46124286e+00 7.17884927e-01
3.76863549e+00 1.00846522e+00 7.32319964e+01 2.89756157e-02 1.32241112e-01 6.66884635e-01 7.05319609e-01
2.57849186e+00 9.58093221e-01 5.70654167e+01 1.11645450e-02 6.50770880e-02 1.66802677e+00 3.29177095e-01
2.78218809e+00 1.06942559e+00 6.51579867e+01 2.07280370e-02 8.37082203e-02 1.80048509e+00 4.59690823e-01
3.14387098e+00 9.51022477e-01 7.13560318e+01 2.63838559e-02 1.13174897e-01 1.03934019e+00 3.07291485e-02
2.18224580e+00 1.10917006e+00 6.81720214e+01 2.46279484e-02 9.92458946e-02 1.44782706e+00 1.90982438e-01
3.68201549e+00 1.02288422e+00 7.14817276e+01 2.73036980e-02 1.13020273e-01 1.25529519e+00 5.96086636e-01
3.14354450e+00 1.09344844e+00 7.33201068e+01 2.96344080e-02 1.24770716e-01 5.83095272e-01 3.42359224e-01
2.22143963e+00 9.92898455e-01 7.34623767e+01 2.98627287e-02 1.22650709e-01 7.08449986e-01 1.89118366e-01
1.70960115e+00 1.16417408e+00 5.47752624e+01 8.48121871e-03 6.13460551e-02 1.49161253e+00 1.38526487e-01
3.46431558e+00 9.11406658e-01 7.28132542e+01 2.79469414e-02 1.24491603e-01 3.98765253e-01 3.21277697e-01
2.22586288e+00 8.75082584e-01 7.21580865e+01 2.85310461e-02 1.24693638e-01 9.69515614e-01 3.98244099e-01
3.49582725e+00 1.04287647e+00 5.60155486e+01 9.18399824e-03 7.40350581e-02 1.02535095e+00 1.42246679e-01
3.74207792e+00 9.99648562e-01 6.85678879e+01 2.46794190e-02 1.00737596e-01 1.11482612e+00 4.09390264e-01
2.96168771e+00 1.17400787e+00 6.07215653e+01 1.40038821e-02 8.83573138e-02 6.17926025e-01 2.17031899e-01
2.70258881e+00 1.18225745e+00 7.40515467e+01 3.19216819e-02 1.11269959e-01 1.32217665e+00 4.00609897e-01
2.34143777e+00 8.38235296e-01 7.62151431e+01 3.10610191e-02 1.44083447e-01 1.51033951e-01 1.36497837e-01
1.97069756e+00 8.41418304e-01 6.96231170e+01 2.53992609e-02 1.07988179e-01 8.45381230e-01 6.15212805e-01
2.97081805e+00 9.03492116e-01 6.89579809e+01 2.34529820e-02 1.10392130e-01 1.00320688e+00 3.80582398e-01
1.70306975e+00 8.89295652e-01 6.68846385e+01 2.34607308e-02 8.97324442e-02 1.66796318e+00 7.26906468e-01
1.98684245e+00 1.00521303e+00 7.72638174e+01 3.22105175e-02 1.49903770e-01 2.03940295e-01 4.23342932e-01
2.61133509e+00 9.28079667e-01 6.11033293e+01 1.47034058e-02 8.37579505e-02 1.16797703e+00 4.01154749e-01
3.72032093e+00 1.16355743e+00 6.17536078e+01 1.46649156e-02 9.52248818e-02 2.42530745e-01 4.51344425e-01
3.39887209e+00 9.29229674e-01 7.46070276e+01 3.18887948e-02 1.09393192e-01 1.41852622e+00 3.20598376e-01
3.27577473e+00 1.03832896e+00 6.35039298e+01 1.77346999e-02 8.98301186e-02 9.61164161e-01 6.08107650e-01
3.64360754e+00 1.10260305e+00 6.47678851e+01 1.86823983e-02 1.05283754e-01 3.95803557e-01 4.90156872e-01
2.42097658e+00 8.18508482e-01 6.58700676e+01 2.08669200e-02 9.78003598e-02 8.88560801e-01 1.53078943e-01
2.69053786e+00 1.02301979e+00 6.48827782e+01 1.86199797e-02 1.04958937e-01 2.60025258e-02 2.35381492e-01
3.01384386e+00 1.00554997e+00 6.77097824e+01 2.49069537e-02 9.61254638e-02 1.81236449e+00 5.63526318e-01
2.03285996e+00 1.04733757e+00 7.08337528e+01 2.70974205e-02 1.06326829e-01 1.21913671e+00 6.48703653e-01
1.86144098e+00 8.06054736e-01 7.09231880e+01 2.64643741e-02 1.23515269e-01 1.77734988e-01 4.18222127e-01
2.50298802e+00 1.12348543e+00 7.29675517e+01 2.97661185e-02 1.27219469e-01 2.00682593e-01 7.37569382e-01
3.36679710e+00 1.12357434e+00 6.36843137e+01 1.77615693e-02 9.94706453e-02 6.32792900e-01 3.66691744e-01
2.71622160e+00 1.04582064e+00 7.44533135e+01 3.12211372e-02 1.33800256e-01 6.64644120e-01 5.75282933e-01
3.50148608e+00 1.17588687e+00 6.60382316e+01 2.17905435e-02 9.39545505e-02 1.52339292e+00 5.13867546e-01
3.14103866e+00 8.96580139e-01 5.86541045e+01 1.22119871e-02 7.64030187e-02 1.68064021e+00 1.14123582e-01
2.50127203e+00 9.09681252e-01 7.51919585e+01 3.22860851e-02 1.21397964e-01 1.10609489e+00 1.57635343e-01
2.79486514e+00 8.43753109e-01 7.27097439e+01 3.04838549e-02 1.06791019e-01 1.88890279e+00 1.75359267e-01
2.50804691e+00 8.69487423e-01 7.27418135e+01 2.94853526e-02 1.13392216e-01 1.46961491e+00 2.24633595e-01
2.76748280e+00 1.13774084e+00 7.26917768e+01 2.83863204e-02 1.25467439e-01 3.49958309e-01 7.25161634e-02
1.84528776e+00 9.44151814e-01 7.29561419e+01 2.75300611e-02 1.26818207e-01 1.57878607e-02 1.47028834e-01
1.87240615e+00 1.08692912e+00 6.91520785e+01 2.48019638e-02 1.00710510e-01 1.67884349e+00 2.28659683e-01
2.39989362e+00 1.17078051e+00 6.07418623e+01 1.41223228e-02 8.19166808e-02 8.41665321e-01 2.92353827e-01
3.18008132e+00 1.03837579e+00 7.32539418e+01 3.14129816e-02 1.16632936e-01 1.66956879e+00 7.14826611e-01
1.73753129e+00 1.19690344e+00 7.42996685e+01 3.18695497e-02 1.13821940e-01 1.16057085e+00 6.88245848e-01
3.04724652e+00 1.08027370e+00 7.28333769e+01 3.08402138e-02 1.05802549e-01 1.55899422e+00 4.99634280e-01
1.78404899e+00 1.06535589e+00 7.50818970e+01 3.20177838e-02 1.30413177e-01 1.20419388e+00 2.08156510e-01
1.82703423e+00 8.41119510e-01 7.63460334e+01 3.19619074e-02 1.43184241e-01 1.52956747e-02 4.73931413e-01
3.36011273e+00 8.70128632e-01 5.99790488e+01 1.47688225e-02 7.93578887e-02 1.56394141e+00 2.78329363e-01
3.17156893e+00 1.19350201e+00 7.49757322e+01 3.15641296e-02 1.28431540e-01 2.76530415e-01 1.24408551e-01
2.58265382e+00 8.15105767e-01 6.28643489e+01 1.66844931e-02 8.91022317e-02 1.00603949e+00 1.48197448e-01
3.22146492e+00 1.17647684e+00 6.66764237e+01 2.15034777e-02 1.00374982e-01 5.94691704e-01 4.59138918e-01
1.62385191e+00 1.16064076e+00 7.46578122e+01 3.08123293e-02 1.33100774e-01 5.71206092e-01 6.42923852e-01
1.81932764e+00 1.17038638e+00 7.53682971e+01 3.10880167e-02 1.42498540e-01 1.75803788e-01 3.25073156e-01
2.54016003e+00 8.12033110e-01 5.70123625e+01 1.12276610e-02 6.51915569e-02 1.89157474e+00 2.90494560e-01
3.27577473e+00 1.03832896e+00 6.35039298e+01 1.77346999e-02 8.98301186e-02 9.61164161e-01 6.08107650e-01
1.98534793e+00 1.09881119e+00 7.21829923e+01 2.85702493e-02 1.17930140e-01 4.61887613e-01 3.09837674e-01
1.77555339e+00 1.04543063e+00 7.00092970e+01 2.56758404e-02 1.17169964e-01 1.37663970e+00 2.90516342e-01
2.34525316e+00 9.78629983e-01 7.43124980e+01 3.12577897e-02 1.20018865e-01 1.51325917e+00 3.04814714e-01
2.35519320e+00 1.01048355e+00 6.94247105e+01 2.62119098e-02 9.97567940e-02 1.73312195e+00 6.13021368e-01
3.48867210e+00 9.83435338e-01 6.34605237e+01 1.87624426e-02 7.80496975e-02 1.83381180e+00 2.35489050e-01
2.26811034e+00 9.56335122e-01 7.36497254e+01 2.91287491e-02 1.34060582e-01 3.44736538e-01 4.66604411e-01
