# logA n_s H0 omega_b omega_cdm m_ncdm tau_reio weight loglikelihood
3.49508048e+00 1.01317680e+00 5.30523484e+01 8.70069638e-02 7.61504548e-01 2.43942016e-01 9.08485692e-02 0.00000000e+00 -1.00000000e+300
2.72538599e+00 8.25331499e-01 3.15631091e+01 1.73908973e-02 2.86724665e-01 1.46092204e+00 7.61093103e-01 0.00000000e+00 -1.00000000e+300
2.81816406e+00 8.75208869e-01 2.11407032e+01 2.73458425e-02 9.37743475e-01 1.00834594e+00 1.79655526e-01 0.00000000e+00 -1.00000000e+300
3.55112921e+00 9.01282925e-01 2.47622411e+01 1.81631519e-02 1.48421081e-01 1.23921479e+00 9.10702657e-02 0.00000000e+00 -1.00000000e+300
2.71514344e+00 1.03061141e+00 6.31898534e+01 1.00527647e-02 4.56496129e-01 3.39805809e-01 7.67637978e-01 0.00000000e+00 -1.00000000e+300
2.27251216e+00 1.07989603e+00 7.11753511e+01 9.70076906e-02 5.95768184e-01 1.83523022e+00 4.38525737e-01 0.00000000e+00 -1.00000000e+300
2.16765643e+00 1.13240894e+00 9.04707994e+01 7.94212614e-02 1.35724893e-01 1.06243978e+00 6.71073472e-01 0.00000000e+00 -1.00000000e+300
2.80359919e+00 1.02614990e+00 5.04533976e+01 6.84245989e-02 4.80652022e-01 7.82388894e-01 3.16652708e-01 0.00000000e+00 -1.00000000e+300
1.96018142e+00 1.05861546e+00 7.08966129e+01 1.12300434e-02 9.15230894e-01 4.43838224e-01 4.15148303e-01 0.00000000e+00 -1.00000000e+300
1.86909107e+00 1.16201524e+00 5.60220893e+01 4.36132727e-02 6.31195873e-01 4.76417534e-01 4.39081898e-01 0.00000000e+00 -1.00000000e+300
1.78480792e+00 9.01176942e-01 3.29297543e+01 9.92563167e-02 9.61454843e-01 1.93176527e+00 5.54943255e-01 0.00000000e+00 -1.00000000e+300
3.52752437e+00 9.89755498e-01 4.11786262e+01 5.40085219e-03 7.82155458e-01 3.26464332e-01 6.60703336e-01 0.00000000e+00 -1.00000000e+300
3.10836647e+00 1.08965792e+00 7.28919978e+01 8.60047630e-02 7.75774628e-01 1.13590588e+00 7.40353040e-01 0.00000000e+00 -1.00000000e+300
2.78115590e+00 1.18705618e+00 8.91458083e+01 2.84995225e-02 6.71705068e-01 1.33094573e+00 3.30193469e-01 0.00000000e+00 -1.00000000e+300
3.68488715e+00 8.18640935e-01 3.03962230e+01 5.07397929e-02 4.54020417e-01 4.77561804e-01 1.13447028e-01 0.00000000e+00 -1.00000000e+300
3.13267338e+00 8.97005032e-01 9.99167208e+01 9.84451974e-02 8.93101439e-01 6.95932732e-01 3.90070027e-02 0.00000000e+00 -1.00000000e+300
1.70046227e+00 8.46953944e-01 9.70343560e+01 1.58168015e-02 7.85745793e-01 5.57095523e-01 8.40211240e-02 0.00000000e+00 -1.00000000e+300
3.33123432e+00 9.51060488e-01 4.85999124e+01 6.13580289e-02 3.52832301e-01 1.74094005e+00 2.03756459e-01 0.00000000e+00 -1.00000000e+300
