# logA n_s H0 omega_b omega_cdm tau_reio
1.78113943e+00 8.04778133e-01 7.39524899e+01 3.00683188e-02 1.33413355e-01 3.56278284e-01
3.19273860e+00 9.89710014e-01 7.20377008e+01 2.68758026e-02 1.20882449e-01 5.43424297e-01
2.89606031e+00 9.19087463e-01 6.90074701e+01 2.32495840e-02 1.13324385e-01 2.28863214e-01
2.41004939e+00 8.56681411e-01 6.80113726e+01 2.14581616e-02 1.19084011e-01 4.66550219e-01
2.07879845e+00 8.50766731e-01 6.85944970e+01 2.30569925e-02 1.26254195e-01 5.71228321e-01
2.53983309e+00 9.21054561e-01 6.98458349e+01 2.42699827e-02 1.19600160e-01 7.02649170e-01
1.97129274e+00 9.56023342e-01 5.97995199e+01 1.12698491e-02 8.91455894e-02 1.89451858e-01
3.36022642e+00 1.08597967e+00 7.59107470e+01 3.17375077e-02 1.38793589e-01 1.34665608e-01
3.90315879e+00 1.11940874e+00 6.49012058e+01 1.82084408e-02 1.02185539e-01 1.25812660e-01
2.94305873e+00 1.13777084e+00 6.95529590e+01 2.37624899e-02 1.19857408e-01 3.44151739e-01
1.89681080e+00 1.11837755e+00 7.29887485e+01 2.82858055e-02 1.24029041e-01 3.09941392e-01
2.10318518e+00 9.62190523e-01 7.44723694e+01 3.06241352e-02 1.34893215e-01 5.46781535e-01
2.52746507e+00 1.04396102e+00 7.27131243e+01 2.78880735e-02 1.33994793e-01 6.46198626e-01
2.06546813e+00 9.35972084e-01 7.47679708e+01 3.04427709e-02 1.40173820e-01 8.01737077e-02
1.68008220e+00 8.09754014e-01 6.14099595e+01 1.46048587e-02 9.31168360e-02 3.08318617e-01
2.11182321e+00 1.19274683e+00 7.42310445e+01 2.88742845e-02 1.36501217e-01 6.34024564e-01
2.86543416e+00 8.29046698e-01 7.66546618e+01 3.18993382e-02 1.49101306e-01 6.31741594e-01
3.86185092e+00 9.61071467e-01 6.57959495e+01 2.00112552e-02 1.08772373e-01 6.02811194e-01
2.52822100e+00 1.18947533e+00 6.46741569e+01 1.72082381e-02 1.07313467e-01 3.68903705e-01
3.33523513e+00 1.14963186e+00 6.77023842e+01 2.12669945e-02 1.16465342e-01 5.84845623e-01
3.08948578e+00 8.58916955e-01 5.67223218e+01 8.71491053e-03 8.68610623e-02 3.27422719e-01
3.45184256e+00 1.01684934e+00 7.52273765e+01 3.08229793e-02 1.33853227e-01 5.31755874e-01
2.81006172e+00 1.10919225e+00 7.01903741e+01 2.45072945e-02 1.18810263e-01 1.13285367e-02
2.24936096e+00 1.15713368e+00 7.71454503e+01 3.24599754e-02 1.40663901e-01 6.44939527e-01
2.59077381e+00 1.12097511e+00 7.11728598e+01 2.57939764e-02 1.24466748e-01 2.36434194e-01
3.02622521e+00 9.77200130e-01 7.09460231e+01 2.57076046e-02 1.18626282e-01 4.00180635e-01
2.48616712e+00 9.14473168e-01 7.21148471e+01 2.60345084e-02 1.28127321e-01 8.24664437e-02
3.57487717e+00 9.64273376e-01 7.69709666e+01 3.25755628e-02 1.42135766e-01 1.60234699e-01
3.52928457e+00 8.82166380e-01 6.52252515e+01 1.80901691e-02 1.09505121e-01 3.30985733e-01
1.90587680e+00 1.18282482e+00 6.47458693e+01 1.74712961e-02 1.01054691e-01 3.80400190e-01
1.78011187e+00 9.85621385e-01 7.66062854e+01 3.22061887e-02 1.46213642e-01 4.44266354e-01
2.93612956e+00 8.75190253e-01 6.42280016e+01 1.71908184e-02 1.07259611e-01 1.97150867e-01
2.90629103e+00 8.64411992e-01 7.54028676e+01 3.11249397e-02 1.35573563e-01 7.11549571e-01
2.24861413e+00 1.14030274e+00 7.55164994e+01 2.95647644e-02 1.38895547e-01 5.58780865e-01
3.12723258e+00 1.10582542e+00 5.93259111e+01 1.16763885e-02 9.43712012e-02 1.27745303e-01
2.65971557e+00 1.03917392e+00 7.31838071e+01 2.84574992e-02 1.32347939e-01 6.94826707e-01
2.26846761e+00 1.13476411e+00 7.66715911e+01 3.26888120e-02 1.41606035e-01 6.39115933e-01
1.83159507e+00 1.18449170e+00 6.32618237e+01 1.59442247e-02 1.01246814e-01 5.27161326e-01
2.03878248e+00 8.58841985e-01 6.93582117e+01 2.35326537e-02 1.15594040e-01 6.64624465e-01
3.20727139e+00 1.15034953e+00 6.98391311e+01 2.37905537e-02 1.21313564e-01 1.14429923e-01
2.72598332e+00 1.01237533e+00 6.82218116e+01 2.17258946e-02 1.17760187e-01 3.88326025e-01
3.16528788e+00 1.17345764e+00 7.00853984e+01 2.44649353e-02 1.18129897e-01 3.14620865e-01
2.94576982e+00 1.03412689e+00 7.14605653e+01 2.53028952e-02 1.26496361e-01 5.13312748e-01
3.72226116e+00 1.04578071e+00 6.03762737e+01 1.23871764e-02 9.59454839e-02 2.26341702e-01
2.27184980e+00 1.08350226e+00 6.54496859e+01 1.86455349e-02 1.07756683e-01 4.08909562e-01
2.91266982e+00 1.02508549e+00 6.93555400e+01 2.40791225e-02 1.22661541e-01 5.72016998e-01
3.27975916e+00 9.70619780e-01 7.08172334e+01 2.50118570e-02 1.23278866e-01 5.45073666e-01
1.83553182e+00 9.05004434e-01 7.51876313e+01 2.89749019e-02 1.40965688e-01 3.88049708e-01
3.26825904e+00 8.92517267e-01 7.67940446e+01 3.16232158e-02 1.45208759e-01 9.50985030e-02
2.48854808e+00 8.50088471e-01 7.55601109e+01 3.07173585e-02 1.47233755e-01 1.22271681e-01
3.16413579e+00 1.01447456e+00 6.38804482e+01 1.62365865e-02 1.06665161e-01 9.28607132e-02
3.20494813e+00 1.08296764e+00 7.23542072e+01 2.67147353e-02 1.26820277e-01 5.67906414e-01
3.02622521e+00 9.77200130e-01 7.09460231e+01 2.57076046e-02 1.18626282e-01 4.00180635e-01
3.25821921e+00 1.18854107e+00 6.46148525e+01 1.82937227e-02 1.06035563e-01 9.29389335e-02
2.17775780e+00 1.05887540e+00 6.52897315e+01 1.80863590e-02 1.05777512e-01 4.21477521e-01
