# logA n_s H0 omega_b omega_cdm tau_reio weight loglikelihood
1.87010199e+00 8.50506477e-01 9.23891156e+01 5.16425204e-02 7.44634261e-01 3.17287187e-01 0.00000000e+00 -1.00000000e+300
3.57978534e+00 8.18161652e-01 6.14539714e+01 3.26659765e-02 7.56323936e-01 2.83502847e-01 0.00000000e+00 -1.00000000e+300
3.40145561e+00 8.85063128e-01 8.25508488e+01 6.41561349e-02 7.24991612e-02 1.06591558e-01 0.00000000e+00 -1.00000000e+300
2.44227447e+00 8.01009003e-01 3.48609612e+01 8.14068618e-02 8.17275566e-02 6.29890225e-02 0.00000000e+00 -1.00000000e+300
2.80886907e+00 8.62607400e-01 6.70715507e+01 4.39421298e-02 2.79616524e-01 4.98099033e-01 0.00000000e+00 -1.00000000e+300
1.82752874e+00 8.93839931e-01 2.09377918e+01 7.25677199e-02 1.98459781e-01 1.08345221e-01 0.00000000e+00 -1.00000000e+300
3.58107407e+00 9.92032475e-01 9.38862621e+01 9.74666726e-02 4.86885955e-01 4.98114462e-01 0.00000000e+00 -1.00000000e+300
2.69256341e+00 1.13545972e+00 7.25629300e+01 4.92021184e-02 8.21268170e-01 4.46919014e-01 0.00000000e+00 -1.00000000e+300
2.82475436e+00 1.15471656e+00 2.62790482e+01 4.53866290e-02 7.29245678e-01 1.42145563e-01 0.00000000e+00 -1.00000000e+300
3.88689427e+00 8.65966798e-01 9.93257621e+01 4.45260069e-02 5.24538990e-01 5.48965351e-02 0.00000000e+00 -1.00000000e+300
2.42016659e+00 9.26168607e-01 9.60212656e+01 2.88974503e-02 5.72763700e-01 3.95216565e-01 0.00000000e+00 -1.00000000e+300
3.89698400e+00 1.06148181e+00 3.66457790e+01 4.06848131e-02 3.85568699e-01 2.84705584e-01 0.00000000e+00 -1.00000000e+300
3.86211642e+00 9.92535757e-01 7.11526477e+01 8.82359245e-03 6.36258817e-01 9.91687662e-02 0.00000000e+00 -1.00000000e+300
3.50900886e+00 9.14854509e-01 9.41170288e+01 2.84279376e-02 5.37284615e-01 3.14591556e-01 0.00000000e+00 -1.00000000e+300
2.55797022e+00 1.13862450e+00 6.68458594e+01 6.22128771e-02 2.93636684e-01 3.84456799e-01 0.00000000e+00 -1.00000000e+300
3.38976057e+00 1.18111722e+00 6.81795259e+01 8.07493726e-02 5.92678596e-01 5.57790716e-01 0.00000000e+00 -1.00000000e+300
3.00722352e+00 9.44257142e-01 2.51855760e+01 1.15698307e-02 1.00242863e-01 5.05938974e-01 0.00000000e+00 -1.00000000e+300
1.62281627e+00 8.61824510e-01 7.06512260e+01 8.32195418e-02 2.17130540e-01 2.07807852e-01 0.00000000e+00 -1.00000000e+300
2.65767948e+00 9.47301318e-01 3.58852723e+01 3.12427394e-02 7.07092192e-01 2.91076714e-01 0.00000000e+00 -1.00000000e+300
1.71564587e+00 1.00710818e+00 9.05600068e+01 3.37167484e-02 7.42016714e-01 5.71498625e-01 0.00000000e+00 -1.00000000e+300
1.95971223e+00 1.05470121e+00 8.18820051e+01 8.55745620e-02 3.89482558e-01 8.73650050e-02 0.00000000e+00 -1.00000000e+300
2.58256973e+00 1.07823711e+00 5.00248565e+01 1.99709340e-02 7.70443557e-01 6.88363775e-01 0.00000000e+00 -1.00000000e+300
1.63564286e+00 1.03874424e+00 4.31616473e+01 4.03652069e-02 9.74214233e-01 5.22736290e-01 0.00000000e+00 -1.00000000e+300
2.47994342e+00 1.18521914e+00 2.11970288e+01 2.10030691e-02 5.12864799e-01 4.67818784e-01 0.00000000e+00 -1.00000000e+300
2.80905535e+00 9.77398674e-01 8.75154780e+01 9.19318879e-03 7.74125888e-01 1.99748876e-01 0.00000000e+00 -1.00000000e+300
3.08161004e+00 8.49380182e-01 7.88324958e+01 4.66180305e-02 7.13452763e-01 2.25471580e-01 0.00000000e+00 -1.00000000e+300
2.62882691e+00 1.04734215e+00 4.08504782e+01 7.77043090e-02 7.12734628e-02 1.35657359e-01 0.00000000e+00 -1.00000000e+300
2.32194963e+00 9.40323996e-01 7.83346109e+01 4.46769187e-02 8.62180024e-01 1.85974582e-01 0.00000000e+00 -1.00000000e+300
1.71818096e+00 9.90234647e-01 7.97443475e+01 3.53787419e-02 6.29395944e-01 1.21892117e-01 0.00000000e+00 -1.00000000e+300
2.45962568e+00 9.08041844e-01 6.53886526e+01 5.35644314e-02 4.13572031e-01 3.46603857e-01 0.00000000e+00 -1.00000000e+300
3.19458730e+00 8.00399812e-01 9.85769582e+01 6.50909462e-02 3.53972117e-02 6.52184496e-01 0.00000000e+00 -1.00000000e+300
2.51078941e+00 8.31460725e-01 3.66022156e+01 9.80490365e-02 5.12396562e-01 2.71308897e-01 0.00000000e+00 -1.00000000e+300
2.74842836e+00 9.12969807e-01 3.53238259e+01 5.94712868e-02 3.00095195e-01 1.45665394e-01 0.00000000e+00 -1.00000000e+300
3.56987378e+00 9.60608668e-01 2.76688618e+01 2.05900247e-02 6.79450346e-01 4.85127277e-01 0.00000000e+00 -1.00000000e+300
3.66140152e+00 1.00884106e+00 2.43776868e+01 9.85201751e-02 2.78922705e-02 6.14858645e-02 0.00000000e+00 -1.00000000e+300
3.61899867e+00 8.02863547e-01 7.48812201e+01 7.40680564e-02 8.22275778e-01 7.29350297e-01 0.00000000e+00 -1.00000000e+300
1.80842182e+00 8.13351826e-01 8.18706202e+01 4.44224487e-02 1.32085241e-01 5.44642215e-01 0.00000000e+00 -1.00000000e+300
3.39939469e+00 1.19151139e+00 7.23911080e+01 5.92543957e-02 5.86219265e-01 6.84478289e-02 0.00000000e+00 -1.00000000e+300
3.79661999e+00 1.12326072e+00 4.87279410e+01 6.97935680e-02 4.03858157e-01 7.59495585e-01 0.00000000e+00 -1.00000000e+300
3.90062568e+00 1.04913368e+00 2.86158218e+01 5.08845891e-02 4.06639862e-01 3.08161716e-01 0.00000000e+00 -1.00000000e+300
2.10591983e+00 1.03783520e+00 8.71755984e+01 9.20129937e-02 7.02381346e-01 3.85057610e-01 0.00000000e+00 -1.00000000e+300
3.37999945e+00 9.26021303e-01 4.68574502e+01 2.91364554e-02 2.42871165e-01 7.23597277e-01 0.00000000e+00 -1.00000000e+300
2.71350518e+00 8.95955370e-01 6.73493685e+01 6.15351793e-02 4.00066574e-02 4.34357805e-01 0.00000000e+00 -1.00000000e+300
3.47682844e+00 8.01285663e-01 4.38137668e+01 6.09088353e-02 8.14598760e-02 6.82098867e-01 0.00000000e+00 -1.00000000e+300
1.71767665e+00 1.12589851e+00 5.39210618e+01 2.47521788e-02 4.04739501e-01 7.59753693e-01 0.00000000e+00 -1.00000000e+300
3.83624253e+00 1.11075778e+00 4.56389844e+01 3.79030675e-02 6.62671112e-01 6.14206625e-01 0.00000000e+00 -1.00000000e+300
1.63802414e+00 1.01321892e+00 8.09812644e+01 9.68764086e-02 6.99461862e-01 6.92437538e-01 0.00000000e+00 -1.00000000e+300
3.70955255e+00 9.36468886e-01 8.78764929e+01 8.10684426e-02 3.69428795e-02 5.01253490e-01 0.00000000e+00 -1.00000000e+300
