logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.949240225341664523e+00 9.359347572050573660e-01 7.175875894503364805e+01 2.236205292823229343e-02 1.232074705682025956e-01 9.973812575601022357e-02 -8.378533807264287869e-01 2.623146188685249874e-02 7.850657695914388390e-02
3.111199128948660242e+00 9.469124367204229120e-01 7.152350978585283769e+01 2.222183530833418685e-02 1.187469359912388250e-01 9.880969862526574332e-02 -8.275059578098185042e-01 4.769100017541358372e-02 2.238853805363149804e-02
2.945501519174874794e+00 9.773181952812817208e-01 7.193190508363973379e+01 2.200308041087576175e-02 1.240861608545286293e-01 8.932426439563175002e-02 -8.694237195587022349e-01 1.495947661909393170e-02 2.453235045318488683e-02
3.127058067646016681e+00 9.909204649532327158e-01 7.128838145435010176e+01 2.220075864756936371e-02 1.199759577694850254e-01 8.776175333140018298e-02 -8.136425488862448763e-01 4.610884472901133346e-02 1.043240734488514246e-02
2.975003027699447689e+00 9.753232542915636349e-01 7.268440958731778778e+01 2.205172192946141738e-02 1.249493516332425558e-01 4.496290659401325218e-02 -8.536273360941910582e-01 3.764899192210508644e-02 3.488866526167795634e-02
2.971943165592362934e+00 9.801975126690165574e-01 7.255518844215366414e+01 2.224654024285064799e-02 1.274347147014359138e-01 6.701770034346699045e-02 -8.914467327322326273e-01 7.402497843950860135e-02 4.458964919097978957e-02
3.034852645858712172e+00 9.025962946366489215e-01 7.324134402007737776e+01 2.237467492739529662e-02 1.297066026027512975e-01 6.108615365346642401e-02 -8.618283905796366717e-01 6.865110963137213695e-02 4.987699893062869788e-02
2.803726664148448844e+00 9.427408008056565869e-01 7.357228575448736763e+01 2.224854324005926323e-02 1.279681059084864791e-01 8.474386156215903132e-02 -9.022538156664026143e-01 8.484516053097573840e-02 3.680478909888784678e-02
2.983285585854395183e+00 9.562627434736999943e-01 7.424909286269691222e+01 2.234983707738325345e-02 1.291154087321041144e-01 1.259189124369397561e-03 -8.805013692671490588e-01 1.665868088551887907e-02 4.912952091176372993e-02
3.153008521058277225e+00 9.156356157898950521e-01 7.186952171118700505e+01 2.205903318508995944e-02 1.226881501826386778e-01 3.865060808669952552e-02 -8.384979241222392243e-01 3.460178305151683648e-02 1.561167027809729629e-02
2.800232471465294193e+00 9.712117590733244654e-01 7.263323364181313480e+01 2.249528428990254375e-02 1.251393460450369033e-01 8.725658030784422259e-02 -8.558445314018188199e-01 5.384225518631624574e-02 1.301066426437198081e-02
2.958145834977761179e+00 9.709920186779242846e-01 7.057241793990127121e+01 2.220113986508636880e-02 1.159513126713375142e-01 4.694971417202423863e-02 -8.123927080842145987e-01 1.072663600464687263e-02 1.090363228974833808e-02
3.194805655410338563e+00 9.570570645773428531e-01 7.176007545367814089e+01 2.208043426419722260e-02 1.297641131217189270e-01 7.680523147251910876e-02 -8.582425055234856881e-01 6.966167506918830021e-02 1.245769434440484151e-02
2.891776564560451401e+00 9.269919895667834142e-01 7.180889947013353947e+01 2.234612836752415330e-02 1.205977063670842508e-01 9.600905541018783795e-02 -8.646668622767992307e-01 9.421820114050727391e-02 4.266844576585796661e-02
3.198675463177627964e+00 9.531620120354206138e-01 7.211917207655103823e+01 2.201831404106186635e-02 1.253342074784593307e-01 7.354236112140405401e-02 -8.316971111133251160e-01 9.916882739718912987e-04 5.024855398462416828e-02
2.922150419301589697e+00 9.342347661576420048e-01 7.392113661269232239e+01 2.247606145295851995e-02 1.296475143103095751e-01 7.041162447979243399e-02 -8.956121226972793004e-01 7.390278751137758020e-03 6.800028599086994918e-02
3.146035255939523267e+00 9.008935227445716842e-01 7.169755326062839629e+01 2.226834381924954614e-02 1.216807390501096764e-01 6.267763549456734085e-02 -8.314950686380777611e-01 2.983880219000828449e-02 5.087628920013023692e-02
2.901233959730866285e+00 9.041463268976991374e-01 7.206788392208346750e+01 2.211521176304598671e-02 1.212265489814577102e-01 1.501078363078678542e-03 -8.247302277872290421e-01 3.879330883611460667e-02 3.485976971339026231e-02
2.948122585405124507e+00 9.730133312859606809e-01 7.399005644069634968e+01 2.255179933375566284e-02 1.299538039850813564e-01 8.904596892898596072e-02 -8.754046502057961643e-01 3.320011820480756048e-02 6.954923816050308238e-02
3.090835492226066350e+00 9.754052126049173044e-01 7.265177020134828467e+01 2.206607454562446377e-02 1.284897027895166577e-01 2.909966272580357186e-02 -8.437918182008752321e-01 5.076385845008662273e-02 1.438675194666885933e-02
3.093191103753031967e+00 9.443163221539009333e-01 7.273592231413854847e+01 2.224255330164140107e-02 1.212532426283193937e-01 8.928568018008077589e-02 -8.828621333976829355e-01 3.216356662615361267e-02 1.174766795061998013e-02
3.095333125398913143e+00 9.149628211200155903e-01 7.169068628551423217e+01 2.236321138704016123e-02 1.127350413980914012e-01 6.593447076306513388e-02 -8.346950044545522474e-01 6.495419072905737889e-02 6.231200906444289700e-02
3.077562963191548207e+00 9.975055114719664218e-01 7.246046533648458876e+01 2.223960034386685686e-02 1.248222182279084824e-01 1.913180989722522776e-02 -8.591145239461013272e-01 8.625001589208550201e-02 2.527702478714547590e-02
3.049463302223309746e+00 9.878771303098894396e-01 7.215565468398563098e+01 2.232080801244357843e-02 1.276850765710185187e-01 5.945425208291661712e-02 -8.486046836473617461e-01 8.701513031402291487e-03 2.393401011751483676e-02
3.061995786777403694e+00 9.682678514579960982e-01 7.259057320651804446e+01 2.230216790975195554e-02 1.282774765615710133e-01 1.046139801376370741e-02 -8.493774231103092820e-01 6.989667545963922091e-02 3.224840850400249870e-02
2.848430668725763226e+00 9.620910743203114901e-01 7.312437172100496241e+01 2.222432575316236544e-02 1.275429915900819222e-01 4.951531979011591922e-02 -8.812379499888038925e-01 4.490669101256909018e-02 4.177697323851859573e-02
3.166187014685645007e+00 9.612613767412215848e-01 7.246976525557715831e+01 2.223063866572561054e-02 1.287845605184389508e-01 4.294452414896064024e-02 -8.612410894822755125e-01 4.077673663476300003e-02 3.251027876178097520e-02
3.127473969487143624e+00 9.503416929388954770e-01 7.263095183576893987e+01 2.239891372170066397e-02 1.229256887337649845e-01 5.449456793201307159e-02 -8.631071526289526563e-01 3.869965494067018064e-02 4.116785159578439934e-02
3.141587592064009282e+00 9.598439454525391490e-01 7.324245673735900652e+01 2.247932891919450851e-02 1.211822566497038622e-01 8.701363235167647314e-02 -8.663461252921860201e-01 8.622429188247214549e-02 4.920258817897461834e-02
2.947201472650082810e+00 9.668784009822035674e-01 7.279730253059253187e+01 2.214963499848800199e-02 1.233542178876435996e-01 8.192701748194514133e-02 -8.686411394251833951e-01 1.548156107058692998e-02 5.617004106381242451e-02
3.191279108277567111e+00 9.666185411477419276e-01 7.172914522212423094e+01 2.213955002681674070e-02 1.158751127027336514e-01 2.895493380091032631e-02 -8.462868272462433783e-01 7.095285672019784051e-02 6.680704666716730245e-02
2.820900708221126152e+00 9.636895374708442930e-01 7.315357258035687948e+01 2.239038115481768731e-02 1.286727470634445314e-01 4.421175366233320858e-02 -8.823431163999690963e-01 3.927208104403764888e-02 6.242094902068928697e-02
2.871532657501499219e+00 9.198633222084124927e-01 7.455245626225709543e+01 2.252886690116864127e-02 1.295900210122992446e-01 5.365337851938293406e-02 -9.177430924782936650e-01 3.398786425934004207e-02 7.747119093938850676e-02
3.001011982399147904e+00 9.597827465278709891e-01 7.362306400967614195e+01 2.220019253331856346e-02 1.297454843596604068e-01 4.128682986844114250e-02 -8.962549985210810366e-01 5.980504546740299937e-02 2.640835057532605473e-02
2.871912919991145952e+00 9.490381522927932023e-01 7.144900901802985516e+01 2.208044142190420528e-02 1.216394428745250361e-01 5.867248132401665928e-02 -8.243592550071348057e-01 2.240479278611898911e-02 6.029767151797080227e-02
3.008934537998489311e+00 9.800430508398726426e-01 7.283130343002704876e+01 2.222146900754203361e-02 1.245182293119906219e-01 7.482153224914710188e-02 -8.652223156010272476e-01 2.235531905085432272e-02 5.428018405611502450e-02
2.887152704743982223e+00 9.009215942742428984e-01 7.249066676554595290e+01 2.201242825830170349e-02 1.283208481993362848e-01 3.624636313108735991e-02 -8.551507904594495280e-01 5.820308378082850176e-02 2.084155321834303340e-02
2.896258804006658583e+00 9.736360116235993623e-01 7.259197586257364776e+01 2.237010085369108003e-02 1.227174213038983441e-01 8.909275489441736973e-02 -8.808798785166573886e-01 8.324396129291332380e-02 5.981033891318862650e-02
3.101807500915098270e+00 9.340905303185362829e-01 7.190157963535739327e+01 2.202815971161996983e-02 1.233892229435632759e-01 4.554359903008990684e-02 -8.602716536309222839e-01 8.491647634368586217e-02 3.927713328227039336e-02
2.969240875122745482e+00 9.833223765801405447e-01 7.193275415547583407e+01 2.237611864285904070e-02 1.224631188406060528e-01 5.657920747390152161e-02 -8.555353000061765023e-01 9.442317389364492108e-02 3.317882015072738666e-02
2.893805210474087897e+00 9.949433118776496165e-01 7.125405165892173898e+01 2.233993277390503365e-02 1.213801951274216390e-01 7.436493974541043273e-02 -8.483661915489675298e-01 9.574355515132310090e-02 7.126660838138186571e-02
2.962837923184147293e+00 9.322520501377300484e-01 7.145591717188416681e+01 2.222936062185633735e-02 1.231482998079971997e-01 9.404251171773268803e-02 -8.323311766615599794e-01 1.728257719199142659e-02 2.761174296109005638e-02
2.906755392088039347e+00 9.192071580611023141e-01 7.283913989135459133e+01 2.227755586335997476e-02 1.267440633170417719e-01 6.823401948164396769e-02 -8.872431333213315341e-01 7.469543937394429456e-02 2.000042912543169293e-02
2.803876471634941581e+00 9.845246789962129874e-01 7.267409538524407253e+01 2.200353145484046369e-02 1.270621701188721087e-01 1.158222132635266556e-02 -8.587132807694497494e-01 9.295783280733843634e-02 6.108929820373165676e-02
3.007321951187636344e+00 9.114531566855893496e-01 7.324136003970751574e+01 2.200146684795212942e-02 1.284204344564190969e-01 8.330720071811203997e-02 -8.628964753385581776e-01 9.143073601969367581e-02 2.568419686611907171e-02
3.127473969487143624e+00 9.503416929388954770e-01 7.263095183576893987e+01 2.239891372170066397e-02 1.229256887337649845e-01 5.449456793201307159e-02 -8.631071526289526563e-01 3.869965494067018064e-02 4.116785159578439934e-02
2.969995760593618250e+00 9.189072606510699792e-01 7.239162750797586909e+01 2.219681468226656490e-02 1.267155819480432766e-01 4.085597860101687628e-02 -8.572660305076826859e-01 7.945229558501111511e-02 2.269699183339298626e-02
3.109865033465712081e+00 9.922808771030426911e-01 7.305567973475173460e+01 2.218088700743254052e-02 1.299866139005378396e-01 8.531368367044134260e-02 -9.049670167041372615e-01 9.383515949086006225e-02 3.623951296512881171e-02
2.993055178320473519e+00 9.410455563738602258e-01 7.328086463563931829e+01 2.237735033594531395e-02 1.296805188398816311e-01 6.190215134587359613e-02 -8.842056966158002851e-01 4.996932467153713392e-02 6.959166768279195781e-02
3.051733841476535147e+00 9.131441275665796997e-01 7.202940091509607612e+01 2.211608868909090489e-02 1.212690392564520908e-01 7.174618843856257755e-02 -8.359329851620214136e-01 6.261002278841192037e-02 7.963664568689024503e-02
2.870924371481502035e+00 9.891180442109728244e-01 7.287304935223342284e+01 2.259797361928939791e-02 1.282883250685921961e-01 7.536668119340145244e-02 -8.967561999712503340e-01 9.055855196772555349e-02 3.778164109983676161e-02
3.199405824553731570e+00 9.119194502631885468e-01 7.338996974798469353e+01 2.252466004137898894e-02 1.294382799772988979e-01 9.078820666379450177e-02 -8.907212407357301132e-01 9.307806946810681659e-02 3.050827782488772094e-02
3.156964174026975822e+00 9.107845286581653932e-01 7.176057647012795826e+01 2.241280195384885363e-02 1.170862893328300930e-01 3.918969160007031161e-02 -8.444985149292008053e-01 1.414515706171820542e-02 5.615539563464887890e-02
3.112264852273757487e+00 9.465663058219239145e-01 7.202414514755068353e+01 2.207954224924590231e-02 1.258688715357419163e-01 9.456080696386537365e-02 -8.350434924657721414e-01 9.788687752277891799e-03 3.315841883909662058e-02
3.118273183722897635e+00 9.427347257959579618e-01 7.201298436970876082e+01 2.233028351952384694e-02 1.192598240340804056e-01 7.417003393263486843e-02 -8.646937945872530396e-01 7.807959593775065654e-02 6.308710343000496767e-02
3.025707150302912485e+00 9.165085643356782885e-01 7.199148111206309864e+01 2.221361496324516030e-02 1.287015682913009162e-01 3.451320092651543464e-02 -8.464309695029412772e-01 5.260586208612570008e-02 1.535428432387494872e-02
2.935954531966847636e+00 9.932980337004049254e-01 7.262378505852716160e+01 2.236773555703508096e-02 1.265081571593545950e-01 2.819048457424304724e-02 -8.596606628510488068e-01 9.953310925787217656e-02 5.726249868551904626e-02
3.165638220530980096e+00 9.339709475814119699e-01 7.221816487299054188e+01 2.248668441802902790e-02 1.209453940024260432e-01 7.430737574191224881e-02 -8.662345089520966379e-01 8.916959415238218112e-02 1.961294967378050813e-02
3.199480839816985167e+00 9.387698584438447513e-01 7.390452646866236819e+01 2.247252369012561757e-02 1.265545439161676611e-01 7.877886647760197480e-02 -9.051990036982231480e-01 9.746981316485035796e-02 3.722096294230157337e-02
3.018850823286834739e+00 9.975402584701862363e-01 7.143482838433415338e+01 2.233146101050091301e-02 1.198049619019888185e-01 1.181443622403065621e-02 -8.148010077037253218e-01 8.903050903154956230e-02 6.935522550943580555e-02
2.820303481229601061e+00 9.131336977486060880e-01 7.358998855543505613e+01 2.219441026395030381e-02 1.290943162898648133e-01 9.465360110639528535e-02 -8.986891588681427123e-01 2.843633504782965352e-02 3.829871991049928204e-02
3.047357475304881547e+00 9.607664012672110232e-01 7.218067446635794226e+01 2.206194825554565545e-02 1.181109610108692226e-01 7.754098972481210383e-02 -8.487534944939756354e-01 1.480218180612459869e-02 5.959597815666146242e-02
2.975535270919460906e+00 9.851247434934690128e-01 7.142121732338648599e+01 2.224270959147024024e-02 1.179503650922627406e-01 8.899913703365716633e-02 -8.366719526849868416e-01 6.015754295341746612e-03 3.568398350085517229e-02
2.821891093421157848e+00 9.603061382357785947e-01 7.273787643419402116e+01 2.248446682596431240e-02 1.214545193965561876e-01 8.929732528637152056e-02 -8.803506878505844568e-01 6.870019604568702865e-02 7.986887228475676725e-02
3.110934182295149508e+00 9.550717244987907417e-01 7.313765894162459347e+01 2.238443322299059693e-02 1.288418265272419649e-01 2.878047949007102313e-02 -8.554942019546636356e-01 4.260157604271042064e-02 7.694536343297980752e-02
3.196148328153174845e+00 9.606112056259780152e-01 7.240488614771584253e+01 2.217354759505249864e-02 1.259304881453303104e-01 8.942793676248828733e-03 -8.584411453461455732e-01 5.699231456288809256e-02 4.102513168855021625e-02
3.022155856071985891e+00 9.020400621910223959e-01 7.292891150053860372e+01 2.231787567872733913e-02 1.276020426489387627e-01 8.530731787430682889e-02 -8.587530529543145885e-01 1.883033819682360457e-02 7.978054784590420112e-02
2.915578003046303213e+00 9.868549120439205069e-01 7.114118240071610444e+01 2.217184140033510303e-02 1.223280750027062602e-01 2.867146920536210036e-02 -8.056924550386443951e-01 4.705538066624399829e-02 6.082839144211349414e-02
3.168974054147736474e+00 9.835250270424493735e-01 7.330909745493258356e+01 2.221897270951012429e-02 1.277284015578633580e-01 4.969577414954030881e-02 -8.644484770105236304e-01 2.826944298742507800e-02 7.978022164997211618e-02
3.015787276602062139e+00 9.541523533828887293e-01 7.257630401662973441e+01 2.257417520871726410e-02 1.273087743481976508e-01 1.731491165225902337e-02 -8.346927532962344909e-01 1.456002049967723526e-02 7.376674264813748438e-02
3.109568348330432830e+00 9.560408419481255526e-01 7.380683311093018517e+01 2.255614639033409058e-02 1.280319010063420138e-01 9.679490111453808998e-02 -8.916677173628684283e-01 2.674075736402088677e-02 3.847976742923289034e-02
2.940385525521548082e+00 9.349074867488358365e-01 7.245693301437455602e+01 2.234255639930160173e-02 1.264447074801501869e-01 6.088954745407751390e-02 -8.380119253146114389e-01 4.381231922272903895e-02 7.291868971055005810e-02
2.967751024938334314e+00 9.570023670416784034e-01 7.283383275628273168e+01 2.243469714316891767e-02 1.299522014160953975e-01 6.245669137609419913e-02 -8.723266756657124255e-01 3.082892935290329137e-02 6.257098724079307450e-02
3.189132366567456245e+00 9.034020855416126095e-01 7.207163606401320521e+01 2.256056324325063714e-02 1.170838446295488777e-01 9.867883531433181699e-02 -8.553743422668662610e-01 3.051088472718297556e-02 1.850972041990973579e-02
3.128783238383940901e+00 9.935811428170439052e-01 7.252201073092268757e+01 2.202176039235148597e-02 1.234750528979561002e-01 6.803314511782219964e-02 -8.657547437866006668e-01 4.590814183310542446e-02 3.923229244267172067e-02
3.017134147629152885e+00 9.905353975141772960e-01 7.168205129427094846e+01 2.231026517982445320e-02 1.168351554948143661e-01 5.283428492648369057e-02 -8.169529720537034301e-01 3.391133613519625722e-02 7.319122976506348133e-02
3.161912874420899300e+00 9.163846778051661923e-01 7.281570071721259296e+01 2.224694575283786557e-02 1.277508463584309251e-01 7.934774560529991860e-02 -8.579602557501551097e-01 7.773934946430588466e-02 1.523188382614159425e-02
2.888439187025934718e+00 9.903123394357210563e-01 7.237560988194515232e+01 2.226038602034252981e-02 1.254774907378440330e-01 7.661078679328460483e-02 -8.788423575207102711e-01 8.364472125508770617e-02 2.192225210256592074e-02
3.072693408372385360e+00 9.040423018615412198e-01 7.185885529281550532e+01 2.243073984588109249e-02 1.270772423471804302e-01 1.511029507271815543e-02 -8.346297474738011424e-01 8.563101055867226863e-02 5.334164807495972438e-02
2.825740044066325396e+00 9.222148987618129512e-01 7.392010601711611173e+01 2.227461130901355751e-02 1.279829734603893376e-01 6.890330491603750829e-02 -9.159088437049762721e-01 7.311606191939258592e-02 4.209775273394705808e-02
3.138508166394124110e+00 9.578924574638355560e-01 7.251030064513287243e+01 2.224458411555194429e-02 1.276002188663320214e-01 6.571083633971416815e-02 -8.475018085222665309e-01 1.673074422996082000e-02 7.071115136232962450e-02
3.104578224305237111e+00 9.224948180456334912e-01 7.191504910555642027e+01 2.242788935493965352e-02 1.226905157714794636e-01 5.299245967589430450e-02 -8.295201419957840550e-01 4.603891089473521187e-02 1.841898722875654620e-02
3.172266306658406698e+00 9.220009861669687945e-01 7.260335938132845968e+01 2.214173360510285349e-02 1.226564356038571946e-01 9.207867211814202424e-02 -8.605824970260398388e-01 4.581656004160283152e-02 3.077708768376788417e-02
2.960508015592872244e+00 9.076619342131795332e-01 7.336582689263680379e+01 2.247734789508933420e-02 1.202425441573829051e-01 9.198491057072687160e-02 -9.044618488292099912e-01 4.553758257347086114e-02 6.048119748372506044e-02
3.099323564768768691e+00 9.098780840814409965e-01 7.288624170551673842e+01 2.240552313256469544e-02 1.278948033847686072e-01 4.807244344287862903e-02 -8.587327564643203459e-01 6.170334974710901810e-02 1.212668028158553693e-02
2.812063017233981999e+00 9.148931795356364249e-01 7.181386013208444297e+01 2.257915598453320849e-02 1.183655899603362482e-01 5.165026783171631358e-02 -8.465157935530087663e-01 9.187492033075672637e-02 2.744440988254640001e-02
2.955974239106006873e+00 9.838388695442568110e-01 7.125479636229542280e+01 2.257147003412111191e-02 1.151280994188243617e-01 9.009735648780065054e-02 -8.175459480533096013e-01 8.507626619782898691e-02 6.802284488138100882e-02
3.035269070048609130e+00 9.786660006834607684e-01 7.251521060845468014e+01 2.240260785146116693e-02 1.243935882903113299e-01 5.667315882478271560e-02 -8.705426501731161615e-01 5.187407028650928287e-02 6.409098555496081651e-02
2.822666392736083996e+00 9.869819656858443979e-01 7.265123232718580937e+01 2.250019983571450652e-02 1.277463985755570297e-01 8.875950526826523190e-02 -8.598437994397389872e-01 2.781310095703980537e-02 1.766283496993073868e-02
3.139532716363135023e+00 9.786797600142066456e-01 7.304352756934503077e+01 2.223911870485052733e-02 1.299879753466458565e-01 4.212125258305332576e-03 -8.862471923638925997e-01 8.102423309489809045e-02 5.404631198100780937e-02
3.089217760834041648e+00 9.057444917005603724e-01 7.316660997338102845e+01 2.202126430934006618e-02 1.253525980216708691e-01 8.347116639354396073e-02 -8.962047217375441743e-01 5.863102798665745241e-02 3.355664279722685162e-02
