weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -inf 2.982308570579144558e+00 9.794680763123481126e-01 6.676225373977817412e+01 2.230307106701546679e-02 1.103276853752318126e-01 3.997076794694229274e-02 -9.976693827926841340e-01 1.542477273869988785e+00 6.283009069380950107e-02
0.000000000000000000e+00 -inf 2.862934326838552757e+00 9.846723496725325875e-01 7.651597136192887660e+01 2.207920803427060666e-02 1.151229089818720380e-01 1.775885175060769663e-02 -7.110421660278558598e-01 1.851017587042291357e+00 3.592413301189584934e-02
0.000000000000000000e+00 -inf 2.850853513553568863e+00 9.292629152917080138e-01 7.451246184433371411e+01 2.244945578518352247e-02 1.291110063287971010e-01 6.852169549739006715e-02 -9.872266242990257457e-01 1.417569005683895877e+00 1.336745817772892406e-02
0.000000000000000000e+00 -inf 3.053158355653429634e+00 9.786248663897245681e-01 7.708908665098738311e+01 2.239605729066122819e-02 1.143869989305344170e-01 2.536406568532578731e-02 -6.966711756089847274e-01 1.557214534626177649e+00 2.579070757573223571e-02
0.000000000000000000e+00 -inf 3.151974323699596958e+00 9.877269786023292752e-01 7.723427376373135189e+01 2.251788815826926901e-02 1.136390746860386214e-01 2.825981079272173180e-02 -5.953481915466896091e-01 9.271603536454637862e-01 7.889402056435858290e-02
0.000000000000000000e+00 -inf 2.847243300127125565e+00 9.392353959462073076e-01 6.409487111881212229e+01 2.204585402346475806e-02 1.213301661702890777e-01 7.402443815709741637e-02 -5.678259915975405470e-01 1.247409593201444622e+00 4.684919203461491988e-02
0.000000000000000000e+00 -inf 3.105451114602688634e+00 9.133443721732431575e-01 7.022919949874511758e+01 2.211280491065661241e-02 1.195976986242651835e-01 9.181251592595385605e-03 -1.336128278434824512e+00 1.678562187033236786e+00 1.659821700712314080e-02
0.000000000000000000e+00 -inf 2.874510767499782737e+00 9.174975474632718342e-01 7.950408693030034613e+01 2.236994952420729918e-02 1.295104663212721108e-01 2.807244121298205913e-02 -7.060992955096137003e-01 1.695867030465848746e+00 5.120435313866548294e-02
0.000000000000000000e+00 -inf 2.884547125637092257e+00 9.530172039622838431e-01 7.633007630606577720e+01 2.200742170781672113e-02 1.279367042648469899e-01 2.642462455195371349e-03 -6.988568095867391250e-01 1.790831203428500107e+00 5.460447286763914915e-02
0.000000000000000000e+00 -inf 2.810340183680491322e+00 9.562663147504074646e-01 6.846987279047630182e+01 2.242647232831938148e-02 1.256819509320289685e-01 6.616534446118281509e-02 -7.989683007554848615e-01 1.566975119451310405e+00 7.077306131749892815e-02
0.000000000000000000e+00 -inf 2.895197665459102510e+00 9.848592608027549877e-01 7.027957454897550349e+01 2.222541770511591089e-02 1.204968346831396253e-01 8.940995354314601462e-02 -5.994879626190581234e-01 1.636955950178593522e+00 1.952636417153166826e-02
0.000000000000000000e+00 -inf 3.140078164150312379e+00 9.836452398831448951e-01 6.301319847082799441e+01 2.245189593245442913e-02 1.188005887430526875e-01 9.987241569820738685e-02 -8.422702857883139771e-01 1.851521970885527502e+00 4.826287051019587798e-02
0.000000000000000000e+00 -inf 2.957422547409057412e+00 9.796874641632027370e-01 7.043601114924923934e+01 2.233814696091796642e-02 1.248570426754900542e-01 2.245019314774704400e-02 -5.124129090393167996e-01 1.589153828164144411e+00 5.135129462753180996e-02
0.000000000000000000e+00 -inf 2.945908820424124386e+00 9.958042492116260247e-01 7.634896401159133461e+01 2.251470626591381766e-02 1.179819262547351644e-01 5.105680011950633479e-02 -1.527668580619828242e+00 1.817311547160017859e+00 2.214911402794746825e-02
0.000000000000000000e+00 -inf 2.841712457706039086e+00 9.826894625592772492e-01 7.399257736779087224e+01 2.248469471352459309e-02 1.136933722601567998e-01 6.736076153379530473e-02 -6.823020971351831943e-01 1.192827346395694210e+00 3.651354813227266488e-02
0.000000000000000000e+00 -inf 3.171002027545727131e+00 9.191774281539437652e-01 7.192470062161339683e+01 2.217048018347297922e-02 1.143482960114281383e-01 9.332367292811769022e-02 -6.032497430640959557e-01 1.255899086765023043e+00 3.573741926269387303e-02
0.000000000000000000e+00 -inf 2.875138446126657588e+00 9.751031664188498649e-01 7.072187795554764023e+01 2.213058058831866501e-02 1.202460891640071694e-01 3.653199054132656720e-02 -7.975870695717319769e-01 1.441078349051998941e+00 2.504371838857611873e-02
0.000000000000000000e+00 -inf 3.001178317693419473e+00 9.306796020572849493e-01 7.044890500353903917e+01 2.207002334234693317e-02 1.124403460429030249e-01 1.133448492340727439e-03 -5.408906361345375835e-01 7.931806788573552147e-01 3.727749588820005594e-02
0.000000000000000000e+00 -inf 2.869321094698980446e+00 9.572969118009315714e-01 6.545257866761761534e+01 2.246920926705877827e-02 1.281014228054079551e-01 1.277951860163140194e-03 -1.266189409207208572e+00 1.597298475327237455e+00 5.207158228303435804e-02
0.000000000000000000e+00 -inf 3.082429404452262656e+00 9.815957219675757184e-01 7.554044145869968929e+01 2.240822082901934229e-02 1.196839062660186859e-01 8.390508540462826917e-03 -5.953696495494646967e-01 1.871795708719348195e+00 7.942933754958683701e-02
0.000000000000000000e+00 -inf 2.926166288996806752e+00 9.456604622660533810e-01 7.742305501640811372e+01 2.228758001718634738e-02 1.245058842905578667e-01 9.231121757643893921e-02 -9.341415342899106466e-01 1.261509354604547717e+00 5.552888348147771991e-02
0.000000000000000000e+00 -inf 3.031126434664709546e+00 9.720739170892551684e-01 6.532877223412627643e+01 2.203493937979318640e-02 1.143722667069930893e-01 1.749295887658717380e-02 -7.332169717441823220e-01 1.715434743202310486e+00 3.021615692621404392e-02
0.000000000000000000e+00 -inf 2.900217955441498852e+00 9.023896073645314431e-01 7.307961567216918297e+01 2.241038498240367771e-02 1.290434456060498836e-01 4.366112497830068606e-02 -6.936938163279531278e-01 1.656281763899320136e+00 2.660898332909322067e-02
0.000000000000000000e+00 -inf 2.882240620337378267e+00 9.010358186364703093e-01 6.500654193183973462e+01 2.202252386180312757e-02 1.203950959391874020e-01 7.854507180722003490e-02 -6.297909837067152683e-01 1.292831367101663353e+00 3.006315407416015190e-02
0.000000000000000000e+00 -inf 3.142727581876110232e+00 9.051700431905060906e-01 6.754511645779162166e+01 2.207382708239398125e-02 1.261512196733061697e-01 3.091326055432635014e-02 -6.520812383361840325e-01 1.754173327959427375e+00 6.622429676952916455e-02
0.000000000000000000e+00 -inf 3.046193421771223431e+00 9.397414306244133986e-01 7.722283621923924102e+01 2.218000813311490557e-02 1.164433483535367297e-01 4.747793458983756709e-02 -7.496068838725209460e-01 1.882125386400316014e+00 6.383960527633628090e-02
0.000000000000000000e+00 -inf 2.943661981125374805e+00 9.226987234820965833e-01 7.077394608593195358e+01 2.237553097872400226e-02 1.148006359290849043e-01 1.332472645081347364e-02 -1.236120460215134775e+00 1.801893772040273234e+00 2.437286293001404702e-02
0.000000000000000000e+00 -inf 2.905636154165464280e+00 9.887598214908757122e-01 7.685567308523360452e+01 2.217630148256720390e-02 1.160323506619328066e-01 9.898343137493626279e-03 -1.325096381651552191e+00 1.731939114583209705e+00 5.258919593931132147e-02
0.000000000000000000e+00 -inf 2.944201171301114250e+00 9.946049241449991252e-01 6.011801314157893472e+01 2.229530066818555603e-02 1.186993280209806961e-01 9.772729903056545653e-02 -8.234297903997236379e-01 1.338989371160543396e+00 5.368518029457789581e-02
0.000000000000000000e+00 -inf 2.934825282485054920e+00 9.938120415276135988e-01 7.129166549712715550e+01 2.245730603617064614e-02 1.177211052481837161e-01 1.370931899220288047e-02 -7.987617286251391668e-01 1.592467571410297378e+00 3.981898112936090722e-02
0.000000000000000000e+00 -inf 2.807665142020491000e+00 9.697449815040590781e-01 7.948865150500003551e+01 2.255565953386964168e-02 1.282307818926937681e-01 9.736026127067742841e-02 -1.017285882828732557e+00 1.328539336398386173e+00 1.908968448114269773e-02
0.000000000000000000e+00 -inf 2.893434655869913996e+00 9.999980415551739110e-01 7.709943081754866512e+01 2.241060345324769401e-02 1.121980332961958482e-01 2.477725917768399885e-02 -6.526110426037912138e-01 1.369392980990983055e+00 5.445647461632269204e-02
0.000000000000000000e+00 -inf 2.807544748022095860e+00 9.961375466546392721e-01 7.865107684178380509e+01 2.247328306535430892e-02 1.245572928944519292e-01 5.159434554731001654e-03 -1.137559829852827331e+00 1.809981764138134608e+00 3.490012061584042702e-02
0.000000000000000000e+00 -inf 3.059358919512994657e+00 9.847982513503239499e-01 6.812807257023636964e+01 2.252651390129242412e-02 1.150818978935229664e-01 2.718845440656771084e-02 -1.340660219579429491e+00 1.681850057065422455e+00 1.573746117753914431e-02
0.000000000000000000e+00 -inf 2.828497206051963531e+00 9.000571181356179506e-01 6.848898386152924900e+01 2.243894593314418179e-02 1.291555563822124608e-01 5.662598492286519299e-03 -1.203389554435809750e+00 1.928264681104086442e+00 6.996931434637483627e-02
0.000000000000000000e+00 -inf 2.954872913912787169e+00 9.637840524458087810e-01 6.645747295765913520e+01 2.254983879899196547e-02 1.184247234118216557e-01 8.927135061895397072e-02 -8.750696690226940078e-01 1.509847427847758272e+00 1.840410198755221272e-02
0.000000000000000000e+00 -inf 2.922430424521271775e+00 9.318874819182010327e-01 7.027924213861496128e+01 2.223150082022293250e-02 1.113613324619042583e-01 6.982381527917327912e-02 -1.193556510890621203e+00 1.550166683709596871e+00 5.108449585568117929e-02
0.000000000000000000e+00 -inf 3.195291071372025282e+00 9.481072568972234160e-01 7.291382900044172288e+01 2.218934300358001155e-02 1.154771292714217995e-01 3.120798322073858877e-02 -5.087651825961150287e-01 1.949474989816280868e+00 2.110441068252281657e-02
0.000000000000000000e+00 -inf 3.045955457834091273e+00 9.902898918307740939e-01 6.564315579409921497e+01 2.212832265026333511e-02 1.132174103543059224e-01 8.104090864397225924e-02 -5.557660527983820931e-01 1.869680711626775516e+00 5.576388325863881196e-02
