weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -inf 4.557714264478611721e-01 7.946807631234807934e-01 3.381126869889083952e-01 5.051184450257779623e-01 1.638426876159038148e-02 3.997076794694228719e-01 6.682204114715438736e-01 8.856193184674971963e-01 7.547155813401357216e-01
0.000000000000000000e+00 -inf 1.573358170963822245e-01 8.467234967253260969e-01 8.257985680964440300e-01 1.320133904510122358e-01 2.561454490936019290e-01 1.775885175060769594e-01 8.593052226480961675e-01 9.627543967605728392e-01 3.703447573127978121e-01
0.000000000000000000e+00 -inf 1.271337838839228240e-01 2.926291529170802486e-01 7.256230922166856390e-01 7.490929753058704899e-01 9.555503164398549965e-01 6.852169549739006715e-01 6.751822504673161696e-01 8.543922514209739694e-01 4.810654539612746472e-02
0.000000000000000000e+00 -inf 6.328958891335739745e-01 7.862486638972453479e-01 8.544543325493688668e-01 6.600954844353807971e-01 2.193499465267204629e-01 2.536406568532578731e-01 8.688858829273434781e-01 8.893036336565444122e-01 2.255815367961747642e-01
0.000000000000000000e+00 -inf 8.799358092489921734e-01 8.772697860232929745e-01 8.617136881865673503e-01 8.631469304487843219e-01 1.819537343019307363e-01 2.825981079272172902e-01 9.364345389688735199e-01 7.317900884113659465e-01 9.842002937765511605e-01
0.000000000000000000e+00 -inf 1.181082503178140231e-01 3.923539594620731874e-01 2.047435559406060035e-01 7.642337244126673479e-02 5.665083085144536623e-01 7.402443815709741637e-01 9.547826722683062650e-01 8.118523983003611555e-01 5.264170290659273554e-01
0.000000000000000000e+00 -inf 7.636277865067219173e-01 1.334437217324319080e-01 5.114599749372561455e-01 1.880081844276867420e-01 4.798849312132588141e-01 9.181251592595385258e-02 4.425811477101169178e-01 9.196405467583091964e-01 9.426024295890200744e-02
0.000000000000000000e+00 -inf 1.862769187494569545e-01 1.749754746327186750e-01 9.752043465150174173e-01 6.165825403454993081e-01 9.755233160636059830e-01 2.807244121298205775e-01 8.626004696602576072e-01 9.239667576164621865e-01 5.886336162666496730e-01
0.000000000000000000e+00 -inf 2.113678140927307547e-01 5.301720396228387644e-01 8.165038153032889712e-01 1.236951302787125950e-02 8.968352132423498269e-01 2.642462455195371263e-02 8.674287936088406203e-01 9.477078008571250267e-01 6.372067552519877776e-01
0.000000000000000000e+00 -inf 2.585045920122885921e-02 5.626631475040745345e-01 4.234936395238149132e-01 7.107872138656373684e-01 7.840975466014477036e-01 6.616534446118281787e-01 8.006877994963433887e-01 8.917437798628276013e-01 8.681865902499846799e-01
0.000000000000000000e+00 -inf 2.379941636477561628e-01 8.485926080275498773e-01 5.139787274487750413e-01 3.756961751931870985e-01 5.248417341569814321e-01 8.940995354314600352e-01 9.336746915872945474e-01 9.092389875446483805e-01 1.360909167361666894e-01
0.000000000000000000e+00 -inf 8.501954103757805026e-01 8.364523988314490621e-01 1.506599235413996762e-01 7.531598874240482688e-01 4.400294371526345394e-01 9.987241569820738407e-01 7.718198094744573856e-01 9.628804927213818754e-01 5.466124358599410149e-01
0.000000000000000000e+00 -inf 3.935563685226433073e-01 7.968746416320274806e-01 5.218005574624620113e-01 5.635782681966129415e-01 7.428521337745026543e-01 2.245019314774704400e-01 9.917247273071221336e-01 8.972884570410361027e-01 5.907327803933114518e-01
0.000000000000000000e+00 -inf 3.647720510603115196e-01 9.580424921162603580e-01 8.174482005795669082e-01 8.578437765230301215e-01 3.990963127367584962e-01 5.105680011950632924e-01 3.148876129201144680e-01 9.543278867900044649e-01 1.735587718278209790e-01
0.000000000000000000e+00 -inf 1.042811442650981579e-01 8.268946255927730471e-01 6.996288683895434124e-01 8.078245225409897978e-01 1.846686130078399879e-01 6.736076153379529918e-01 8.784652685765445002e-01 7.982068365989235526e-01 3.787649733181809308e-01
