12:36:09 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=False, log_dir=cpl_output/cpl_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
12:36:09 [ultranest] [INFO] Sampling 400 live points from prior ...
12:36:31 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
12:36:31 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
12:36:31 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
12:36:31 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-4807.53, Lmax=-709.82
12:36:31 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-4644.24, remainder_fraction=100.0000%, Lmin=-4589.99, Lmax=-709.82
12:36:32 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-4578.30, remainder_fraction=100.0000%, Lmin=-4448.04, Lmax=-709.82
12:36:32 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-4422.11, remainder_fraction=100.0000%, Lmin=-4347.78, Lmax=-709.82
12:36:32 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-4241.87, remainder_fraction=100.0000%, Lmin=-4176.32, Lmax=-709.82
12:36:32 [ultranest] [DEBUG] iteration=12, ncalls=413, regioncalls=520, ndraw=40, logz=-4067.52, remainder_fraction=100.0000%, Lmin=-4018.82, Lmax=-709.82
12:36:32 [ultranest] [DEBUG] iteration=14, ncalls=415, regioncalls=600, ndraw=40, logz=-3983.59, remainder_fraction=100.0000%, Lmin=-3924.92, Lmax=-709.82
12:36:32 [ultranest] [DEBUG] iteration=16, ncalls=417, regioncalls=680, ndraw=40, logz=-3917.69, remainder_fraction=100.0000%, Lmin=-3869.59, Lmax=-709.82
12:36:32 [ultranest] [DEBUG] iteration=19, ncalls=420, regioncalls=800, ndraw=40, logz=-3842.46, remainder_fraction=100.0000%, Lmin=-3820.24, Lmax=-709.82
12:36:32 [ultranest] [DEBUG] iteration=21, ncalls=422, regioncalls=880, ndraw=40, logz=-3783.73, remainder_fraction=100.0000%, Lmin=-3767.69, Lmax=-709.82
12:36:33 [ultranest] [DEBUG] iteration=23, ncalls=424, regioncalls=960, ndraw=40, logz=-3750.83, remainder_fraction=100.0000%, Lmin=-3733.79, Lmax=-709.82
12:36:33 [ultranest] [DEBUG] iteration=25, ncalls=426, regioncalls=1040, ndraw=40, logz=-3670.06, remainder_fraction=100.0000%, Lmin=-3617.36, Lmax=-709.82
12:36:33 [ultranest] [DEBUG] iteration=26, ncalls=428, regioncalls=1120, ndraw=40, logz=-3623.41, remainder_fraction=100.0000%, Lmin=-3603.63, Lmax=-709.82
12:36:33 [ultranest] [DEBUG] iteration=28, ncalls=430, regioncalls=1200, ndraw=40, logz=-3607.86, remainder_fraction=100.0000%, Lmin=-3575.60, Lmax=-709.82
12:36:33 [ultranest] [DEBUG] iteration=30, ncalls=432, regioncalls=1280, ndraw=40, logz=-3554.05, remainder_fraction=100.0000%, Lmin=-3546.39, Lmax=-709.82
12:36:33 [ultranest] [DEBUG] iteration=31, ncalls=434, regioncalls=1360, ndraw=40, logz=-3552.28, remainder_fraction=100.0000%, Lmin=-3514.67, Lmax=-709.82
12:36:33 [ultranest] [DEBUG] iteration=33, ncalls=436, regioncalls=1440, ndraw=40, logz=-3506.39, remainder_fraction=100.0000%, Lmin=-3478.08, Lmax=-709.82
12:36:33 [ultranest] [DEBUG] iteration=35, ncalls=439, regioncalls=1560, ndraw=40, logz=-3483.06, remainder_fraction=100.0000%, Lmin=-3474.18, Lmax=-709.82
12:36:34 [ultranest] [DEBUG] iteration=38, ncalls=442, regioncalls=1680, ndraw=40, logz=-3441.48, remainder_fraction=100.0000%, Lmin=-3434.63, Lmax=-709.82
12:36:34 [ultranest] [DEBUG] iteration=40, ncalls=444, regioncalls=1760, ndraw=40, logz=-3432.49, remainder_fraction=100.0000%, Lmin=-3414.06, Lmax=-709.82
12:36:34 [ultranest] [DEBUG] iteration=42, ncalls=446, regioncalls=1840, ndraw=40, logz=-3413.64, remainder_fraction=100.0000%, Lmin=-3400.38, Lmax=-709.82
12:36:34 [ultranest] [DEBUG] iteration=44, ncalls=448, regioncalls=1920, ndraw=40, logz=-3392.44, remainder_fraction=100.0000%, Lmin=-3366.34, Lmax=-709.82
12:36:34 [ultranest] [DEBUG] iteration=46, ncalls=450, regioncalls=2000, ndraw=40, logz=-3332.99, remainder_fraction=100.0000%, Lmin=-3311.93, Lmax=-709.82
12:36:34 [ultranest] [DEBUG] iteration=47, ncalls=452, regioncalls=2080, ndraw=40, logz=-3318.04, remainder_fraction=100.0000%, Lmin=-3296.38, Lmax=-709.82
