logA n_s H0 omega_b omega_cdm w0_fld wa_fld tau_reio
3.145464301939334462e+00 9.103636125643769228e-01 6.649339460640729271e+01 2.257703882942574403e-02 1.101886762054202912e-01 -8.794633207331687963e-01 -2.308216349917628918e-01 3.571739372283175284e-02
3.118349996097753429e+00 9.166131767590838253e-01 6.882618303712290242e+01 2.233186891121267947e-02 1.238059726946735967e-01 -8.312342243132466724e-01 -6.393520466873552355e-01 2.038264128187921437e-02
3.184303365933386587e+00 9.160744570397375552e-01 6.637573401265362349e+01 2.214547848522765636e-02 1.126594522127221110e-01 -9.303846447852563983e-01 1.577455494729340657e-02 7.901976757901274517e-02
2.950210500276846393e+00 9.223530283231086147e-01 6.879935698942971101e+01 2.220359121622547671e-02 1.238921100762286759e-01 -9.446165129193846433e-01 -2.968436287829372411e-01 1.719260044757681821e-02
2.956859774693960663e+00 9.245566026552531902e-01 6.848749855570574141e+01 2.222388693652181668e-02 1.153439047366386500e-01 -9.633944468367148239e-01 -1.918391238353607253e-01 6.014872694130612291e-02
2.980035465267264261e+00 9.697764145146712256e-01 6.789845916780842572e+01 2.200100283359292599e-02 1.195264511327358836e-01 -9.357170153362541765e-01 -9.164118534091114654e-02 5.056371619060974487e-02
2.931442549698901168e+00 9.661492028489800932e-01 6.695112619570672052e+01 2.255225530193220515e-02 1.119602264915575546e-01 -9.011156128286086364e-01 -1.655403570937299396e-01 6.533966832066115393e-02
3.164717564495340696e+00 9.091399263625933314e-01 6.946386699573882595e+01 2.219063275596847018e-02 1.280238470005564677e-01 -8.600844562784060177e-01 -8.273376125447431395e-01 2.452898087350804252e-02
2.944770626364566546e+00 9.360733088189744366e-01 6.651952780366302420e+01 2.206915406976881627e-02 1.137315477224869753e-01 -8.369917499613570566e-01 -3.092349183495624043e-01 5.484690253623616257e-02
3.099449958166253793e+00 9.469401927639067296e-01 6.721502355369175064e+01 2.200171798963465597e-02 1.149969453803342395e-01 -8.181328172616280092e-01 -5.487791838843749659e-01 1.383330593440502618e-02
3.067798671447793613e+00 9.145671135192047219e-01 6.607761577037319967e+01 2.213237609114611718e-02 1.131703375300397302e-01 -8.307063613182925632e-01 -3.150102407660826387e-01 4.110195276403304232e-02
3.168634274125251338e+00 9.644700636618083189e-01 6.689855485775501620e+01 2.233658198219483013e-02 1.149594893393920403e-01 -7.957649179634485037e-01 -6.448175313241018003e-01 5.127272778894205463e-02
2.840435746540562079e+00 9.325313589217607557e-01 6.726837660599134949e+01 2.240029030036061464e-02 1.210970663391482821e-01 -8.283172892952641586e-01 -4.277348274278729434e-01 7.123806414871783343e-02
2.950044174274400355e+00 9.626148734395030271e-01 6.637059539955779996e+01 2.202956345907839883e-02 1.142670550488844722e-01 -9.064432297227531521e-01 -7.670750654127433954e-02 5.346831567679055652e-02
2.845639023174261872e+00 9.792101663778076670e-01 6.716740195732421626e+01 2.208927959770497218e-02 1.144330560585796602e-01 -8.002495638536970546e-01 -5.488338492803170876e-01 6.468584074784275439e-02
3.041873479614011888e+00 9.951843921118788128e-01 6.857886967549006840e+01 2.254060408032122417e-02 1.269373471529432196e-01 -9.189949958821281850e-01 -2.880117340716987773e-01 4.601396853374323248e-02
3.003180992971987706e+00 9.808858914812191854e-01 6.739979319334170782e+01 2.238085677471328416e-02 1.165542807116493884e-01 -8.909137169119165645e-01 -3.255655010158828855e-01 6.061198915292950740e-02
2.908089862402816195e+00 9.038828735843287276e-01 6.671395403279944958e+01 2.213593432453739296e-02 1.154040941402368903e-01 -8.359522033011848041e-01 -3.880842346467725523e-01 4.010124494809427786e-02
3.136435292130695718e+00 9.623983112313971855e-01 6.688120607066802847e+01 2.219700682330688277e-02 1.167838640337088563e-01 -8.356231438114880561e-01 -4.399907420142068482e-01 7.020935395982857985e-02
2.915215260817895615e+00 9.127586472466238110e-01 6.792879100034514295e+01 2.204138644230015098e-02 1.237235824152950608e-01 -8.393460250255839750e-01 -5.110661434752088450e-01 4.209627856496534620e-02
2.993765801307980201e+00 9.270554259241367001e-01 6.802063663225807488e+01 2.236659111284567888e-02 1.208535312298440051e-01 -8.795371562675096122e-01 -3.159739696141659060e-01 7.722164053346175505e-02
3.022640641548166585e+00 9.189427113454757823e-01 6.842499769797420583e+01 2.211662948531086317e-02 1.262526546016822793e-01 -8.845998930655556425e-01 -5.402255254989065669e-01 2.941824528228111080e-02
3.140716237311041326e+00 9.094903322049052719e-01 6.817219920406830624e+01 2.226310915683409747e-02 1.260469065662472021e-01 -9.399559174496385783e-01 -1.738208565583918563e-01 7.881306769930389311e-02
3.173119954686328015e+00 9.492295666736674242e-01 6.719968779255208347e+01 2.210266950414962669e-02 1.135583625966375826e-01 -8.970097683333040361e-01 -2.679986598163281997e-01 6.418337460944503747e-02
3.048780964045720410e+00 9.753023074745380550e-01 6.776034833705422500e+01 2.215351300651844171e-02 1.249848541193865487e-01 -9.262140967067074016e-01 -2.691520869406924810e-01 6.526856619623006006e-02
2.801601586819911116e+00 9.163022272075033170e-01 6.839111538747692975e+01 2.228782070758307532e-02 1.256433269695355626e-01 -7.881561145879945052e-01 -9.383677998763761963e-01 2.819200256161805834e-02
2.801548871726404766e+00 9.524938324828207126e-01 6.787043504429129825e+01 2.216573926625313787e-02 1.245972840862077241e-01 -8.576358275706037482e-01 -4.598532612833026167e-01 7.425856819842038825e-02
3.104322389578191732e+00 9.107540717983781953e-01 6.797480169071923228e+01 2.209265838858438108e-02 1.238035920491538655e-01 -9.591240707746746530e-01 -7.723126285775783195e-02 1.367833738720999892e-02
2.883373165347909772e+00 9.972575086966579683e-01 6.896695220846618213e+01 2.220656502453670356e-02 1.213793762085106226e-01 -9.680004432068818332e-01 -2.060298430448885831e-01 2.455230811715163747e-02
2.817165692823617285e+00 9.496285767854156790e-01 6.800203993594666940e+01 2.228301305747134101e-02 1.116138581948333541e-01 -1.000868492593659509e+00 1.498802311398694798e-01 7.179142582412965934e-02
3.031656214487804757e+00 9.572287799848153700e-01 6.790847072427233400e+01 2.219844483785574432e-02 1.198513927832738357e-01 -9.228222648104218440e-01 -2.691476604776488202e-01 2.357624751774629185e-02
2.929675818616460425e+00 9.445073795950558182e-01 7.025205123250576378e+01 2.234559758777127439e-02 1.250909077395470081e-01 -9.827599746594710695e-01 -3.127232682364291527e-01 3.047449756196818349e-02
