logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.810000000000000000e+02 -inf -inf nan
-inf nan -2.081166203824567646e-03 4.800000000000000000e+02 -inf -inf nan
-inf nan -4.166672694845946143e-03 4.790000000000000000e+02 -inf -inf nan
-inf nan -6.256537614305205178e-03 4.780000000000000000e+02 -inf -inf nan
-inf nan -8.350779217419964859e-03 4.770000000000000000e+02 -inf -inf nan
-inf nan -1.044941587434117768e-02 4.760000000000000000e+02 -inf -inf nan
-inf nan -1.255246607111997273e-02 4.750000000000000000e+02 -inf -inf nan
-inf nan -1.465994841068468668e-02 4.740000000000000000e+02 -inf -inf nan
-inf nan -1.677188161382821285e-02 4.730000000000000000e+02 -inf -inf nan
-inf nan -1.888828452020580029e-02 4.720000000000000000e+02 -inf -inf nan
-inf nan -2.100917608934342942e-02 4.710000000000000000e+02 -inf -inf nan
-inf nan -2.313457540165690662e-02 4.700000000000000000e+02 -inf -inf nan
-inf nan -2.526450165948181115e-02 4.690000000000000000e+02 -inf -inf nan
-inf nan -2.739897418811443677e-02 4.680000000000000000e+02 -inf -inf nan
-inf nan -2.953801243686386344e-02 4.670000000000000000e+02 -inf -inf nan
-inf nan -3.168163598011530108e-02 4.660000000000000000e+02 -inf -inf nan
-inf nan -3.382986451840486186e-02 4.650000000000000000e+02 -inf -inf nan
-inf nan -3.598271787950590994e-02 4.640000000000000000e+02 -inf -inf nan
-inf nan -3.814021601952709978e-02 4.630000000000000000e+02 -inf -inf nan
-inf nan -4.030237902402232508e-02 4.620000000000000000e+02 -inf -inf nan
-inf nan -4.246922710911265469e-02 4.610000000000000000e+02 -inf -inf nan
-inf nan -4.464078062262048785e-02 4.600000000000000000e+02 -inf -inf nan
-inf nan -4.681706004521601905e-02 4.590000000000000000e+02 -inf -inf nan
-inf nan -4.899808599157621375e-02 4.580000000000000000e+02 -inf -inf nan
-inf nan -5.118387921155647530e-02 4.570000000000000000e+02 -inf -inf nan
-inf nan -5.337446059137509330e-02 4.560000000000000000e+02 -inf -inf nan
-inf nan -5.556985115481075793e-02 4.550000000000000000e+02 -inf -inf nan
-inf nan -5.777007206441318876e-02 4.540000000000000000e+02 -inf -inf nan
-inf nan -5.997514462272715563e-02 4.530000000000000000e+02 -inf -inf nan
-inf nan -6.218509027352998875e-02 4.520000000000000000e+02 -inf -inf nan
-inf nan -6.439993060308282780e-02 4.510000000000000000e+02 -inf -inf nan
-inf nan -6.661968734139572801e-02 4.500000000000000000e+02 -inf -inf nan
-inf nan -6.884438236350687301e-02 4.490000000000000000e+02 -inf -inf nan
-inf nan -7.107403769077599853e-02 4.480000000000000000e+02 -inf -inf nan
-inf nan -7.330867549219233226e-02 4.470000000000000000e+02 -inf -inf nan
-inf nan -7.554831808569709151e-02 4.460000000000000000e+02 -inf -inf nan
-inf nan -7.779298793952094115e-02 4.450000000000000000e+02 -inf -inf nan
