weight logl logA n_s H0 omega_b omega_cdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -inf 3.120620688435641554e+00 9.364756155376999791e-01 7.492847665135158763e+01 2.259658765059089844e-02 1.110367512331178336e-01 -7.105106346005856111e-01 1.275255206928420648e+00 1.215274395541733610e-02
0.000000000000000000e+00 -inf 2.820551470539879979e+00 9.453089926713211799e-01 6.980825285023038873e+01 2.200388269569026820e-02 1.170909070923863426e-01 -8.135973326219763102e-01 1.514463051345374733e+00 2.259448627671166443e-02
0.000000000000000000e+00 -inf 3.191436815644282721e+00 9.196649573185461390e-01 6.661500858576587802e+01 2.228623592666660602e-02 1.196077825334027900e-01 -9.280045612841174574e-01 1.605210769346679278e+00 4.663378306816439584e-02
0.000000000000000000e+00 -inf 2.844517848605957244e+00 9.600446708850918220e-01 6.580388883392606658e+01 2.223549455181024134e-02 1.159114720976534285e-01 -8.935090504876970208e-01 1.160079933133753460e+00 2.676820236416248971e-02
0.000000000000000000e+00 -inf 3.000247436012705826e+00 9.551503444386892916e-01 6.486058186345442778e+01 2.231225557110839627e-02 1.173730815852749715e-01 -5.598832636154376097e-01 1.470325849301777232e+00 3.388152014063638973e-02
0.000000000000000000e+00 -inf 3.079575801322534723e+00 9.452206517734207392e-01 6.391087838835524337e+01 2.250349623786078446e-02 1.161371556445215808e-01 -6.194224983993088518e-01 1.309732799715745077e+00 5.581152981171487448e-02
0.000000000000000000e+00 -inf 2.875467434127978894e+00 9.228451830311534820e-01 6.454109750160080239e+01 2.231453281727318119e-02 1.296041200163575435e-01 -1.429583374687796393e+00 1.800538566220139636e+00 6.668876808233022146e-02
0.000000000000000000e+00 -inf 3.063599990573275811e+00 9.533582615484844647e-01 6.837469134233870705e+01 2.201510752848340538e-02 1.118329350528077110e-01 -9.538035106722440037e-01 1.540064402734892202e+00 6.131574249077621080e-02
0.000000000000000000e+00 -inf 2.969329160458438643e+00 9.747302147338693379e-01 6.137596440042002399e+01 2.252418757818509462e-02 1.132577851891140436e-01 -6.539310500890012090e-01 1.663998528700489477e+00 6.015859300202566762e-02
0.000000000000000000e+00 -inf 2.835444744078637669e+00 9.124761410330713973e-01 7.138437032457333942e+01 2.234394947124329969e-02 1.271020397344936603e-01 -1.109464730629356577e+00 1.485950396417797137e+00 7.528379024184238266e-02
0.000000000000000000e+00 -inf 2.842325914153033484e+00 9.195014199627835616e-01 7.217881036246765802e+01 2.239304273067010270e-02 1.256941920638320331e-01 -7.313900814321947497e-01 1.270556398351057048e+00 3.411867726483262808e-02
0.000000000000000000e+00 -inf 3.114183653968920940e+00 9.734473048178262644e-01 7.896593591745860863e+01 2.236075300863716794e-02 1.151813885846888208e-01 -5.710830408340128450e-01 1.713393402323894588e+00 2.120848412522823717e-02
0.000000000000000000e+00 -inf 2.800865569063798244e+00 9.195425048628518283e-01 7.352182676019111796e+01 2.240298489879332181e-02 1.147737950662061773e-01 -7.322856172330707292e-01 1.936879097397994798e+00 4.879827481600356592e-02
0.000000000000000000e+00 -inf 3.028679411016432343e+00 9.119367826002352517e-01 6.714535075237792228e+01 2.215544101883804365e-02 1.189897463443105319e-01 -6.507119703653934106e-01 1.790710273116987938e+00 7.605595540262931331e-02
0.000000000000000000e+00 -inf 2.837146136410345854e+00 9.539583301183067743e-01 6.599299048324127170e+01 2.221306967551553782e-02 1.235664603060925987e-01 -6.680387684441608798e-01 1.358064683982614262e+00 1.741810728105729761e-02
0.000000000000000000e+00 -inf 2.919997319901823651e+00 9.661585387618836229e-01 7.833105949651627498e+01 2.259342441727270681e-02 1.261950728711672132e-01 -6.358940135818196282e-01 1.010063668542497517e+00 3.161521453994252384e-02
0.000000000000000000e+00 -inf 2.990199998366763090e+00 9.348403729326782985e-01 7.948615339729769858e+01 2.201285596409978049e-02 1.192207281341137598e-01 -9.008522541721550869e-01 1.249309251900474926e+00 1.074349217580222206e-02
0.000000000000000000e+00 -inf 3.122986487766481911e+00 9.457251931515985310e-01 6.811574585413329430e+01 2.212422793599701579e-02 1.147580813637388980e-01 -6.338849492547016240e-01 9.612456984372856894e-01 1.288568536994418728e-02
0.000000000000000000e+00 -inf 3.119803434887214344e+00 9.693496974825397405e-01 6.303770620683415160e+01 2.213964345514525534e-02 1.194115813768408807e-01 -1.333330575048031763e+00 1.696578793219825521e+00 6.956753788065661581e-02
0.000000000000000000e+00 -inf 3.085958547949960717e+00 9.613659325124913613e-01 6.397565771155483105e+01 2.233225376863993278e-02 1.211708838642913677e-01 -8.153926581586972144e-01 1.506716996484680493e+00 2.779772366340102496e-02
0.000000000000000000e+00 -inf 3.149900587308506861e+00 9.916588565467656657e-01 6.307189880132051485e+01 2.201841811129196663e-02 1.118120546346288574e-01 -1.467572892076736579e+00 1.806463170966947196e+00 6.002359419653747336e-02
0.000000000000000000e+00 -inf 2.837676303618983376e+00 9.128726660833577089e-01 7.923067782055582597e+01 2.201344027994145414e-02 1.233287630468813401e-01 -9.282750172994880256e-01 1.287728078685372868e+00 7.308994482129792247e-02
0.000000000000000000e+00 -inf 2.816995145332251038e+00 9.661514679318078391e-01 6.984751726544169514e+01 2.216431066340729047e-02 1.143594381436520424e-01 -1.079993685934802938e+00 1.686000071154458713e+00 4.707191800261117248e-02
0.000000000000000000e+00 -inf 2.902791736029393554e+00 9.242580199250006734e-01 7.187118962184985094e+01 2.249900600847821661e-02 1.215828484609228211e-01 -1.079205808430837576e+00 1.439960993124106636e+00 1.750441089204152895e-02
0.000000000000000000e+00 -inf 3.166625425956767437e+00 9.820910322019267280e-01 7.129542497390542621e+01 2.219520960938125773e-02 1.151953729646405522e-01 -8.379108938017552077e-01 1.113002896190907531e+00 6.230753414756207836e-02
0.000000000000000000e+00 -inf 2.839929985375174049e+00 9.608709914734615554e-01 6.926737391160588686e+01 2.246088269186700612e-02 1.212871743178154105e-01 -1.345055005753348354e+00 1.759736629658665841e+00 7.071750978650150066e-02
0.000000000000000000e+00 -inf 2.913009950796570546e+00 9.403691834184804144e-01 6.481650427637242728e+01 2.200086476950383063e-02 1.123878272936568307e-01 -1.335660514726479731e+00 1.940017585626248042e+00 3.329887192885785246e-02
0.000000000000000000e+00 -inf 3.116055126081864302e+00 9.268675805308500548e-01 7.790083985568713842e+01 2.248117370914198485e-02 1.139351850093965890e-01 -1.103772938594774766e+00 1.946261839685624828e+00 2.889230732795104728e-02
0.000000000000000000e+00 -inf 3.013484529056320582e+00 9.140828064324272306e-01 6.671487268840087381e+01 2.227994890930037539e-02 1.147531411027636200e-01 -7.721956398689124867e-01 1.082203115638102009e+00 1.935010910195033434e-02
0.000000000000000000e+00 -inf 2.883491686771861851e+00 9.330896731635003327e-01 7.651355473465713430e+01 2.213559096088782083e-02 1.247484534783193239e-01 -5.389709258591710572e-01 1.297915324940361881e+00 7.184420154610786369e-02
0.000000000000000000e+00 -inf 2.978420706867219270e+00 9.129164555077309284e-01 6.508600439374417590e+01 2.247999811166112930e-02 1.132550886899486992e-01 -1.349060656656561497e+00 1.801185946518802261e+00 6.108050015030106611e-02
0.000000000000000000e+00 -inf 2.996612146820237133e+00 9.291503629187825020e-01 6.439373501487979468e+01 2.206324042166607144e-02 1.265096377898603519e-01 -1.423798571472267627e+00 1.796091168430654417e+00 5.401141726344185767e-02
0.000000000000000000e+00 -inf 2.997931825723481047e+00 9.194772684712629873e-01 6.401201974667957018e+01 2.241886799961435514e-02 1.267187033417743192e-01 -1.629255600711142282e+00 1.965118386463461597e+00 1.488711362364524352e-02
0.000000000000000000e+00 -inf 2.918856063251589195e+00 9.660873242706845554e-01 6.595690795857241540e+01 2.220891839545573870e-02 1.184107169836603329e-01 -9.494696887818332431e-01 1.928244001515509787e+00 7.646743508089692831e-02
0.000000000000000000e+00 -inf 3.033306787889112233e+00 9.055384266637540591e-01 7.459925971028201275e+01 2.220835852143334885e-02 1.133271148244459070e-01 -7.101079043132993984e-01 1.549356939942930111e+00 3.649815116988024133e-02
0.000000000000000000e+00 -inf 2.945350337206686930e+00 9.294784705798148083e-01 6.611388711104369520e+01 2.229344125869958324e-02 1.128659229952678894e-01 -9.353878428086139785e-01 1.688417390626725467e+00 4.405146403149168277e-02
0.000000000000000000e+00 -inf 2.921357095687554306e+00 9.175863606746124113e-01 6.960793117949194198e+01 2.244687594367463304e-02 1.216558211102612697e-01 -5.598662734081369940e-01 1.117675533472296312e+00 1.587952739962629478e-02
0.000000000000000000e+00 -inf 3.021423815599459939e+00 9.044198079472423046e-01 7.185723902142778741e+01 2.253507830558040131e-02 1.290371054257666572e-01 -8.556577472804201001e-01 1.419439980577049898e+00 3.708092382090733691e-02
0.000000000000000000e+00 -inf 2.842569580832329912e+00 9.933020522845500411e-01 6.104085062252412541e+01 2.200495035068967403e-02 1.140832562796064154e-01 -1.126884201422980736e+00 1.640787786028118145e+00 1.263148042021562494e-02
0.000000000000000000e+00 -inf 3.090970742855680520e+00 9.232037565561994619e-01 6.232541632504049289e+01 2.201259566697003067e-02 1.171232655290836838e-01 -9.246559748055442896e-01 1.544588150039939656e+00 5.715031720384632780e-02
0.000000000000000000e+00 -inf 2.808540221701229633e+00 9.840604239611168147e-01 6.503108593845412599e+01 2.235081738261116696e-02 1.287500699147097472e-01 -1.040060221956496278e+00 1.335714116545937635e+00 3.496928242484619032e-02
0.000000000000000000e+00 -inf 3.062426476496498129e+00 9.748375399390486473e-01 6.528083047469853284e+01 2.235896009650088778e-02 1.216277958809760390e-01 -1.168505277780816032e+00 1.795526835597641480e+00 3.858852875981914898e-02
0.000000000000000000e+00 -inf 3.013626619796878625e+00 9.176347967879692202e-01 7.391532134460929626e+01 2.259322520631127859e-02 1.194665628288044817e-01 -5.296177174247946873e-01 1.107634345091040196e+00 4.340755098424812358e-02
0.000000000000000000e+00 -inf 3.051115559558401191e+00 9.797264942468943971e-01 6.899068374397343462e+01 2.208454399245652136e-02 1.289455526183012624e-01 -8.071131424085027373e-01 1.865070488933012527e+00 7.371800402959262366e-02
0.000000000000000000e+00 -inf 3.022042760388305549e+00 9.833232157102250737e-01 6.340293500030604434e+01 2.229954291541763958e-02 1.194411590581674620e-01 -8.498356316621935580e-01 1.180651283715905109e+00 7.526014067367420290e-02
0.000000000000000000e+00 -inf 2.883914558985541721e+00 9.849745914514493883e-01 6.763961725058049979e+01 2.224641675527063919e-02 1.139776230219122360e-01 -1.430685978360849209e+00 1.881456839117573665e+00 1.825607564977060893e-02
0.000000000000000000e+00 -inf 2.992964760953241932e+00 9.189305383268402405e-01 6.618774928884451469e+01 2.221844880770755884e-02 1.194555310136801302e-01 -5.046050492238363105e-01 1.711074273800222922e+00 3.209975179282716085e-02
0.000000000000000000e+00 -inf 3.182274277726179434e+00 9.763613977219905982e-01 6.367212759908430542e+01 2.211258384408291283e-02 1.257264661456619637e-01 -5.837069058830037793e-01 1.503645023189647212e+00 6.694773859346846157e-02
0.000000000000000000e+00 -inf 3.020497901646211680e+00 9.707997003121703328e-01 7.533531177446153038e+01 2.209593310476752268e-02 1.259568518119602576e-01 -5.886306795714897344e-01 1.969974219990140885e+00 1.972500638741721615e-02
0.000000000000000000e+00 -inf 3.135006796289023789e+00 9.663937510008481224e-01 6.376096584599270756e+01 2.228178320214432850e-02 1.194764676016058930e-01 -1.584260472664712704e+00 1.918523544468401010e+00 5.546835710639884398e-02
0.000000000000000000e+00 -2.031694302332878578e+05 3.014067252159704946e+00 9.051798961865362703e-01 6.727038071818103049e+01 2.203315896053890943e-02 1.133449473777315697e-01 -1.207365160032965123e+00 1.463588055842415692e+00 6.579044815757659204e-02
