weight logl logA n_s H0 omega_b omega_cdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -inf 8.015517210891037747e-01 3.647561553769995690e-01 7.464238325675793817e-01 9.943127509848329604e-01 5.183756165589137321e-02 8.596595769329429260e-01 8.188138017321051620e-01 3.075348507739050774e-02
0.000000000000000000e+00 -inf 5.137867634970016972e-02 4.530899267132117991e-01 4.904126425115191701e-01 6.471159483782074062e-03 3.545453546193173544e-01 7.909351115853491265e-01 8.786157628363436833e-01 1.799212325244523569e-01
0.000000000000000000e+00 -inf 9.785920391107062466e-01 1.966495731854611684e-01 3.307504292882936792e-01 4.770598777776794419e-01 4.803891266701391105e-01 7.146636258105882877e-01 9.013026923366698195e-01 5.233397581166341350e-01
0.000000000000000000e+00 -inf 1.112946215148931106e-01 6.004467088509179984e-01 2.901944416963033735e-01 3.924909196837402803e-01 2.955736048826712592e-01 7.376606330082019491e-01 7.900199832834383651e-01 2.395457480594641586e-01
0.000000000000000000e+00 -inf 5.006185900317650095e-01 5.515034443868928049e-01 2.430290931727213666e-01 5.204259518473295376e-01 3.686540792637483799e-01 9.600778242563748899e-01 8.675814623254443081e-01 3.411645734376627104e-01
0.000000000000000000e+00 -inf 6.989395033063372509e-01 4.522065177342076137e-01 1.955439194177622797e-01 8.391603964346452393e-01 3.068577822260787347e-01 9.203850010671273951e-01 8.274331999289362694e-01 6.544504258816409292e-01
0.000000000000000000e+00 -inf 1.886685853199479013e-01 2.284518303115347093e-01 2.270548750800404081e-01 5.242213621219733444e-01 9.802060008178765660e-01 3.802777502081357008e-01 9.501346415550349089e-01 8.098395440332888384e-01
0.000000000000000000e+00 -inf 6.589999764331895271e-01 5.335826154848448688e-01 4.187345671169352412e-01 2.517921413901347272e-02 9.164675264038546487e-02 6.974643262185039605e-01 8.850161006837230504e-01 7.330820355825171664e-01
0.000000000000000000e+00 -inf 4.233229011460961644e-01 7.473021473386929348e-01 6.879822002100133282e-02 8.736459636418273389e-01 1.628892594557023177e-01 8.973792999406658977e-01 9.159996321751223691e-01 7.165513286003666327e-01
0.000000000000000000e+00 -inf 8.861186019659483826e-02 1.247614103307133071e-01 5.692185162286667044e-01 5.732491187388363274e-01 8.551019867246822947e-01 5.936901795804290227e-01 8.714875991044492842e-01 9.326255748834626491e-01
0.000000000000000000e+00 -inf 1.058147853825840423e-01 1.950141996278357270e-01 6.089405181233832343e-01 6.550712177835048555e-01 7.847096031916013237e-01 8.457399457118701669e-01 8.176390995877642620e-01 3.445525323547518060e-01
0.000000000000000000e+00 -inf 7.854591349223023489e-01 7.344730481782622000e-01 9.482967958729300317e-01 6.012550143952839488e-01 2.590694292344413174e-01 9.526113061106581403e-01 9.283483505809736469e-01 1.601212017889748207e-01
0.000000000000000000e+00 -inf 2.163922659495609579e-03 1.954250486285176169e-01 6.760913380095561198e-01 6.716414979888712944e-01 2.386897533103087277e-01 8.451429218446194769e-01 9.842197743494986995e-01 5.542610688000508823e-01
0.000000000000000000e+00 -inf 5.716985275410806366e-01 1.193678260023524063e-01 3.572675376188961804e-01 2.590683647300776604e-01 4.494873172155267049e-01 8.995253530897376892e-01 9.476775682792469846e-01 9.436565057518473409e-01
0.000000000000000000e+00 -inf 9.286534102586474493e-02 5.395833011830680759e-01 2.996495241620633632e-01 3.551161258592294701e-01 6.783230153046296840e-01 8.879741543705594875e-01 8.395161709956535656e-01 1.059729611579613984e-01
0.000000000000000000e+00 -inf 2.999932997545595725e-01 6.615853876188355631e-01 9.165529748258136600e-01 9.890406954545122309e-01 8.097536435583604364e-01 9.094039909454535442e-01 7.525159171356243792e-01 3.087887791420360628e-01
0.000000000000000000e+00 -inf 4.754999959169077250e-01 3.484037293267826518e-01 9.743076698648847067e-01 2.142660683296737645e-02 4.610364067056876847e-01 7.327651638852299421e-01 8.123273129751187316e-01 1.062131679717459587e-02
0.000000000000000000e+00 -inf 8.074662194162045559e-01 4.572519315159847553e-01 4.057872927066644708e-01 2.070465599950308544e-01 2.379040681869449836e-01 9.107433671635323247e-01 7.403114246093214224e-01 4.122407671348837788e-02
0.000000000000000000e+00 -inf 7.995085872180361930e-01 6.934969748253976274e-01 1.518853103417074912e-01 2.327390919087586330e-01 4.705790688420441459e-01 4.444462833013121950e-01 9.241446983049563801e-01 8.509648268665230830e-01
0.000000000000000000e+00 -inf 7.148963698749021267e-01 6.136593251249138348e-01 1.987828855777414860e-01 5.537562810665587198e-01 5.585441932145679411e-01 7.897382278942018941e-01 8.766792491211701233e-01 2.542531951914431820e-01
0.000000000000000000e+00 -inf 8.747514682712671519e-01 9.165885654676569905e-01 1.535949400660259201e-01 3.069685215328255001e-02 9.060273173144284264e-02 3.549514052821756138e-01 9.516157927417367990e-01 7.146227742362495361e-01
0.000000000000000000e+00 -inf 9.419075904745888295e-02 1.287266608335766449e-01 9.615338910277911877e-01 2.240046656909311373e-02 6.664381523440665589e-01 7.144833218003413533e-01 8.219320196713432169e-01 9.012849260185418210e-01
0.000000000000000000e+00 -inf 4.248786333062803955e-02 6.615146793180782803e-01 4.923758632720848238e-01 2.738511056788193176e-01 2.179719071826022869e-01 6.133375427101314115e-01 9.215000177886146782e-01 5.295988286087309760e-01
0.000000000000000000e+00 -inf 2.569793400734843303e-01 2.425801992500060678e-01 5.935594810924924580e-01 8.316766807970309427e-01 5.791424230461407197e-01 6.138627943794415787e-01 8.599902482810266591e-01 1.072058698863075366e-01
0.000000000000000000e+00 -inf 9.165635648919183698e-01 8.209103220192667250e-01 5.647712486952712885e-01 3.253493489687653284e-01 2.597686482320277213e-01 7.747260707988299355e-01 7.782507240477268828e-01 7.472504878223152902e-01
0.000000000000000000e+00 -inf 9.982496343793578752e-02 6.087099147346156647e-01 4.633686955802943652e-01 7.681378197783452766e-01 5.643587158907701351e-01 4.366299961644344307e-01 9.399341574146664602e-01 8.673929969500213666e-01
0.000000000000000000e+00 -inf 2.825248769914261437e-01 4.036918341848043656e-01 2.408252138186212088e-01 1.441282506384311546e-03 1.193913646828415054e-01 4.428929901823468462e-01 9.850043964065620106e-01 3.328410275551121345e-01
0.000000000000000000e+00 -inf 7.901378152046609760e-01 2.686758053084998821e-01 8.950419927843564771e-01 8.019561819033114158e-01 1.967592504698296718e-01 5.974847076034834892e-01 9.865654599214062070e-01 2.698901046850149532e-01
0.000000000000000000e+00 -inf 5.337113226408015665e-01 1.408280643242725283e-01 3.357436344200435130e-01 4.665815155006280968e-01 2.376570551381809171e-01 8.185362400873916755e-01 7.705507789095255022e-01 1.335729871707190819e-01
0.000000000000000000e+00 -inf 2.087292169296544042e-01 3.308967316350036603e-01 8.256777367328568262e-01 2.259849348130354985e-01 7.374226739159658317e-01 9.740193827605526655e-01 8.244788312350904702e-01 8.834885935158266479e-01
