logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.850907708310135735e+00 9.892179607373330352e-01 7.282407687927991446e+01 2.218829897950683888e-02 1.276615762610154303e-01 3.773449297541679043e-02 -8.580988470809329804e-01 3.703828881546857715e-02 6.543024808822364702e-02
3.032972748354906933e+00 9.966598989293797839e-01 7.349158590640837474e+01 2.223087432531774266e-02 1.250320786210445123e-01 6.451048361109949780e-02 -8.962978423941831974e-01 5.872398156246941975e-02 3.816596322170864169e-02
3.097311224693946929e+00 9.848998210649885232e-01 6.995459166623523117e+01 2.254516177995368950e-02 1.230804250886575607e-01 1.959818562817166113e-02 -7.686770905094668649e-01 4.135084562270754938e-02 7.817209933074978356e-02
3.144947719274779896e+00 9.054232683073681898e-01 7.111873974177940738e+01 2.258917052568461953e-02 1.190738277113613935e-01 8.548949788226793689e-02 -8.169731962805639736e-01 8.072869515785008332e-05 1.315284246260493665e-02
2.912234012400618521e+00 9.283602094327835230e-01 7.176406921873345368e+01 2.206769100903141143e-02 1.218876082696242341e-01 8.888396399376087553e-02 -8.504310969293047417e-01 9.747179132677998015e-02 6.731191506221816112e-02
2.873346601497931641e+00 9.782544719125361166e-01 7.204077802259713792e+01 2.253167922802634324e-02 1.214211259394767095e-01 5.518891644127582596e-02 -8.240630219416158475e-01 1.411938521985556293e-03 7.060045007311145648e-02
3.180891046332019911e+00 9.364453301795880868e-01 7.326982414772935215e+01 2.250762721042461056e-02 1.221746163352261244e-01 9.265227712352425149e-02 -9.001736302622560526e-01 5.881239907676669848e-02 7.162179590384941397e-02
3.177576811839662785e+00 9.560611114338657401e-01 7.495972800406555336e+01 2.237966591589538035e-02 1.284946061341362689e-01 5.372306995863666140e-02 -9.145319160796705482e-01 5.834723677512063805e-02 1.043453595034688625e-02
2.831048323404974365e+00 9.803131637685589261e-01 7.280982713304487675e+01 2.245999545851451798e-02 1.226941681184496313e-01 3.944170822217633876e-02 -8.655419707852514133e-01 9.147128111718737242e-02 1.049613147646941656e-02
3.193514032648594458e+00 9.246204470006389453e-01 7.182178239109197193e+01 2.211227392369343597e-02 1.295956199641163098e-01 6.475939758236116950e-02 -8.289006048256224446e-01 1.912617411338944987e-02 4.716806607132213724e-02
2.814920949271857431e+00 9.196431833331090155e-01 7.198212493638582998e+01 2.235002632370422168e-02 1.289227495420753877e-01 1.837166166330558847e-02 -8.317857960631642733e-01 5.124134689144446697e-02 5.385962118341755533e-02
3.063305786212857651e+00 9.158827879218188750e-01 7.128004044072662282e+01 2.217639507259980269e-02 1.258865173671747384e-01 1.540895748408666055e-02 -7.887265622260970499e-01 2.402782713788353952e-03 4.311772370451122383e-02
2.952111517482777892e+00 9.221065589681171071e-01 7.028046451908302572e+01 2.221625211301397895e-02 1.201019931334180307e-01 3.365435166797453581e-02 -7.699637107846679651e-01 2.478417386592729130e-02 6.772860797066997118e-02
3.008296487719432921e+00 9.595447742589815476e-01 7.190165821094049647e+01 2.245917725273735913e-02 1.296918704198469219e-01 1.516307541683739081e-02 -8.174931650898382696e-01 4.390430375971826615e-02 4.943625407105968483e-02
3.028962335640870140e+00 9.715271695893485937e-01 6.885119588291567538e+01 2.251423628217807602e-02 1.146317892928824245e-01 7.963430422623044014e-02 -7.437395743352235300e-01 1.635986936954222579e-02 6.103203849828225253e-02
2.926910113565473370e+00 9.685373226154454507e-01 7.127380528938189741e+01 2.248728940525710276e-02 1.276928710123141075e-01 5.893972625485976308e-02 -8.295327464387229899e-01 2.140552756638354828e-02 5.866298651007836873e-02
2.805114755204316968e+00 9.123211023366979422e-01 7.163428175452082769e+01 2.206685047808542438e-02 1.196755801933969271e-01 8.506671140216835736e-02 -8.516473921617868648e-01 5.317061677116174945e-02 5.682630859824663871e-02
2.976597609923367305e+00 9.736645424015897277e-01 7.120789262008219112e+01 2.222499064612921960e-02 1.181639822974462767e-01 5.139996591792363179e-02 -8.362471636941044562e-01 9.515198411115455279e-02 7.799132324699943608e-02
3.033004181098039709e+00 9.046028167058784986e-01 7.031453009224547657e+01 2.247997660433745035e-02 1.234608795384546931e-01 6.833849426575892838e-02 -7.486393957815460354e-01 2.537991134785602676e-02 1.125697204515135885e-02
3.100089789020565423e+00 9.956259922037630217e-01 7.142610504021473616e+01 2.228902780508638243e-02 1.232461993900746122e-01 6.550750337882894903e-02 -8.246480881524158590e-01 7.301038309042433283e-02 3.887030887321595019e-02
2.850108276392924633e+00 9.926538034607123029e-01 7.062397495620804477e+01 2.257922860511008684e-02 1.162928720998456511e-01 1.832865911767752806e-02 -7.810735976740914577e-01 1.569503545586713525e-02 6.382393762019672456e-02
3.049156966928679768e+00 9.540133289323159405e-01 7.180339374286720044e+01 2.241708867162675589e-02 1.201532123492747017e-01 4.244935147927465791e-02 -8.305030113840605743e-01 8.877823194795552916e-03 4.064996003787896273e-02
3.081110832161076285e+00 9.781197292232416407e-01 7.203803909963266960e+01 2.207100100475719445e-02 1.275811582641572794e-01 3.324235909960924357e-02 -8.588125584164123527e-01 9.380397239392045117e-02 2.608426248601006942e-02
2.982637846517862013e+00 9.535319609985599687e-01 7.001530396058626593e+01 2.240031769915755422e-02 1.205054207911017417e-01 6.014672438896054990e-02 -7.866311657784341715e-01 2.631236504259800921e-02 6.364557259189639049e-02
3.159004865364596792e+00 9.217279005194343178e-01 7.370179476210496716e+01 2.226762983603652532e-02 1.299640047337974891e-01 5.511614404801958023e-02 -8.981631314674656252e-01 4.655311413487442374e-02 7.292520964621458657e-02
2.996211881040926173e+00 9.507754093003871754e-01 7.267412081537095503e+01 2.239198259724975784e-02 1.281974604032531384e-01 8.827018151048464378e-02 -8.797186588057883672e-01 8.984871298315505461e-02 4.232661534391034958e-02
2.928023939156925159e+00 9.888284992933196182e-01 7.246208433343235811e+01 2.259504389380950773e-02 1.256414506722384195e-01 8.559647566410438779e-02 -8.474563959403955682e-01 5.866452640324562595e-02 6.741132812051255085e-02
3.071742174869164010e+00 9.718285542048403780e-01 7.243438303358624353e+01 2.202822423027063492e-02 1.289435943742255619e-01 8.497817913016109115e-02 -8.572389055841549421e-01 2.497491018277834401e-02 1.378909509664539776e-02
3.198055965037544190e+00 9.730660500640182509e-01 7.234077258612470018e+01 2.233597239371698170e-02 1.271277295804591478e-01 7.086256813346776540e-02 -8.479816232562558120e-01 9.442394595151831771e-02 1.682290172077798365e-02
2.883365374202699893e+00 9.101748902909043704e-01 7.035575871164360251e+01 2.244802030535385587e-02 1.193326865280762428e-01 1.871813257488703225e-02 -7.812161123632597182e-01 5.384185218046210614e-02 7.174234538343109147e-02
2.946544162170256165e+00 9.410870839140098587e-01 7.144735989975954737e+01 2.235924194435953347e-02 1.168135822115250605e-01 9.494420746078180429e-02 -8.478752762497689943e-01 2.481072889040696408e-02 2.753243670287285755e-02
2.871944821388701108e+00 9.183182730870027566e-01 7.306866708866228066e+01 2.258994149596863649e-02 1.264632640118653895e-01 2.513334533042222568e-02 -8.616960496855641249e-01 7.108049668264257437e-02 6.590135713088930702e-02
3.195715360482325185e+00 9.998932754496859809e-01 7.153607313212768304e+01 2.235094775582122800e-02 1.240528476215987247e-01 3.364331508286810130e-02 -8.065118037808463036e-01 5.045213162662644246e-02 7.865616207312484121e-02
3.071329682905208802e+00 9.955195310060526159e-01 7.214530948682967448e+01 2.255505391500840784e-02 1.297312527575193719e-01 6.433647403271269827e-02 -8.188346651077287319e-01 7.518324821482241793e-02 4.317314258480452194e-02
2.899378453488717255e+00 9.913492730664851260e-01 7.147349190465347135e+01 2.236142796738622637e-02 1.172640111133771285e-01 5.492599948975464275e-02 -8.352102339426563660e-01 3.365539102135572253e-02 4.901228599714353013e-02
3.136488649801822959e+00 9.654380669461546383e-01 7.194230981217401677e+01 2.244272696808334577e-02 1.287620421305307739e-01 7.300681807947838331e-02 -8.319774771473440467e-01 4.108537300529683384e-02 2.666269727571874554e-02
3.186344333037764098e+00 9.153410302318809588e-01 6.975034533199300313e+01 2.237015311473584261e-02 1.117882906843357255e-01 5.653660661812211219e-02 -7.883157234835789229e-01 9.644874913640866243e-02 4.992911446058658637e-02
2.816558866233330516e+00 9.553349516223373916e-01 7.159930997995722635e+01 2.200999144603350138e-02 1.267795377462079820e-01 8.913707458537636907e-02 -8.495043511574988937e-01 9.888724116215508175e-02 2.879198083181552098e-02
2.804258062352373848e+00 9.093163125102763367e-01 7.184415679983401049e+01 2.242937426265343565e-02 1.248849928882378446e-01 6.994745866370903620e-02 -8.520884215855526467e-01 7.501284633963128945e-02 2.927175015129154789e-02
2.808098468107815382e+00 9.450363540899670012e-01 7.151756861184826164e+01 2.207488023059769530e-02 1.260545091069602830e-01 4.644606276029696057e-02 -8.092259535516956870e-01 2.003635298540640264e-03 2.619584732542081656e-02
2.950932588028465808e+00 9.395445370704920141e-01 7.227366638938919152e+01 2.257984300318502391e-02 1.277229098857668443e-01 2.852510287337017489e-02 -8.402457120611581676e-01 9.903915463937151831e-02 5.582459744750842973e-02
2.823614778960658267e+00 9.102082851850854528e-01 7.300029970866896178e+01 2.226532377613985730e-02 1.294434105443694194e-01 5.366089505203648635e-02 -8.786873671365551530e-01 7.459297824613582428e-02 2.764675093026006808e-02
3.056832456051743474e+00 9.862469527874767605e-01 6.975771922425445837e+01 2.216997041173071961e-02 1.159825605487535272e-01 4.799039099697236660e-02 -7.805439120318928836e-01 7.710940598766452547e-02 7.732809788017423747e-02
3.127490242148888822e+00 9.575358070237429686e-01 6.921707444413667076e+01 2.204255753462182679e-02 1.171891944847370942e-01 1.507386688926479895e-02 -7.690227116585532929e-01 7.684782675787826811e-02 3.678649631621722094e-02
3.017676019638390272e+00 9.498874589584527239e-01 7.032578646967044733e+01 2.242090406740720673e-02 1.263406516041709893e-01 1.232829306698047904e-02 -7.588489647503726676e-01 2.954744439921716190e-02 2.890573695589587766e-02
2.880024713333356079e+00 9.559244352522333621e-01 7.010680634893930119e+01 2.246721188036349126e-02 1.205326819834513091e-01 8.214198975844068384e-02 -7.895242729939608850e-01 5.434111606844272031e-03 7.619493656279072158e-02
3.113073068736588400e+00 9.653992896678182944e-01 7.197392113268946900e+01 2.251559248949856415e-02 1.291181744130259768e-01 9.449335712632378481e-02 -8.246999055857389127e-01 9.520878502053108094e-02 2.164785962925324520e-02
2.833844071005892751e+00 9.860062760425253314e-01 7.190163987372447707e+01 2.221984768976109983e-02 1.228891957751801767e-01 6.070390827676019896e-04 -8.188182726941763967e-01 7.228488858531602335e-02 1.010024508128403407e-02
3.005035798140428760e+00 9.947726367438227690e-01 7.218607002555400243e+01 2.241249433049167031e-02 1.268642634877211461e-01 1.969322305190635003e-02 -8.388109588109915471e-01 1.064958611478968899e-02 3.755061436874766040e-02
2.968697992855360734e+00 9.975090959768084797e-01 7.199986385402752376e+01 2.233041686773468495e-02 1.175188685397899058e-01 4.741210999262995829e-02 -8.391871407291759954e-01 8.986187179519714019e-02 3.878496202639504509e-02
3.194320096765499883e+00 9.940289131663454514e-01 6.961404215242576754e+01 2.210343383177314561e-02 1.235364485496193016e-01 2.934997681366824460e-03 -7.384155748943381781e-01 4.244861455142487361e-02 5.557699466772010599e-02
2.802019804432163586e+00 9.290166045404530948e-01 7.176052647677103380e+01 2.219816206927665084e-02 1.212738219681755714e-01 2.240648867937548860e-02 -8.441015041793122897e-01 9.390874216737997437e-02 1.369724417805319623e-02
3.036863621782551537e+00 9.340659376101125844e-01 7.058786740204443788e+01 2.203953114825860787e-02 1.271605390061370244e-01 6.164069906587931608e-02 -7.966849051840374507e-01 5.250643685460435611e-02 4.656535073999198970e-02
