logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.036618116962551994e+03 -4.042610831249243347e+03 1.014999999999999902e+00
-4.042610831249243347e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -3.801364525864423285e+03 -3.807359740151114693e+03 1.600000000000000089e+00
-3.807359740151114693e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -3.801035336307940725e+03 -3.807033050594632186e+03 2.650000000000000133e-01
-3.806489966340587671e+03 6.498796136301585591e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -3.685607767139836142e+03 -3.691607981426527658e+03 1.145000000000000018e+00
-3.691607981426527658e+03 5.074058801991311896e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -3.671498332125034267e+03 -3.677501046411725383e+03 8.950000000000000178e-01
-3.677501045664527282e+03 1.540212913447768672e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -3.636050634065950817e+03 -3.642055848352641988e+03 1.004999999999999893e+00
-3.642055848352641988e+03 1.800884123228469846e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -3.595008114910130644e+03 -3.601015829196821869e+03 5.749999999999999556e-01
-3.601015829196821869e+03 2.463556433763196196e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -3.514120656884207619e+03 -3.520130871170898899e+03 1.554999999999999938e+00
-3.520130871170898899e+03 5.134729842410388301e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -3.475786218133916918e+03 -3.481798932420608253e+03 9.699999999999999734e-01
-3.481798932420608253e+03 5.986619879883840412e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -3.447580909188095120e+03 -3.453596123474786509e+03 8.649999999999999911e-01
-3.453596123474786054e+03 1.246587797189275015e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -3.438258205398640257e+03 -3.444275919685331701e+03 1.409999999999999920e+00
-3.444275830093695276e+03 1.051391420109555419e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -3.419265937573641622e+03 -3.425286151860333121e+03 1.439999999999999947e+00
-3.425286151854671971e+03 1.176176385745148600e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -3.340656898475204798e+03 -3.346679612761895896e+03 1.669999999999999929e+00
-3.346679612761895896e+03 2.912996998389084524e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -3.340024938735698470e+03 -3.346050153022389622e+03 8.000000000000000167e-02
-3.345623004953269628e+03 2.197691851927141471e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -3.256391908992050048e+03 -3.262419623278741255e+03 1.610000000000000098e+00
-3.262419623278741255e+03 5.273101094788435006e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -3.251463669980162649e+03 -3.257493884266853911e+03 1.799999999999999933e-01
-3.257486653113753164e+03 3.270280781418952643e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -3.204945065688702925e+03 -3.210977779975394242e+03 6.850000000000000533e-01
-3.210977779975394242e+03 2.343378236491897937e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -3.174911824877815889e+03 -3.180947039164507260e+03 1.600000000000000089e+00
-3.180947039164507260e+03 2.873694438247841987e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -3.144309572778754045e+03 -3.150347287065445471e+03 1.709999999999999964e+00
-3.150347287065445471e+03 1.549643787219353008e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -3.111506569471018338e+03 -3.117546783757709818e+03 1.625000000000000000e+00
-3.117546783757709818e+03 2.455142961160681025e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -3.099992449358436716e+03 -3.106035163645128250e+03 1.405000000000000027e+00
-3.106035153632116362e+03 2.010201639653550387e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -3.088979908855998019e+03 -3.095025123142689154e+03 7.950000000000000400e-01
-3.095025106607813996e+03 2.368778850883077780e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -3.063439988890163932e+03 -3.069487703176855121e+03 1.689999999999999947e+00
-3.069487703176846935e+03 1.757179327967835292e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -2.994228863940232714e+03 -3.000279078226923957e+03 9.449999999999999512e-01
-3.000279078226923957e+03 4.161670428963230961e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -2.961284849355165534e+03 -2.967337563641856832e+03 6.800000000000000488e-01
-2.967337563641856832e+03 4.486541029569763595e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -2.953425586488075169e+03 -2.959480800774766521e+03 1.739999999999999991e+00
-2.959480413724659684e+03 3.107044449113933382e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -2.930063064642867175e+03 -2.936120778929558583e+03 5.749999999999999556e-01
-2.936120778929487187e+03 3.697664790650697597e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -2.857794151897041502e+03 -2.863854366183732964e+03 1.544999999999999929e+00
-2.863854366183732964e+03 6.304773982356469730e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -2.844258777639540767e+03 -2.850321491926232284e+03 1.594999999999999973e+00
-2.850321490599610570e+03 6.686418739809263911e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -2.736998551361553382e+03 -2.743063765648244498e+03 1.074999999999999956e+00
-2.743063765648244498e+03 5.248350400137088911e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -2.642896591826679924e+03 -2.648964306113371094e+03 9.100000000000000311e-01
-2.648964306113371094e+03 7.854932953638630977e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -2.601158499230090456e+03 -2.607228713516781681e+03 1.264999999999999902e+00
-2.607228713516781681e+03 3.794637169969983859e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -2.593826153372420777e+03 -2.599898867659112057e+03 3.800000000000000044e-01
-2.599898212199326281e+03 3.849924875644657796e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -2.575632617662348366e+03 -2.581707831949039701e+03 1.304999999999999938e+00
-2.581707831936450020e+03 1.036838198520425536e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -2.457378472741356290e+03 -2.463456187028047680e+03 1.300000000000000044e+00
-2.463456187028047680e+03 6.030155815690088872e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -2.419426586055089501e+03 -2.425506800341780945e+03 1.620000000000000107e+00
-2.425506800341780945e+03 5.637152116267580482e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -2.413688703953424920e+03 -2.419771418240116418e+03 1.439999999999999947e+00
-2.419768193796149262e+03 4.491701153373313105e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -2.400465954357602641e+03 -2.406551168644293739e+03 1.749999999999999889e-01
-2.406551166824934171e+03 1.575518705966573130e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -2.399264416635622183e+03 -2.405352130922313336e+03 1.514999999999999902e+00
-2.405088625207636596e+03 5.187514157529514947e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -2.391923825910108008e+03 -2.398014040196799215e+03 1.834999999999999964e+00
-2.398013194211041537e+03 3.404233357345959110e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -2.346813482431467492e+03 -2.352906196718158753e+03 6.999999999999999556e-01
