weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -inf 2.825035417771288859e+00 9.309843948371974154e-01 6.615615880268006777e+01 2.237287576321711491e-02 1.116035406503338295e-01 8.078774496063986787e-02 -8.592734992259907223e-01 1.467103706232219196e+00 5.094599726792797129e-02
0.000000000000000000e+00 -inf 2.807142684752000683e+00 9.115320280695647925e-01 6.755433006008276209e+01 2.203221200217167497e-02 1.172073966395504180e-01 3.292651047190519459e-02 -1.015728176805916316e+00 1.960846656355287543e+00 1.889578409614681154e-02
0.000000000000000000e+00 -inf 3.154494150304159472e+00 9.696681707727068389e-01 7.967412957237107207e+01 2.221835189252806958e-02 1.166432505731834351e-01 1.489758398538996303e-02 -7.724005880587481165e-01 1.638403965990184119e+00 2.520198291514606434e-02
0.000000000000000000e+00 -inf 2.984445910508389144e+00 9.275248243173579432e-01 6.884784544217664859e+01 2.243614819402168711e-02 1.119479814868898221e-01 5.370469518852664242e-02 -1.192315733107130349e+00 1.781283473502697667e+00 5.139861393768094949e-02
0.000000000000000000e+00 -inf 3.179751419711013050e+00 9.413629794204012580e-01 7.648853191761506309e+01 2.246061522296308524e-02 1.279794260697901254e-01 4.425782855349528339e-02 -1.445266805275261301e+00 1.850811911583970293e+00 5.723165276349398423e-02
0.000000000000000000e+00 -inf 2.992782352725387174e+00 9.905128739723171316e-01 7.557041432584652796e+01 2.231375980010187957e-02 1.158817368212096688e-01 8.525934350462988087e-02 -1.120573598632381263e+00 1.498048370091033643e+00 4.655079044008488681e-02
0.000000000000000000e+00 -inf 2.918602017613900035e+00 9.510374002163127782e-01 6.721721560066919210e+01 2.253832076969218556e-02 1.285218646753595040e-01 6.763998206898140519e-02 -7.673990153344063536e-01 1.591995232360175372e+00 5.341276648415257955e-02
0.000000000000000000e+00 -inf 3.071345046744298646e+00 9.767443109952040903e-01 6.114175027773084281e+01 2.220162448455335544e-02 1.195711440233370448e-01 6.978082346364448962e-02 -7.600897280019762725e-01 1.445770412931182580e+00 5.539682788193032309e-02
0.000000000000000000e+00 -inf 2.956032511973010646e+00 9.915315205653850716e-01 7.009209426875801796e+01 2.248155119961050066e-02 1.104676352187570765e-01 8.893656580653752641e-02 -1.133832201681708618e+00 1.551380952687959613e+00 4.044199853421810709e-02
0.000000000000000000e+00 -inf 2.834607386990573019e+00 9.421101701489070779e-01 6.375430444707758681e+01 2.237122790277808540e-02 1.224380820973246936e-01 1.352524052275757595e-02 -7.601322670689443228e-01 1.400833673946814795e+00 4.615956024635112231e-02
0.000000000000000000e+00 -inf 3.066203024169127822e+00 9.775228462565431764e-01 7.901945692202112070e+01 2.244331849409671870e-02 1.197476048676478361e-01 7.495520330644982188e-02 -7.163460610672203188e-01 1.380850471369986288e+00 7.541824270108780925e-02
0.000000000000000000e+00 -inf 3.115935315471868527e+00 9.668275178172476281e-01 7.779570677679593871e+01 2.217825642951750525e-02 1.120268821591687419e-01 2.870796829210382761e-02 -9.690848596313434982e-01 1.970358756589392968e+00 5.455089164990222644e-02
0.000000000000000000e+00 -inf 2.803217393585736961e+00 9.923829285666641020e-01 6.414234577234340406e+01 2.211262250700770163e-02 1.298171767822744460e-01 9.774879096127189748e-02 -1.305502453739928903e+00 1.781624668891297780e+00 3.121833745737747495e-02
0.000000000000000000e+00 -inf 2.817543588714986225e+00 9.318652462443164364e-01 7.028759729200166362e+01 2.231650838495143757e-02 1.225369895070769766e-01 6.196991018260786938e-02 -9.826174164705725467e-01 1.364758396528179762e+00 4.999674542754915796e-02
0.000000000000000000e+00 -inf 2.958486171758330840e+00 9.109019302211248670e-01 7.194977629807307551e+01 2.237357933188823325e-02 1.182587281142986196e-01 8.967038421689051131e-02 -5.846636187261902151e-01 1.511881311060685906e+00 4.188858184556987219e-02
0.000000000000000000e+00 -inf 2.909513466141202542e+00 9.441783872267407451e-01 6.567892952154602426e+01 2.202719106754919345e-02 1.154915321114596827e-01 4.303643974521179777e-02 -6.146459147593374972e-01 1.544368587927927639e+00 3.113881852574580666e-02
0.000000000000000000e+00 -inf 3.014147223230735140e+00 9.029322084833691919e-01 6.674862952612362221e+01 2.230544412711548199e-02 1.295167975278518069e-01 8.285094870088156871e-02 -1.067557664371211468e+00 1.840055947192419605e+00 5.624020733880032846e-02
