weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -4.036618116962551994e+03 7.096492051786116306e-01 7.723544432594022791e-01 1.185848558897284466e-02 4.401785823131295627e-01 1.839534469568369079e-01 3.915078809223938583e-01 6.699291977042176605e-02 3.307658490966750575e-01 9.216595835760510447e-03
0.000000000000000000e+00 -3.801364525864423285e+03 1.827629461412372258e-01 2.035071453211938497e-01 6.120871036117725428e-02 1.469332688163856870e-01 3.163890966067263166e-01 8.195557793321899265e-01 1.088027342897535110e-02 4.076308178616663280e-01 3.532647320228731180e-01
0.000000000000000000e+00 -3.801035336307940725e+03 1.937322146766052855e-01 7.853651504225820368e-01 9.347178466964756183e-02 6.618469410697459532e-01 2.316676260677946741e-01 7.660241590301741788e-01 5.580611415583636159e-03 8.426093704955169850e-01 2.981423482143440440e-01
0.000000000000000000e+00 -3.685607767139836142e+03 6.523968079912587648e-01 1.691785492263426782e-01 6.188455145171667393e-02 3.781402406026276308e-01 4.184341823055112153e-01 2.357532424610239152e-01 7.512863859575957814e-02 6.730306479106071826e-01 7.301426582324516135e-01
0.000000000000000000e+00 -3.671498332125034267e+03 1.681368668269147548e-01 8.443345086316100812e-01 7.550940552153440066e-02 4.010573208743325457e-01 4.258413703445783627e-01 9.267601464176503656e-01 1.092893766119262811e-02 8.130133586155164904e-01 3.739835911951360226e-01
0.000000000000000000e+00 -3.636050634065950817e+03 8.085448001167919729e-01 9.433960981433640036e-01 1.335453890020165124e-01 7.147976160347100372e-01 1.736333329443081608e-01 1.505157551911263658e-01 6.611509450760677531e-02 5.115545042988577373e-01 3.641245541576169087e-01
0.000000000000000000e+00 -3.595008114910130644e+03 8.232671949363188357e-01 5.801518158038265760e-02 1.081588297805674559e-01 4.274698876742788478e-02 7.150480075935251589e-01 7.618907713490585820e-02 8.819060900440267581e-03 5.583761561579921873e-01 7.624086825612674811e-02
0.000000000000000000e+00 -3.514120656884207619e+03 7.123996397106895362e-01 5.306123418430278571e-01 9.296988243263060170e-02 1.211850014772472006e-01 4.412977565235020050e-01 4.647894787998383404e-01 5.727501209781304947e-02 9.770707755892604762e-01 2.065637751022530999e-02
0.000000000000000000e+00 -3.475786218133916918e+03 1.012667492509530254e-01 1.637337205688509378e-01 1.177553777899220666e-02 8.379004714701049350e-01 4.170458195158709414e-01 5.746801187231043162e-01 1.736220057984150245e-01 7.839696535415896506e-01 1.836583047537402313e-01
0.000000000000000000e+00 -3.447580909188095120e+03 9.038241153100778913e-02 5.793083349148299144e-01 8.860415564967683011e-02 6.597830052605120343e-01 7.604197221841325627e-01 5.570593939627177527e-01 4.716675963573813135e-02 9.894392866085702787e-01 3.375498518657304992e-02
0.000000000000000000e+00 -3.438258205398640257e+03 2.544410218074408814e-01 5.188110274317446757e-01 1.340131614176057750e-01 9.741309633095995846e-02 3.869133295239490788e-01 4.956398260289093249e-01 4.703834841751919349e-02 2.003870189370781096e-01 8.451181152978287647e-01
0.000000000000000000e+00 -3.419265937573641622e+03 5.199089199131645689e-01 8.439054551235177781e-01 5.276023942597884986e-02 4.111999413038807116e-01 4.732909646324454656e-01 5.695194585524107067e-01 1.268219199877566039e-01 6.041703451507092204e-01 9.058948031013268620e-01
0.000000000000000000e+00 -3.340656898475204798e+03 4.232158004794476236e-01 9.599001748860744865e-01 9.559266302895674805e-02 4.270314461733364375e-01 6.587075271973537038e-01 6.710755885914979624e-01 7.741953592815276064e-02 1.007210805970834011e-01 2.854538611940361514e-01
0.000000000000000000e+00 -3.340024938735698470e+03 5.026102120277295970e-01 5.761791589156732840e-01 6.162592420746482169e-02 3.332741165010099094e-01 6.604359310271059602e-01 8.355522648181153977e-01 9.251399690722417191e-02 9.347159070485877574e-01 6.533553788013022334e-01
0.000000000000000000e+00 -3.256391908992050048e+03 8.694517635349697793e-01 1.087851067681774309e-01 4.476757330539260504e-02 2.502078143961796730e-01 7.542547196749924687e-01 9.331641618512931391e-02 1.729376950938309454e-01 6.424160922818319408e-01 7.442037485014076914e-01
