logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.830613058307050789e+00 9.952246021531250264e-01 6.932507917148313936e+01 2.216718428296992477e-02 1.296879351980468331e-01 8.904287389288298438e-02 -5.058817711944341156e-01 -9.565079092500639035e-01 3.863118952231565234e-02
3.038517325511766565e+00 9.286008493449029455e-01 7.300309654840306450e+01 2.242997943588801932e-02 1.237540033054802258e-01 8.677438636391879290e-02 -1.001412652138967907e+00 6.086569030322621643e-01 1.545157158285807852e-02
2.977947386650637185e+00 9.670069769192690678e-01 7.456409634468256797e+01 2.244203968827870530e-02 1.175553576889755841e-01 3.697049991360967791e-02 -1.088722174428797373e+00 7.763535616059700217e-01 6.346564066131638038e-02
2.833888209084243659e+00 9.134600685347682436e-01 7.504926683989144465e+01 2.217313767119894960e-02 1.278310527085198545e-01 4.070780139110347084e-02 -1.032888754089891448e+00 5.403974604141636995e-01 1.257337536707209963e-02
3.126168799149856348e+00 9.780433000424735290e-01 7.445673214378379612e+01 2.203468378940117919e-02 1.245711600720608714e-01 2.833503333871564486e-02 -1.087283627973310463e+00 7.399899784716215123e-01 5.121158108685325283e-02
2.809775644739672451e+00 9.983027402762288949e-01 6.987877110574716255e+01 2.212721677047147298e-02 1.161179082330759393e-01 4.580248475500581229e-02 -7.618438783677603521e-01 -5.656513326677226061e-02 6.648691959465470591e-02
3.179224230655071093e+00 9.213829322098456842e-01 7.033912557856335468e+01 2.250684356455309384e-02 1.114825505142465201e-01 5.719664567710260050e-02 -8.124209463685585497e-01 6.112982369049069220e-02 6.674339443087953794e-02
3.052527963250175169e+00 9.420321415121880593e-01 7.294834349952657249e+01 2.211497357426724791e-02 1.260069647498476553e-01 6.015627351670534140e-02 -9.282746637865546546e-01 2.258970953996262132e-01 2.845144864445550703e-02
3.011618454860630401e+00 9.497580251094567272e-01 7.142673293556383385e+01 2.256949408497535212e-02 1.264157672537310761e-01 9.424979837962853269e-02 -8.295158011035823620e-01 1.252012609226031969e-01 1.500794977517671928e-02
3.133702250890605168e+00 9.338685340426484682e-01 6.941322404641454114e+01 2.211778179050189266e-02 1.131365149329898317e-01 8.879719854402393087e-02 -7.864410014535347937e-01 1.011728519756456279e-01 6.614026745455385548e-02
3.031149521212191278e+00 9.353771339758657488e-01 7.443114115907111739e+01 2.208554155844439509e-02 1.263082199372535797e-01 8.565490871374546733e-02 -1.044566019722178440e+00 5.459744589383612734e-01 4.972797030371984423e-02
3.177550683105928808e+00 9.221499246649986770e-01 7.242211149997723396e+01 2.220151877683318453e-02 1.205389285617374240e-01 2.460845970193725838e-03 -9.293922197885697845e-01 4.593541665036107169e-01 2.974327686608308624e-02
3.077223199414005350e+00 9.663606620013202031e-01 7.067157961023204393e+01 2.222995125991541684e-02 1.271978588227769269e-01 6.101881232040375080e-02 -6.703072049180738290e-01 -4.282044219816394381e-01 5.884548677451481580e-02
3.049017230595645778e+00 9.581093596427212589e-01 7.426127285543628886e+01 2.233781721111086083e-02 1.130869639110871211e-01 1.310160637516845188e-02 -1.045287914038701915e+00 6.390957813240736307e-01 7.421897834610359512e-02
