weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -inf 6.258854442822270325e-02 3.098439483719739318e-01 3.078079401340033661e-01 6.214596053618579585e-01 8.017703251669150433e-02 8.078774496063986232e-01 7.604843338493394445e-01 8.667759265580547989e-01 5.849428181132566573e-01
0.000000000000000000e+00 -inf 1.785671188000204079e-02 1.153202806956480364e-01 3.777165030041378380e-01 5.368667028612461589e-02 3.603698319775205938e-01 3.292651047190519042e-01 6.561812154627224558e-01 9.902116640888218857e-01 1.270826299449544505e-01
0.000000000000000000e+00 -inf 8.862353757603986804e-01 6.966817077270687220e-01 9.837064786185532039e-01 3.639198208801165402e-01 3.321625286591718407e-01 1.489758398538996165e-01 8.183996079608346630e-01 9.096009914975460298e-01 2.171711845020866116e-01
0.000000000000000000e+00 -inf 4.611147762709730813e-01 2.752482431735790991e-01 4.423922721088321408e-01 7.269136567028167129e-01 9.739907434449079915e-02 5.370469518852664104e-01 5.384561779285796934e-01 9.453208683756744168e-01 5.914087705382992111e-01
0.000000000000000000e+00 -inf 9.493785492775319579e-01 4.136297942040124687e-01 8.244265958807527328e-01 7.676920382718128710e-01 8.989713034895064903e-01 4.425782855349528200e-01 3.698221298164924287e-01 9.627029778959925732e-01 6.747378966213425366e-01
0.000000000000000000e+00 -inf 4.819558818134683786e-01 9.051287397231714271e-01 7.785207162923264423e-01 5.229330001698005992e-01 2.940868410604836614e-01 8.525934350462986977e-01 5.862842675784124546e-01 8.745120925227584108e-01 5.221541491440697680e-01
0.000000000000000000e+00 -inf 2.965050440347500871e-01 5.103740021631281154e-01 3.608607800334595606e-01 8.972012828203124180e-01 9.260932337679746995e-01 6.763998206898140797e-01 8.217339897770624679e-01 8.979988080900438430e-01 6.201823783450367555e-01
0.000000000000000000e+00 -inf 6.783626168607462814e-01 7.674431099520403476e-01 5.708751388654198511e-02 3.360408075889278479e-01 4.785572011668519643e-01 6.978082346364448130e-01 8.266068479986824480e-01 8.614426032327956451e-01 6.485261125990045006e-01
0.000000000000000000e+00 -inf 3.900812799325265035e-01 9.153152056538507164e-01 5.046047134379008092e-01 8.025853326841702051e-01 2.338176093785382381e-02 8.893656580653751531e-01 5.774451988788609214e-01 8.878452381719899034e-01 4.348856933459729346e-01
0.000000000000000000e+00 -inf 8.651846747643243685e-02 4.211017014890704457e-01 1.877152223538794962e-01 6.187131712968131358e-01 6.219041048662344862e-01 1.352524052275757560e-01 8.265784886207038218e-01 8.502084184867036987e-01 5.165651463764445728e-01
0.000000000000000000e+00 -inf 6.655075604228197772e-01 7.752284625654316530e-01 9.509728461010559242e-01 7.388641568278647709e-01 4.873802433823913871e-01 7.495520330644981355e-01 8.557692926218530838e-01 8.452126178424965719e-01 9.345463243012543941e-01
0.000000000000000000e+00 -inf 7.898382886796713187e-01 6.682751781724760587e-01 8.897853388397969354e-01 2.970940491958427021e-01 1.013441079584367355e-01 2.870796829210382484e-01 6.872767602457710012e-01 9.925896891473482420e-01 6.364413092843174136e-01
0.000000000000000000e+00 -inf 8.043483964342290626e-03 9.238292856666414643e-01 2.071172886171702698e-01 1.877041783461742552e-01 9.908588391137217455e-01 9.774879096127189193e-01 4.629983641733806943e-01 9.454061672228244451e-01 3.031191065339639001e-01
0.000000000000000000e+00 -inf 4.385897178746622771e-02 3.186524624431643637e-01 5.143798646000830033e-01 5.275139749190635996e-01 6.268494753538483844e-01 6.196991018260786799e-01 6.782550556862849689e-01 8.411895991320449406e-01 5.713820775364164550e-01
0.000000000000000000e+00 -inf 3.962154293958266571e-01 1.090193022112484478e-01 5.974888149036537976e-01 6.226322198137264063e-01 4.129364057149308431e-01 8.967038421689050853e-01 9.435575875158732639e-01 8.779703277651714766e-01 4.555511692224266662e-01
0.000000000000000000e+00 -inf 2.737836653530066888e-01 4.417838722674068963e-01 2.839464760773011687e-01 4.531844591532208089e-02 2.745766055729840227e-01 4.303643974521179638e-01 9.235693901604415945e-01 8.860921469819819096e-01 3.019831217963686587e-01
0.000000000000000000e+00 -inf 5.353680580768377384e-01 2.932208483369125318e-02 3.374314763061809774e-01 5.090735451924713884e-01 9.758398763925898445e-01 8.285094870088156593e-01 6.216282237525256882e-01 9.600139867981049013e-01 6.605743905542903471e-01
0.000000000000000000e+00 -inf 2.205229013611228472e-01 2.844296168137230296e-01 8.759445877070989317e-01 1.482248675474264754e-01 9.846511743841990238e-02 9.354537906220421473e-01 8.009680340138298771e-01 9.672326143066649617e-01 4.809033942384031146e-01
0.000000000000000000e+00 -inf 5.038949781047389331e-01 8.825011191784728481e-01 4.908000499987544840e-01 7.335288781799480518e-01 1.750429247646846376e-01 6.661940823223889696e-01 8.088764397932216577e-01 8.474450216820044179e-01 3.885024728761133916e-01
0.000000000000000000e+00 -inf 2.076655227845564111e-01 7.791725286309716392e-01 4.301048972407532922e-01 6.567269204609290645e-01 8.771334647375352844e-01 3.357856388129923930e-01 9.406912926694106503e-01 8.024942659323940353e-01 9.831437465653030117e-01
0.000000000000000000e+00 -inf 1.721416735202058179e-01 4.609825782710451625e-01 3.226589504826385957e-01 4.639329279008524987e-01 2.541451483423872171e-01 1.367563920978792646e-01 4.839912203548230041e-01 8.883269556201842665e-01 2.836639974688215382e-02
0.000000000000000000e+00 -inf 6.150066235594752184e-01 7.095472471982383622e-01 7.548979832344782093e-02 6.481276849113148941e-01 5.173727027395674805e-01 8.834268273222571910e-01 4.587345807331094649e-01 9.706486592732148644e-01 1.089508040849616055e-01
0.000000000000000000e+00 -inf 8.155704295920924718e-01 4.695836488342425286e-01 3.702253477627233114e-01 1.588661873627494892e-02 9.020120106400894011e-01 1.724322461108415139e-01 6.951026557129339478e-01 9.958504449318156260e-01 3.276881635517111535e-01
0.000000000000000000e+00 -inf 3.792337762879914864e-01 4.866768579959258600e-01 6.811233868417998494e-02 6.518636105246045087e-02 2.855009163409326645e-01 3.012433624266335208e-01 8.221648926136897462e-01 9.439343399328076201e-01 6.249215572786555040e-01
0.000000000000000000e+00 -inf 5.034487565060818959e-01 3.671388643762748538e-01 1.134741088528847808e-01 2.903622007135716609e-01 2.873990224111387937e-01 4.943457509251303339e-01 5.853277099964782071e-01 9.685844486341171899e-01 6.568925670509103698e-01
0.000000000000000000e+00 -inf 7.076031465181081836e-01 8.608955285440813565e-01 1.983990863137061744e-01 3.157302434220463638e-01 2.953203256898346840e-01 7.170034057183191090e-01 8.530112378266622164e-01 9.607778586707149682e-01 9.882213883073773797e-01
0.000000000000000000e+00 -inf 9.689105074747486057e-01 1.003482890713627285e-01 5.445892826318913249e-01 8.543293688915144513e-01 6.758133830286490173e-01 9.609973716239390562e-01 8.705365126534776454e-01 9.168374922346290701e-01 9.072348477098551855e-01
0.000000000000000000e+00 -inf 5.523736205710261249e-02 3.277940037336202206e-02 4.857607327571273892e-01 4.915740129181237483e-01 5.913012543873683580e-01 9.553801324587236632e-01 5.369214961566929345e-01 9.742594081700615138e-01 5.541867774022042337e-01
0.000000000000000000e+00 -inf 9.798424665421090474e-01 8.996890952510104844e-01 3.343205102621862324e-01 1.229742452858065827e-01 1.391377622777091316e-01 6.057161623956877072e-01 7.036994094485761186e-01 9.487015336291061418e-01 9.456192474266789105e-01
0.000000000000000000e+00 -inf 5.570823848010184598e-01 9.896239106798269125e-01 4.332092997648261390e-01 3.466075164488904292e-01 1.554727217126196104e-01 9.323654868698169063e-01 9.841156773265049562e-01 9.538338260529208856e-01 1.022606328815814924e-01
0.000000000000000000e+00 -inf 1.916122953674580520e-01 2.571876397962558070e-02 6.101468066037871729e-01 8.589766829755984823e-03 5.423118321986576396e-01 4.825819617490930691e-01 9.206000418218005521e-01 9.855749260022291791e-01 2.340067470198679001e-01
0.000000000000000000e+00 -inf 6.540581329711925296e-01 1.832068073926509388e-01 8.275348542664506812e-01 5.354499003790208489e-01 9.703896056871552656e-02 5.157206690822306872e-01 5.358143819274820974e-01 9.583243529272946759e-01 4.987098571780298473e-01
0.000000000000000000e+00 -inf 1.088932627061933722e-01 7.122793522500405761e-01 8.036484208954036701e-01 7.649125023308822602e-02 7.982762662554369060e-01 7.909016604442659082e-01 8.305113630818425907e-01 9.934515520120940080e-01 5.840753668603294591e-01
0.000000000000000000e+00 -inf 5.742999677046920493e-01 4.827911164194726990e-01 1.210971060093291030e-02 4.678931216176897001e-01 2.373612948521868216e-01 1.913707353194601390e-01 6.058702074266050230e-01 9.610514211113773131e-01 4.724788042421070866e-01
0.000000000000000000e+00 -inf 2.490329592649724866e-01 1.727389660685864081e-01 4.199768000791322953e-01 2.062560038907167437e-01 9.296015459563057304e-01 9.025586958040232588e-03 5.083594236418420564e-01 9.906634849963141809e-01 6.599409790728397729e-01
0.000000000000000000e+00 -inf 4.311722040824927937e-01 3.544719955518925714e-01 5.991443863369495526e-01 6.687065842635118162e-01 8.669242130541735536e-01 4.446043468199563087e-01 4.356029744567445627e-01 9.112033188057723221e-01 3.133540529174013711e-01
0.000000000000000000e+00 -inf 9.074427926949140133e-01 3.913055904827178466e-02 2.350604672998168887e-01 2.979631869519949738e-02 5.828915512976046154e-01 5.682741816937951773e-01 7.439333400101132421e-01 9.192731322382116099e-01 9.843498946358900659e-01
0.000000000000000000e+00 -inf 2.422312664988155451e-01 4.094653697379533330e-01 9.357874002714576811e-01 2.942706939977247638e-01 4.992073795981180062e-01 6.625833042213061796e-01 4.384053553890395749e-01 9.471894431383176549e-01 5.579881563894524277e-01
