logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
3.155301756962145543e+00 9.588454212014880795e-01 7.710280335444123523e+01 2.248484851991539024e-02 1.272162616619189057e-01 8.550221699127569241e-02 -8.675621348857776027e-01 9.753079494281328976e-02 6.522924504957172687e-02
2.907078271366153821e+00 9.407880940959765237e-01 7.772495906887471051e+01 2.258417238616107839e-02 1.299502212232417075e-01 3.669433119646919178e-02 -8.928561686933138564e-01 9.719368568485835247e-02 1.143488182276842201e-02
2.950353057790899847e+00 9.126226968935240436e-01 7.514215898290321149e+01 2.234904805788882551e-02 1.276949151174602282e-01 4.750478809805738778e-02 -8.548554337001781356e-01 7.925667662003639535e-02 5.378948999079254112e-02
3.028344619677202143e+00 9.184677238662912746e-01 7.499607047932637727e+01 2.240449156289575638e-02 1.246204453063205209e-01 9.405621521984298961e-02 -8.569879801321305113e-01 7.177039990371222866e-02 6.357517543021211359e-02
2.846287500113984237e+00 9.192932308734031999e-01 7.620868129276512093e+01 2.218840360588778329e-02 1.298371669016784857e-01 8.267401818698921767e-02 -8.952198875305195092e-01 8.840357675471499643e-02 5.033113518004293796e-02
2.898921357439822710e+00 9.609640490941830926e-01 7.374401467992919379e+01 2.224810777715706053e-02 1.269845544143057836e-01 5.303831447984611036e-02 -8.466327024768112164e-01 4.643045433868980831e-02 2.093031890167963011e-02
3.013706793893549563e+00 9.683512087154031445e-01 7.437986044771736260e+01 2.205433280514044678e-02 1.227936163984880980e-01 7.870469869969111409e-02 -8.697769750908022068e-01 6.617927848756997855e-02 6.699394393490060162e-02
3.036327667495634319e+00 9.187887110101882193e-01 7.226489357114148504e+01 2.200854259735255183e-02 1.176633298786555204e-01 9.585037283532323038e-02 -7.983249261577904932e-01 6.642319264944934742e-02 7.328242889319995512e-02
2.941254589887688287e+00 9.008395957639252494e-01 7.390695141215360309e+01 2.217634931560409639e-02 1.258828019314792990e-01 8.108731214195152859e-02 -9.181259392474663272e-01 1.080998743559149003e-02 7.437812790718678624e-02
3.094732714377703253e+00 9.760102563836960954e-01 7.524860908122784053e+01 2.208695606294352326e-02 1.291463389475485390e-01 6.014616321495663831e-02 -9.197816125428599499e-01 2.537291804518241461e-02 1.366241710202900465e-02
2.903629996889510068e+00 9.267061484245185943e-01 7.695021917773922837e+01 2.238530461187045878e-02 1.275773720215521156e-01 1.449795557385047395e-02 -8.876790379097816430e-01 9.751752478537195623e-02 2.162102489090484206e-02
2.820341121538098239e+00 9.539500739294233256e-01 7.597489269491859432e+01 2.244441292676581032e-02 1.243787007450385534e-01 4.252952976368464671e-02 -8.981156359474848916e-01 8.298246412593576760e-02 1.978172110818154222e-02
2.875458541973212601e+00 9.568635820789755941e-01 7.416356956015313528e+01 2.255395628765314436e-02 1.299500537854658688e-01 2.230987139719485882e-02 -8.201430937984304226e-01 7.249010978459539956e-02 3.202150406978910430e-02
2.954986974935527311e+00 9.357762937501807876e-01 7.607117669469218413e+01 2.210743742782302415e-02 1.255779229498938665e-01 3.700251693831890093e-02 -8.746448839017721966e-01 9.089119987579274973e-02 1.236503611787156953e-02
2.856811022766700070e+00 9.958731428233780214e-01 7.325100443604894451e+01 2.202351813532863606e-02 1.265909356235912220e-01 6.008277487512047460e-02 -8.366481869125395043e-01 3.132025577655741383e-02 2.673877463222979617e-02
3.044825560425533872e+00 9.494956389905199190e-01 7.621151092122579485e+01 2.201176508349759683e-02 1.264897855964157158e-01 2.252891983082174268e-02 -8.964819439190008232e-01 9.426178288319855825e-02 1.004102449454287969e-02
2.983237861730565044e+00 9.963824251243054153e-01 7.405956121901917300e+01 2.245600304634510699e-02 1.147489077411439629e-01 9.435479575315378065e-02 -8.433500577296411116e-01 8.120727640632392774e-02 3.805709483272344540e-02
2.902316604323421423e+00 9.202887512181379126e-01 7.352727400119157153e+01 2.218379672935336458e-02 1.185957225468434045e-01 7.308531157323053251e-02 -8.615108125871233646e-01 4.242000633271465759e-02 5.746057795202012819e-02
3.023430377754393827e+00 9.114292018708890497e-01 7.394678055474605571e+01 2.238623829443603039e-02 1.244948036441872463e-01 7.283553396576478156e-02 -8.698917065430558093e-01 3.993074543321779163e-02 4.571748986223000966e-02
3.127797386074695041e+00 9.513272822703819909e-01 7.343570505484672140e+01 2.208067727498259913e-02 1.235131881863093944e-01 8.640162489237766807e-02 -8.379348773169903453e-01 5.168952333968213075e-02 3.567547808999576436e-02
2.827754583576127523e+00 9.327568805874978386e-01 7.605408426813674794e+01 2.220352050988617931e-02 1.222981331205874461e-01 9.487610768322975174e-02 -8.928186903791670570e-01 7.995599449967830119e-02 3.649850385064211389e-02
2.879315311448652270e+00 9.476113206875964590e-01 7.528473381153128230e+01 2.201108456982097533e-02 1.210846655734388183e-01 5.288412450882349486e-02 -8.760422340869764568e-01 7.864685754351846692e-02 3.043585613400582451e-02
2.933927123158432959e+00 9.962471384600131152e-01 7.760746676454354542e+01 2.251476173024181612e-02 1.262675151017213226e-01 7.428624409900082270e-02 -9.361607808906609041e-01 9.687649340218651428e-02 2.509705793182422789e-02
3.133760780232249576e+00 9.511714355266587262e-01 7.324086797097547219e+01 2.224460375485271674e-02 1.215855919227135373e-01 9.743595523851647511e-02 -8.337557339253867106e-01 6.303301406254369077e-02 1.418952405826757676e-02
2.853432558264833663e+00 9.110891100648359497e-01 7.511265694769377887e+01 2.252737679219121020e-02 1.299585896373091076e-01 1.621488362399147246e-02 -8.807053668517119682e-01 5.198915661542694716e-02 4.069431870466456991e-02
3.094058405425039293e+00 9.153585248683384634e-01 7.347817558791966519e+01 2.252483813586407188e-02 1.143703301980527609e-01 1.832535194342109833e-02 -8.259397827039589579e-01 6.801555930453288823e-02 4.354997014222278945e-02
2.822918277437753254e+00 9.206978265570336939e-01 7.363824601274284021e+01 2.239794672306076595e-02 1.243813026731623306e-01 1.403813316597066901e-02 -7.975212422765236564e-01 6.105451526409733098e-02 1.507395461277447231e-02
3.001422215227680379e+00 9.074501793393793259e-01 7.550593807942281899e+01 2.203486128210292716e-02 1.290384454110166945e-01 5.259101524427883118e-02 -8.669542510326793128e-01 8.681437333616409679e-02 5.577026852916092819e-02
2.930811188854620664e+00 9.728986382618509676e-01 7.507335647717501104e+01 2.249578002019829437e-02 1.281812402396449446e-01 5.780569381754208091e-02 -9.046576729291311292e-01 2.899003531213935336e-02 1.135059611000356281e-02
3.118136063152859627e+00 9.363717648951491723e-01 7.620450351753720497e+01 2.205780696521019227e-02 1.271077263103976562e-01 9.186819642183079171e-02 -9.062969992780127715e-01 6.665991855156741530e-02 3.422933138533241354e-02
3.018227632872077404e+00 9.939044636980437497e-01 7.324106968649230964e+01 2.225024966188698938e-02 1.211362831104009496e-01 9.193122058446948075e-02 -8.243369221161811478e-01 5.135446466362269397e-02 5.418854889747762305e-02
2.916996161234556961e+00 9.878517859818044533e-01 7.403897549784440457e+01 2.208821295577610699e-02 1.281228345671741875e-01 7.762024947174751832e-02 -8.891853488175498477e-01 1.032703912418686532e-02 7.189632793298308955e-02
2.992228244877571441e+00 9.073659926201131931e-01 7.726616419471788788e+01 2.230146344992723489e-02 1.286573654492442764e-01 5.183455672033818878e-02 -9.138842572006848908e-01 8.373053115816574132e-02 4.001163413315976525e-02
3.177642329676028332e+00 9.209287448668816989e-01 7.410618247480155674e+01 2.249858834558345760e-02 1.161391822002499352e-01 9.165039640176858571e-02 -8.630683299420760513e-01 5.028678821599823906e-02 4.008201156397552672e-02
2.896955849814466522e+00 9.385656791251388853e-01 7.555546774452298564e+01 2.246180920172506992e-02 1.272794163740744722e-01 8.067054409972461426e-02 -8.780785607487371358e-01 5.469383181020481821e-02 2.188928925343241322e-02
3.085578187097660852e+00 9.151353505172399316e-01 7.224378124152204350e+01 2.228729198242208193e-02 1.256697201106393713e-01 8.318128466036361912e-02 -8.620728336823051396e-01 1.781726174501630650e-02 5.758695076285141878e-02
2.818617311323758035e+00 9.589196892492020119e-01 7.331403438417174812e+01 2.230450287666245479e-02 1.220850148262062895e-01 7.090587540872783819e-03 -8.084337533925092245e-01 6.504091527772384862e-02 6.659569455362394919e-02
2.958724592190915548e+00 9.615665704962601534e-01 7.695339877598244982e+01 2.202937208168689528e-02 1.291829249645282673e-01 8.094140393265192648e-03 -8.997625869236622886e-01 8.802779972026009148e-02 6.021570333745760589e-02
3.151481442919405573e+00 9.067030910314205494e-01 7.503803552881267080e+01 2.241388918223456705e-02 1.170129406034675357e-01 5.079269595814366739e-02 -8.644526414398194802e-01 9.112419961650729261e-02 2.564349724686473819e-02
2.827693914678484521e+00 9.909330746175689653e-01 7.170158312110294219e+01 2.236103768459515514e-02 1.212216121424739418e-01 6.978236135501275639e-02 -8.384472846954817982e-01 1.490593550489642365e-02 2.872982919697909809e-02
3.007801515167765505e+00 9.693683746101118270e-01 7.382479200249632356e+01 2.207437565187582787e-02 1.276784752737310513e-01 2.538209765196203227e-02 -8.415161979443959162e-01 6.802515441175194244e-02 5.241838221781641716e-02
3.045968361009285363e+00 9.411996295447730976e-01 7.544998362927499613e+01 2.257436754977161508e-02 1.290487331403284421e-01 6.091735213427620921e-02 -8.961833360562123652e-01 4.875909622878980137e-02 7.256093469954957853e-02
3.105476447811289731e+00 9.257912773993921540e-01 7.713697711263056078e+01 2.239122304295887086e-02 1.293772607812190556e-01 1.192355077735854363e-02 -9.276651390522403506e-01 7.376926700605117293e-02 5.406764826014332642e-02
3.104150510769059679e+00 9.237936187416424527e-01 7.547921965843859482e+01 2.213414345776876582e-02 1.267135732253919234e-01 6.746301703254918569e-02 -8.688142540775913858e-01 7.295480282474428591e-02 5.857718380518369544e-02
3.197374532066485919e+00 9.825307424201845663e-01 7.505123936009205465e+01 2.210213931351226110e-02 1.253509065919256593e-01 3.673571421340737775e-02 -8.547229668156406390e-01 8.886822812955233464e-02 4.074515006467976930e-02
2.879912389266531925e+00 9.289092682861159744e-01 7.528695779875097571e+01 2.231362262505069347e-02 1.258277392597454691e-01 6.132460139279061195e-02 -8.646111054530365436e-01 8.103977651869360976e-02 2.536122355242845239e-02
2.976897784067130015e+00 9.799866519626574402e-01 7.613673571692643804e+01 2.244369890787049210e-02 1.257095417264678106e-01 8.250742731790533524e-02 -8.814823188822504818e-01 8.689808725955389113e-02 5.923090352291190269e-02
3.034794257973070231e+00 9.535782358729223418e-01 7.447953465699083608e+01 2.205051717331442743e-02 1.275799022550453687e-01 9.162458173597973210e-02 -8.547070852688976039e-01 6.705472840605615492e-02 7.385179802533363425e-02
3.118456416488511795e+00 9.408622518721907468e-01 7.344933301804971393e+01 2.214438502483416504e-02 1.258115828403459369e-01 9.042044390382486529e-02 -8.874785494196431035e-01 7.284415082111751023e-04 2.004697320503136954e-02
