logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -5.135127088418284984e+03 -5.141119802704975882e+03 1.125000000000000000e+00
-5.141119802704975882e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.983922286681630794e+03 -4.989917500968322202e+03 2.099999999999999922e-01
-4.989917500968322202e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.904644094432840575e+03 -4.910641808719531582e+03 1.280000000000000027e+00
-4.910641808719531582e+03 8.221947682870879248e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -4.890495749331313164e+03 -4.896495963618004680e+03 4.500000000000000111e-01
-4.896495962899321967e+03 7.057167850492530192e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -4.875986886063590646e+03 -4.881989600350281762e+03 1.215000000000000080e+00
-4.881989599849132901e+03 1.103734629195762373e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -4.764597248174329252e+03 -4.770602462461020878e+03 1.784999999999999920e+00
-4.770602462461020878e+03 5.882411836088829205e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -4.738138020351877458e+03 -4.744145734638568683e+03 1.919999999999999929e+00
-4.744145734638565045e+03 5.227985505444932812e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -4.729363318391920984e+03 -4.735373532678612719e+03 8.050000000000000488e-01
-4.735373377708680891e+03 4.404986104989955464e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -4.676236123721342665e+03 -4.682248838008033999e+03 1.504999999999999893e+00
-4.682248838008033999e+03 2.712034446174513036e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -4.569774780720121271e+03 -4.575789995006812205e+03 1.580000000000000071e+00
-4.575789995006812205e+03 5.507124468516768445e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -4.569515162221176979e+03 -4.575532876507868423e+03 1.000000000000000021e-02
-4.574960047499778739e+03 5.085655634418997550e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -4.528746906506031337e+03 -4.534767120792722380e+03 2.049999999999999878e-01
-4.534767120792722380e+03 4.113605512413325727e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -4.395223798499758232e+03 -4.401246512786449784e+03 1.639999999999999902e+00
-4.401246512786449784e+03 7.773885177532562807e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -4.387333718841006885e+03 -4.393358933127698037e+03 1.354999999999999982e+00
-4.393358557821117756e+03 3.810615297556636705e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -4.386819985577702028e+03 -4.392847699864393689e+03 2.049999999999999878e-01
-4.392377708359884309e+03 3.863950924928145270e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -4.375652618125622212e+03 -4.381682832412313473e+03 7.650000000000000133e-01
-4.381682809751814602e+03 6.651535469773494746e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -4.352568545489517419e+03 -4.358601259776208281e+03 1.274999999999999911e+00
-4.358601259776113693e+03 1.506080566121103459e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -4.243357884136859866e+03 -4.249393098423551237e+03 1.719999999999999973e+00
-4.249393098423551237e+03 4.495538603791036536e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -4.241409332352442107e+03 -4.247447046639133077e+03 2.800000000000000266e-01
-4.247313532949831824e+03 3.655866278857046581e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -4.216887075573643415e+03 -4.222927289860334895e+03 6.350000000000000089e-01
-4.222927289860309429e+03 1.251988774901912649e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -4.135854174187214085e+03 -4.141896888473905165e+03 9.350000000000000533e-01
-4.141896888473905165e+03 4.534983888452359224e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -4.135251487072501732e+03 -4.141296701359193321e+03 1.320000000000000062e+00
-4.140859279707620772e+03 3.639880121156100756e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -4.134288012753154362e+03 -4.140335727039845551e+03 1.530000000000000027e+00
-4.139870477090583336e+03 2.367692122537181021e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -4.064283454339039054e+03 -4.070333668625730297e+03 6.949999999999999512e-01
-4.070333668625730297e+03 4.825570904628145996e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -4.045726941003264528e+03 -4.051779655289955826e+03 7.000000000000000666e-02
-4.051779655281204214e+03 5.183519929992672814e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -4.007807775352380759e+03 -4.013862989639072111e+03 1.499999999999999944e-01
-4.013862989639072111e+03 3.618982483501149972e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -3.990187943361900125e+03 -3.996245657648591532e+03 1.459999999999999964e+00
-3.996245657626261618e+03 1.964441455891501320e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -3.976592032117950112e+03 -3.982652246404641573e+03 5.999999999999999778e-02
-3.982652245155946730e+03 6.075014815273099167e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -3.949965495238221138e+03 -3.956028209524912654e+03 4.149999999999999800e-01
-3.956028209524909926e+03 1.443798051087397205e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -3.908520211378358908e+03 -3.914585425665050025e+03 1.699999999999999956e+00
-3.914585425665050025e+03 2.250609091809195306e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -3.822440899801043997e+03 -3.828508614087735168e+03 1.800000000000000044e+00
-3.828508614087735168e+03 2.343210204213195880e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -3.811313091265860749e+03 -3.817383305552551974e+03 1.320000000000000062e+00
-3.817383290818008390e+03 2.553612176222668850e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -3.792084454537602141e+03 -3.798157168824293421e+03 9.499999999999999556e-01
-3.798157168819824619e+03 1.072988889285997516e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -3.781172397009225278e+03 -3.787247611295916613e+03 5.050000000000000044e-01
-3.787247593013424193e+03 9.502364664961760354e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -3.761807305820746933e+03 -3.767885020107438322e+03 1.139999999999999902e+00
-3.767885020103539318e+03 5.423361533078735697e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -3.738840854274087178e+03 -3.744921068560778622e+03 2.000000000000000000e+00
-3.744921068560672211e+03 1.114839091364263091e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -3.688673225573460968e+03 -3.694755939860152466e+03 4.249999999999999889e-01
-3.694755939860152466e+03 3.459901211409170685e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -3.680047667401277977e+03 -3.686132881687969075e+03 1.304999999999999938e+00
-3.686132701794931563e+03 3.032100599041459432e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -3.671794351357228152e+03 -3.677882065643919304e+03 2.200000000000000011e-01
-3.677881804585587815e+03 4.184379066072920317e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -3.661908248283330067e+03 -3.667998462570021275e+03 3.649999999999999911e-01
-3.667998411553831374e+03 6.098344773704283739e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -3.655972567098604031e+03 -3.662065281385295293e+03 1.945000000000000062e+00
-3.662062634717310630e+03 4.794559000820756367e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -3.651049051784601488e+03 -3.657144266071292805e+03 1.975000000000000089e+00
-3.657136981619421931e+03 5.840240505772232638e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -3.635187470693435444e+03 -3.641285184980126814e+03 5.400000000000000355e-01
-3.641285184849614325e+03 9.963121812079704931e-01 -1.075000000000000538e-01 4.000000000000000000e+02 -3.619109990245369318e+03 -3.625210204532060743e+03 1.360000000000000098e+00
-3.625210204427654844e+03 8.077555085127455570e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -3.590339038545723724e+03 -3.596441752832415204e+03 1.310000000000000053e+00
-3.596441752832414750e+03 2.097748116756528702e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -3.586758135399585171e+03 -3.592863349686276706e+03 1.864999999999999991e+00
-3.592835812102767704e+03 1.334127227288168704e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -3.580672147811409559e+03 -3.586779862098100693e+03 9.849999999999999867e-01
-3.586777520966318662e+03 3.842615305654621061e+00 -1.175000000000000627e-01 4.000000000000000000e+02 -3.563034201213159577e+03 -3.569144415499850766e+03 5.000000000000000278e-02
-3.569144415477870098e+03 8.638268038584502762e+00 -1.200000000000000649e-01 4.000000000000000000e+02 -3.534984134493833608e+03 -3.541096848780524851e+03 1.100000000000000006e-01
-3.541096848780524397e+03 1.896390148181450641e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -3.511452621432164960e+03 -3.517567835718856259e+03 1.080000000000000071e+00
-3.517567835718795777e+03 6.396970798982016149e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -3.488477381448240067e+03 -3.494595095734931419e+03 1.199999999999999956e-01
-3.494595095734825918e+03 1.072412250873970940e+01 -1.275000000000000577e-01 4.000000000000000000e+02 -3.473197715506799341e+03 -3.479317929793490748e+03 6.099999999999999867e-01
-3.479317929561638721e+03 1.735534227361721804e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -3.466708065556757902e+03 -3.472830779843449363e+03 1.635000000000000009e+00
-3.472829258118385496e+03 1.636548108249269262e+01 -1.325000000000000622e-01 4.000000000000000000e+02 -3.421751226606018463e+03 -3.427876440892709979e+03 9.799999999999999822e-01
-3.427876440892709979e+03 1.828822442856629493e+01 -1.350000000000000644e-01 4.000000000000000000e+02 -3.414513067596649762e+03 -3.420640781883340878e+03 6.250000000000000000e-01
-3.420640061710355440e+03 1.440860186490765393e+01 -1.375000000000000666e-01 4.000000000000000000e+02 -3.412181320593739201e+03 -3.418311534880430372e+03 1.850000000000000089e+00
-3.418218555427477895e+03 1.028991322460294233e+00 -1.400000000000000688e-01 4.000000000000000000e+02 -3.408772573851543257e+03 -3.414905288138234482e+03 9.399999999999999467e-01
-3.414869537805710934e+03 1.727182469237960705e+00 -1.425000000000000711e-01 4.000000000000000000e+02 -3.402531533868586394e+03 -3.408666748155277674e+03 5.200000000000000178e-01
-3.408664726423232423e+03 4.420308403546277631e+00 -1.450000000000000733e-01 4.000000000000000000e+02 -3.372672642118050135e+03 -3.378810356404741469e+03 1.614999999999999991e+00
