weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
0.000000000000000000e+00 -5.135127088418284984e+03 3.192413256519630149e+00 9.117219955107344065e-01 6.001410746304278376e+01 2.249909383821683401e-02 1.193825141263004097e-01 6.977057929051581897e-02 -1.982089004115687114e+00 6.334908494106195054e-02 4.593085711788310460e-02
0.000000000000000000e+00 -4.983922286681630794e+03 3.056254914135854150e+00 9.633289347462428154e-01 6.133498875778415993e+01 2.209722396964633809e-02 1.186659315999096242e-01 3.514787552635456613e-03 -1.936542238354628243e+00 8.640873825208396364e-02 5.848258999863278906e-02
0.000000000000000000e+00 -4.904644094432840575e+03 2.854202119214246824e+00 9.001792314037914133e-01 6.133758717214666945e+01 2.201475640727805841e-02 1.187878969050144284e-01 1.953208423167647478e-02 -1.971337766908139999e+00 6.602371525522728046e-02 2.967872904796509115e-02
0.000000000000000000e+00 -4.890495749331313164e+03 3.195019473717860325e+00 9.001237635891338185e-01 6.133578828871071664e+01 2.230589685043465886e-02 1.241900495857319042e-01 2.349308303548725257e-03 -1.999415763189885897e+00 6.114366453239220012e-02 2.549528669328481739e-02
0.000000000000000000e+00 -4.875986886063590646e+03 2.973845520627623973e+00 9.705556708961793344e-01 6.009565624744958257e+01 2.233995655361811425e-02 1.258935375616738739e-01 3.714913882303496478e-02 -1.947285030720231180e+00 5.732432440186017303e-02 1.031505214208484900e-02
0.000000000000000000e+00 -4.764597248174329252e+03 3.043447627777159603e+00 9.932474278075849039e-01 6.007338368381621763e+01 2.213448336830651023e-02 1.105242634666845497e-01 3.981625730972502414e-02 -1.709459253798689460e+00 7.870479192689107395e-02 7.862646835272830981e-02
0.000000000000000000e+00 -4.738138020351877458e+03 3.017085976601894259e+00 9.663529765153833218e-01 6.237613871896439122e+01 2.245341854673278334e-02 1.104078660166023379e-01 2.514106237648432510e-02 -1.833753535944737667e+00 8.327094097804348116e-02 5.218235477939654060e-02
0.000000000000000000e+00 -4.729363318391920984e+03 3.120642220920676557e+00 9.623676935713368907e-01 6.101315343095499344e+01 2.201894279343957414e-02 1.276962725970517964e-01 4.060675471185831720e-02 -1.947086152554374561e+00 8.915777838999161542e-02 2.142758707210436209e-02
0.000000000000000000e+00 -4.676236123721342665e+03 2.992883022359472012e+00 9.222854764797493443e-01 6.128472174464247502e+01 2.200462268004211783e-02 1.146280394699294297e-01 9.917172387956668667e-02 -1.986948916356348516e+00 2.386340023644861752e-02 1.472455686406856472e-02
0.000000000000000000e+00 -4.569774780720121271e+03 3.191535267840441836e+00 9.940482873579215006e-01 6.145811531329964339e+01 2.214902611625718318e-02 1.118409356450834613e-01 3.785990470309735789e-02 -1.745866357738557140e+00 8.655840937737004082e-02 3.897100845371706535e-02
0.000000000000000000e+00 -4.569515162221176979e+03 2.922723044458145125e+00 9.168564854624881022e-01 6.305663867470943273e+01 2.251944840230401743e-02 1.206593684039133918e-01 1.219142498929957213e-02 -1.967373413812551153e+00 5.389985807117510241e-02 3.388142338199891940e-02
0.000000000000000000e+00 -4.528746906506031337e+03 3.198487710698747488e+00 9.861952576543275839e-01 6.330143137910301476e+01 2.240779889038359979e-02 1.116694607687395840e-01 9.325834914020658672e-02 -1.983693231995013573e+00 3.570334907531448609e-02 5.414614591817120542e-02
0.000000000000000000e+00 -4.395223798499758232e+03 3.113434877826362079e+00 9.452412324373590247e-01 6.117794113864667338e+01 2.249946115290777857e-02 1.161715544999936400e-01 9.153160892416221939e-02 -1.766456506313958341e+00 6.364374767530454891e-02 5.457713176100482261e-02
0.000000000000000000e+00 -4.387333718841006885e+03 2.936394088273040825e+00 9.799581867606197427e-01 6.207133939068700812e+01 2.255580046978296685e-02 1.298197988029851924e-01 2.832369348901608939e-03 -1.948067629868620809e+00 2.884364114460189615e-02 2.099133160652837810e-02
