weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
0.000000000000000000e+00 -5.135127088418284984e+03 9.810331412990753730e-01 1.172199551073439538e-01 7.053731521391437553e-04 8.318230636947259171e-01 4.691257063150207074e-01 6.977057929051582175e-01 1.194066392287529421e-02 6.334908494106195054e-01 5.132979588269014348e-01
0.000000000000000000e+00 -4.983922286681630794e+03 6.406372853396348210e-01 6.332893474624277097e-01 6.674943788920806309e-02 1.620399494105684290e-01 4.332965799954808794e-01 3.514787552635456613e-02 4.230517443024783830e-02 8.640873825208396086e-01 6.926084285518968597e-01
0.000000000000000000e+00 -4.904644094432840575e+03 1.355052980356169501e-01 1.792314037914466418e-03 6.687935860733351667e-02 2.459401213009948517e-02 4.393948452507209224e-01 1.953208423167647201e-01 1.910815539457333401e-02 6.602371525522727769e-01 2.811247006852155561e-01
0.000000000000000000e+00 -4.890495749331313164e+03 9.875486842946499255e-01 1.237635891338184635e-03 6.678941443553587654e-02 5.098280840577644746e-01 7.095024792865952667e-01 2.349308303548724997e-02 3.894912067428091262e-04 6.114366453239219457e-01 2.213612384754973794e-01
0.000000000000000000e+00 -4.875986886063590646e+03 4.346138015690601542e-01 7.055567089617932330e-01 4.782812372479239293e-03 5.665942560301954201e-01 7.946768780836938051e-01 3.714913882303496617e-01 3.514331285317917608e-02 5.732432440186017164e-01 4.500744886926422161e-03
0.000000000000000000e+00 -4.764597248174329252e+03 6.086190694428993408e-01 9.324742780758492611e-01 3.669184190810859114e-03 2.241389471775198095e-01 2.621317333422712448e-02 3.981625730972502275e-01 1.936938308008737675e-01 7.870479192689107117e-01 9.803781193246902115e-01
0.000000000000000000e+00 -4.738138020351877458e+03 5.427149415047353154e-01 6.635297651538332175e-01 1.188069359482195608e-01 7.556975778879748695e-01 2.039330083011703376e-02 2.514106237648432440e-01 1.108309760368415553e-01 8.327094097804347284e-01 6.026050682770933697e-01
0.000000000000000000e+00 -4.729363318391920984e+03 8.016055523016906159e-01 6.236769357133685743e-01 5.065767154774969416e-02 3.157132239929139050e-02 8.848136298525891563e-01 4.060675471185831720e-01 3.527589829708355218e-02 8.915777838999161542e-01 1.632512438872051330e-01
0.000000000000000000e+00 -4.676236123721342665e+03 4.822075558986802513e-01 2.228547647974936652e-01 6.423608723212370641e-02 7.704466736867865428e-03 2.314019734964712915e-01 9.917172387956667556e-01 8.700722429100915534e-03 2.386340023644861752e-01 6.749366948669377475e-02
0.000000000000000000e+00 -4.569774780720121271e+03 9.788381696011042576e-01 9.404828735792152283e-01 7.290576566498219169e-02 2.483768604286400450e-01 9.204678225417317616e-02 3.785990470309735789e-01 1.694224281742952032e-01 8.655840937737003804e-01 4.138715493388152034e-01
0.000000000000000000e+00 -4.569515162221176979e+03 3.068076111453633681e-01 1.685648546248810220e-01 1.528319337354717700e-01 8.657473371733622747e-01 5.329684201956694789e-01 1.219142498929957075e-01 2.175105745829930548e-02 5.389985807117509964e-01 3.411631911714131382e-01
0.000000000000000000e+00 -4.528746906506031337e+03 9.962192767468681653e-01 8.619525765432756170e-01 1.650715689551508492e-01 6.796648173060022557e-01 8.347303843697895243e-02 9.325834914020658672e-01 1.087117866999087745e-02 3.570334907531448332e-01 6.306592274024457323e-01
0.000000000000000000e+00 -4.395223798499758232e+03 7.835871945659050875e-01 4.524123243735904687e-01 5.889705693233382444e-02 8.324352548463012091e-01 3.085777249996818350e-01 9.153160892416221106e-01 1.556956624573611059e-01 6.364374767530455168e-01 6.368161680143544778e-01
0.000000000000000000e+00 -4.387333718841006885e+03 3.409852206826026189e-01 7.995818676061969832e-01 1.035669695343505170e-01 9.263341163049459981e-01 9.909899401492597848e-01 2.832369348901608852e-02 3.462158008758620120e-02 2.884364114460189477e-01 1.570190229504053736e-01
0.000000000000000000e+00 -4.386819985577702028e+03 6.341516019980720786e-01 6.681903540366320726e-01 8.883872337105092054e-02 1.809500987245905579e-01 5.728636676911547099e-01 5.665281573182250341e-01 1.069137322056997741e-01 7.383549008435709160e-01 2.686981511551597146e-01
