11:17:13 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=False, log_dir=ede_output/ede_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:17:13 [ultranest] [INFO] Sampling 400 live points from prior ...
11:17:36 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
11:17:36 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:17:36 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
11:17:36 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-5135.13, Lmax=-712.16
11:17:36 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-4989.92, remainder_fraction=100.0000%, Lmin=-4904.64, Lmax=-712.16
11:17:36 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-4896.50, remainder_fraction=100.0000%, Lmin=-4875.99, Lmax=-712.16
11:17:36 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-4770.60, remainder_fraction=100.0000%, Lmin=-4738.14, Lmax=-712.16
11:17:36 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-4735.37, remainder_fraction=100.0000%, Lmin=-4676.24, Lmax=-712.16
11:17:36 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-4575.79, remainder_fraction=100.0000%, Lmin=-4569.52, Lmax=-712.16
11:17:36 [ultranest] [DEBUG] iteration=12, ncalls=413, regioncalls=520, ndraw=40, logz=-4534.77, remainder_fraction=100.0000%, Lmin=-4395.22, Lmax=-712.16
11:17:36 [ultranest] [DEBUG] iteration=14, ncalls=415, regioncalls=600, ndraw=40, logz=-4393.36, remainder_fraction=100.0000%, Lmin=-4386.82, Lmax=-712.16
11:17:37 [ultranest] [DEBUG] iteration=16, ncalls=417, regioncalls=680, ndraw=40, logz=-4381.68, remainder_fraction=100.0000%, Lmin=-4352.57, Lmax=-712.16
11:17:37 [ultranest] [DEBUG] iteration=18, ncalls=419, regioncalls=760, ndraw=40, logz=-4249.39, remainder_fraction=100.0000%, Lmin=-4241.41, Lmax=-712.16
11:17:37 [ultranest] [DEBUG] iteration=20, ncalls=421, regioncalls=840, ndraw=40, logz=-4222.93, remainder_fraction=100.0000%, Lmin=-4135.85, Lmax=-712.16
11:17:37 [ultranest] [DEBUG] iteration=22, ncalls=423, regioncalls=920, ndraw=40, logz=-4140.86, remainder_fraction=100.0000%, Lmin=-4134.29, Lmax=-712.16
11:17:37 [ultranest] [DEBUG] iteration=24, ncalls=426, regioncalls=1040, ndraw=40, logz=-4070.33, remainder_fraction=100.0000%, Lmin=-4045.73, Lmax=-712.16
11:17:37 [ultranest] [DEBUG] iteration=26, ncalls=428, regioncalls=1120, ndraw=40, logz=-4013.86, remainder_fraction=100.0000%, Lmin=-3990.19, Lmax=-712.16
