weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
0.000000000000000000e+00 -3.980814960545137183e+03 2.984898770041179983e+00 9.578205842055391717e-01 6.251528639711830238e+01 2.258274314555210049e-02 1.107126868681274079e-01 6.912601585846155083e-02 -1.925292274420654426e+00 6.127809768367076249e-02 3.607448557683406998e-02
0.000000000000000000e+00 -3.909924084118039445e+03 2.895210441235386956e+00 9.619929779617411025e-01 6.183999156330764890e+01 2.212278177567750595e-02 1.119466811261507350e-01 3.310292670900415873e-02 -1.916692939697932641e+00 2.631610232608974295e-02 1.163188683921993587e-02
0.000000000000000000e+00 -3.761898059650762661e+03 3.115689725080659667e+00 9.323028747988955089e-01 6.177353834305835534e+01 2.259204384447017697e-02 1.149493914857242644e-01 3.011473322133821975e-02 -1.711975207393277021e+00 9.702053081753221619e-02 5.827990745441988252e-02
0.000000000000000000e+00 -3.708491385795072802e+03 3.031781822733575993e+00 9.547400010954367744e-01 6.077315253042111465e+01 2.224575019749521626e-02 1.279102775945291648e-01 1.803596129023087372e-02 -1.908347292581300980e+00 1.797174277455301436e-02 6.764113222224196753e-02
0.000000000000000000e+00 -3.680401458991530035e+03 3.069009833744066107e+00 9.806912607739650678e-01 6.133942261185413258e+01 2.254826742315880692e-02 1.246715959152139841e-01 3.535499716945862680e-02 -1.758781021040068726e+00 8.480610393637949551e-02 4.050289679004448473e-02
0.000000000000000000e+00 -3.668211592023226785e+03 2.822725385594560432e+00 9.163298642760853152e-01 6.008150984807443962e+01 2.204547322649708097e-02 1.161669050332004710e-01 7.963776148709940383e-02 -1.688837000670194932e+00 6.720538015385409125e-02 1.363304711559780967e-02
0.000000000000000000e+00 -3.654374578222572836e+03 2.803986916571380661e+00 9.417927933973434529e-01 6.071837979213739800e+01 2.202144702095062273e-02 1.131617636226920215e-01 1.402612790649772172e-02 -1.624438282928121424e+00 8.463159447056145535e-02 5.585896359218705393e-02
0.000000000000000000e+00 -3.635819926381885125e+03 2.866622841186046600e+00 9.780691048988268133e-01 6.077506720665606110e+01 2.253436403379524208e-02 1.141083039300830049e-01 4.277396423766203354e-02 -1.666915594862776739e+00 6.056714964513313509e-02 4.644835514988863295e-02
0.000000000000000000e+00 -3.625568208274171866e+03 3.184743844209110275e+00 9.252276604673598248e-01 6.165992930295299601e+01 2.200408351420722608e-02 1.148710857588612216e-01 2.173294844809164905e-02 -1.764107499906320875e+00 5.887902864247371304e-02 5.587527522333840535e-02
0.000000000000000000e+00 -3.622978195286483697e+03 3.162117017168244004e+00 9.246496958081508177e-01 6.238275976349593321e+01 2.249780355417085528e-02 1.244306677629576224e-01 2.269551553195025065e-02 -1.921550730059764733e+00 3.726442680008425906e-02 7.452224878189160628e-02
0.000000000000000000e+00 -3.619129132764412134e+03 2.820589314042146523e+00 9.429337322820412481e-01 6.336399081016337220e+01 2.250258526937613801e-02 1.161379804649126102e-01 8.180457907099923653e-02 -1.929759050065038561e+00 6.056944634774290986e-02 7.223736261138535841e-02
0.000000000000000000e+00 -3.596541591270119625e+03 2.874595160165890118e+00 9.519790011944515573e-01 6.252682202626102281e+01 2.201096414860279071e-02 1.130382768964630497e-01 7.125464825879972153e-02 -1.885339434129354341e+00 4.075156692970442057e-02 5.341568507335000410e-02
