weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
0.000000000000000000e+00 -3.980814960545137183e+03 4.622469251029502901e-01 5.782058420553920497e-01 1.257643198559152964e-01 9.712385759201718205e-01 3.563434340637028352e-02 6.912601585846154251e-01 4.980515038623045676e-02 6.127809768367076249e-01 3.724926510976295235e-01
0.000000000000000000e+00 -3.909924084118039445e+03 2.380261030884677220e-01 6.199297796174113584e-01 9.199957816538251176e-02 2.046362927958457201e-01 9.733405630753666493e-02 3.310292670900415457e-01 5.553804020137820263e-02 2.631610232608974087e-01 2.331266913171337052e-02
0.000000000000000000e+00 -3.761898059650762661e+03 7.892243127016487225e-01 3.230287479889549784e-01 8.867691715291781129e-02 9.867397407836311363e-01 2.474695742862129677e-01 3.011473322133821906e-01 1.920165284044820231e-01 9.702053081753221342e-01 6.897129636345696868e-01
0.000000000000000000e+00 -3.708491385795072802e+03 5.794545568339402042e-01 5.474000109543674109e-01 3.865762652105575459e-02 4.095836624920294877e-01 8.955138797264582395e-01 1.803596129023087302e-01 6.110180494579942057e-02 1.797174277455301228e-01 8.234447460320281076e-01
0.000000000000000000e+00 -3.680401458991530035e+03 6.725245843601654894e-01 8.069126077396510111e-01 6.697113059270676239e-02 9.137790385980166796e-01 7.335797957606988717e-01 3.535499716945862403e-01 1.608126526399542566e-01 8.480610393637948441e-01 4.357556684292068772e-01
0.000000000000000000e+00 -3.668211592023226785e+03 5.681346398640119144e-02 1.632986427608533742e-01 4.075492403721958645e-03 7.578871082846938556e-02 3.083452516600234672e-01 7.963776148709940106e-01 2.074419995532034156e-01 6.720538015385408848e-01 5.190067307996870660e-02
0.000000000000000000e+00 -3.654374578222572836e+03 9.967291428451541258e-03 4.179279339734345289e-01 3.591898960686978892e-02 3.574503491770575359e-02 1.580881811346009913e-01 1.402612790649772068e-01 2.503744780479191245e-01 8.463159447056144424e-01 6.551280513169578379e-01
0.000000000000000000e+00 -3.635819926381885125e+03 1.665571029651170543e-01 7.806910489882682436e-01 3.875336033280307735e-02 8.906067229920728856e-01 2.054151965041504102e-01 4.277396423766203215e-01 2.220562700914820997e-01 6.056714964513313371e-01 5.206907878555517843e-01
0.000000000000000000e+00 -3.625568208274171866e+03 9.618596105227753545e-01 2.522766046735981371e-01 8.299646514764968952e-02 6.805857012045835042e-03 2.435542879430613317e-01 2.173294844809164905e-01 1.572616667291193426e-01 5.887902864247370749e-01 6.553610746191199654e-01
0.000000000000000000e+00 -3.622978195286483697e+03 9.052925429206098995e-01 2.464969580815081773e-01 1.191379881747968161e-01 8.296725902847632561e-01 7.215333881478811495e-01 2.269551553195024995e-01 5.229951329349014078e-02 3.726442680008426045e-01 9.217464111698799867e-01
0.000000000000000000e+00 -3.619129132764412134e+03 5.147328510536641755e-02 4.293373228204119263e-01 1.681995405081686545e-01 8.376421156268978319e-01 3.068990232456303424e-01 8.180457907099922821e-01 4.682729995664092204e-02 6.056944634774290570e-01 8.891051801626479456e-01
0.000000000000000000e+00 -3.596541591270119625e+03 1.864879004147257380e-01 5.197900119445154621e-01 1.263411013130510963e-01 1.827358100465392710e-02 1.519138448231526217e-01 7.125464825879972430e-01 7.644037724709717985e-02 4.075156692970441918e-01 6.202240724764285229e-01
0.000000000000000000e+00 -3.585647564205059098e+03 5.737247941399381546e-02 1.822207898383954028e-01 3.002897957160199915e-02 5.130330381905311432e-01 7.078132784013991818e-01 1.556673138038957571e-01 1.624300388659042360e-01 3.662034707631782737e-01 9.419832699272645549e-01
0.000000000000000000e+00 -3.567333036236566386e+03 8.758847369260277516e-01 9.924113787524320163e-01 1.569908209164068147e-01 7.809402848445020640e-01 8.280173236962493633e-01 9.238661279848184860e-01 2.930988372331344571e-02 8.496274542953717868e-01 4.242693263617737243e-01
0.000000000000000000e+00 -3.561738784343827319e+03 1.469010937405526018e-01 3.047981710455814897e-01 1.286140365877552760e-02 9.320339648833199098e-01 7.959370683527452472e-01 1.898134956663327655e-01 2.148087341880172696e-01 5.322383908999515079e-01 9.144996453112912427e-01
0.000000000000000000e+00 -3.509574045156701231e+03 6.952829948065571974e-01 8.007407700517387150e-01 2.591764349540024437e-01 5.151263567327899473e-01 8.383164033128331916e-02 7.181711357987794475e-01 4.038560296882176548e-02 8.486896181309671050e-01 1.030287172503866477e-01
0.000000000000000000e+00 -3.438173770992940717e+03 6.747840448120484558e-01 2.878747254988633930e-01 2.525593056864339214e-02 6.018821630522840360e-01 5.230085025832550416e-01 8.729163536355760700e-01 2.214111754174259428e-01 6.012018615224810070e-01 5.435902495568318837e-01
0.000000000000000000e+00 -3.372619249448532628e+03 8.963859496772808022e-02 7.620719631272256933e-01 1.670062043339919367e-01 6.279928838097998955e-01 3.667374578753589409e-01 4.052191413368422257e-02 1.434649310551661117e-01 5.592019834786607912e-01 1.450819226542311435e-01
0.000000000000000000e+00 -3.295767214814962699e+03 8.417775961599117673e-01 7.671235054112519602e-01 3.086193957853999859e-02 7.374266440933199274e-01 2.611236133542781390e-01 5.969118812015905551e-01 2.344697872623174861e-01 1.416016033466931390e-01 9.954214585362607393e-01
0.000000000000000000e+00 -3.259715174487626427e+03 8.527932915701399441e-01 2.130167318119300379e-01 7.537365566650722215e-02 5.033959596465037434e-01 2.651865998728766272e-01 9.525142179759826799e-02 2.130186546857200103e-01 7.047371207395303205e-02 5.794833602640672154e-01
0.000000000000000000e+00 -3.183366218933983873e+03 1.035480530139587518e-02 4.019518535239969825e-01 1.839632112540579012e-02 3.768986025472487178e-03 8.300024884821061155e-01 1.354938461119273851e-01 2.548006191353955341e-01 3.393662826303461832e-01 1.809527872430080064e-01
0.000000000000000000e+00 -3.179350650488541760e+03 4.782095533014346644e-01 9.894776953348612958e-01 4.777978190335629982e-02 4.211068986657681146e-01 8.945582185701681510e-01 1.506034270059124491e-01 2.239349486580479720e-01 3.105942630935106807e-01 1.345359741749170279e-01
0.000000000000000000e+00 -3.160724834805834689e+03 6.604061872220915452e-01 5.887515133851564109e-01 1.353559155734450625e-01 8.249110301799531531e-01 1.605912438563384947e-01 6.381179561859383620e-01 2.025977496927204857e-01 4.078656788491954455e-01 9.155370519752452640e-01
0.000000000000000000e+00 -3.117286331995237560e+03 2.037802730635741577e-01 4.147897695109469263e-01 9.961414198768325790e-02 5.539043071741353019e-01 6.545032743110668072e-01 1.028494292918865627e-01 2.604928454007392480e-01 6.808713362537716085e-01 8.979981923505909736e-01
0.000000000000000000e+00 -3.097089330520651401e+03 8.300233993957661927e-01 8.272823770789442532e-01 2.839761873575985529e-01 5.341501064973575019e-01 8.961991362538296313e-01 1.431876827518009376e-01 3.948485443954541374e-02 6.687630228147699585e-01 1.462138818897673609e-02
0.000000000000000000e+00 -3.037646111887712323e+03 3.692155348328578501e-01 5.005733974129797925e-01 1.705844068236506139e-01 4.313565618335796215e-01 4.758958977319361905e-01 6.452573480889074453e-01 1.374100708312030461e-01 2.505568045891338747e-01 2.837638566927872530e-01
0.000000000000000000e+00 -3.033035070200654445e+03 4.177998698672821254e-01 4.801397197229460012e-01 1.029337639168960150e-01 4.031482299703703642e-02 9.615373219378898773e-01 4.146918492778672860e-02 2.183304119528006737e-01 5.098768064533173439e-01 2.077770236857390262e-01
0.000000000000000000e+00 -3.023824444508416491e+03 4.102434140201146606e-01 1.144060172240082274e-01 2.696260664449087185e-01 4.742229922450169610e-02 2.750750150411248596e-01 6.196979445880662629e-01 4.583196474075368343e-02 1.082086811500866386e-01 6.846087494263572992e-01
0.000000000000000000e+00 -3.002811686648868545e+03 3.093114758957260513e-01 3.107668662418333616e-01 3.717114098932234878e-01 3.009117505187048902e-01 6.136415244842874372e-02 7.942991731356341401e-02 8.359638239821143291e-02 6.936713125660405321e-01 7.513422619453751228e-01
0.000000000000000000e+00 -2.972611250977374311e+03 2.029365157255793584e-01 5.668663153923864106e-01 6.570820403401533838e-02 2.818611646172065610e-01 7.261358085479278079e-01 9.648841844637543463e-01 2.268344168386892123e-01 3.150176951453937946e-01 7.831352655929467721e-01
0.000000000000000000e+00 -2.960794596031866604e+03 9.922490714832423730e-01 9.819923020609393483e-01 1.557550363888154932e-01 4.686586501777754155e-01 5.347926378186700358e-01 3.859443550486585384e-02 2.307204466665466747e-01 5.032986819695423053e-01 3.343106610483878027e-01
0.000000000000000000e+00 -2.943763969474722671e+03 6.126858629074682927e-01 5.195310813497955316e-01 3.847546990507262343e-01 3.511718930758737089e-01 2.546432557626860937e-01 8.099930962650176980e-01 3.412135375373881452e-02 7.972123493211029643e-01 3.323818130987760133e-01
0.000000000000000000e+00 -2.941504922536264985e+03 9.111889255611285154e-01 4.353572566775618657e-01 2.847642515174753086e-02 5.520131450818344110e-01 1.314706011419499720e-01 8.079751469194843549e-01 3.443273580722567839e-01 3.914228506226580251e-01 5.487330541518653515e-01
0.000000000000000000e+00 -2.860372742337905947e+03 3.212409658639082677e-01 1.824351252026654713e-01 1.615112480207659962e-01 8.325439732027589690e-01 7.339867680595184574e-01 7.211419267764497265e-01 1.673648991453378088e-01 1.830651560460777594e-01 8.907766128002214678e-01
0.000000000000000000e+00 -2.745331067275370060e+03 6.936995560643991476e-01 7.370543963671943866e-01 2.041216207576496133e-01 2.902408464912585861e-01 6.482014170832408606e-01 7.453866942988014443e-01 2.138761720203613548e-01 7.081104824235191497e-01 9.462068082745820341e-01
0.000000000000000000e+00 -2.731654132450132238e+03 4.377085250119469029e-01 8.571265056609542743e-01 3.175195528933811850e-01 9.980366452420764700e-01 7.845998718869920951e-01 5.608038108357983331e-01 4.695976147567570980e-02 5.745608456908490869e-02 5.477398300088075489e-01
0.000000000000000000e+00 -2.728330324434078648e+03 1.194835771300857274e-01 6.459367399929235587e-01 3.448532246667463941e-01 3.095473867509989097e-01 4.485186532025913220e-01 4.923004415278068313e-01 1.359013401926132403e-01 8.912227996038638578e-01 5.030316580663349857e-01
0.000000000000000000e+00 -2.716239815524653750e+03 9.752994597128673560e-01 8.559023390342733739e-01 5.187603812967133132e-01 3.642333363149661274e-01 4.107059392698740874e-01 4.276236104252620907e-01 2.771834333727629662e-03 9.911917264379620507e-01 9.375708805711242544e-01
0.000000000000000000e+00 -2.663405902944206900e+03 7.175014841167743906e-01 3.809299524492897326e-01 2.284671089949865674e-01 3.764957227636045456e-01 1.549630809080659866e-02 4.139461086503055665e-01 2.322360964846136300e-01 2.435436897232756692e-01 6.901437234653082786e-01
0.000000000000000000e+00 -2.620649870281059975e+03 9.898324461040306499e-01 6.141331858256401377e-01 2.778798159507822607e-02 1.842598369833547967e-02 2.396794704554645605e-01 5.028440970740285509e-01 4.720397450125749517e-01 8.728040609145408801e-01 1.855004591209239440e-01
0.000000000000000000e+00 -2.573542796231876764e+03 4.092014631373130928e-01 5.601202673593618231e-01 1.976765120357959482e-02 5.388615402434501211e-01 4.113235297867873230e-01 6.507160154465965185e-01 4.756640213238002568e-01 7.589299903442354722e-01 2.339529767405923444e-01
0.000000000000000000e+00 -2.566843581410941169e+03 8.506137309988687223e-01 1.257613161792169310e-01 2.461649972480758342e-01 3.191547454378549364e-01 6.809698124955834153e-01 3.944597429300350511e-01 1.783840436793878714e-01 2.124170195125097971e-01 5.594780460548507417e-01
0.000000000000000000e+00 -2.547076835036010834e+03 7.026004928663620586e-02 1.020444532768920443e-01 2.005924954575973862e-01 2.370197313018155283e-01 1.409660660379770114e-01 9.808668872132976224e-01 2.507941085986807872e-01 3.189977121494382839e-01 4.300387496739385140e-01
0.000000000000000000e+00 -2.539963468849112814e+03 3.947659980814233194e-01 1.218744988459063983e-02 5.839981487717049724e-02 5.727133994187691979e-01 8.238066114355616643e-01 8.421795149298999528e-01 4.403196490595741031e-01 8.710801002309901397e-01 3.333988026746114164e-01
0.000000000000000000e+00 -2.530282121359125085e+03 8.251162058694343493e-01 9.343278880048619950e-01 3.563415317029994256e-01 9.307141855201841452e-01 9.350457259857424264e-01 3.326407155193502607e-01 9.435230379168024761e-02 3.244897520562624038e-01 5.459110405831881785e-01
0.000000000000000000e+00 -2.519018728721811385e+03 4.200771497940604116e-01 3.909998239975887024e-02 4.788769901309428700e-01 7.334036210344919704e-01 5.724312883857285428e-02 2.071044367679327758e-01 8.985498686548376579e-02 3.294467414676610639e-01 8.002720089618651222e-01
0.000000000000000000e+00 -2.516811268019034287e+03 7.177209964159886324e-01 7.266581888172218839e-02 2.064869778152113033e-01 9.568044704375125997e-01 4.167638894151998175e-01 2.267139231821010403e-01 3.258468308200752617e-01 7.062241424409811952e-01 7.483116514929960550e-01
0.000000000000000000e+00 -2.492534041096541387e+03 8.511777331382086587e-01 5.278583066305602145e-01 4.329832919506915179e-01 4.634695719914443401e-01 5.660952000851779964e-01 9.882788225197240983e-01 2.250865355276066015e-02 2.901390061357251859e-01 8.425278602982453346e-01
