logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
3.125455236616057508e+00 9.366331006149497540e-01 7.285167156948145362e+01 2.231009363446824489e-02 1.292877081243465898e-01 5.174854006674685369e-02 -8.323643982367583405e-01 1.013951642110159229e-02 1.953466230387301134e-02
3.197992807886785194e+00 9.814517066779147036e-01 7.335722357717074260e+01 2.224292033159656554e-02 1.255325245519208766e-01 4.044073288990306797e-02 -8.153189433039427225e-01 5.488777810636385340e-02 5.172223793125536179e-02
2.835354009705984168e+00 9.132002916455226327e-01 7.661938093180656040e+01 2.206559403344424478e-02 1.297302955281884884e-01 9.240074135247630660e-02 -9.180657257971076568e-01 6.804615811735506559e-02 3.124370932848222204e-02
2.903303330192569032e+00 9.493531158322741081e-01 7.173318734471173741e+01 2.259263594470932793e-02 1.171930235704418677e-01 9.473504452299823242e-02 -7.999893834473101872e-01 4.282191152159298825e-02 7.259627159396027374e-02
3.087697890195271633e+00 9.865628611671188875e-01 7.170508993488313365e+01 2.229822324095460939e-02 1.297253763010420557e-01 1.993455978547620418e-03 -7.912722657421233929e-01 1.455241079066753665e-02 4.161301527378249293e-02
2.906600958161742465e+00 9.616892980098573629e-01 7.402637581798838085e+01 2.215984404893409435e-02 1.232824828530847405e-01 6.353782311973640851e-02 -8.222887545753558847e-01 8.623072820326038723e-02 6.154994034496100164e-02
3.080082761056494256e+00 9.921077842193755103e-01 7.521810881207345290e+01 2.228990652569231082e-02 1.233028939918566214e-01 4.619402410862905213e-03 -8.277330048938926765e-01 9.369079066540220158e-02 1.504348005149553497e-02
2.914219537664804793e+00 9.437124551474711520e-01 7.515374378675673483e+01 2.231064568874726109e-02 1.194572741281620942e-01 7.227832668513821390e-02 -8.536106909236811369e-01 8.273983439790993932e-02 7.988493741005660287e-02
3.149097972527865164e+00 9.821579226241202720e-01 7.001780636071154618e+01 2.200996336871463566e-02 1.161465442402122156e-01 1.383359555902302640e-02 -7.226224601016466575e-01 3.912325373274071899e-02 1.487366966178882248e-02
3.051730197866562300e+00 9.816874562709502205e-01 7.402136887663034770e+01 2.255655840790677519e-02 1.277688338128925571e-01 8.679091632958607638e-02 -8.520038767495288212e-01 3.711318034709300273e-02 2.012946674751840692e-02
