logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -3.980814960545137183e+03 -3.986807674831828535e+03 1.020000000000000018e+00
-3.986807674831828535e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -3.909924084118039445e+03 -3.915919298404730853e+03 7.299999999999999822e-01
-3.915919298404730853e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -3.761898059650762661e+03 -3.767895773937454123e+03 1.125000000000000000e+00
-3.767895773937454123e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -3.708491385795072802e+03 -3.714491600081764318e+03 2.800000000000000266e-01
-3.714491600081764318e+03 nan -1.000000000000000021e-02 4.000000000000000000e+02 -3.680401458991530035e+03 -3.686404173278221151e+03 1.969999999999999973e+00
-3.686404173278220696e+03 1.017554081902866159e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -3.668211592023226785e+03 -3.674216806309917956e+03 1.314999999999999947e+00
-3.674216801215522537e+03 6.484821146768188882e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -3.654374578222572836e+03 -3.660382292509264062e+03 5.450000000000000400e-01
-3.660382291528083442e+03 1.050673314481827170e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -3.635819926381885125e+03 -3.641830140668576405e+03 5.250000000000000222e-01
-3.641830140659808421e+03 1.354328325362489771e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -3.625568208274171866e+03 -3.631580922560863200e+03 1.635000000000000009e+00
-3.631580887176331544e+03 1.480429722034708284e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -3.622978195286483697e+03 -3.628993409573175086e+03 1.820000000000000062e+00
-3.628920894038254119e+03 5.450080010271014963e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -3.619129132764412134e+03 -3.625146847051103578e+03 1.905000000000000027e+00
-3.625124147681846352e+03 5.860149776044238479e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -3.596541591270119625e+03 -3.602561805556811123e+03 1.570000000000000062e+00
-3.602561805556651962e+03 9.250638124584243727e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -3.585647564205059098e+03 -3.591670278491750196e+03 1.215000000000000080e+00
-3.591670259876629643e+03 1.030266255757556060e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -3.567333036236566386e+03 -3.573358250523257539e+03 1.620000000000000107e+00
-3.573358250512109407e+03 1.125970309351569121e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -3.561738784343827319e+03 -3.567766498630518527e+03 1.399999999999999911e+00
-3.567762777073842699e+03 9.020486600782161801e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -3.509574045156701231e+03 -3.515604259443392493e+03 6.800000000000000488e-01
-3.515604259443392493e+03 2.698506238769964938e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -3.438173770992940717e+03 -3.444206485279632034e+03 1.725000000000000089e+00
-3.444206485279632034e+03 4.154837345373012880e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -3.372619249448532628e+03 -3.378654463735223999e+03 1.639999999999999902e+00
-3.378654463735223999e+03 2.538687270088430381e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -3.295767214814962699e+03 -3.301804929101654125e+03 5.999999999999999778e-01
-3.301804929101654125e+03 4.796384713904112118e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -3.259715174487626427e+03 -3.265755388774317908e+03 7.099999999999999645e-01
-3.265755388774317908e+03 3.253954253203530556e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -3.183366218933983873e+03 -3.189408933220675408e+03 7.950000000000000400e-01
-3.189408933220675408e+03 5.440365245136148076e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -3.179350650488541760e+03 -3.185395864775232894e+03 1.010000000000000009e+00
-3.185377948397177079e+03 5.807527568476320567e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -3.160724834805834689e+03 -3.166772549092525878e+03 1.830000000000000071e+00
-3.166772549084212642e+03 2.637049248856079231e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -3.117286331995237560e+03 -3.123336546281928804e+03 1.405000000000000027e+00
-3.123336546281928804e+03 3.931392884626787065e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -3.097089330520651401e+03 -3.103142044807342700e+03 5.300000000000000266e-01
-3.103142044805646037e+03 1.743439326430095448e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -3.037646111887712323e+03 -3.043701326174403675e+03 1.860000000000000098e+00
-3.043701326174403675e+03 2.281413680422426538e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -3.033035070200654445e+03 -3.039092784487345853e+03 3.200000000000000067e-01
-3.039082867482037273e+03 1.724310282630405666e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -3.023824444508416491e+03 -3.029884658795107953e+03 6.250000000000000000e-01
-3.029884557579673128e+03 4.364054333720678081e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -3.002811686648868545e+03 -3.008874400935560061e+03 1.544999999999999929e+00
-3.008874400934809273e+03 1.070807300304152143e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -2.972611250977374311e+03 -2.978676465264065428e+03 1.135000000000000009e+00
-2.978676465264065428e+03 1.683167659259581939e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -2.960794596031866604e+03 -2.966862310318557775e+03 1.810000000000000053e+00
-2.966862302919505510e+03 1.463808300478010871e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -2.943763969474722671e+03 -2.949834183761413897e+03 1.685000000000000053e+00
-2.949834183721162390e+03 1.619241731706544130e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -2.941504922536264985e+03 -2.947577636822956265e+03 1.000000000000000021e-02
-2.947478052661953370e+03 5.888452433097807415e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -2.860372742337905947e+03 -2.866447956624597282e+03 3.350000000000000200e-01
-2.866447956624597282e+03 3.918662528398159139e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -2.745331067275370060e+03 -2.751408781562061449e+03 8.299999999999999600e-01
-2.751408781562061449e+03 6.073155591683403287e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -2.731654132450132238e+03 -2.737734346736823682e+03 1.064999999999999947e+00
-2.737734345585312440e+03 5.741225720623523898e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -2.728330324434078648e+03 -2.734413038720770146e+03 1.735000000000000098e+00
-2.734377569636415501e+03 5.831530394123895888e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -2.716239815524653750e+03 -2.722325029811344848e+03 1.675000000000000044e+00
-2.722325023981631603e+03 6.159802561284827505e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -2.663405902944206900e+03 -2.669493617230898053e+03 4.249999999999999889e-01
-2.669493617230898053e+03 2.630124659017290512e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -2.620649870281059975e+03 -2.626740084567751182e+03 6.899999999999999467e-01
-2.626740084567751182e+03 4.187021720314229611e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -2.573542796231876764e+03 -2.579635510518568026e+03 1.655000000000000027e+00
-2.579635510518568026e+03 4.091394198283169459e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -2.566843581410941169e+03 -2.572938795697632486e+03 1.804999999999999938e+00
-2.572937561497252773e+03 1.499519643952103820e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -2.547076835036010834e+03 -2.553174549322702205e+03 2.999999999999999889e-02
