11:09:35 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=False, log_dir=ede_output/ede_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:09:36 [ultranest] [INFO] Sampling 400 live points from prior ...
11:09:48 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
11:09:48 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:09:48 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
11:09:48 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-3980.81, Lmax=-8.12
11:09:49 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-3767.90, remainder_fraction=100.0000%, Lmin=-3708.49, Lmax=-8.12
11:09:49 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-3674.22, remainder_fraction=100.0000%, Lmin=-3654.37, Lmax=-8.12
11:09:49 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-3628.92, remainder_fraction=100.0000%, Lmin=-3619.13, Lmax=-8.12
11:09:49 [ultranest] [DEBUG] iteration=14, ncalls=415, regioncalls=600, ndraw=40, logz=-3573.36, remainder_fraction=100.0000%, Lmin=-3561.74, Lmax=-8.12
11:09:49 [ultranest] [DEBUG] iteration=18, ncalls=419, regioncalls=760, ndraw=40, logz=-3378.65, remainder_fraction=100.0000%, Lmin=-3295.77, Lmax=-8.12
11:09:49 [ultranest] [DEBUG] iteration=22, ncalls=423, regioncalls=920, ndraw=40, logz=-3185.38, remainder_fraction=100.0000%, Lmin=-3160.72, Lmax=-8.12
11:09:49 [ultranest] [DEBUG] iteration=25, ncalls=427, regioncalls=1080, ndraw=40, logz=-3103.14, remainder_fraction=100.0000%, Lmin=-3037.65, Lmax=-8.12
11:09:49 [ultranest] [DEBUG] iteration=29, ncalls=431, regioncalls=1240, ndraw=40, logz=-3008.87, remainder_fraction=100.0000%, Lmin=-2972.61, Lmax=-8.12
11:09:50 [ultranest] [DEBUG] iteration=33, ncalls=436, regioncalls=1440, ndraw=40, logz=-2947.48, remainder_fraction=100.0000%, Lmin=-2860.37, Lmax=-8.12
11:09:50 [ultranest] [DEBUG] iteration=36, ncalls=440, regioncalls=1600, ndraw=40, logz=-2737.73, remainder_fraction=100.0000%, Lmin=-2728.33, Lmax=-8.12
11:09:50 [ultranest] [DEBUG] iteration=39, ncalls=444, regioncalls=1760, ndraw=40, logz=-2669.49, remainder_fraction=100.0000%, Lmin=-2620.65, Lmax=-8.12
11:09:50 [ultranest] [DEBUG] iteration=40, ncalls=445, regioncalls=1800, ndraw=40, logz=-2626.74, remainder_fraction=100.0000%, Lmin=-2573.54, Lmax=-8.12
11:09:50 [ultranest] [DEBUG] iteration=44, ncalls=449, regioncalls=1960, ndraw=40, logz=-2546.06, remainder_fraction=100.0000%, Lmin=-2530.28, Lmax=-8.12
11:09:50 [ultranest] [DEBUG] iteration=46, ncalls=453, regioncalls=2120, ndraw=40, logz=-2525.12, remainder_fraction=100.0000%, Lmin=-2516.81, Lmax=-8.12
11:09:50 [ultranest] [DEBUG] iteration=50, ncalls=457, regioncalls=2280, ndraw=40, logz=-2466.12, remainder_fraction=100.0000%, Lmin=-2453.53, Lmax=-8.12
11:09:50 [ultranest] [DEBUG] iteration=54, ncalls=461, regioncalls=2440, ndraw=40, logz=-2412.97, remainder_fraction=100.0000%, Lmin=-2401.90, Lmax=-8.12
11:09:50 [ultranest] [DEBUG] iteration=56, ncalls=465, regioncalls=2600, ndraw=40, logz=-2397.49, remainder_fraction=100.0000%, Lmin=-2359.11, Lmax=-8.12
11:09:51 [ultranest] [DEBUG] iteration=58, ncalls=469, regioncalls=2760, ndraw=40, logz=-2362.61, remainder_fraction=100.0000%, Lmin=-2317.90, Lmax=-8.12
11:09:51 [ultranest] [DEBUG] iteration=61, ncalls=473, regioncalls=2920, ndraw=40, logz=-2317.89, remainder_fraction=100.0000%, Lmin=-2235.10, Lmax=-8.12
11:09:51 [ultranest] [DEBUG] iteration=64, ncalls=477, regioncalls=3080, ndraw=40, logz=-2170.82, remainder_fraction=100.0000%, Lmin=-2161.42, Lmax=-8.12
11:09:51 [ultranest] [DEBUG] iteration=68, ncalls=481, regioncalls=3240, ndraw=40, logz=-2122.64, remainder_fraction=100.0000%, Lmin=-2108.23, Lmax=-8.12
11:09:51 [ultranest] [DEBUG] iteration=71, ncalls=485, regioncalls=3400, ndraw=40, logz=-2097.34, remainder_fraction=100.0000%, Lmin=-2090.66, Lmax=-8.12
11:09:51 [ultranest] [DEBUG] iteration=75, ncalls=489, regioncalls=3560, ndraw=40, logz=-2066.85, remainder_fraction=100.0000%, Lmin=-2054.46, Lmax=-8.12
11:09:51 [ultranest] [DEBUG] iteration=78, ncalls=495, regioncalls=3800, ndraw=40, logz=-2044.31, remainder_fraction=100.0000%, Lmin=-2024.59, Lmax=-8.12
11:09:52 [ultranest] [DEBUG] iteration=80, ncalls=497, regioncalls=3880, ndraw=40, logz=-2017.73, remainder_fraction=100.0000%, Lmin=-2004.20, Lmax=-8.12
11:09:52 [ultranest] [DEBUG] iteration=83, ncalls=501, regioncalls=4040, ndraw=40, logz=-1957.95, remainder_fraction=100.0000%, Lmin=-1949.95, Lmax=-8.12
11:09:52 [ultranest] [DEBUG] iteration=85, ncalls=506, regioncalls=4240, ndraw=40, logz=-1946.55, remainder_fraction=100.0000%, Lmin=-1933.59, Lmax=-8.12
11:09:52 [ultranest] [DEBUG] iteration=88, ncalls=510, regioncalls=4400, ndraw=40, logz=-1914.36, remainder_fraction=100.0000%, Lmin=-1897.49, Lmax=-8.12
11:09:52 [ultranest] [DEBUG] iteration=91, ncalls=513, regioncalls=4520, ndraw=40, logz=-1902.30, remainder_fraction=100.0000%, Lmin=-1885.45, Lmax=-8.12
11:09:52 [ultranest] [DEBUG] iteration=93, ncalls=516, regioncalls=4640, ndraw=40, logz=-1888.42, remainder_fraction=100.0000%, Lmin=-1854.02, Lmax=-8.12
11:09:52 [ultranest] [DEBUG] iteration=96, ncalls=519, regioncalls=4760, ndraw=40, logz=-1852.27, remainder_fraction=100.0000%, Lmin=-1845.81, Lmax=-8.12
11:09:52 [ultranest] [DEBUG] iteration=99, ncalls=524, regioncalls=4960, ndraw=40, logz=-1787.51, remainder_fraction=100.0000%, Lmin=-1771.30, Lmax=-8.12
11:09:53 [ultranest] [DEBUG] iteration=101, ncalls=528, regioncalls=5120, ndraw=40, logz=-1773.77, remainder_fraction=100.0000%, Lmin=-1764.05, Lmax=-8.12
11:09:53 [ultranest] [DEBUG] iteration=105, ncalls=532, regioncalls=5280, ndraw=40, logz=-1762.07, remainder_fraction=100.0000%, Lmin=-1744.33, Lmax=-6.78
11:09:53 [ultranest] [DEBUG] iteration=108, ncalls=536, regioncalls=5440, ndraw=40, logz=-1719.65, remainder_fraction=100.0000%, Lmin=-1706.23, Lmax=-6.78
11:09:53 [ultranest] [DEBUG] iteration=111, ncalls=541, regioncalls=5640, ndraw=40, logz=-1690.97, remainder_fraction=100.0000%, Lmin=-1656.64, Lmax=-6.78
11:09:53 [ultranest] [DEBUG] iteration=114, ncalls=546, regioncalls=5840, ndraw=40, logz=-1659.13, remainder_fraction=100.0000%, Lmin=-1652.08, Lmax=-6.78
11:09:53 [ultranest] [DEBUG] iteration=117, ncalls=550, regioncalls=6000, ndraw=40, logz=-1652.96, remainder_fraction=100.0000%, Lmin=-1644.13, Lmax=-6.78
11:09:53 [ultranest] [DEBUG] iteration=120, ncalls=554, regioncalls=6160, ndraw=40, logz=-1628.47, remainder_fraction=100.0000%, Lmin=-1617.16, Lmax=-6.78
11:09:54 [ultranest] [DEBUG] iteration=124, ncalls=560, regioncalls=6400, ndraw=40, logz=-1586.53, remainder_fraction=100.0000%, Lmin=-1569.02, Lmax=-6.78
11:09:54 [ultranest] [DEBUG] iteration=126, ncalls=564, regioncalls=6560, ndraw=40, logz=-1568.91, remainder_fraction=100.0000%, Lmin=-1551.73, Lmax=-6.78
